id,archetype_id,archetype_name
1,10,Continuing-Gen Cruiser
2,8,Multiracial Bridge-Builder
3,2,Latino First-Gen Striver
4,2,Latino First-Gen Striver
5,9,Hispanic On-Campus Transitioner
6,1,Latina Commuter Caretaker
7,2,Latino First-Gen Striver
8,7,White Commuter Working
9,2,Latino First-Gen Striver
10,1,Latina Commuter Caretaker
11,8,Multiracial Bridge-Builder
12,6,White Residential Traditional
13,3,Asian High-Pressure Achiever
14,8,Multiracial Bridge-Builder
15,2,Latino First-Gen Striver
16,5,Black Campus Connector
17,10,Continuing-Gen Cruiser
18,6,White Residential Traditional
19,3,Asian High-Pressure Achiever
20,10,Continuing-Gen Cruiser
21,7,White Commuter Working
22,6,White Residential Traditional
23,10,Continuing-Gen Cruiser
24,1,Latina Commuter Caretaker
25,8,Multiracial Bridge-Builder
26,3,Asian High-Pressure Achiever
27,2,Latino First-Gen Striver
28,6,White Residential Traditional
29,1,Latina Commuter Caretaker
30,2,Latino First-Gen Striver
31,9,Hispanic On-Campus Transitioner
32,1,Latina Commuter Caretaker
33,2,Latino First-Gen Striver
34,1,Latina Commuter Caretaker
35,1,Latina Commuter Caretaker
36,10,Continuing-Gen Cruiser
37,2,Latino First-Gen Striver
38,2,Latino First-Gen Striver
39,9,Hispanic On-Campus Transitioner
40,3,Asian High-Pressure Achiever
41,1,Latina Commuter Caretaker
42,9,Hispanic On-Campus Transitioner
43,1,Latina Commuter Caretaker
44,10,Continuing-Gen Cruiser
45,10,Continuing-Gen Cruiser
46,9,Hispanic On-Campus Transitioner
47,1,Latina Commuter Caretaker
48,10,Continuing-Gen Cruiser
49,4,Asian First-Gen Navigator
50,6,White Residential Traditional
51,10,Continuing-Gen Cruiser
52,2,Latino First-Gen Striver
53,3,Asian High-Pressure Achiever
54,2,Latino First-Gen Striver
55,1,Latina Commuter Caretaker
56,10,Continuing-Gen Cruiser
57,10,Continuing-Gen Cruiser
58,1,Latina Commuter Caretaker
59,2,Latino First-Gen Striver
60,3,Asian High-Pressure Achiever
61,3,Asian High-Pressure Achiever
62,1,Latina Commuter Caretaker
63,2,Latino First-Gen Striver
64,3,Asian High-Pressure Achiever
65,8,Multiracial Bridge-Builder
66,1,Latina Commuter Caretaker
67,7,White Commuter Working
68,1,Latina Commuter Caretaker
69,10,Continuing-Gen Cruiser
70,9,Hispanic On-Campus Transitioner
71,10,Continuing-Gen Cruiser
72,3,Asian High-Pressure Achiever
73,5,Black Campus Connector
74,10,Continuing-Gen Cruiser
75,9,Hispanic On-Campus Transitioner
76,4,Asian First-Gen Navigator
77,8,Multiracial Bridge-Builder
78,4,Asian First-Gen Navigator
79,10,Continuing-Gen Cruiser
80,10,Continuing-Gen Cruiser
81,2,Latino First-Gen Striver
82,9,Hispanic On-Campus Transitioner
83,2,Latino First-Gen Striver
84,6,White Residential Traditional
85,5,Black Campus Connector
86,3,Asian High-Pressure Achiever
87,8,Multiracial Bridge-Builder
88,10,Continuing-Gen Cruiser
89,9,Hispanic On-Campus Transitioner
90,2,Latino First-Gen Striver
91,1,Latina Commuter Caretaker
92,7,White Commuter Working
93,10,Continuing-Gen Cruiser
94,1,Latina Commuter Caretaker
95,3,Asian High-Pressure Achiever
96,10,Continuing-Gen Cruiser
97,2,Latino First-Gen Striver
98,5,Black Campus Connector
99,3,Asian High-Pressure Achiever
100,7,White Commuter Working
101,1,Latina Commuter Caretaker
102,2,Latino First-Gen Striver
103,1,Latina Commuter Caretaker
104,10,Continuing-Gen Cruiser
105,7,White Commuter Working
106,8,Multiracial Bridge-Builder
107,9,Hispanic On-Campus Transitioner
108,2,Latino First-Gen Striver
109,2,Latino First-Gen Striver
110,9,Hispanic On-Campus Transitioner
111,10,Continuing-Gen Cruiser
112,8,Multiracial Bridge-Builder
113,9,Hispanic On-Campus Transitioner
114,8,Multiracial Bridge-Builder
115,8,Multiracial Bridge-Builder
116,4,Asian First-Gen Navigator
117,4,Asian First-Gen Navigator
118,1,Latina Commuter Caretaker
119,10,Continuing-Gen Cruiser
120,1,Latina Commuter Caretaker
121,10,Continuing-Gen Cruiser
122,9,Hispanic On-Campus Transitioner
123,4,Asian First-Gen Navigator
124,1,Latina Commuter Caretaker
125,3,Asian High-Pressure Achiever
126,1,Latina Commuter Caretaker
127,1,Latina Commuter Caretaker
128,10,Continuing-Gen Cruiser
129,10,Continuing-Gen Cruiser
130,1,Latina Commuter Caretaker
131,4,Asian First-Gen Navigator
132,3,Asian High-Pressure Achiever
133,2,Latino First-Gen Striver
134,3,Asian High-Pressure Achiever
135,2,Latino First-Gen Striver
136,10,Continuing-Gen Cruiser
137,1,Latina Commuter Caretaker
138,7,White Commuter Working
139,2,Latino First-Gen Striver
140,10,Continuing-Gen Cruiser
141,10,Continuing-Gen Cruiser
142,9,Hispanic On-Campus Transitioner
143,10,Continuing-Gen Cruiser
144,10,Continuing-Gen Cruiser
145,6,White Residential Traditional
146,3,Asian High-Pressure Achiever
147,10,Continuing-Gen Cruiser
148,10,Continuing-Gen Cruiser
149,5,Black Campus Connector
150,10,Continuing-Gen Cruiser
151,10,Continuing-Gen Cruiser
152,3,Asian High-Pressure Achiever
153,8,Multiracial Bridge-Builder
154,10,Continuing-Gen Cruiser
155,4,Asian First-Gen Navigator
156,1,Latina Commuter Caretaker
157,3,Asian High-Pressure Achiever
158,10,Continuing-Gen Cruiser
159,1,Latina Commuter Caretaker
160,9,Hispanic On-Campus Transitioner
161,6,White Residential Traditional
162,7,White Commuter Working
163,6,White Residential Traditional
164,10,Continuing-Gen Cruiser
165,10,Continuing-Gen Cruiser
166,10,Continuing-Gen Cruiser
167,9,Hispanic On-Campus Transitioner
168,1,Latina Commuter Caretaker
169,3,Asian High-Pressure Achiever
170,1,Latina Commuter Caretaker
171,6,White Residential Traditional
172,5,Black Campus Connector
173,9,Hispanic On-Campus Transitioner
174,6,White Residential Traditional
175,10,Continuing-Gen Cruiser
176,7,White Commuter Working
177,10,Continuing-Gen Cruiser
178,1,Latina Commuter Caretaker
179,2,Latino First-Gen Striver
180,9,Hispanic On-Campus Transitioner
181,1,Latina Commuter Caretaker
182,10,Continuing-Gen Cruiser
183,2,Latino First-Gen Striver
184,1,Latina Commuter Caretaker
185,1,Latina Commuter Caretaker
186,10,Continuing-Gen Cruiser
187,1,Latina Commuter Caretaker
188,10,Continuing-Gen Cruiser
189,1,Latina Commuter Caretaker
190,6,White Residential Traditional
191,5,Black Campus Connector
192,6,White Residential Traditional
193,5,Black Campus Connector
194,4,Asian First-Gen Navigator
195,8,Multiracial Bridge-Builder
196,2,Latino First-Gen Striver
197,10,Continuing-Gen Cruiser
198,10,Continuing-Gen Cruiser
199,3,Asian High-Pressure Achiever
200,10,Continuing-Gen Cruiser
201,10,Continuing-Gen Cruiser
202,6,White Residential Traditional
203,6,White Residential Traditional
204,3,Asian High-Pressure Achiever
205,3,Asian High-Pressure Achiever
206,3,Asian High-Pressure Achiever
207,10,Continuing-Gen Cruiser
208,3,Asian High-Pressure Achiever
209,3,Asian High-Pressure Achiever
210,6,White Residential Traditional
211,7,White Commuter Working
212,3,Asian High-Pressure Achiever
213,3,Asian High-Pressure Achiever
214,1,Latina Commuter Caretaker
215,8,Multiracial Bridge-Builder
216,3,Asian High-Pressure Achiever
217,9,Hispanic On-Campus Transitioner
218,8,Multiracial Bridge-Builder
219,3,Asian High-Pressure Achiever
220,1,Latina Commuter Caretaker
221,9,Hispanic On-Campus Transitioner
222,8,Multiracial Bridge-Builder
223,3,Asian High-Pressure Achiever
224,7,White Commuter Working
225,10,Continuing-Gen Cruiser
226,1,Latina Commuter Caretaker
227,10,Continuing-Gen Cruiser
228,8,Multiracial Bridge-Builder
229,6,White Residential Traditional
230,8,Multiracial Bridge-Builder
231,1,Latina Commuter Caretaker
232,10,Continuing-Gen Cruiser
233,6,White Residential Traditional
234,1,Latina Commuter Caretaker
235,10,Continuing-Gen Cruiser
236,4,Asian First-Gen Navigator
237,4,Asian First-Gen Navigator
238,3,Asian High-Pressure Achiever
239,10,Continuing-Gen Cruiser
240,9,Hispanic On-Campus Transitioner
241,6,White Residential Traditional
242,1,Latina Commuter Caretaker
243,2,Latino First-Gen Striver
244,10,Continuing-Gen Cruiser
245,2,Latino First-Gen Striver
246,10,Continuing-Gen Cruiser
247,4,Asian First-Gen Navigator
248,10,Continuing-Gen Cruiser
249,3,Asian High-Pressure Achiever
250,7,White Commuter Working
251,1,Latina Commuter Caretaker
252,2,Latino First-Gen Striver
253,9,Hispanic On-Campus Transitioner
254,4,Asian First-Gen Navigator
255,9,Hispanic On-Campus Transitioner
256,1,Latina Commuter Caretaker
257,10,Continuing-Gen Cruiser
258,2,Latino First-Gen Striver
259,1,Latina Commuter Caretaker
260,7,White Commuter Working
261,4,Asian First-Gen Navigator
262,1,Latina Commuter Caretaker
263,7,White Commuter Working
264,10,Continuing-Gen Cruiser
265,9,Hispanic On-Campus Transitioner
266,8,Multiracial Bridge-Builder
267,1,Latina Commuter Caretaker
268,8,Multiracial Bridge-Builder
269,2,Latino First-Gen Striver
270,9,Hispanic On-Campus Transitioner
271,3,Asian High-Pressure Achiever
272,10,Continuing-Gen Cruiser
273,10,Continuing-Gen Cruiser
274,9,Hispanic On-Campus Transitioner
275,1,Latina Commuter Caretaker
276,1,Latina Commuter Caretaker
277,10,Continuing-Gen Cruiser
278,1,Latina Commuter Caretaker
279,2,Latino First-Gen Striver
280,3,Asian High-Pressure Achiever
281,2,Latino First-Gen Striver
282,7,White Commuter Working
283,3,Asian High-Pressure Achiever
284,1,Latina Commuter Caretaker
285,1,Latina Commuter Caretaker
286,1,Latina Commuter Caretaker
287,6,White Residential Traditional
288,10,Continuing-Gen Cruiser
289,10,Continuing-Gen Cruiser
290,3,Asian High-Pressure Achiever
291,8,Multiracial Bridge-Builder
292,1,Latina Commuter Caretaker
293,1,Latina Commuter Caretaker
294,10,Continuing-Gen Cruiser
295,1,Latina Commuter Caretaker
296,10,Continuing-Gen Cruiser
297,10,Continuing-Gen Cruiser
298,4,Asian First-Gen Navigator
299,9,Hispanic On-Campus Transitioner
300,9,Hispanic On-Campus Transitioner
301,1,Latina Commuter Caretaker
302,10,Continuing-Gen Cruiser
303,2,Latino First-Gen Striver
304,2,Latino First-Gen Striver
305,6,White Residential Traditional
306,7,White Commuter Working
307,3,Asian High-Pressure Achiever
308,10,Continuing-Gen Cruiser
309,10,Continuing-Gen Cruiser
310,6,White Residential Traditional
311,2,Latino First-Gen Striver
312,6,White Residential Traditional
313,1,Latina Commuter Caretaker
314,3,Asian High-Pressure Achiever
315,10,Continuing-Gen Cruiser
316,6,White Residential Traditional
317,8,Multiracial Bridge-Builder
318,2,Latino First-Gen Striver
319,1,Latina Commuter Caretaker
320,10,Continuing-Gen Cruiser
321,2,Latino First-Gen Striver
322,8,Multiracial Bridge-Builder
323,9,Hispanic On-Campus Transitioner
324,9,Hispanic On-Campus Transitioner
325,9,Hispanic On-Campus Transitioner
326,2,Latino First-Gen Striver
327,10,Continuing-Gen Cruiser
328,10,Continuing-Gen Cruiser
329,1,Latina Commuter Caretaker
330,9,Hispanic On-Campus Transitioner
331,10,Continuing-Gen Cruiser
332,9,Hispanic On-Campus Transitioner
333,2,Latino First-Gen Striver
334,10,Continuing-Gen Cruiser
335,10,Continuing-Gen Cruiser
336,1,Latina Commuter Caretaker
337,3,Asian High-Pressure Achiever
338,4,Asian First-Gen Navigator
339,9,Hispanic On-Campus Transitioner
340,6,White Residential Traditional
341,10,Continuing-Gen Cruiser
342,2,Latino First-Gen Striver
343,8,Multiracial Bridge-Builder
344,1,Latina Commuter Caretaker
345,2,Latino First-Gen Striver
346,7,White Commuter Working
347,10,Continuing-Gen Cruiser
348,1,Latina Commuter Caretaker
349,6,White Residential Traditional
350,1,Latina Commuter Caretaker
351,8,Multiracial Bridge-Builder
352,2,Latino First-Gen Striver
353,1,Latina Commuter Caretaker
354,3,Asian High-Pressure Achiever
355,7,White Commuter Working
356,3,Asian High-Pressure Achiever
357,2,Latino First-Gen Striver
358,5,Black Campus Connector
359,8,Multiracial Bridge-Builder
360,1,Latina Commuter Caretaker
361,7,White Commuter Working
362,10,Continuing-Gen Cruiser
363,6,White Residential Traditional
364,9,Hispanic On-Campus Transitioner
365,3,Asian High-Pressure Achiever
366,6,White Residential Traditional
367,8,Multiracial Bridge-Builder
368,3,Asian High-Pressure Achiever
369,8,Multiracial Bridge-Builder
370,7,White Commuter Working
371,10,Continuing-Gen Cruiser
372,2,Latino First-Gen Striver
373,6,White Residential Traditional
374,6,White Residential Traditional
375,8,Multiracial Bridge-Builder
376,6,White Residential Traditional
377,3,Asian High-Pressure Achiever
378,8,Multiracial Bridge-Builder
379,7,White Commuter Working
380,3,Asian High-Pressure Achiever
