lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.866163869445782	0.00561467387438477	154.2678860472	0	0.85515931086705	0.877168428024514
Belong	=~	sbmyself		0.84168975258366	0.00605760929946048	138.947513940627	0	0.829817056524302	0.853562448643017
Belong	=~	sbcommunity		0.890558695179083	0.0052811490369607	168.629722234008	0	0.880207833269652	0.900909557088514
Gains	=~	pganalyze		0.715117731508128	0.0086208147759697	82.952452882006	0	0.698221245029837	0.732014217986419
Gains	=~	pgthink		0.788774520421116	0.00723852238427375	108.968996508844	0	0.774587277246653	0.80296176359558
Gains	=~	pgwork		0.748703046747293	0.0079884542356172	93.7231440106569	0	0.733045964153337	0.764360129341249
Gains	=~	pgvalues		0.703613557871012	0.00864046192455433	81.4324007228705	0	0.686678563689096	0.720548552052929
Gains	=~	pgprobsolve		0.76019270337275	0.0078789430882909	96.4840962619075	0	0.744750258683459	0.77563514806204
SupportEnv	=~	SEacademic		0.831357513832541	0.00566906301741671	146.648134141112	0	0.820246354492316	0.842468673172765
SupportEnv	=~	SEwellness		0.81170188317467	0.00603575180332269	134.482316308604	0	0.799872027020535	0.823531739328806
SupportEnv	=~	SEnonacad		0.774972245628124	0.00701126969297317	110.532368538728	0	0.761230409544	0.788714081712249
SupportEnv	=~	SEactivities		0.737293880966424	0.00756856049573456	97.415338277595	0	0.722459774979972	0.752127986952876
SupportEnv	=~	SEdiverse		0.78949706371442	0.00660389116608875	119.55028389452	0	0.776553674871064	0.802440452557776
Satisf	=~	sameinst		0.895041032825061	0.0156522730288656	57.1828149927134	0	0.864363141412297	0.925718924237826
Satisf	=~	evalexp		0.855535580242173	0.0153502820234729	55.734192957102	0	0.825449580323633	0.885621580160712
DevAdj	=~	Belong		0.45303110967005	0.0220417739927518	20.5532962010691	0	0.409830026488884	0.496232192851215
DevAdj	=~	Gains		0.327793153248444	0.0220341100208497	14.8766232417952	0	0.284607091176186	0.370979215320703
DevAdj	=~	SupportEnv		0.533181870989066	0.0233728363008126	22.8120312026713	0	0.487371953622923	0.57899178835521
DevAdj	=~	Satisf		0.51085066191569	0.0233079543813359	21.9174387231837	0	0.465167910774969	0.556533413056411
EmoDiss	=~	MHWdacad		0.902925756765624	0.00306448835357559	294.641601659901	0	0.896919469961573	0.908932043569674
EmoDiss	=~	MHWdlonely		0.923565639080058	0.00255616149256278	361.309581482702	0	0.918555654615966	0.928575623544149
EmoDiss	=~	MHWdmental		0.942005960807824	0.00209699430517893	449.217224139026	0	0.937895927493888	0.94611599412176
EmoDiss	=~	MHWdexhaust		0.928058931386689	0.00245409611024328	378.167312809395	0	0.923248991396012	0.932868871377366
EmoDiss	=~	MHWdsleep		0.919780020947285	0.0026638873984519	345.277364757162	0	0.91455889758745	0.925001144307121
EmoDiss	=~	MHWdfinancial		0.858281707171598	0.00422580968262721	203.104676176046	0	0.849999272388128	0.866564141955068
QualEngag	=~	QIadmin		0.887239074515852	0.00355205180789534	249.782132271758	0	0.880277180901157	0.894200968130547
QualEngag	=~	QIstudent		0.906201142887447	0.00300202328207235	301.863462651722	0	0.900317285373834	0.912085000401059
QualEngag	=~	QIadvisor		0.928189660151491	0.00248382943830969	373.692994307673	0	0.923321443908663	0.933057876394318
QualEngag	=~	QIfaculty		0.93057624005448	0.00242954702908508	383.024583971489	0	0.925814415378726	0.935338064730233
