lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.674063830359453	0.865799783220612	0.865799783220612
Belong	=~	sbmyself		0.987644362566886	0.0144498052921753	68.3500118234608	0	0.959323264610606	1.01596546052317	0.665735342064756	0.842709138741757	0.842709138741757
Belong	=~	sbcommunity		1.01212639518665	0.013841781444815	73.1211079456667	0	0.984997002072934	1.03925578830036	0.682237794747417	0.892357625530087	0.892357625530087
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.513719550542154	0.714294333508997	0.714294333508997
Gains	=~	pgthink		1.02660580298814	0.0209034944509025	49.1116834747127	0	0.985635706713335	1.06757589926294	0.527387471695033	0.786995287042819	0.786995287042819
Gains	=~	pgwork		1.02814868704296	0.0214576077757277	47.9153453539203	0	0.986092548608145	1.07020482547777	0.528180081398214	0.746738516742294	0.746738516742294
Gains	=~	pgvalues		0.997480189777197	0.022357404338706	44.615205533959	0	0.953660482485534	1.04129989706886	0.512425074767044	0.702213130241114	0.702213130241114
Gains	=~	pgprobsolve		1.00379963141716	0.0210604378486657	47.6628092269581	0	0.962521931735132	1.04507733109919	0.515671495486004	0.760858362311882	0.760858362311882
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.61299615648495	0.8328949693432	0.8328949693432
SupportEnv	=~	SEwellness		0.996461349221609	0.0153687968752547	64.8366529475064	0	0.966339060860398	1.02658363758282	0.610826977158654	0.813789861349503	0.813789861349503
SupportEnv	=~	SEnonacad		1.00246744053194	0.0161031286712309	62.2529609617358	0	0.970905888297916	1.03402899276597	0.614508688047386	0.77567540032052	0.77567540032052
SupportEnv	=~	SEactivities		0.978885508525489	0.0169908779403971	57.6124148475055	0	0.945583999696595	1.01218701735438	0.600053054364941	0.736948345418911	0.736948345418911
SupportEnv	=~	SEdiverse		1.00523808254882	0.0160272162964244	62.7206911017406	0	0.973825315835393	1.03665084926224	0.616207080954727	0.789671696107377	0.789671696107377
Satisf	=~	sameinst		1	0	NA	NA	1	1	0.611401620411322	0.903947712492372	0.903947712492372
Satisf	=~	evalexp		0.949049438447357	0.0247597743779176	38.3302942895062	0	0.900521172401301	0.997577704493413	0.58025036451717	0.847083622092445	0.847083622092445
DevAdj	=~	Belong		1	0	NA	NA	1	1	0.492058267057474	0.492058267057474	0.492058267057474
DevAdj	=~	Gains		0.500186356924952	0.0337061693294859	14.8396085012067	0	0.434123478982351	0.566249234867553	0.322941088323849	0.322941088323849	0.322941088323849
DevAdj	=~	SupportEnv		0.918559537327141	0.0436429759207227	21.0471334263662	0	0.833020876344375	1.00409819830991	0.497012276261743	0.497012276261743	0.497012276261743
DevAdj	=~	Satisf		0.948737445145839	0.0458766996995343	20.6801590210176	0	0.858820766005193	1.03865412428649	0.514679669152139	0.514679669152139	0.514679669152139
EmoDiss	=~	MHWdacad		1	0	NA	NA	1	1	0.997045215330664	0.903439306724282	0.903439306724282
EmoDiss	=~	MHWdlonely		1.01341535164748	0.00968655922092686	104.620776948134	0	0.994430044440346	1.03240065885461	1.01042092750276	0.924028628031594	0.924028628031594
EmoDiss	=~	MHWdmental		1.00930053918127	0.00953646479785095	105.835921442159	0	0.990609411637645	1.02799166672489	1.00631827342134	0.941301023372658	0.941301023372658
