panel,firstgen,urm,fast,mean,se
distress_by_subgroup,0,0,0,3.6724584078548133,0.03619354869190553
distress_by_subgroup,0,0,1,3.8359134697393573,0.055563786856497405
distress_by_subgroup,0,1,0,3.7278578680188326,0.02955604347384338
distress_by_subgroup,0,1,1,3.918828728984754,0.056701883207410805
distress_by_subgroup,1,0,0,3.7821114533201237,0.04462681826745298
distress_by_subgroup,1,0,1,3.9398741269299355,0.08093111769234987
distress_by_subgroup,1,1,0,3.8595368831980483,0.025275913868815877
distress_by_subgroup,1,1,1,4.081404910577818,0.053595378605933906
engagement_by_subgroup,0,0,0,4.99963769752185,0.033357057636468505
engagement_by_subgroup,0,0,1,5.126075776057816,0.046396592748163636
engagement_by_subgroup,0,1,0,4.888042558068252,0.031654242112419344
engagement_by_subgroup,0,1,1,4.741664795403373,0.05592681475997698
engagement_by_subgroup,1,0,0,4.787046547032748,0.04546027111408674
engagement_by_subgroup,1,0,1,4.487510547551651,0.07158404001480079
engagement_by_subgroup,1,1,0,4.774479417584195,0.027619530865604803
engagement_by_subgroup,1,1,1,4.672965711337777,0.05411828207533139
heatmap_distress,Continuing-Gen,NA,Non-FASt,3.6988905223953608,NA
heatmap_distress,Continuing-Gen,NA,FASt,3.8691411884366884,NA
heatmap_distress,First-Gen,NA,Non-FASt,3.837353182690856,NA
heatmap_distress,First-Gen,NA,FASt,4.034010401607739,NA
heatmap_engagement,NA,Non-URM,Non-FASt,4.9272382034616955,NA
heatmap_engagement,NA,Non-URM,FASt,4.939613806447765,NA
heatmap_engagement,NA,URM,Non-FASt,4.82161347507176,NA
heatmap_engagement,NA,URM,FASt,4.703841997899647,NA
