"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hapcl_c","hprecalc13","hprecalc13_c","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","hacadpr13","hacadpr13_c","tcare","tcare_c","firstgen","re_all","living18","sex","StemMaj","StemMaj_c","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band","psw"
0,6,-0.527,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,7,2.512,2,-0.301,18,8.2376,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,3,0,-0.9,-0.98456,0,24,1.9,2.9,3,2,2,3,3,3,3,3,2,2,2,2,2,3,3,5,4,4,4,3,4,4,4,4,NA,4,1,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.663318424578825
0,7,0.473,7,5,-1.0448,1,0,-0.2468,0,-0.3436,7,2.512,2,-0.301,3,-6.7624,3,0.0503999999999998,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,5,0,-0.7,-0.78456,0,33,2.8,3.8,2,2,1,3,2,3,2,3,2,3,3,2,2,3,3,4,5,4,5,5,4,4,NA,NA,5,5,2,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11",0.624779941576333
0,5,-1.527,6,7,0.9552,1,0,-0.2468,0,-0.3436,4,-0.488,2,-0.301,13,3.2376,23,20.0504,1,"Asian","Off-campus (rent/apartment)","Male",0,-0.2482,9,0,-0.3,-0.38456,0,30,2.5,3.5,2,2,2,3,3,3,3,3,2,3,2,3,3,2,2,6,NA,6,5,5,5,4,3,4,4,4,3,1,1,0,4,"Asian First-Gen Navigator","non_FASt_1_11",0.510875912237029
1,7,0.473,7,7,0.9552,0,0,-0.2468,0,-0.3436,5,0.512,3,0.699,8,-1.7624,0,-2.9496,0,"Asian","With family (commuting)","Male",1,0.7518,32,1,2,1.91544,1.91544,31,2.6,3.6,2,2,2,3,3,3,3,3,3,4,4,4,3,3,3,2,2,2,2,3,2,4,5,4,4,6,4,2,6,1,3,"Asian High-Pressure Achiever","FASt_12plus",1.92751284083461
1,8,1.473,7,5,-1.0448,1,0,-0.2468,0,-0.3436,6,1.512,3,0.699,3,-6.7624,3,0.0503999999999998,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,10,0,-0.2,-0.28456,0,33,2.8,3.8,2,3,2,3,2,2,2,3,2,3,3,3,2,3,3,5,5,5,5,5,6,5,5,5,5,5,5,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11",0.657351645660764
0,6,-0.527,7,6,-0.0448000000000004,1,1,0.7532,1,0.6564,5,0.512,2,-0.301,13,3.2376,0,-2.9496,0,"White","With family (commuting)","Female",1,0.7518,8,0,-0.4,-0.48456,0,24,1.9,2.9,4,4,4,4,4,4,4,3,3,3,2,3,3,3,4,2,2,3,3,3,3,7,7,7,7,7,6,1,2,1,10,"Continuing-Gen Cruiser","non_FASt_1_11",0.875157521869184
1,6,-0.527,6,5,-1.0448,1,0,-0.2468,0,-0.3436,5,0.512,3,0.699,23,13.2376,0,-2.9496,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,18,1,0.6,0.51544,0.51544,34,2.9,3.9,2,2,2,3,2,3,3,3,2,3,1,2,3,3,3,5,5,NA,5,5,6,3,3,4,4,4,7,2,4,1,1,"Latina Commuter Caretaker","FASt_12plus",1.96835495842967
0,5,-1.527,7,6,-0.0448000000000004,1,0,-0.2468,0,-0.3436,4,-0.488,3,0.699,18,8.2376,0,-2.9496,1,"White","With family (commuting)","Female",0,-0.2482,10,0,-0.2,-0.28456,0,13,0.8,1.8,2,1,1,3,3,4,3,3,3,4,4,4,4,3,3,4,4,4,4,4,5,6,6,6,6,6,8,1,3,1,11,"White Rural First-Gen","non_FASt_1_11",0.570107411443023
0,6,-0.527,7,6,-0.0448000000000004,1,0,-0.2468,1,0.6564,4,-0.488,2,-0.301,3,-6.7624,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Male",1,0.7518,18,1,0.6,0.51544,0.51544,18,1.3,2.3,2,3,3,2,2,2,2,2,3,3,4,3,3,3,3,4,4,4,5,4,4,5,6,NA,6,6,9,2,7,1,9,"Hispanic On-Campus Transitioner","FASt_12plus",1.9266959550256
1,7,0.473,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,4,-0.488,4,1.699,3,-6.7624,0,-2.9496,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,9,0,-0.3,-0.38456,0,-8,-1.3,-0.3,3,2,2,3,4,3,3,4,3,3,4,4,3,2,3,5,NA,5,6,5,5,5,5,4,5,5,10,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11",0.60881746131025
