lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.665291884722073	0.86293667047049	0.86293667047049
Belong	=~	sbmyself		0.987645924864009	0.0144498648624589	68.3498381656105	0	0.959324710152119	1.0159671395759	0.657072818790851	0.839487040480316	0.839487040480316
Belong	=~	sbcommunity		1.01212599434727	0.0138417569476456	73.121208396845	0	0.984996649247127	1.03925533944741	0.673359210355497	0.889954375067844	0.889954375067844
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.510850616376296	0.712331941441653	0.712331941441653
Gains	=~	pgthink		1.02660624434168	0.0209034916626372	49.1117111394665	0	0.985636153531782	1.06757633515159	0.524442432697704	0.785313437771724	0.785313437771724
Gains	=~	pgwork		1.02814969540819	0.0214576338374685	47.9153341508173	0	0.986093505893299	1.07020588492307	0.525230905626372	0.744885513637276	0.744885513637276
Gains	=~	pgvalues		0.997481265924459	0.0223574373091632	44.6151878737748	0	0.953661494011887	1.04130103783703	0.509563919521318	0.700217559340884	0.700217559340884
Gains	=~	pgprobsolve		1.00380104872763	0.0210604510113527	47.6628467351685	0	0.962523323247205	1.04507877420805	0.51279238446168	0.759061113056162	0.759061113056162
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.604856525498152	0.829460062639427	0.829460062639427
SupportEnv	=~	SEwellness		0.996461280427609	0.0153687932031185	64.8366639630114	0	0.966338999263653	1.02658356159157	0.602716107872884	0.810091321129146	0.810091321129146
SupportEnv	=~	SEnonacad		1.00246908397303	0.0161031438235727	62.2530044416274	0	0.970907502040962	1.0340306659051	0.606349967051244	0.771524216218625	0.771524216218625
SupportEnv	=~	SEactivities		0.978885707488321	0.0169909202956931	57.6122829401095	0	0.945584115644571	1.01218729933207	0.592085407891186	0.732428626703863	0.732428626703863
SupportEnv	=~	SEdiverse		1.0052380121525	0.0160272228403368	62.7206611005964	0	0.973825232613242	1.03665079169176	0.60802477132923	0.785675078214959	0.785675078214959
Satisf	=~	sameinst		1	0	NA	NA	1	1	0.602704077109182	0.90156936549364	0.90156936549364
Satisf	=~	evalexp		0.949011948003669	0.0247595803215585	38.3290805287742	0	0.900484062301087	0.99753983370625	0.571973370287138	0.843605365510732	0.843605365510732
DevAdj	=~	Belong		1	0	NA	NA	1	1	0.471179669048401	0.471179669048401	0.471179669048401
DevAdj	=~	Gains		0.500161425075093	0.0337041250688567	14.8397688429317	0	0.4341025538097	0.566220296340486	0.306912827837798	0.306912827837798	0.306912827837798
DevAdj	=~	SupportEnv		0.91857127418679	0.0436408035222764	21.0484500753499	0	0.833036871026739	1.00410567734684	0.47605733189234	0.47605733189234	0.47605733189234
DevAdj	=~	Satisf		0.948722383172339	0.0458744717742612	20.6808350369854	0	0.858810070684987	1.03863469565969	0.493439357291429	0.493439357291429	0.493439357291429
EmoDiss	=~	MHWdacad		1	0	NA	NA	1	1	0.997064371697136	0.903454235313236	0.903454235313236
EmoDiss	=~	MHWdlonely		1.01333983675713	0.00968986323375423	104.577310567935	0	0.99434805380385	1.0323316197104	1.01036504765192	0.923968399004656	0.923968399004656
EmoDiss	=~	MHWdmental		1.00928262420227	0.00953728658650741	105.824923582576	0	0.990589885982479	1.02797536242206	1.00631974556507	0.941311365759065	0.941311365759065
EmoDiss	=~	MHWdexhaust		1.00236443711278	0.00947957652224509	105.739368711313	0	0.983784808540488	1.02094406568507	0.999421867701407	0.92852027092377	0.92852027092377
EmoDiss	=~	MHWdsleep		1.00993462588944	0.0100212070058059	100.779738938067	0	0.990293421076442	1.02957583070244	1.00696983321764	0.920307920629594	0.920307920629594
EmoDiss	=~	MHWdfinancial		0.991497234607871	0.0112274378142096	88.3101960585364	0	0.969491860853358	1.01350260836239	0.988586567263745	0.8590160214302	0.8590160214302
QualEngag	=~	QIadmin		1	0	NA	NA	1	1	0.990091284265995	0.887290266778791	0.887290266778791
QualEngag	=~	QIstudent		1.02410411789914	0.010863661598364	94.2687793269782	0	1.00281173242612	1.04539650337217	1.01395656131286	0.906688047827244	0.906688047827244
QualEngag	=~	QIadvisor		1.01940855837497	0.0100213654731463	101.723518726727	0	0.999767042971694	1.03905007377825	1.00930752875322	0.928796579926218	0.928796579926218
QualEngag	=~	QIfaculty		1.02125792657981	0.0101697326796375	100.421314773066	0	1.00132561679532	1.04119023636429	1.01113857209423	0.930329680440085	0.930329680440085
QualEngag	=~	QIstaff		1.0226512696538	0.010587073091188	96.5943335656184	0	1.00190098769338	1.04340155161422	1.01251810892778	0.918639378516988	0.918639378516988
EmoDiss	~	x_FASt	a1	0.120544431733369	0.0368511388068434	3.27111822419402	0.00107123117618979	0.0483175268826696	0.192771336584068	0.120899347279039	0.0604489993530579	0.120899347279039
EmoDiss	~	XZ_c	a1z	0.0359456677267114	0.0147475108517976	2.43740574853212	0.0147930700537044	0.00704107759557442	0.0648502578578483	0.0360515015349782	0.0508432105492271	0.0360515015349782
EmoDiss	~	cohort	g1	0.0196267588376453	0.030163075206628	0.65068825718846	0.515247744979934	-0.0394917822303187	0.0787452999056093	0.0196845453460923	0.00984047259863445	0.0196845453460923
EmoDiss	~	hgrades_c		-0.0429949779203058	0.0158175634372477	-2.71817957872449	0.00656422005325075	-0.0739968325804888	-0.0119931232601228	-0.0431215668123038	-0.0411331163026039	-0.0431215668123038
EmoDiss	~	bparented_c		0.0106203121017626	0.0156832591413404	0.677175069674636	0.4982948834464	-0.0201183109754732	0.0413589351789984	0.0106515811849594	0.0102857044087431	0.0106515811849594
EmoDiss	~	pell		0.114811355694963	0.0302090495805787	3.80056166244882	0.000144368486344026	0.0556027065098439	0.174020004880082	0.115149391507731	0.0570935981402193	0.115149391507731
EmoDiss	~	hapcl		-0.0855990479082018	0.0362269514556677	-2.36285540098379	0.0181347438378112	-0.156602568030991	-0.0145955277854123	-0.0858510747530783	-0.0372885006738083	-0.0858510747530783
EmoDiss	~	hprecalc13		-0.0459561895474119	0.0321017080953036	-1.43158081840932	0.15226382242615	-0.108874381256425	0.0169620021616011	-0.0460914970506752	-0.0218346591806461	-0.0460914970506752
EmoDiss	~	hchallenge_c		-0.0148648036298422	0.0124919434407829	-1.18995124340001	0.234065555944857	-0.039348562870688	0.0096189556110036	-0.0149085696488586	-0.0179469348170003	-0.0149085696488586
EmoDiss	~	cSFcareer_c		-0.00377094583646066	0.0193295019310414	-0.195087584248866	0.845324382170118	-0.0416560734603993	0.0341141817874779	-0.00378204852515391	-0.00301775178550048	-0.00378204852515391
QualEngag	~	x_FASt	a2	-0.0118284112102853	0.0369212251655728	-0.320368870676444	0.748688720569264	-0.0841926827999019	0.0605358603793314	-0.011946788541881	-0.00597332764065709	-0.011946788541881
QualEngag	~	XZ_c	a2z	-0.0336743774680884	0.0144518738787682	-2.33010457678854	0.0198006245977014	-0.0619995297795891	-0.00534922515658764	-0.0340113866299236	-0.0479660490650745	-0.0340113866299236
QualEngag	~	cohort	g2	0.0249783240863065	0.0299872256550932	0.832965489158684	0.404864192995882	-0.0337955581939516	0.0837522063665647	0.0252283041808859	0.0126118450610446	0.0252283041808859
QualEngag	~	hgrades_c		0.0661107254857791	0.0160328267290794	4.12346036060324	3.73222713052623e-05	0.0346869625264123	0.097534488445146	0.0667723537580581	0.0636933023534094	0.0667723537580581
QualEngag	~	bparented_c		0.00161750605860848	0.0155994640436479	0.103689848194953	0.917415483193393	-0.0289568816450689	0.0321918937622859	0.0016336938667303	0.00157757725503628	0.0016336938667303
QualEngag	~	pell		-0.15034595016996	0.0304503189583651	-4.93741790933387	7.91637115638011e-07	-0.210027478646113	-0.0906644216938076	-0.15185059454535	-0.075290860931241	-0.15185059454535
QualEngag	~	hapcl		0.124823196281339	0.0354888843963867	3.51724767922116	0.000436046698396808	0.0552662610129159	0.194380131549763	0.126072411973485	0.054758210451563	0.126072411973485
QualEngag	~	hprecalc13		0.0670619302793928	0.0320982729718119	2.08926911233777	0.0366835051749588	0.00415047128870601	0.12997338927008	0.0677330780960355	0.0320868006056956	0.0677330780960355
QualEngag	~	hchallenge_c		-0.00250848387868285	0.0123010710613016	-0.203924021427239	0.838412873108476	-0.0266181401301018	0.0216011723727361	-0.00253358848678536	-0.00304993359499919	-0.00253358848678536
QualEngag	~	cSFcareer_c		-0.0155773290959562	0.0189994517943334	-0.819883082131988	0.412282762053295	-0.0528155703388546	0.0216609121469422	-0.0157332251515621	-0.0125537702589037	-0.0157332251515621
DevAdj	~	x_FASt	c	0.0663501884415735	0.013958044760132	4.75354461042336	1.99880975570998e-06	0.0389929234171168	0.0937074534660302	0.21166224195915	0.105829940485326	0.21166224195915
DevAdj	~	XZ_c	cz	-0.00127297907592742	0.00515947688580993	-0.24672638410853	0.805119986114259	-0.0113853679511818	0.00883940979932691	-0.00406090188297129	-0.00572706491171635	-0.00406090188297129
DevAdj	~	EmoDiss	b1	-0.186323926778276	0.0086079559531343	-21.6455483500043	0	-0.203195210426926	-0.169452643129625	-0.592642861311396	-0.592642861311396	-0.592642861311396
DevAdj	~	QualEngag	b2	0.17007103688891	0.00777191796007075	21.8827627572334	0	0.154838357596371	0.185303716181448	0.537163912323296	0.537163912323296	0.537163912323296
DevAdj	~	cohort	g3	-0.0126129607617629	0.0114520021475224	-1.10137603881708	0.270733029498232	-0.0350584725217821	0.00983255099825634	-0.040236322085632	-0.0201144815890855	-0.040236322085632
DevAdj	~	hgrades_c		0.0192912643533419	0.00614837370872266	3.13762065665811	0.00170325155716	0.0072406733207525	0.0313418553859313	0.0615406279795359	0.0587028254106773	0.0615406279795359
DevAdj	~	bparented_c		0.00397810853848486	0.00587752558526887	0.676833895620189	0.498511349530691	-0.00754162992685482	0.0154978470038245	0.0126904744626913	0.0122545626666453	0.0126904744626913
DevAdj	~	pell		-0.0496662307564118	0.0116992225621227	-4.24525907535181	2.18340998208166e-05	-0.0725962856252906	-0.026736175887533	-0.158439124265934	-0.0785575987166221	-0.158439124265934
DevAdj	~	hapcl		0.0146528215369629	0.0135392256159152	1.08224960220314	0.27914163336093	-0.0118835730487931	0.0411892161227188	0.046743636007484	0.0203026008442465	0.046743636007484
DevAdj	~	hprecalc13		0.00196077800818843	0.0121453163472906	0.161443140064922	0.871744391422389	-0.0218436046133468	0.0257651606297236	0.00625503376773105	0.00296316108655966	0.00625503376773105
DevAdj	~	hchallenge_c		-0.000643302503424321	0.00482517164725343	-0.133322200836213	0.893938570601666	-0.0101004651512648	0.0088138601444162	-0.00205218482917539	-0.00247041991479494	-0.00205218482917539
DevAdj	~	cSFcareer_c		-0.00148253174152195	0.0072285615143771	-0.20509360521776	0.837498992538691	-0.0156502519697334	0.0126851884866895	-0.004729391122415	-0.00377365028742385	-0.004729391122415
sbvalued	~~	sbvalued		0.15177001302846	0.00555877475221363	27.3027816009313	0	0.14087501471595	0.162665011340969	0.15177001302846	0.255340302757305	0.255340302757305
sbmyself	~~	sbmyself		0.180886371299033	0.00596476571624092	30.3258132681581	0	0.169195645318982	0.192577097279085	0.180886371299033	0.2952615088656	0.2952615088656
sbcommunity	~~	sbcommunity		0.119064481779031	0.00512375941232984	23.2377190647387	0	0.109022097865417	0.129106865692646	0.119064481779031	0.207981210297603	0.207981210297603
pganalyze	~~	pganalyze		0.253339323267279	0.00633627623705703	39.982367212094	0	0.240920450046551	0.265758196488008	0.253339323267279	0.492583205201965	0.492583205201965
pgthink	~~	pgthink		0.170934184481453	0.00479402402985155	35.6556795329092	0	0.161538070041924	0.180330298920981	0.170934184481453	0.383282804455157	0.383282804455157
pgwork	~~	pgwork		0.221321470200755	0.00575895286577235	38.4308528580175	0	0.210034129995178	0.232608810406333	0.221321470200755	0.445145571573331	0.445145571573331
pgvalues	~~	pgvalues		0.269924330272211	0.00653544771412501	41.3015820918933	0	0.257115088129681	0.28273357241474	0.269924330272211	0.509695369590696	0.509695369590696
pgprobsolve	~~	pgprobsolve		0.193427168915118	0.00531590649975866	36.3864881603729	0	0.183008183630409	0.203846154199827	0.193427168915118	0.423826226645941	0.423826226645941
SEacademic	~~	SEacademic		0.165906275121171	0.00465498450502455	35.6405644190851	0	0.15678267314273	0.175029877099611	0.165906275121171	0.311996004486198	0.311996004486198
SEwellness	~~	SEwellness		0.190284291041983	0.00500133371409369	38.046709521855	0	0.180481857087693	0.200086724996272	0.190284291041983	0.343752051431235	0.343752051431235
SEnonacad	~~	SEnonacad		0.249997037226226	0.00650111481143376	38.4544873421627	0	0.237255086336456	0.262738988115996	0.249997037226226	0.404750383788236	0.404750383788236
SEactivities	~~	SEactivities		0.302923589569521	0.00733472098074537	41.2999472460829	0	0.28854780061061	0.317299378528433	0.302923589569521	0.463548306784693	0.463548306784693
SEdiverse	~~	SEdiverse		0.229209019100106	0.00580518112446257	39.4835258686826	0	0.217831073172427	0.240586965027784	0.229209019100106	0.382714671471918	0.382714671471918
sameinst	~~	sameinst		0.0836473954740536	0.00911483724139251	9.17705859784222	0	0.0657826427559799	0.101512148192127	0.0836473954740536	0.187172679203394	0.187172679203394
evalexp	~~	evalexp		0.132544821728877	0.00872190260988327	15.1967784619245	0	0.11545020673684	0.149639436720914	0.132544821728877	0.288329987281504	0.288329987281504
MHWdacad	~~	MHWdacad		0.223825593900073	0.00586460935130975	38.1654736900907	0	0.212331170788109	0.235320017012037	0.223825593900073	0.183770444694577	0.183770444694577
MHWdlonely	~~	MHWdlonely		0.174917983425328	0.00484180765762179	36.1265865549159	0	0.165428214796319	0.184407752054337	0.174917983425328	0.146282397640773	0.146282397640773
MHWdmental	~~	MHWdmental		0.130213071642712	0.00397606744843805	32.7492109556301	0	0.122420122643671	0.138006020641752	0.130213071642712	0.113932912692804	0.113932912692804
MHWdexhaust	~~	MHWdexhaust		0.159706290513844	0.00455925765913119	35.0290118379223	0	0.150770309705709	0.16864227132198	0.159706290513844	0.137850106483648	0.137850106483648
MHWdsleep	~~	MHWdsleep		0.183211458820541	0.00498552047699175	36.7487125298281	0	0.17344001824145	0.192982899399632	0.183211458820541	0.153033331226433	0.153033331226433
MHWdfinancial	~~	MHWdfinancial		0.347120111921965	0.00831285450380524	41.7570296416315	0	0.330827216485785	0.363413007358145	0.347120111921965	0.26209147492623	0.26209147492623
