lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.86293667047049	0.00573182210756865	150.551893320453	0	0.851702505573865	0.874170835367115
Belong	=~	sbmyself		0.839487040480316	0.0061687525217928	136.087002601352	0	0.827396507708062	0.85157757325257
Belong	=~	sbcommunity		0.889954375067844	0.00537174509718369	165.673232621263	0	0.879425948143234	0.900482801992454
Gains	=~	pganalyze		0.712331941441653	0.00877600785832013	81.168106608556	0	0.695131282111305	0.729532600772001
Gains	=~	pgthink		0.785313437771724	0.00741463383853233	105.913987780571	0	0.770781022489648	0.799845853053799
Gains	=~	pgwork		0.744885513637276	0.00818908076092154	90.9608215359024	0	0.72883521027938	0.760935816995172
Gains	=~	pgvalues		0.700217559340884	0.00882670631896384	79.3294275392955	0	0.682917532853603	0.717517585828165
Gains	=~	pgprobsolve		0.759061113056162	0.00803580642423376	94.4598554249695	0	0.743311221877928	0.774811004234396
SupportEnv	=~	SEacademic		0.829460062639427	0.00575986179281288	144.006938443284	0	0.818170940969586	0.840749184309269
SupportEnv	=~	SEwellness		0.810091321129146	0.00609048673878061	133.009290697731	0	0.798154186472817	0.822028455785475
SupportEnv	=~	SEnonacad		0.771524216218625	0.00718825508973516	107.33122386271	0	0.757435495131057	0.785612937306193
SupportEnv	=~	SEactivities		0.732428626703863	0.00773509558871242	94.6890207501344	0	0.717268117933012	0.747589135474714
SupportEnv	=~	SEdiverse		0.785675078214959	0.00672317128574104	116.860785605935	0	0.772497904633013	0.798852251796905
Satisf	=~	sameinst		0.90156936549364	0.0114458400971539	78.7682999099232	0	0.879135931130415	0.924002799856867
Satisf	=~	evalexp		0.843605365510732	0.0113693835812998	74.1997452613248	0	0.821321783164963	0.8658889478565
DevAdj	=~	Belong		0.471179669048401	0.0150772320872155	31.2510722341358	0	0.441628837170907	0.500730500925895
DevAdj	=~	Gains		0.306912827837798	0.0167511310218898	18.321916737248	0	0.274081214334582	0.339744441341013
DevAdj	=~	SupportEnv		0.47605733189234	0.0154558961417379	30.8010177816071	0	0.445764332105742	0.506350331678938
DevAdj	=~	Satisf		0.493439357291429	0.0158814394225854	31.0701910678005	0	0.462312308000507	0.524566406582351
EmoDiss	=~	MHWdacad		0.903454235313236	0.00311604925890503	289.935800190369	0	0.897346890991729	0.909561579634742
EmoDiss	=~	MHWdlonely		0.923968399004656	0.00258458416664666	357.492091350017	0	0.918902707123016	0.929034090886296
EmoDiss	=~	MHWdmental		0.941311365759065	0.00214544762394636	438.748238480699	0	0.937106365685413	0.945516365832717
EmoDiss	=~	MHWdexhaust		0.92852027092377	0.00248322580279992	373.916971173879	0	0.923653237784802	0.933387304062739
EmoDiss	=~	MHWdsleep		0.920307920629594	0.00268862420987775	342.296970044557	0	0.915038314010271	0.925577527248917
EmoDiss	=~	MHWdfinancial		0.8590160214302	0.00426151180041173	201.575417753673	0	0.850663611781701	0.867368431078699
QualEngag	=~	QIadmin		0.887290266778791	0.0036061987075505	246.045861233609	0	0.880222247190897	0.894358286366684
QualEngag	=~	QIstudent		0.906688047827244	0.00304569094579036	297.695355164133	0	0.900718603265455	0.912657492389032
QualEngag	=~	QIadvisor		0.928796579926218	0.00249921458146614	371.635387699023	0	0.923898209356907	0.933694950495529
QualEngag	=~	QIfaculty		0.930329680440085	0.00247173880714583	376.386727331582	0	0.925485161398889	0.935174199481281
QualEngag	=~	QIstaff		0.918639378516988	0.00273665694482888	335.679406310984	0	0.913275629467082	0.924003127566894
EmoDiss	~	x_FASt	a1	0.0604489993530579	0.0184327011111086	3.27944336473985	0.00104012085005412	0.0243215690374936	0.0965764296686222
EmoDiss	~	XZ_c	a1z	0.0508432105492271	0.0208450166410016	2.43910625857788	0.0147236381419271	0.00998772867572578	0.0916986924227284
EmoDiss	~	cohort	g1	0.00984047259863445	0.0151260800849001	0.650563301489981	0.515328426613223	-0.0198060995950382	0.0394870447923071
EmoDiss	~	hgrades_c		-0.0411331163026039	0.0150889089258563	-2.72604974320697	0.00640973376898524	-0.0707068343632872	-0.0115593982419206
EmoDiss	~	bparented_c		0.0102857044087431	0.0151944734649305	0.676937205654601	0.498445796717059	-0.0194949163465703	0.0400663251640564
EmoDiss	~	pell		0.0570935981402193	0.0149681956864291	3.81432734688143	0.000136554365052666	0.0277564736812704	0.0864307225991681
EmoDiss	~	hapcl		-0.0372885006738083	0.0157656852730075	-2.36516840391645	0.0180218739790203	-0.0681886760004965	-0.00638832534712006
EmoDiss	~	hprecalc13		-0.0218346591806461	0.0152343367030477	-1.43325302612472	0.151785540832095	-0.0516934104469763	0.00802409208568411
EmoDiss	~	hchallenge_c		-0.0179469348170003	0.0150719289085808	-1.19075235332239	0.23375081870685	-0.0474873726553667	0.011593503021366
EmoDiss	~	cSFcareer_c		-0.00301775178550048	0.0154685945178269	-0.195088945024879	0.845323316893962	-0.033335639931895	0.027300136360894
QualEngag	~	x_FASt	a2	-0.00597332764065709	0.0186421699236878	-0.320420190627436	0.748649821827511	-0.0425113092847609	0.0305646540034467
QualEngag	~	XZ_c	a2z	-0.0479660490650745	0.0205543450179867	-2.33362089733827	0.0196155813730032	-0.0882518250261388	-0.00768027310401031
QualEngag	~	cohort	g2	0.0126118450610446	0.0151430673006703	0.832846134183556	0.404931512138863	-0.0170680214637352	0.0422917115858245
QualEngag	~	hgrades_c		0.0636933023534094	0.0153979560596392	4.13647773163616	3.52677562680537e-05	0.0335138630409864	0.0938727416658325
QualEngag	~	bparented_c		0.00157757725503628	0.0152137677421316	0.10369405408152	0.917412145373909	-0.0282408595886988	0.0313960140987714
QualEngag	~	pell		-0.075290860931241	0.0151749972302622	-4.96150739198127	6.99482078703184e-07	-0.10503330896805	-0.0455484128944321
QualEngag	~	hapcl		0.054758210451563	0.0155571779975515	3.51980355692923	0.000431866530336222	0.0242667018752831	0.0852497190278429
QualEngag	~	hprecalc13		0.0320868006056956	0.0153581616711763	2.08923446000149	0.0366866228491831	0.00198535686144654	0.0621882443499446
QualEngag	~	hchallenge_c		-0.00304993359499919	0.0149557661090076	-0.203930281656536	0.838407980956326	-0.0323626965298588	0.0262628293398604
QualEngag	~	cSFcareer_c		-0.0125537702589037	0.0153057576055644	-0.820199207541338	0.41210255366279	-0.0425525039219099	0.0174449634041024
DevAdj	~	x_FASt	c	0.105829940485326	0.0221348203748713	4.7811519900776	1.74293520327495e-06	0.0624464897463149	0.149213391224337
DevAdj	~	XZ_c	cz	-0.00572706491171635	0.023205540135373	-0.246797311258719	0.80506509144531	-0.0512090878188462	0.0397549579954135
DevAdj	~	EmoDiss	b1	-0.592642861311396	0.019091025158754	-31.0430087637093	0	-0.630060583050502	-0.55522513957229
DevAdj	~	QualEngag	b2	0.537163912323296	0.0191727461315934	28.0170565362121	0	0.499586020420643	0.574741804225949
DevAdj	~	cohort	g3	-0.0201144815890855	0.0182458130969847	-1.1024162903658	0.270280732556487	-0.0558756181278246	0.0156466549496537
DevAdj	~	hgrades_c		0.0587028254106773	0.0186357814031309	3.15000611677141	0.00163267044230642	0.0221773650367794	0.0952282857845752
DevAdj	~	bparented_c		0.0122545626666453	0.0181083697421098	0.676734727707052	0.498574278376127	-0.0232371898466248	0.0477463151799155
DevAdj	~	pell		-0.0785575987166221	0.0184970552373552	-4.2470327145898	2.16620339352769e-05	-0.114811160801886	-0.0423040366313579
DevAdj	~	hapcl		0.0203026008442465	0.0186843432275067	1.08661035590255	0.277209046387116	-0.0163180389564516	0.0569232406449445
