lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.677730778653919	0.865779361141568
Belong	=~	sbmyself	1	1	0.999069242211031	0.0201746820209629	49.5209412060586	0	0.959527592050396	1.03861089237167	0.677099975452862	0.836409676052677
Belong	=~	sbcommunity	1	1	1.01397450163413	0.0192789954436333	52.5947788409789	0	0.9761883649065	1.05176063836177	0.68720172852772	0.895420979820797
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.527671822631157	0.725185531126381
Gains	=~	pgthink	1	1	1.01808493005739	0.0298161944094475	34.1453679861573	0	0.959646262858829	1.07652359725595	0.537214730636698	0.793828302494791
Gains	=~	pgwork	1	1	0.961320201564358	0.0284716989015301	33.7640618106107	0	0.90551669713869	1.01712370599003	0.507261582891616	0.733218208745766
Gains	=~	pgvalues	1	1	0.988667307199801	0.0307705228921037	32.130338202784	0	0.928358190545812	1.04897642385379	0.521691879965957	0.715165993683099
Gains	=~	pgprobsolve	1	1	1.0238805540651	0.0299830391097216	34.1486581903274	0	0.965114877262989	1.08264623086721	0.54027291812013	0.774408743234438
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.615647636863983	0.828544775610032
SupportEnv	=~	SEwellness	1	1	0.964073599691226	0.02270088460222	42.4685476616601	0	0.919580683453675	1.00856651592878	0.593529633412856	0.808789293617307
SupportEnv	=~	SEnonacad	1	1	0.965313783133057	0.0238482398061745	40.4773597958843	0	0.918572092018281	1.01205547424783	0.594293149418098	0.757550218913072
SupportEnv	=~	SEactivities	1	1	1.00312189811593	0.0250300072698761	40.0767721439377	0	0.954063985334197	1.05217981089766	0.617569626061585	0.748602874717633
SupportEnv	=~	SEdiverse	1	1	0.981423869678093	0.0244741009623937	40.1005075196071	0	0.933455513237804	1.02939222611838	0.604211286129223	0.779214222050772
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.549577942877971	0.837096754648034
Satisf	=~	evalexp	1	1	1.07888319755926	0.0445170406996368	24.2352856479982	0	0.991631401089668	1.16613499402885	0.592930408320226	0.876528080774677
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.433680774879721	0.433680774879721
DevAdj	=~	Gains	1	1	0.658408350033131	0.0610359959738023	10.7872139960775	0	0.538779996163947	0.778036703902315	0.366740443472456	0.366740443472456
DevAdj	=~	SupportEnv	1	1	0.904583391845681	0.0732944592723778	12.3417704533989	0	0.760928891405483	1.04823789228588	0.431860787689752	0.431860787689752
DevAdj	=~	Satisf	1	1	0.966850412717127	0.0789835331368871	12.2411643834857	0	0.812045532397102	1.12165529303715	0.517079562067455	0.517079562067455
