lhs	op	rhs	group	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1	0.868935035028917	0.00882184325743354	98.4981267148141	0	0.85164453996709	0.886225530090744
Belong	=~	sbmyself	1	0.834220974272243	0.00949101594310701	87.8958563838582	0	0.815618924847057	0.852823023697428
Belong	=~	sbcommunity	1	0.881131812205374	0.00813630658259178	108.296289386467	0	0.865184944336318	0.89707868007443
Gains	=~	pganalyze	1	0.737720462955318	0.012953620903125	56.950907277003	0	0.712331832515808	0.763109093394828
Gains	=~	pgthink	1	0.797481413379439	0.0113995998723954	69.9569653589836	0	0.775138608191377	0.819824218567502
Gains	=~	pgwork	1	0.741269241663258	0.0133392853339269	55.570386501736	0	0.715124722829258	0.767413760497259
Gains	=~	pgvalues	1	0.696062023402748	0.0145690355592902	47.7768085999962	0	0.667507238417055	0.72461680838844
Gains	=~	pgprobsolve	1	0.75908888799842	0.0122217272187247	62.1097881186084	0	0.735134742820847	0.783043033175993
SupportEnv	=~	SEacademic	1	0.829187794176375	0.00907610138102564	91.359468054187	0	0.81139896234953	0.846976626003219
SupportEnv	=~	SEwellness	1	0.815838561814105	0.00991571445680997	82.2773351701146	0	0.796404118597774	0.835273005030436
SupportEnv	=~	SEnonacad	1	0.783825542289078	0.0110397388499079	71.0003699313608	0	0.762188051744531	0.805463032833625
SupportEnv	=~	SEactivities	1	0.744547050826571	0.0117882358125088	63.1601761848461	0	0.721442533192789	0.767651568460354
SupportEnv	=~	SEdiverse	1	0.800357588186547	0.00946028384774364	84.6018577315139	0	0.781815772561443	0.81889940381165
Satisf	=~	sameinst	1	0.866457451807377	0.0196587279357836	44.0749500495511	0	0.82792705307137	0.904987850543384
Satisf	=~	evalexp	1	0.84862879022347	0.0196152567226292	43.2637106015771	0	0.810183593499609	0.88707398694733
DevAdj	=~	Belong	1	0.442248658495016	0.0271466357831794	16.2911036942943	0	0.389042230058558	0.495455086931474
DevAdj	=~	Gains	1	0.29325811871364	0.0280699781436279	10.4473939100737	0	0.238241972505303	0.348274264921977
DevAdj	=~	SupportEnv	1	0.457262340849001	0.0268431083608892	17.0346270894335	0	0.404650815228552	0.50987386646945
DevAdj	=~	Satisf	1	0.509786160370734	0.026028006697689	19.58606228636	0	0.458772204653896	0.560800116087572
EmoDiss	=~	MHWdacad	1	0.900717151308929	0.00504402746925239	178.571024206264	0	0.890831039132163	0.910603263485694
EmoDiss	=~	MHWdlonely	1	0.92647007569989	0.00413211569197633	224.21203682629	0	0.918371277763663	0.934568873636116
EmoDiss	=~	MHWdmental	1	0.938792347333406	0.00348637498406627	269.274633860086	0	0.931959177928035	0.945625516738777
EmoDiss	=~	MHWdexhaust	1	0.934971713839682	0.00375743688170144	248.832313961933	0	0.927607272877364	0.942336154801999
EmoDiss	=~	MHWdsleep	1	0.910013716863361	0.00468172354724396	194.375790812994	0	0.90083770732519	0.919189726401532
EmoDiss	=~	MHWdfinancial	1	0.851879729987268	0.0072062931639115	118.21330476165	0	0.837755654923964	0.866003805050572
QualEngag	=~	QIadmin	1	0.891038117216782	0.00588994730306165	151.281169655561	0	0.879494032631942	0.902582201801622
QualEngag	=~	QIstudent	1	0.897039064461382	0.00531229921735119	168.860794123088	0	0.886627149320273	0.90745097960249
QualEngag	=~	QIadvisor	1	0.922176593445157	0.00441577375960595	208.836920469279	0	0.913521835912452	0.930831350977862
QualEngag	=~	QIfaculty	1	0.936386001862474	0.0037168488681681	251.930071701835	0	0.929101111944887	0.943670891780062
QualEngag	=~	QIstaff	1	0.916714762283137	0.00470849223317025	194.693909830644	0	0.907486287084637	0.925943237481638
sbvalued	~~	sbvalued	1	0.244951904899295	0.0153312174217808	15.9773290118041	0	0.214903270913451	0.275000538885138
sbmyself	~~	sbmyself	1	0.30407536608427	0.0158352091565183	19.2024849863826	0	0.273038926449836	0.335111805718705
sbcommunity	~~	sbcommunity	1	0.223606729519674	0.0143383172259822	15.5950468939605	0	0.195504144157838	0.251709314881509
pganalyze	~~	pganalyze	1	0.455768518536991	0.019112302668005	23.8468658881157	0	0.418309093646073	0.49322794342791
pgthink	~~	pgthink	1	0.364023395314332	0.018181937677731	20.0211551577466	0	0.328387452296827	0.399659338331836
pgwork	~~	pgwork	1	0.450519911363978	0.019776003573552	22.7811402687292	0	0.41175965660168	0.489280166126275
pgvalues	~~	pgvalues	1	0.515497659576473	0.0202819045232131	25.4166298330847	0	0.475745857173095	0.55524946197985
pgprobsolve	~~	pgprobsolve	1	0.423784060117322	0.0185547545598316	22.8396478514868	0	0.387417409438072	0.460150710796572
SEacademic	~~	SEacademic	1	0.312447601988918	0.0150515852542513	20.7584514661449	0	0.282947036980352	0.341948166997485
SEwellness	~~	SEwellness	1	0.334407441057093	0.0161792444241407	20.6689158214416	0	0.302696704688707	0.366118177425479
SEnonacad	~~	SEnonacad	1	0.385617519255233	0.0173064588315952	22.2817112967811	0	0.351697483245381	0.419537555265085
SEactivities	~~	SEactivities	1	0.445649689105455	0.0175537924464551	25.3876585623781	0	0.411244888118311	0.480054490092598
SEdiverse	~~	SEdiverse	1	0.359427731032214	0.0151432199976437	23.7352248126978	0	0.329747565226866	0.389107896837563
sameinst	~~	sameinst	1	0.249251484207467	0.0340669027959726	7.31652905755007	2.54463117244086e-13	0.182481581662534	0.3160213867524
evalexp	~~	evalexp	1	0.279829176403851	0.0332921428594895	8.40526179359732	0	0.214577775431089	0.345080577376613
MHWdacad	~~	MHWdacad	1	0.188708613337929	0.00908648408130329	20.7680563405402	0	0.170899431792478	0.20651779488338
MHWdlonely	~~	MHWdlonely	1	0.141653198832641	0.00765656319032443	18.5008854901958	0	0.12664661073425	0.156659786931032
MHWdmental	~~	MHWdmental	1	0.118668928588233	0.006545964119303	18.1285638639994	0	0.105839074670308	0.131498782506158
MHWdexhaust	~~	MHWdexhaust	1	0.125827894319688	0.00702619427161791	17.90839954824	0	0.112056806598936	0.139598982040441
MHWdsleep	~~	MHWdsleep	1	0.171875035120531	0.00852086502933921	20.1710782331051	0	0.155174446545899	0.188575623695163
MHWdfinancial	~~	MHWdfinancial	1	0.274300925636819	0.0122777901294158	22.3412293861933	0	0.250236899173423	0.298364952100216
QIadmin	~~	QIadmin	1	0.206051073666772	0.0104963351055448	19.6307636517744	0	0.185478634890241	0.226623512443303
QIstudent	~~	QIstudent	1	0.195320916830249	0.00953068000973662	20.4939119381521	0	0.17664112726299	0.214000706397509
QIadvisor	~~	QIadvisor	1	0.149590330501886	0.00814424650803004	18.3676083913218	0	0.133627900664931	0.165552760338841
QIfaculty	~~	QIfaculty	1	0.12318125551601	0.00696081096208025	17.6963943119635	0	0.109538316727141	0.136824194304879
QIstaff	~~	QIstaff	1	0.159634044612171	0.00863268886253169	18.4918102753625	0	0.142714285351869	0.176553803872473
Belong	~~	Belong	1	0.804416124059359	0.0240111271256752	33.5018060522112	0	0.757355179664823	0.851477068453895
Gains	~~	Gains	1	0.913999675808536	0.0164634977412432	55.5167370976612	0	0.881731813176143	0.94626753844093
SupportEnv	~~	SupportEnv	1	0.790911151641292	0.0245486849186924	32.218066029234	0	0.742796613332833	0.839025689949751
Satisf	~~	Satisf	1	0.740118070694464	0.0265374355996347	27.8895851830029	0	0.688105652677129	0.792130488711799
DevAdj	~~	DevAdj	1	1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1	1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1	1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1	-0.698710950494954	0.0287571885922484	-24.2969144307554	0	-0.755074004432387	-0.642347896557521
