lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.673424475617495	0.86974299173766
Belong	=~	sbmyself	1	1	.p2.	0.97925693618767	0.0149480655281298	65.5106130184453	0	0.949959266113991	1.00855460626135	0.659455588746976	0.840375684512417
Belong	=~	sbcommunity	1	1	.p3.	1.01242398846798	0.014489434847055	69.8732558691726	0	0.98402521801141	1.04082275892454	0.68179109353662	0.882401786747428
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.514481589416116	0.735825534927177
Gains	=~	pgthink	1	1	.p5.	1.01184861739731	0.0221243154589139	45.7346858607385	0	0.968485755915233	1.05521147887938	0.520577484927066	0.789097500888052
Gains	=~	pgwork	1	1	.p6.	0.997268224833641	0.021700678472704	45.9556242026278	0	0.954735676587057	1.03980077308022	0.5130761413866	0.738756099110062
Gains	=~	pgvalues	1	1	.p7.	0.993195023602311	0.0231456653762945	42.9106274308937	0	0.947830353066558	1.03855969413806	0.510980554343094	0.702476459699357
Gains	=~	pgprobsolve	1	1	.p8.	0.98536622233454	0.0219931194488901	44.8033861055698	0	0.942260500307028	1.02847194436205	0.506952780223628	0.756562817261935
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.611039311177285	0.827786352227831
SupportEnv	=~	SEwellness	1	1	.p10.	1.02021375551588	0.0171877765935569	59.3569360156986	0	0.986526332418185	1.05390117861357	0.623390710424013	0.819614984825631
SupportEnv	=~	SEnonacad	1	1	.p11.	1.01879690660837	0.0179576941407761	56.7331695607292	0	0.983600472847059	1.05399334036967	0.622524960043525	0.779498552727614
SupportEnv	=~	SEactivities	1	1	.p12.	0.979365581975518	0.0184651824616377	53.0385001074426	0	0.943174489382748	1.01555667456829	0.598430870601062	0.740537926511786
SupportEnv	=~	SEdiverse	1	1	.p13.	1.0166462416861	0.017855950654051	56.9359907732192	0	0.98164922149444	1.05164326187777	0.621210819230853	0.79726107645683
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.576638980490623	0.873391709678921
Satisf	=~	evalexp	1	1	.p15.	0.97418899277406	0.0312288253006567	31.1951853262176	0	0.91298161990528	1.03539636564284	0.561755347598421	0.841693542402987
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.470981825716244	0.470981825716244
DevAdj	=~	Gains	1	1	.p17.	0.411367755190645	0.036154176662274	11.3781530425473	0	0.340506871041889	0.4822286393394	0.253602455430333	0.253602455430333
DevAdj	=~	SupportEnv	1	1	.p18.	0.857818042275678	0.0452842302199338	18.9429750292647	0	0.769062581976988	0.946573502574368	0.445265524714196	0.445265524714196
DevAdj	=~	Satisf	1	1		0.929283827071105	0.0685202614169895	13.5621757397541	0	0.794986582482536	1.06358107165967	0.511137126847835	0.511137126847835
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.977492778751635	0.898979172217387
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.00434624255099	0.0105546764107668	95.1565167385385	0	0.983659456917409	1.02503302818456	0.981741199459927	0.927605306082278
EmoDiss	=~	MHWdmental	1	1	.p22.	1.00056829396198	0.00983918807771439	101.6921605786	0	0.981283839692543	1.01985274823142	0.978048281995678	0.938118660390503
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.0060011268025	0.00992464483889065	101.363942300524	0	0.986549180358927	1.02545307324608	0.983358836865455	0.934479169219356
EmoDiss	=~	MHWdsleep	1	1	.p24.	0.9999838036318	0.0106733813668653	93.6895037533442	0	0.979064360559483	1.02090324670412	0.977476946918678	0.910776039078682
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.999311037869765	0.0123744724636713	80.7558496577146	0	0.975057517513287	1.02356455822624	0.976819323244497	0.854586872346243
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.992449108591729	0.890044984129867
QualEngag	=~	QIstudent	1	1	.p27.	0.991012882877519	0.0115896945920001	85.5081102449044	0	0.96829749888538	1.01372826686966	0.983529852214713	0.898998693066073
