lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.86974299173766	0.00763582468827452	113.9029544606	0	0.85477705035638	0.88470893311894
Belong	=~	sbmyself	1	.p2.	0.840375684512417	0.00791618860426157	106.159128656941	0	0.824860239953238	0.855891129071596
Belong	=~	sbcommunity	1	.p3.	0.882401786747428	0.00711426276691335	124.032779735275	0	0.868458087947723	0.896345485547132
Gains	=~	pganalyze	1		0.735825534927177	0.0111378578406951	66.0652654623264	0	0.713995734694488	0.757655335159867
Gains	=~	pgthink	1	.p5.	0.789097500888052	0.0100893128957736	78.2112230079223	0	0.76932281098358	0.808872190792524
Gains	=~	pgwork	1	.p6.	0.738756099110062	0.0114051119572523	64.7741207520807	0	0.7164024904342	0.761109707785923
Gains	=~	pgvalues	1	.p7.	0.702476459699357	0.011983959337192	58.6180610208877	0	0.678988331006268	0.725964588392446
Gains	=~	pgprobsolve	1	.p8.	0.756562817261935	0.0104894896392665	72.1257986117653	0	0.736003795352766	0.777121839171103
SupportEnv	=~	SEacademic	1		0.827786352227831	0.00795750614751678	104.025851426599	0	0.812189926771942	0.84338277768372
SupportEnv	=~	SEwellness	1	.p10.	0.819614984825631	0.00840953635741098	97.4625651155355	0	0.803132596438426	0.836097373212837
SupportEnv	=~	SEnonacad	1	.p11.	0.779498552727614	0.00973782432557475	80.0485330876625	0	0.76041276776171	0.798584337693519
SupportEnv	=~	SEactivities	1	.p12.	0.740537926511786	0.0100290159630872	73.8395401141459	0	0.720881416423758	0.760194436599815
SupportEnv	=~	SEdiverse	1	.p13.	0.79726107645683	0.00847011476824037	94.1263605360164	0	0.780659956566158	0.813862196347502
Satisf	=~	sameinst	1		0.873391709678921	0.0149107010641033	58.574825283136	0	0.844167272609036	0.902616146748807
Satisf	=~	evalexp	1	.p15.	0.841693542402987	0.0150694492629207	55.8543001617201	0	0.812157964580809	0.871229120225165
DevAdj	=~	Belong	1		0.470981825716244	0.0230764562827974	20.4096252884089	0	0.425752802511148	0.51621084892134
DevAdj	=~	Gains	1	.p17.	0.253602455430333	0.0226809641364597	11.1812907910148	0	0.209148582588228	0.298056328272439
DevAdj	=~	SupportEnv	1	.p18.	0.445265524714196	0.0239316290110549	18.6057340479627	0	0.398360393761155	0.492170655667238
DevAdj	=~	Satisf	1		0.511137126847835	0.0260291974347891	19.6370682626072	0	0.460120837329166	0.562153416366504
EmoDiss	=~	MHWdacad	1		0.898979172217387	0.0049148455006418	182.910972908507	0	0.889346252046551	0.908612092388224
EmoDiss	=~	MHWdlonely	1	.p21.	0.927605306082278	0.00379145584481522	244.656760898527	0	0.920174189177467	0.93503642298709
EmoDiss	=~	MHWdmental	1	.p22.	0.938118660390503	0.00339855839637852	276.034291889807	0	0.931457608334245	0.944779712446761
EmoDiss	=~	MHWdexhaust	1	.p23.	0.934479169219356	0.00359548353224312	259.903615421751	0	0.927432150989153	0.94152618744956
EmoDiss	=~	MHWdsleep	1	.p24.	0.910776039078682	0.00437095161944607	208.37019449648	0	0.902209131326401	0.919342946830964
EmoDiss	=~	MHWdfinancial	1	.p25.	0.854586872346243	0.00634517872945656	134.682868487053	0	0.842150550561039	0.867023194131448
QualEngag	=~	QIadmin	1		0.890044984129867	0.00552845064810918	160.993565970292	0	0.879209419969266	0.900880548290468
QualEngag	=~	QIstudent	1	.p27.	0.898998693066073	0.00488864624687843	183.895223271701	0	0.889417122489034	0.908580263643112
QualEngag	=~	QIadvisor	1	.p28.	0.921804068274531	0.00419466144262956	219.756488308308	0	0.913582682919638	0.930025453629424
QualEngag	=~	QIfaculty	1	.p29.	0.937011161664534	0.00345233934617341	271.413400511488	0	0.930244700883623	0.943777622445444
QualEngag	=~	QIstaff	1	.p30.	0.915328613875503	0.00459274253517038	199.298917121107	0	0.906327003916304	0.924330223834702
sbvalued	~~	sbvalued	1		0.243547128323224	0.0132824099558407	18.3360647000756	0	0.21751408318188	0.269580173464568
sbmyself	~~	sbmyself	1		0.293768708880287	0.0133051446078094	22.079332283834	0	0.267691104639883	0.319846313120691
sbcommunity	~~	sbcommunity	1		0.221367086744947	0.0125552764822532	17.6313988033516	0	0.196759197023788	0.245974976466106
pganalyze	~~	pganalyze	1		0.458560782149133	0.0163910403824816	27.9763072659642	0	0.426434933330328	0.490686630967939
pgthink	~~	pgthink	1		0.37732513409223	0.0159229030454974	23.6970063193928	0	0.346116817593732	0.408533450590728
pgwork	~~	pgwork	1		0.454239426027685	0.0168511921349773	26.9559223103771	0	0.421211696346565	0.487267155708805
pgvalues	~~	pgvalues	1		0.506526823568258	0.0168368984687098	30.0843308231384	0	0.473527108958229	0.539526538178286
pgprobsolve	~~	pgprobsolve	1		0.427612703536684	0.0158719156233991	26.9414677902066	0	0.396504320549163	0.458721086524205
SEacademic	~~	SEacademic	1		0.314769755065341	0.013174230128177	23.892838670862	0	0.288948738490072	0.340590771640611
SEwellness	~~	SEwellness	1		0.32823127664928	0.0137851638481967	23.8104733656988	0	0.301212851985831	0.355249701312729
SEnonacad	~~	SEnonacad	1		0.392382006295554	0.0151812400244115	25.8465056651895	0	0.36262732260705	0.422136689984059
SEactivities	~~	SEactivities	1		0.451603579397624	0.0148537333706431	30.4033718748562	0	0.422490796955203	0.480716361840045
SEdiverse	~~	SEdiverse	1		0.364374775966896	0.0135057853064078	26.9791624626239	0	0.337903923183406	0.390845628750385
sameinst	~~	sameinst	1		0.237186921464131	0.02604576544831	9.10654447590909	0	0.186138159235666	0.288235683692597
evalexp	~~	evalexp	1		0.291551980677112	0.0253677165728953	11.4930320921603	0	0.241832169824217	0.341271791530006
MHWdacad	~~	MHWdacad	1		0.191836447919341	0.00883668757557081	21.709090230787	0	0.17451685852859	0.209156037310093
MHWdlonely	~~	MHWdlonely	1		0.139548396128003	0.00703394928388557	19.8392667470181	0	0.125762108862506	0.1533346833935
MHWdmental	~~	MHWdmental	1		0.119933379027128	0.00637650220529535	18.8086469926302	0	0.107435664357409	0.132431093696847
MHWdexhaust	~~	MHWdexhaust	1		0.126748682295102	0.00671980926062291	18.8619464302105	0	0.113578098161302	0.139919266428902
MHWdsleep	~~	MHWdsleep	1		0.170487006640147	0.00796191600613984	21.4128115027433	0	0.15488193802018	0.186092075260114
MHWdfinancial	~~	MHWdfinancial	1		0.269681277613466	0.0108450130600438	24.8668467359482	0	0.248425442603913	0.290937112623018
QIadmin	~~	QIadmin	1		0.207819926225265	0.00984113930870931	21.11746614961	0	0.188531647613354	0.227108204837177
QIstudent	~~	QIstudent	1		0.191801349865492	0.00878977325876084	21.8209667324834	0	0.174573710846048	0.209028988884937
QIadvisor	~~	QIadvisor	1		0.150277259712524	0.0077333115044465	19.4324591251907	0	0.135120247682579	0.165434271742468
QIfaculty	~~	QIfaculty	1		0.122010082916081	0.00646976089327434	18.8585150098695	0	0.109329584576678	0.134690581255484
QIstaff	~~	QIstaff	1		0.16217352862075	0.00840773687618709	19.2886065547636	0	0.145694667151934	0.178652390089566
Belong	~~	Belong	1		0.778176119844994	0.0217371834898748	35.7993076797401	0	0.735572023079501	0.820780216610487
Gains	~~	Gains	1		0.935685794599706	0.0115038967594011	81.3364214030391	0	0.913138571269413	0.958233017929999
SupportEnv	~~	SupportEnv	1		0.801738612500992	0.0213118588712985	37.6193656941265	0	0.759968136669646	0.843509088332337
Satisf	~~	Satisf	1		0.73873883755774	0.026608978225539	27.7627660594914	0	0.686586198570273	0.790891476545207
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.697153324562221	0.0289455336622314	-24.0850050545752	0	-0.753885528053487	-0.640421121070956
DevAdj	~~	QualEngag	1		0.649609449252904	0.0312909669103174	20.7602868621715	0	0.588280281067247	0.71093861743856
