lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.687408139962115	0.869301482171446
Belong	=~	sbmyself	1	1	.p2.	0.984907953864025	0.0132609094291145	74.271524070713	0	0.958917048980713	1.01089885874734	0.677033744599562	0.835278333369728
Belong	=~	sbcommunity	1	1	.p3.	1.01149983792815	0.0123935582896381	81.6149659596825	0	0.987208910040166	1.03579076581614	0.695313222162173	0.897973754308205
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.518956403845987	0.719474793442655
Gains	=~	pgthink	1	1	.p5.	1.01669987263713	0.0208474661105125	48.7685106308651	0	0.975839589891603	1.05756015538265	0.527622909694436	0.788185003931816
Gains	=~	pgwork	1	1	.p6.	0.965698402115518	0.0203562028774856	47.4400067599838	0	0.925800977613656	1.00559582661738	0.501155369961685	0.729286876425433
Gains	=~	pgvalues	1	1	.p7.	0.983235287269819	0.0210790086619675	46.6452337981081	0	0.941921189462555	1.02454938507708	0.510256248816021	0.706948737622153
Gains	=~	pgprobsolve	1	1	.p8.	1.02903794834606	0.0208788102889751	49.2862349005315	0	0.988116232139625	1.0699596645525	0.534025833094724	0.771270364595282
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.607687447174307	0.823333988846771
SupportEnv	=~	SEwellness	1	1	.p10.	0.991851755820882	0.0158793565932442	62.4617093266147	0	0.960728788800455	1.02297472284131	0.602735861470146	0.814285914486325
SupportEnv	=~	SEnonacad	1	1	.p11.	0.983335357807277	0.0162989411512285	60.3312416851791	0	0.951390020164731	1.01528069544982	0.597560553302138	0.759498781424535
SupportEnv	=~	SEactivities	1	1	.p12.	1.01294235927475	0.0170256740686912	59.4949929845931	0	0.979572651287599	1.0463120672619	0.615552356442393	0.747195069390502
SupportEnv	=~	SEdiverse	1	1	.p13.	1.00449924367723	0.016380883033481	61.3214343588274	0	0.972393302896647	1.03660518445782	0.61042158107874	0.78292512690775
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.563785416792067	0.854927484709404
Satisf	=~	evalexp	1	1	.p15.	1.02834111981238	0.0252139356689678	40.784633280318	0	0.978922713992694	1.07775952563207	0.579763726837844	0.858955086580305
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.458740500824974	0.458740500824974
DevAdj	=~	Gains	1	1	.p17.	0.484334979760778	0.0327441712240295	14.7914869015022	0	0.420157583458068	0.548512376063489	0.294304373101268	0.294304373101268
DevAdj	=~	SupportEnv	1	1	.p18.	0.84502983513034	0.0397098536176993	21.280104511735	0	0.767199952208291	0.922859718052388	0.438503972680657	0.438503972680657
DevAdj	=~	Satisf	1	1	.p19.	0.931672987365392	0.0433307081483094	21.5014484456734	0	0.846746359970089	1.01659961476069	0.521112416079766	0.521112416079766
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.958390918648135	0.89943390650382
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.994736775625813	0.00946900089613177	105.051925386571	0	0.976177874899818	1.01329567635181	0.953346692205107	0.922512675838468
EmoDiss	=~	MHWdmental	1	1	.p22.	1.00545919480703	0.00888248046512104	113.195767641165	0	0.988049853002015	1.02286853661205	0.963622961374326	0.938285395490638
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.00451937126626	0.00921472968169808	109.012353695127	0	0.98645883296286	1.02257990956966	0.962722243027718	0.928383614148361
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00236065039014	0.00962667819984054	104.123211515135	0	0.983492707827692	1.02122859295258	0.960653344544145	0.913653531134089
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.99410682873667	0.0106607305284803	93.2494096986037	0	0.973212180851962	1.01500147662138	0.952742956827322	0.851858018291035
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.998243218169582	0.895949783472421
QualEngag	=~	QIstudent	1	1	.p27.	0.994448722001414	0.00974823155945914	102.013243728957	0	0.975342539231917	1.01355490477091	0.992701692555319	0.913004001651694
QualEngag	=~	QIadvisor	1	1	.p28.	0.992907680787361	0.0096979990034991	102.382736936673	0	0.973899952018397	1.01191540955632	0.991163358614471	0.914051747976096
QualEngag	=~	QIfaculty	1	1	.p29.	0.995091836467287	0.00940420237651497	105.81352852979	0	0.976659938505992	1.01352373442858	0.993343677209384	0.93277534367543
QualEngag	=~	QIstaff	1	1	.p30.	0.993346675849808	0.00956219477037516	103.88270681615	0	0.974605118486715	1.0120882332129	0.991601582458369	0.91604965535693
sbvalued	~~	sbvalued	1	1		0.152770153059484	0.00718434234889493	21.2643197721476	0	0.138689100803044	0.166851205315924	0.152770153059484	0.244314933094526
sbmyself	~~	sbmyself	1	1		0.198614459783568	0.00812342364230365	24.4496001352509	0	0.182692842013491	0.214536077553644	0.198614459783568	0.302310105803089
sbcommunity	~~	sbcommunity	1	1		0.116100956543131	0.00635392127314072	18.2723316125922	0	0.103647499687172	0.12855441339909	0.116100956543131	0.193643136573628
pganalyze	~~	pganalyze	1	1		0.250956407700278	0.00854872801904506	29.3559939140878	0	0.234201208669322	0.267711606731235	0.250956407700278	0.482356021600648
pgthink	~~	pgthink	1	1		0.16973058431688	0.00635736837421879	26.6982459291164	0	0.157270371266957	0.182190797366803	0.16973058431688	0.378764399577003
pgwork	~~	pgwork	1	1		0.221067212489734	0.00751988513244158	29.3976847513305	0	0.206328508462271	0.235805916517198	0.221067212489734	0.468140651873635
pgvalues	~~	pgvalues	1	1		0.260594288301836	0.00858574189070946	30.3519825798424	0	0.243766543415489	0.277422033188184	0.260594288301836	0.500223482374444
pgprobsolve	~~	pgprobsolve	1	1		0.194230996350453	0.00702639809196106	27.6430389807651	0	0.180459509149169	0.208002483551738	0.194230996350453	0.405142024697061
SEacademic	~~	SEacademic	1	1		0.175480019203365	0.00660861069717527	26.5532389853697	0	0.162527380249056	0.188432658157675	0.175480019203365	0.322121142809664
SEwellness	~~	SEwellness	1	1		0.184608116667841	0.00673746546156104	27.400231989474	0	0.171402927016099	0.197813306319583	0.184608116667841	0.336938449469169
SEnonacad	~~	SEnonacad	1	1		0.261948508662395	0.00887389895208016	29.5189870965333	0	0.24455598631387	0.27934103101092	0.261948508662395	0.423161601014647
SEactivities	~~	SEactivities	1	1		0.299770530897166	0.0105060005312484	28.5332682028282	0	0.279179148234361	0.320361913559972	0.299770530897166	0.441699528278524
SEdiverse	~~	SEdiverse	1	1		0.235267510764938	0.00862001537640467	27.2931660202057	0	0.218372591081004	0.252162430448873	0.235267510764938	0.387028245656484
sameinst	~~	sameinst	1	1		0.117025685738568	0.00917192111649712	12.7591247517469	0	0.0990490506811917	0.135002320795945	0.117025685738568	0.269098995888451
evalexp	~~	evalexp	1	1		0.119450368558005	0.00985294068967875	12.1233215869383	0	0.100138959664425	0.138761777451584	0.119450368558005	0.262196159237822
MHWdacad	~~	MHWdacad	1	1		0.216881563488288	0.00809314901429608	26.7981675742259	0	0.201019282898752	0.232743844077824	0.216881563488288	0.191018647831278
MHWdlonely	~~	MHWdlonely	1	1		0.159095142240352	0.00649932683802309	24.4787108273423	0	0.146356695714072	0.171833588766632	0.159095142240352	0.14897036291735
MHWdmental	~~	MHWdmental	1	1		0.126168238702529	0.00560395783238256	22.5141306334362	0	0.115184683180178	0.13715179422488	0.126168238702529	0.119620516608976
MHWdexhaust	~~	MHWdexhaust	1	1		0.148509047185102	0.00625241697300145	23.7522621773913	0	0.136254535101692	0.160763559268512	0.148509047185102	0.138103864980827
MHWdsleep	~~	MHWdsleep	1	1		0.182674621871861	0.00707505418548204	25.8195367954507	0	0.168807770479647	0.196541473264076	0.182674621871861	0.165237225046211
MHWdfinancial	~~	MHWdfinancial	1	1		0.343164930348672	0.0115460673169703	29.7213692704087	0	0.320535054244335	0.365794806453009	0.343164930348672	0.27433791667327
QIadmin	~~	QIadmin	1	1		0.244892349419725	0.00914579342572379	26.7765012853813	0	0.226966923695263	0.262817775144187	0.244892349419725	0.197273985495722
QIstudent	~~	QIstudent	1	1		0.196746636914075	0.0076319991866448	25.7791742507469	0	0.181788193378212	0.211705080449937	0.196746636914075	0.166423692967993
QIadvisor	~~	QIadvisor	1	1		0.193437038252347	0.00748856334593587	25.830994453339	0	0.178759723798366	0.208114352706328	0.193437038252347	0.164509402021843
QIfaculty	~~	QIfaculty	1	1		0.147351620177467	0.00619085223019842	23.8015082089505	0	0.135217772772669	0.159485467582265	0.147351620177467	0.129930158231184
QIstaff	~~	QIstaff	1	1		0.188480156737446	0.00754223966003369	24.9899453256839	0	0.173697638641011	0.203262674833882	0.188480156737446	0.16085302892045
Belong	~~	Belong	1	1		0.373089402683012	0.014166744049059	26.3355786898539	0	0.345323094568659	0.400855710797365	0.789557152902852	0.789557152902852
