lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.870708912172102	0.00755582571486364	115.236764985098	0	0.855899765897508	0.885518058446696
Belong	=~	sbmyself	1	.p2.	0.841481881615821	0.00784081576837443	107.320705711503	0	0.826114165100393	0.856849598131248
Belong	=~	sbcommunity	1	.p3.	0.883265988529732	0.00704630774507947	125.351605476858	0	0.869455479125391	0.897076497934074
Gains	=~	pganalyze	1		0.736223846893969	0.0111277868622549	66.1608508508745	0	0.714413785416311	0.758033908371626
Gains	=~	pgthink	1	.p5.	0.789490856384709	0.0100648353118036	78.4405141193747	0	0.769764141663247	0.80921757110617
Gains	=~	pgwork	1	.p6.	0.73918243841868	0.0113925157643686	64.8831613409358	0	0.716853517827212	0.761511359010147
Gains	=~	pgvalues	1	.p7.	0.702888643363074	0.0119794084223982	58.6747373976216	0	0.679409434299078	0.72636785242707
Gains	=~	pgprobsolve	1	.p8.	0.756950348171789	0.0104628487617941	72.3464866409855	0	0.736443541422983	0.777457154920595
SupportEnv	=~	SEacademic	1		0.828818252461834	0.00789384449720649	104.995512991818	0	0.81334660154775	0.844289903375919
SupportEnv	=~	SEwellness	1	.p10.	0.820649376481762	0.008365190438827	98.1028922751981	0	0.804253904497842	0.837044848465681
SupportEnv	=~	SEnonacad	1	.p11.	0.780686673228197	0.00966818449815753	80.7480115193264	0	0.76173737981592	0.799635966640475
SupportEnv	=~	SEactivities	1	.p12.	0.741884378073738	0.00995342506102272	74.5355868482832	0	0.722376023431315	0.761392732716161
SupportEnv	=~	SEdiverse	1	.p13.	0.798420664066708	0.00838554530369408	95.2139229055241	0	0.781985297280739	0.814856030852677
Satisf	=~	sameinst	1		0.872036516099155	0.0152192869107607	57.2981192359668	0	0.842207261883682	0.901865770314628
Satisf	=~	evalexp	1	.p15.	0.838565991407881	0.0151199093834938	55.4610461041076	0	0.808931513566724	0.868200469249038
DevAdj	=~	Belong	1		0.481590306214042	0.0214109695019677	22.4926903085721	0	0.4396255771161	0.523555035311984
DevAdj	=~	Gains	1	.p17.	0.261749773018629	0.0221359459556432	11.8246481782677	0	0.218364116181843	0.305135429855415
DevAdj	=~	SupportEnv	1	.p18.	0.456993704574496	0.0220126850774951	20.7604707451935	0	0.413849634619583	0.500137774529409
DevAdj	=~	Satisf	1	.p19.	0.487421560798364	0.0229429431902423	21.2449447639162	0	0.44245421844614	0.532388903150587
EmoDiss	=~	MHWdacad	1		0.898975243534145	0.00491465301072981	182.917337515279	0	0.889342700636604	0.908607786431687
EmoDiss	=~	MHWdlonely	1	.p21.	0.927606786043535	0.00379139577777932	244.66102733987	0	0.92017578686795	0.935037785219119
EmoDiss	=~	MHWdmental	1	.p22.	0.93811938475537	0.00339808543453107	276.07292483652	0	0.931459259687299	0.944779509823441
EmoDiss	=~	MHWdexhaust	1	.p23.	0.93449079397966	0.00359414225043848	260.003842047613	0	0.927446404613486	0.941535183345833
EmoDiss	=~	MHWdsleep	1	.p24.	0.9107691125257	0.00437124258096947	208.354740249558	0	0.902201634499311	0.919336590552087
EmoDiss	=~	MHWdfinancial	1	.p25.	0.854576818879027	0.00634574122366201	134.669345748371	0	0.842139394625438	0.867014243132615
QualEngag	=~	QIadmin	1		0.890041139040464	0.00552847392169558	160.992192718436	0	0.879205529264472	0.900876748816456
QualEngag	=~	QIstudent	1	.p27.	0.89901250333043	0.00488817700738415	183.915701492063	0	0.889431852445901	0.90859315421496
QualEngag	=~	QIadvisor	1	.p28.	0.921798505128435	0.00419461071021071	219.757819929404	0	0.913577219207256	0.930019791049614
QualEngag	=~	QIfaculty	1	.p29.	0.937018428098599	0.00345256264512762	271.397951148244	0	0.93025152965978	0.943785326537417
