lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.67646353645611	0.870739259367085
Belong	=~	sbmyself	1	1	.p2.	0.979766312218488	0.0149117867777078	65.7041524817921	0	0.95053974718904	1.00899287724794	0.662776184463879	0.841553028541127
Belong	=~	sbcommunity	1	1	.p3.	1.01195736978969	0.0144222371717491	70.166462923793	0	0.983690304356562	1.04022443522281	0.684552261110754	0.883042491644661
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.514688420265291	0.735854946124207
Gains	=~	pgthink	1	1	.p5.	1.01356795731523	0.0220947909270327	45.8736161234793	0	0.970262962852304	1.05687295177816	0.521671690782094	0.789775788224767
Gains	=~	pgwork	1	1	.p6.	0.997470578440367	0.0216473672153194	46.0781474494727	0	0.955042518338228	1.03989863854251	0.513386556278579	0.738892358600695
Gains	=~	pgvalues	1	1	.p7.	0.99470676253324	0.023073744275032	43.1098980155383	0	0.94948305476569	1.03993047030079	0.511964052235436	0.703151148867808
Gains	=~	pgprobsolve	1	1	.p8.	0.985823232224439	0.0219802931879796	44.8503222315323	0	0.942742649206368	1.02890381524251	0.50739180205442	0.756814142477462
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.6134587614999	0.828842237084765
SupportEnv	=~	SEwellness	1	1	.p10.	1.02119446224003	0.0171095776273705	59.6855448147596	0	0.987660306299692	1.05472861818037	0.626460690056326	0.820935851096499
SupportEnv	=~	SEnonacad	1	1	.p11.	1.01897421392298	0.0178987967515905	56.9297605903279	0	0.983893216923264	1.0540552109227	0.625098659273527	0.780757346340767
SupportEnv	=~	SEactivities	1	1	.p12.	0.979710077944856	0.0184063295044169	53.2268031879879	0	0.943634335028622	1.01578582086109	0.601011731045022	0.742006716529735
SupportEnv	=~	SEdiverse	1	1	.p13.	1.01499251578401	0.0177921522859568	57.0472025795963	0	0.980120538096078	1.04986449347193	0.622656051664524	0.797682990840656
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.571851133661919	0.872602440566105
Satisf	=~	evalexp	1	1	.p15.	0.971110801666865	0.0300426755618439	32.3243780224501	0	0.912228239566429	1.0299933637673	0.555330812844532	0.837999252602698
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.481601537756902	0.481601537756902
DevAdj	=~	Gains	1	1	.p17.	0.413543595704542	0.0361339365782056	11.4447423908408	0	0.342722381391604	0.484364810017479	0.261763542153926	0.261763542153926
DevAdj	=~	SupportEnv	1	1	.p18.	0.860455833865674	0.0453597121347638	18.9696052591617	0	0.771552431732433	0.949359235998915	0.456957138944446	0.456957138944446
DevAdj	=~	Satisf	1	1	.p19.	0.855518342761962	0.0454910568839997	18.8062973551812	0	0.76635750965066	0.944679175873264	0.487392223653358	0.487392223653358
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.977775382697341	0.89902704098475
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.00387172251179	0.0105073848120428	95.5396362148291	0	0.983277626708483	1.0244658183151	0.981561057658005	0.927597135836497
EmoDiss	=~	MHWdmental	1	1	.p22.	0.999484981297938	0.00982790587658145	101.698672519806	0	0.980222639736389	1.01874732285949	0.977271810088837	0.937877526576917
