lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.870739259367085	0.00755354143411203	115.275631564659	0	0.855934590200494	0.885543928533675
Belong	=~	sbmyself	1	.p2.	0.841553028541127	0.00784444574365694	107.280113349195	0	0.826178197404881	0.856927859677373
Belong	=~	sbcommunity	1	.p3.	0.883042491644661	0.00704387623090242	125.363147036945	0	0.869236747920534	0.896848235368787
Gains	=~	pganalyze	1		0.735854946124207	0.0111144399917429	66.2071095503582	0	0.714071044032059	0.757638848216355
Gains	=~	pgthink	1	.p5.	0.789775788224767	0.0100509637180878	78.5771206002343	0	0.770076261327396	0.809475315122138
Gains	=~	pgwork	1	.p6.	0.738892358600695	0.0113766584391846	64.9481007582799	0	0.71659451779548	0.76119019940591
Gains	=~	pgvalues	1	.p7.	0.703151148867808	0.011948962714081	58.8462083021813	0	0.679731612295597	0.726570685440018
Gains	=~	pgprobsolve	1	.p8.	0.756814142477462	0.0104319604634125	72.5476429029611	0	0.736367875681027	0.777260409273896
SupportEnv	=~	SEacademic	1		0.828842237084765	0.00789569081812785	104.973998624897	0	0.813366967448171	0.844317506721359
SupportEnv	=~	SEwellness	1	.p10.	0.820935851096499	0.00835285546405639	98.2820611022315	0	0.80456455521888	0.837307146974118
SupportEnv	=~	SEnonacad	1	.p11.	0.780757346340767	0.00967139417525394	80.7285208515727	0	0.761801762076979	0.799712930604555
SupportEnv	=~	SEactivities	1	.p12.	0.742006716529735	0.00993538996458792	74.6832000731147	0	0.722533710026782	0.761479723032688
SupportEnv	=~	SEdiverse	1	.p13.	0.797682990840656	0.00838938605088067	95.0824036470368	0	0.781240096328528	0.814125885352785
Satisf	=~	sameinst	1		0.872602440566105	0.0147978091926587	58.9683533018529	0	0.843599267498399	0.901605613633812
Satisf	=~	evalexp	1	.p15.	0.837999252602698	0.0147844768480792	56.6810216698042	0	0.809022210450197	0.8669762947552
DevAdj	=~	Belong	1		0.481601537756902	0.0214136449891149	22.4904045061788	0	0.43963156480051	0.523571510713294
DevAdj	=~	Gains	1	.p17.	0.261763542153926	0.0221375162807139	11.8244313785993	0	0.218374807536557	0.305152276771294
DevAdj	=~	SupportEnv	1	.p18.	0.456957138944446	0.0220109239202079	20.7604706009147	0	0.413816520794388	0.500097757094505
DevAdj	=~	Satisf	1	.p19.	0.487392223653358	0.022937619238129	21.2485968396916	0	0.442435316055532	0.532349131251184
EmoDiss	=~	MHWdacad	1		0.89902704098475	0.0049149933822004	182.915208846581	0	0.889393830971385	0.908660250998116
EmoDiss	=~	MHWdlonely	1	.p21.	0.927597135836497	0.0037883337952428	244.856231254312	0	0.920172138036406	0.935022133636589
EmoDiss	=~	MHWdmental	1	.p22.	0.937877526576917	0.00340370450039167	275.546107621562	0	0.931206388342132	0.944548664811702
EmoDiss	=~	MHWdexhaust	1	.p23.	0.934552970852638	0.00359057435719274	260.279520177744	0	0.927515574428727	0.941590367276549
EmoDiss	=~	MHWdsleep	1	.p24.	0.91083553186848	0.00436834242826152	208.5082721482	0	0.902273738036949	0.919397325700011
EmoDiss	=~	MHWdfinancial	1	.p25.	0.854522179502414	0.00634606779339308	134.653805682955	0	0.842084115183914	0.866960243820914
