lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.654756633116738	0.855845122244152
Belong	=~	sbmyself	1	1	1.01958601403788	0.027849096145696	36.6110989277277	0	0.96500278859032	1.07416923948543	0.667580705724355	0.827825889183569
Belong	=~	sbcommunity	1	1	1.0233057847017	0.0263137982906158	38.8885623200449	0	0.971731687755645	1.07487988164776	0.670016250240168	0.893042897093389
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.513394543625776	0.716122566411476
Gains	=~	pgthink	1	1	1.02779348443288	0.0419798526361389	24.4830179215086	0	0.945514485189746	1.11007248367601	0.527663566881963	0.78880183438239
Gains	=~	pgwork	1	1	0.942641726812081	0.039649391855369	23.774430897972	0	0.864930346766642	1.02035310685752	0.483947119139302	0.708394627355724
Gains	=~	pgvalues	1	1	0.984932101432249	0.0446552720026163	22.0563453599508	0	0.897409376587281	1.07245482627722	0.505658766717186	0.682718525962518
Gains	=~	pgprobsolve	1	1	1.01678430305355	0.0432649475635922	23.5013413932617	0	0.931986564035892	1.1015820420712	0.522011513232028	0.760784245331902
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.626708544707976	0.837025038212164
SupportEnv	=~	SEwellness	1	1	0.974411955568237	0.0295644004107884	32.958962198762	0	0.91646679553857	1.0323571155979	0.610672298620222	0.820026954157316
SupportEnv	=~	SEnonacad	1	1	0.97770443743681	0.0300558654184928	32.5295719761656	0	0.918796023692381	1.03661285118124	0.612735725140553	0.772682374536535
SupportEnv	=~	SEactivities	1	1	0.944196720127041	0.0307486349520235	30.7069475311751	0	0.883930503047306	1.00446293720678	0.591736152388862	0.738068193034626
SupportEnv	=~	SEdiverse	1	1	0.966480840204576	0.0297212434463973	32.5181832297036	0	0.90822827347389	1.02473340693526	0.605701800852751	0.778931559426212
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.534354461240609	0.813417418319312
Satisf	=~	evalexp	1	1	1.15098914154777	0.065077693003818	17.6863851255491	0	1.02343920706334	1.27853907603221	0.615036182625552	0.897382597123582
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.513856565973905	0.513856565973905
DevAdj	=~	Gains	1	1	0.494421450695495	0.0652014028865184	7.58298792368049	3.37507799486048e-14	0.366629049296434	0.622213852094557	0.324017056904806	0.324017056904806
DevAdj	=~	SupportEnv	1	1	0.812144495217572	0.0770461668064357	10.5410110441696	0	0.661136783130092	0.963152207305051	0.436003028586695	0.436003028586695
DevAdj	=~	Satisf	1	1	0.868064944705448	0.0767755983669524	11.3065213840014	0	0.71758753701471	1.01854235239619	0.546568496366909	0.546568496366909
EmoDiss	=~	MHWdacad	1	1	1	0	NA	NA	1	1	0.971669897916656	0.897999455536937
EmoDiss	=~	MHWdlonely	1	1	0.986667377601906	0.0181537980141796	54.3504657720239	0	0.951086587311499	1.02224816789231	0.958714990072139	0.921622601419213
EmoDiss	=~	MHWdmental	1	1	1.00426532680544	0.0160638070568723	62.5172677466769	0	0.972780843519372	1.03574981009151	0.975814387578282	0.945473663998835
EmoDiss	=~	MHWdexhaust	1	1	1.00538987665231	0.0175331785098468	57.3421342905779	0	0.971025478238501	1.03975427506612	0.976907078813192	0.93618086670218
EmoDiss	=~	MHWdsleep	1	1	0.993384109815336	0.0179689553727676	55.2833533840723	0	0.958165604444904	1.02860261518577	0.965241436576296	0.914552909481998
EmoDiss	=~	MHWdfinancial	1	1	0.976544002693751	0.0202312436389818	48.2691039720432	0	0.936891493798891	1.01619651158861	0.94887841140856	0.851657323960781
QualEngag	=~	QIadmin	1	1	1	0	NA	NA	1	1	0.954065946440919	0.881684576749658
QualEngag	=~	QIstudent	1	1	0.984392324712637	0.0204011016581041	48.2519199800957	0	0.944406900217812	1.02437774920746	0.939175194946138	0.895759974676044
QualEngag	=~	QIadvisor	1	1	0.990817139979216	0.0212050797524664	46.7254616132237	0	0.949255947375082	1.03237833258335	0.945304892404155	0.907702581700852
QualEngag	=~	QIfaculty	1	1	0.989644818675266	0.0193035764330623	51.2674333746905	0	0.951810504093648	1.02747913325688	0.944186420569769	0.924468216154084
QualEngag	=~	QIstaff	1	1	1.00718724291282	0.0202259024608186	49.7969000327149	0	0.967545202534799	1.04682928329085	0.960923050152843	0.913396866352462
sbvalued	~~	sbvalued	1	1	0.156581527676215	0.0105433536233685	14.8512070513469	0	0.135916934298143	0.177246121054287	0.156581527676215	0.267529126730893
sbmyself	~~	sbmyself	1	1	0.204659645331909	0.0118584424340189	17.2585604282052	0	0.18141752524849	0.227901765415328	0.204659645331909	0.314704297197434
sbcommunity	~~	sbcommunity	1	1	0.113971461386119	0.00904310556872685	12.6031329082632	0	0.0962473001630212	0.131695622609218	0.113971461386119	0.202474383951047
pganalyze	~~	pganalyze	1	1	0.250384217808991	0.0117337707776754	21.3387684618291	0	0.227386449681899	0.273381985936084	0.250384217808991	0.487168469876241
pgthink	~~	pgthink	1	1	0.169056069392915	0.00880505085477956	19.1998969888003	0	0.151798486835504	0.186313651950327	0.169056069392915	0.377791666074977
pgwork	~~	pgwork	1	1	0.232503245015219	0.0106057336481898	21.9224103421552	0	0.211716389035142	0.253290100995295	0.232503245015219	0.498177051933545
pgvalues	~~	pgvalues	1	1	0.292878773510015	0.0131559261393937	22.2621174979864	0	0.267093632093534	0.318663914926495	0.292878773510015	0.533895414307566
pgprobsolve	~~	pgprobsolve	1	1	0.198304726223989	0.0102005560030664	19.4405801178265	0	0.178312003835695	0.218297448612283	0.198304726223989	0.421207332054768
SEacademic	~~	SEacademic	1	1	0.167838000434034	0.00944907988424722	17.7623644301961	0	0.149318144173868	0.186357856694201	0.167838000434034	0.299389085405926
SEwellness	~~	SEwellness	1	1	0.181654211363125	0.00949408426872995	19.1334104713424	0	0.163046148130226	0.200262274596024	0.181654211363125	0.327555794455476
