lhs	op	rhs	group	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1	0.855845122244152	0.011374928307346	75.2396058348292	0	0.833550672435029	0.878139572053275
Belong	=~	sbmyself	1	0.827825889183569	0.0116833905079081	70.854936212501	0	0.804926864570752	0.850724913796386
Belong	=~	sbcommunity	1	0.893042897093389	0.00954848699294382	93.5271627592239	0	0.87432820648037	0.911757587706408
Gains	=~	pganalyze	1	0.716122566411476	0.0164165466127795	43.621998176767	0	0.683946726299905	0.748298406523047
Gains	=~	pgthink	1	0.78880183438239	0.0139816214430141	56.4170498820445	0	0.76139835990861	0.816205308856171
Gains	=~	pgwork	1	0.708394627355724	0.0166253843331419	42.6092181185595	0	0.675809472833629	0.740979781877818
Gains	=~	pgvalues	1	0.682718525962518	0.0185712319130518	36.7621560679938	0	0.646319580264396	0.719117471660641
Gains	=~	pgprobsolve	1	0.760784245331902	0.0147644446698019	51.5281314229144	0	0.731846465527356	0.789722025136448
SupportEnv	=~	SEacademic	1	0.837025038212164	0.0111657173560033	74.9638390015429	0	0.815140634332844	0.858909442091484
SupportEnv	=~	SEwellness	1	0.820026954157316	0.0114956760541335	71.3335127308547	0	0.797495843113274	0.842558065201357
SupportEnv	=~	SEnonacad	1	0.772682374536535	0.0133887155848908	57.7114637798795	0	0.746440974190899	0.798923774882171
SupportEnv	=~	SEactivities	1	0.738068193034626	0.0151947003139041	48.5740539653322	0	0.708287127663495	0.767849258405758
SupportEnv	=~	SEdiverse	1	0.778931559426212	0.0129715265342707	60.0493363189195	0	0.753507834594536	0.804355284257888
Satisf	=~	sameinst	1	0.813417418319312	0.0236558616355677	34.3854487674336	0	0.767052781490337	0.859782055148288
Satisf	=~	evalexp	1	0.897382597123582	0.0232688892294904	38.5657685793726	0	0.851776412273529	0.942988781973635
DevAdj	=~	Belong	1	0.513856565973905	0.0274935934723057	18.6900474283768	0	0.459970112962601	0.56774301898521
DevAdj	=~	Gains	1	0.324017056904806	0.035838462243531	9.04104240586641	0	0.253774961646187	0.394259152163426
DevAdj	=~	SupportEnv	1	0.436003028586695	0.0317485450201799	13.7330081838259	0	0.373777023785594	0.498229033387796
DevAdj	=~	Satisf	1	0.546568496366909	0.0301345506102957	18.1376023633208	0	0.48750586248043	0.605631130253388
EmoDiss	=~	MHWdacad	1	0.897999455536937	0.00651288651350338	137.880408890142	0	0.885234432535074	0.9107644785388
EmoDiss	=~	MHWdlonely	1	0.921622601419213	0.00529963501537043	173.903032708149	0	0.91123550765788	0.932009695180547
EmoDiss	=~	MHWdmental	1	0.945473663998835	0.00401218124850677	235.650785804035	0	0.937609933252315	0.953337394745355
EmoDiss	=~	MHWdexhaust	1	0.93618086670218	0.0044592582099888	209.940941433964	0	0.927440881212837	0.944920852191523
EmoDiss	=~	MHWdsleep	1	0.914552909481998	0.00559954527773773	163.326281710412	0	0.90357800240783	0.925527816556165
EmoDiss	=~	MHWdfinancial	1	0.851657323960781	0.00878929703087054	96.8970921075389	0	0.83443061833085	0.868884029590712
QualEngag	=~	QIadmin	1	0.881684576749658	0.00730463608233122	120.70205371111	0	0.867367753108117	0.896001400391199
QualEngag	=~	QIstudent	1	0.895759974676044	0.0063583761408039	140.878733003485	0	0.883297786439909	0.908222162912178
QualEngag	=~	QIadvisor	1	0.907702581700852	0.00577212888696629	157.256118059055	0	0.896389416968275	0.919015746433429
QualEngag	=~	QIfaculty	1	0.924468216154084	0.00518649774423635	178.245178488977	0	0.914302867369483	0.934633564938686
QualEngag	=~	QIstaff	1	0.913396866352462	0.0058276370567259	156.735372752542	0	0.901974907606308	0.924818825098616
sbvalued	~~	sbvalued	1	0.267529126730893	0.0194703539376531	13.7403319727807	0	0.229367934246845	0.30569031921494
sbmyself	~~	sbmyself	1	0.314704297197434	0.0193436263858903	16.2691467938497	0	0.27679148615069	0.352617108244177
sbcommunity	~~	sbcommunity	1	0.202474383951047	0.0170544170377409	11.8722547656116	0	0.169048340779748	0.235900427122345
pganalyze	~~	pganalyze	1	0.487168469876241	0.023512519228556	20.7195352033811	0	0.441084779002466	0.533252160750016
pgthink	~~	pgthink	1	0.377791666074977	0.0220574576726939	17.1276160508137	0	0.33455984344598	0.421023488703973
pgwork	~~	pgwork	1	0.498177051933545	0.0235546656450691	21.1498248134901	0	0.452010755601327	0.544343348265763
pgvalues	~~	pgvalues	1	0.533895414307566	0.0253578482805665	21.0544446989505	0	0.484194944952225	0.583595883662908
pgprobsolve	~~	pgprobsolve	1	0.421207332054768	0.0224651136093567	18.7493969262339	0	0.377176518471829	0.465238145637708
SEacademic	~~	SEacademic	1	0.299389085405926	0.0186919701988566	16.0169892323196	0	0.262753497016071	0.336024673795781
SEwellness	~~	SEwellness	1	0.327555794455476	0.0188535286650075	17.3737129147301	0	0.290603557290568	0.364508031620384
SEnonacad	~~	SEnonacad	1	0.402961948080581	0.0206904486504418	19.4757472343151	0	0.36240941390174	0.443514482259423
SEactivities	~~	SEactivities	1	0.455255342430602	0.02242944992363	20.2972138853472	0	0.411294428387242	0.499216256473961
SEdiverse	~~	SEdiverse	1	0.39326562572985	0.0202078626400567	19.4610203332591	0	0.353658942750806	0.432872308708893
sameinst	~~	sameinst	1	0.338352103574745	0.0384841795229426	8.79197913971465	0	0.262924497735204	0.413779709414287
evalexp	~~	evalexp	1	0.194704474379734	0.0417621924337137	4.66221869670219	3.1281850831899e-06	0.112852081294225	0.276556867465244
MHWdacad	~~	MHWdacad	1	0.193596977855365	0.0116971378226716	16.5507990749782	0	0.170671009000728	0.216522946710003
MHWdlonely	~~	MHWdlonely	1	0.150611780553282	0.009768527330664	15.4180641006657	0	0.131465818803186	0.169757742303379
MHWdmental	~~	MHWdmental	1	0.106079550684618	0.00758682336049573	13.9820772995678	0	0.0912096501409793	0.120949451228257
MHWdexhaust	~~	MHWdexhaust	1	0.123565384820755	0.00834934393095705	14.7994124858851	0	0.107200971421541	0.139929798219969
MHWdsleep	~~	MHWdsleep	1	0.163592975758013	0.0102421610070273	15.9725057676568	0	0.143518709060379	0.183667242455647
MHWdfinancial	~~	MHWdfinancial	1	0.274679802543962	0.0149709382764412	18.347534234124	0	0.245337302707365	0.304022302380559
QIadmin	~~	QIadmin	1	0.222632307121776	0.012880769420421	17.2840845026553	0	0.197386462964586	0.247878151278966
QIstudent	~~	QIstudent	1	0.197614067768374	0.0113911578124407	17.3480230036452	0	0.175287808713778	0.21994032682297
QIadvisor	~~	QIadvisor	1	0.176076023173609	0.01047875278672	16.8031469734408	0	0.155538045108739	0.196614001238479
QIfaculty	~~	QIfaculty	1	0.145358517320885	0.00958950432406631	15.1580845483417	0	0.126563434216124	0.164153600425646
QIstaff	~~	QIstaff	1	0.165706164537502	0.0106458905973038	15.5652702817995	0	0.144840602383433	0.186571726691571
Belong	~~	Belong	1	0.735951429605505	0.0282555275005791	26.0462817263072	0	0.680571613340189	0.791331245870822
