lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.850050042457011	0.0106664779400656	79.6936015087079	0	0.829144129852592	0.870955955061431
Belong	=~	sbmyself	1	.p2.	0.813380554505613	0.0113691073295056	71.5430447555624	0	0.791097513603412	0.835663595407815
Belong	=~	sbcommunity	1	.p3.	0.86273693534589	0.0103655669959785	83.2310413584324	0	0.842420797354435	0.883053073337345
Gains	=~	pganalyze	1		0.705241368555607	0.0133050446808593	53.005561835517	0	0.679163960168427	0.731318776942788
Gains	=~	pgthink	1	.p5.	0.7694014316581	0.0134911906932354	57.0299130115982	0	0.742959183790797	0.795843679525404
Gains	=~	pgwork	1	.p6.	0.727042770429773	0.0142343077774417	51.0767914954024	0	0.699144039841129	0.754941501018417
Gains	=~	pgvalues	1	.p7.	0.685777994935326	0.0147140860395238	46.6069039621792	0	0.656938916232436	0.714617073638216
Gains	=~	pgprobsolve	1	.p8.	0.746226177412504	0.0131690938926581	56.6649599049886	0	0.720415227673867	0.77203712715114
SupportEnv	=~	SEacademic	1		0.798957632813902	0.0112462063258767	71.0424128513058	0	0.776915473452477	0.820999792175327
SupportEnv	=~	SEwellness	1	.p10.	0.79165993137789	0.0113153718888153	69.9632269409021	0	0.769482210004136	0.813837652751645
SupportEnv	=~	SEnonacad	1	.p11.	0.743271463836312	0.0123158329040227	60.3508889434136	0	0.719132874904814	0.76741005276781
SupportEnv	=~	SEactivities	1	.p12.	0.719293949264685	0.0138837721435871	51.8082507999761	0	0.692082255893694	0.746505642635676
SupportEnv	=~	SEdiverse	1	.p13.	0.754848478703589	0.0133266499834022	56.6420277897085	0	0.728728724701549	0.780968232705628
Satisf	=~	sameinst	1		0.855458506285706	0.0193129059243449	44.2946550683166	0	0.81760590623718	0.893311106334232
Satisf	=~	evalexp	1	.p15.	0.815636601291437	0.0199213112164711	40.9429174831154	0	0.77659154878234	0.854681653800534
DevAdj	=~	Belong	1		0.360606101780683	0.0348562715595952	10.3455156173012	0	0.292289064888528	0.428923138672837
DevAdj	=~	Gains	1	.p17.	0.177496060661559	0.0270201037416741	6.5690369792252	5.06417130452519e-11	0.124537630469341	0.230454490853776
DevAdj	=~	SupportEnv	1	.p18.	0.342264409343286	0.0354335036921983	9.65934422732927	0	0.272816018260511	0.411712800426062
DevAdj	=~	Satisf	1		0.423197086107074	0.0432497572460148	9.78495864612208	0	0.338429119564784	0.507965052649363
EmoDiss	=~	MHWdacad	1		0.875416733073273	0.00729501723744094	120.00201021874	0	0.86111876202129	0.889714704125256
EmoDiss	=~	MHWdlonely	1	.p21.	0.89496966388614	0.00672347500181432	133.111175938727	0	0.881791895031629	0.908147432740652
EmoDiss	=~	MHWdmental	1	.p22.	0.918462418709234	0.0057474051913609	159.804709800138	0	0.907197711529608	0.92972712588886
EmoDiss	=~	MHWdexhaust	1	.p23.	0.91015296467584	0.00600519601073214	151.560908761224	0	0.898382996774701	0.921922932576978
EmoDiss	=~	MHWdsleep	1	.p24.	0.878704328524356	0.00703698456463355	124.869440944996	0	0.86491209221791	0.892496564830802
EmoDiss	=~	MHWdfinancial	1	.p25.	0.820126097459479	0.00902567203438287	90.865931571106	0	0.802436105335818	0.837816089583139
QualEngag	=~	QIadmin	1		0.871987867343447	0.0078767435951056	110.704107200503	0	0.856549733581583	0.88742600110531
QualEngag	=~	QIstudent	1	.p27.	0.878058730904898	0.00736343131009894	119.245864316089	0	0.86362667073447	0.892490791075327
QualEngag	=~	QIadvisor	1	.p28.	0.901842771799186	0.00646799106387247	139.431666323181	0	0.889165742261669	0.914519801336703
QualEngag	=~	QIfaculty	1	.p29.	0.923261175472721	0.00528573226256715	174.670439138799	0	0.912901330606168	0.933621020339274
QualEngag	=~	QIstaff	1	.p30.	0.893006805161229	0.00679464052769507	131.428116251525	0	0.87968955443905	0.906324055883407
sbvalued	~~	sbvalued	1		0.277414925318833	0.0181340801182546	15.297987188199	0	0.24187278139429	0.312957069243376
sbmyself	~~	sbmyself	1		0.338412073552141	0.0184948216658497	18.2976662152419	0	0.302162889186585	0.374661257917697
sbcommunity	~~	sbcommunity	1		0.255684980389981	0.017885515061984	14.2956453590451	0	0.220630015023544	0.290739945756419
pganalyze	~~	pganalyze	1		0.502634612077814	0.0187665358450232	26.7835585762149	0	0.465852877706989	0.53941634644864
pgthink	~~	pgthink	1		0.408021436962466	0.0207602828211479	19.6539440467943	0	0.36733203032415	0.448710843600781
pgwork	~~	pgwork	1		0.4714088099658	0.0206979010635032	22.7756818683919	0	0.43084166932576	0.51197595060584
pgvalues	~~	pgvalues	1		0.529708541662484	0.0201811927902878	26.2476329901276	0	0.49015413062846	0.569262952696508
