lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.614441855772079	0.850428131686032
Belong	=~	sbmyself	1	1	.p2.	0.978544146584964	0.0148802566390713	65.7612412420084	0	0.949379379491672	1.00770891367826	0.601258481382571	0.815882373901143
Belong	=~	sbcommunity	1	1	.p3.	1.00933147502513	0.0143906807299612	70.1378547662249	0	0.981126259081392	1.03753669096887	0.620175504603611	0.86233100300497
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.486876078318979	0.703496654181991
Gains	=~	pgthink	1	1	.p5.	1.01502641236178	0.0221722568045349	45.7791203353812	0	0.971569587568917	1.05848323715464	0.494192079040885	0.771387887907547
Gains	=~	pgwork	1	1	.p6.	0.998461478871565	0.0217356541515898	45.9365737008901	0	0.95586037955403	1.0410625781891	0.486127009185555	0.727818303650947
Gains	=~	pgvalues	1	1	.p7.	0.995640496927334	0.0230730987812366	43.1515725896776	0	0.950418054304375	1.04086293955029	0.484753540559539	0.687061981989212
Gains	=~	pgprobsolve	1	1	.p8.	0.985859008612567	0.021989862389511	44.8324319247588	0	0.942759670304134	1.028958346921	0.479991167888723	0.744691796809409
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.553090878150435	0.797953570679074
SupportEnv	=~	SEwellness	1	1	.p10.	1.02101115041871	0.0170191900596991	59.9917591164594	0	0.987654150855659	1.05436814998176	0.564711953786471	0.789559491622881
SupportEnv	=~	SEnonacad	1	1	.p11.	1.01954756068566	0.0178518850589872	57.1114791136516	0	0.984558508913896	1.05453661245742	0.563902455655765	0.746141440541224
SupportEnv	=~	SEactivities	1	1	.p12.	0.981061224192765	0.0184330185100313	53.2230368921329	0	0.944933171786743	1.01718927659879	0.542616014008117	0.721058367763928
SupportEnv	=~	SEdiverse	1	1	.p13.	1.01487396700251	0.0178217515469474	56.9458038021153	0	0.979943975829073	1.04980395817595	0.561317533621434	0.757868155107235
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.521746904254288	0.852855788070796
Satisf	=~	evalexp	1	1	.p15.	0.969449750704284	0.028564000097214	33.939565446187	0	0.913465339259346	1.02543416214922	0.505807406260051	0.815371251171182
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.370839706898463	0.370839706898463
DevAdj	=~	Gains	1	1	.p17.	0.394740595634191	0.048739878804125	8.09892443968865	4.44089209850063e-16	0.299212188567259	0.490269002701123	0.184739760617083	0.184739760617083
DevAdj	=~	SupportEnv	1	1	.p18.	0.85076956644275	0.0590039433842121	14.4188594464416	0	0.735123962463854	0.966415170421646	0.350495520140828	0.350495520140828
DevAdj	=~	Satisf	1	1	.p19.	0.926261693048373	0.0619258251938006	14.957599517642	0	0.804889305955601	1.04763408014115	0.404520787417656	0.404520787417656
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.823184829083333	0.87452611328414
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.0043488642735	0.01049848323598	95.6660921104716	0	0.983772215238682	1.02492551330832	0.826764748177021	0.89519238788955
EmoDiss	=~	MHWdmental	1	1	.p22.	1.00007252119401	0.00985393536133595	101.489657129071	0	0.980759162779808	1.01938587960822	0.823244527430031	0.91932674972355
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.00625590418615	0.00990536617980273	101.586946501577	0	0.986841743220057	1.02567006515225	0.828334594501572	0.910261724798287
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00075479833371	0.0106848088965822	93.6614597434523	0	0.979812957714719	1.02169663895271	0.823806167620664	0.878431797783215
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.998180451234385	0.012329402526286	80.9593529861878	0	0.974015266331967	1.0223456361368	0.821687004143702	0.817030859541546
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.90161000107571	0.87150667609171
QualEngag	=~	QIstudent	1	1	.p27.	0.989542497905563	0.0114566811890719	86.3725263516497	0	0.967087815392625	1.0119971804185	0.892181412601096	0.877397957647379
QualEngag	=~	QIadvisor	1	1	.p28.	0.998532839057562	0.0109657709034435	91.0590644150696	0	0.977040323024095	1.02002535509103	0.90028719409682	0.901757122427825
QualEngag	=~	QIfaculty	1	1	.p29.	1.00230446602152	0.0105740466434096	94.7891095833421	0	0.981579715429595	1.02302921661345	0.903687730687855	0.923466313190264
QualEngag	=~	QIstaff	1	1	.p30.	0.993274327104471	0.0109576713966504	90.6464787224868	0	0.971797685812612	1.01475096839633	0.895546067129137	0.893421255949011
sbvalued	~~	sbvalued	1	1		0.144480251577986	0.00992411751877864	14.5584986579006	0	0.125029338662837	0.163931164493135	0.144480251577986	0.276771992837005
sbmyself	~~	sbmyself	1	1		0.181572640521027	0.0109317608735022	16.609642547263	0	0.160146782921359	0.202998498120696	0.181572640521027	0.334335951957435
sbcommunity	~~	sbcommunity	1	1		0.132609378036698	0.00960848581281704	13.8012773937603	0	0.113777091897612	0.151441664175783	0.132609378036698	0.256385241256443
pganalyze	~~	pganalyze	1	1		0.241926634849568	0.011197336127955	21.6057312279462	0	0.219980259315987	0.263873010383149	0.241926634849568	0.505092457554744
pgthink	~~	pgthink	1	1		0.166210645593476	0.00924282044200667	17.9826760279885	0	0.148095050411572	0.184326240775379	0.166210645593476	0.404960726389534
pgwork	~~	pgwork	1	1		0.209802443737671	0.0110696979640455	18.9528607211427	0	0.188106234408406	0.231498653066937	0.209802443737671	0.470280516870659
pgvalues	~~	pgvalues	1	1		0.26280856211831	0.0133925305012149	19.6235179075732	0	0.236559684674074	0.289057439562545	0.26280856211831	0.527945832905056
pgprobsolve	~~	pgprobsolve	1	1		0.185053302864244	0.00927716534997615	19.947181696478	0	0.166870392899668	0.20323621282882	0.185053302864244	0.445434127764774
SEacademic	~~	SEacademic	1	1		0.174528919210925	0.00932321235121587	18.7198266687731	0	0.156255758782323	0.192802079639528	0.174528919210925	0.363270099040516
SEwellness	~~	SEwellness	1	1		0.192645880791482	0.00985382786158617	19.5503598700446	0	0.173332733072915	0.211959028510048	0.192645880791482	0.376595809188218
SEnonacad	~~	SEnonacad	1	1		0.253184363132827	0.0116172406294364	21.793846853038	0	0.230414989899396	0.275953736366257	0.253184363132827	0.443272950707067
SEactivities	~~	SEactivities	1	1		0.271865005246848	0.0130534952074072	20.8269893179704	0	0.246280624767964	0.297449385725733	0.271865005246848	0.48007483027762
SEdiverse	~~	SEdiverse	1	1		0.233489905148859	0.0127087670927255	18.3723490599264	0	0.208581179359209	0.258398630938508	0.233489905148859	0.425635859474355
sameinst	~~	sameinst	1	1		0.102035984980295	0.0115840909958683	8.80828586521703	0	0.079331583834758	0.124740386125831	0.102035984980295	0.272637004754142
evalexp	~~	evalexp	1	1		0.128980589928382	0.011632636322912	11.0878210534562	0	0.106181041690223	0.151780138166542	0.128980589928382	0.335169722763541
MHWdacad	~~	MHWdacad	1	1		0.208398216438027	0.0111883910438968	18.6262900197529	0	0.186469372947038	0.230327059929015	0.208398216438027	0.235204077184136
MHWdlonely	~~	MHWdlonely	1	1		0.169424912519775	0.00958982448407189	17.6671546805866	0	0.150629201912933	0.188220623126616	0.169424912519775	0.198630588664606
MHWdmental	~~	MHWdmental	1	1		0.124164196277617	0.00754948331162114	16.4467144508403	0	0.109367480884954	0.138960911670281	0.124164196277617	0.154838327242733
MHWdexhaust	~~	MHWdexhaust	1	1		0.141954651493458	0.00851554059881415	16.670069251179	0	0.125264498610894	0.158644804376022	0.141954651493458	0.171423592367247
MHWdsleep	~~	MHWdsleep	1	1		0.200839627619433	0.0105376525907173	19.0592378986144	0	0.180186208060031	0.221493047178834	0.200839627619433	0.228357576643349
MHWdfinancial	~~	MHWdfinancial	1	1		0.336260664517019	0.0147342509505844	22.8217006514119	0	0.307382063314698	0.365139265719339	0.336260664517019	0.332460574556803
QIadmin	~~	QIadmin	1	1		0.257375941719031	0.0139270434449494	18.4803000533733	0	0.230079438155806	0.284672445282256	0.257375941719031	0.24047611352758
QIstudent	~~	QIstudent	1	1		0.237994625529902	0.0131202728424683	18.1394570362555	0	0.212279363291326	0.263709887768479	0.237994625529902	0.230172823916209
QIadvisor	~~	QIadvisor	1	1		0.18622548284121	0.0105266243046477	17.6909023682918	0	0.165593678325317	0.206857287357104	0.18622548284121	0.186834092150689
QIfaculty	~~	QIfaculty	1	1		0.140971680255881	0.00851674263166669	16.5523001401644	0	0.124279171432217	0.157664189079544	0.140971680255881	0.147209968402781
QIstaff	~~	QIstaff	1	1		0.202759469703102	0.0115328313652459	17.581066026346	0	0.180155535587446	0.225363403818757	0.202759469703102	0.201798459418492
Belong	~~	Belong	1	1		0.325618870775373	0.0169779577058067	19.178918714352	0	0.292342685140948	0.358895056409799	0.862477911787462	0.862477911787462
Gains	~~	Gains	1	1		0.228958146026259	0.0125646559815749	18.2223967263415	0	0.204331872824236	0.253584419228282	0.965871220847143	0.965871220847143
SupportEnv	~~	SupportEnv	1	1		0.268329419212486	0.0150603368039413	17.8169600524647	0	0.238811701481718	0.297847136943254	0.87715289036121	0.87715289036121
Satisf	~~	Satisf	1	1		0.227674577071716	0.0161005332937178	14.1408096811645	0	0.196118111684141	0.259231042459291	0.836362932547	0.836362932547
DevAdj	~~	DevAdj	1	1		0.0519199233492635	0.00902157652043548	5.75508318658669	8.65991389709109e-09	0.0342379582854378	0.0696018884130892	1	1
EmoDiss	~~	EmoDiss	1	1		0.677633262832957	0.0314889688057152	21.5197032019025	0	0.61591601806345	0.739350507602464	1	1
QualEngag	~~	QualEngag	1	1		0.812900594039741	0.0366689904168009	22.1686112652638	0	0.741030693473367	0.884770494606115	1	1
DevAdj	~~	EmoDiss	1	1		-0.121891909639964	0.0126626614542485	-9.62608927675847	0	-0.146710270038715	-0.0970735492412135	-0.649846077333162	-0.649846077333162
DevAdj	~~	QualEngag	1	1		0.118822562930452	0.0129781210119709	9.15560602500556	0	0.0933859131599869	0.144259212700918	0.578379876018347	0.578379876018347
EmoDiss	~~	QualEngag	1	1		-0.0700669906750234	0.0231862605515293	-3.02191854177201	0.00251178130786323	-0.115511226292183	-0.0246227550578642	-0.09440551958421	-0.09440551958421
sbvalued	~1		1	1	.p67.	3.02438603190295	0.0198803422326296	152.129475263209	0	2.98542127712667	3.06335078667924	3.02438603190295	4.18595012440465
sbmyself	~1		1	1	.p68.	3.01951402825532	0.0200091112356696	150.906953971676	0	2.98029689087075	3.05873116563989	3.01951402825532	4.09735305144615
sbcommunity	~1		1	1	.p69.	3.03189631306385	0.0201211195899982	150.682286813252	0	2.99245964333883	3.07133298278887	3.03189631306385	4.21573920486023
pganalyze	~1		1	1	.p70.	3.11220399597241	0.0173570059927372	179.305347781447	0	3.0781848893472	3.14622310259762	3.11220399597241	4.49688369545238
pgthink	~1		1	1	.p71.	3.11808171461429	0.0171771025529603	181.5254758479	0	3.08441521225173	3.15174821697684	3.11808171461429	4.86703565307543
pgwork	~1		1	1	.p72.	3.10982124134739	0.0173638361390286	179.097592055563	0	3.07578874788144	3.14385373481334	3.10982124134739	4.65595364537995
pgvalues	~1		1	1	.p73.	3.09710056467827	0.0176097304403359	175.874388036299	0	3.06258612723775	3.13161500211878	3.09710056467827	4.38965345138392
pgprobsolve	~1		1	1	.p74.	3.10829858128101	0.0170661001909106	182.132915341519	0	3.07484963955027	3.14174752301175	3.10829858128101	4.82243134950958
SEacademic	~1		1	1	.p75.	3.0302037844827	0.0188882444923199	160.428026316305	0	2.99318350554657	3.06722406341884	3.0302037844827	4.37172628447428
SEwellness	~1		1	1	.p76.	3.02432829975917	0.0193112628493378	156.609555954693	0	2.98647892007848	3.06217767943986	3.02432829975917	4.22850463647428
SEnonacad	~1		1	1	.p77.	3.03660057972614	0.0196152368164199	154.808254835048	0	2.99815542201774	3.07504573743455	3.03660057972614	4.01795294235835
SEactivities	~1		1	1	.p78.	3.01094206955285	0.0194773507462238	154.586838260671	0	2.972767163576	3.04911697552971	3.01094206955285	4.00110744625213
