lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.850428131686032	0.0105957845197005	80.2609877640352	0	0.829660775639472	0.871195487732592
Belong	=~	sbmyself	1	.p2.	0.815882373901143	0.0112018439078174	72.83464942158	0	0.793927163281382	0.837837584520905
Belong	=~	sbcommunity	1	.p3.	0.86233100300497	0.0101502785554229	84.9563879746199	0	0.842436822603292	0.882225183406648
Gains	=~	pganalyze	1		0.703496654181991	0.0133036653005849	52.8799122863577	0	0.67742194933047	0.729571359033513
Gains	=~	pgthink	1	.p5.	0.771387887907547	0.0133658281062961	57.7134377139098	0	0.745191346195653	0.79758442961944
Gains	=~	pgwork	1	.p6.	0.727818303650947	0.0140791795997167	51.6946529800354	0	0.700223618703631	0.755412988598262
Gains	=~	pgvalues	1	.p7.	0.687061981989212	0.0145196108067237	47.3195866703983	0	0.658604067738495	0.715519896239929
Gains	=~	pgprobsolve	1	.p8.	0.744691796809409	0.0132314152236658	56.2820971317905	0	0.718758699506529	0.770624894112289
SupportEnv	=~	SEacademic	1		0.797953570679074	0.0112352200759385	71.0225136032699	0	0.775932943971853	0.819974197386295
SupportEnv	=~	SEwellness	1	.p10.	0.789559491622881	0.0112813225172613	69.9882031042717	0	0.767448505791068	0.811670477454694
SupportEnv	=~	SEnonacad	1	.p11.	0.746141440541224	0.0120411912259406	61.9657496123638	0	0.722541139407421	0.769741741675028
SupportEnv	=~	SEactivities	1	.p12.	0.721058367763928	0.0134943159573518	53.4342289036956	0	0.694609994491514	0.747506741036342
SupportEnv	=~	SEdiverse	1	.p13.	0.757868155107235	0.0130757762565576	57.9597065778148	0	0.732240104574479	0.783496205639992
Satisf	=~	sameinst	1		0.852855788070796	0.0173102071827057	49.2689532291023	0	0.818928405427766	0.886783170713826
Satisf	=~	evalexp	1	.p15.	0.815371251171182	0.0176326592342265	46.2421033798733	0	0.780811874120431	0.849930628221934
DevAdj	=~	Belong	1		0.370839706898463	0.0311699757593634	11.8973370323223	0	0.309747677011124	0.431931736785802
DevAdj	=~	Gains	1	.p17.	0.184739760617083	0.0255910201193721	7.21892913042718	5.24025267623074e-13	0.134582282855474	0.234897238378693
DevAdj	=~	SupportEnv	1	.p18.	0.350495520140828	0.0321903322950056	10.8882231139692	0	0.287403628192241	0.413587412089416
DevAdj	=~	Satisf	1	.p19.	0.404520787417656	0.0354313241139108	11.4170383843723	0	0.335076668229825	0.473964906605486
EmoDiss	=~	MHWdacad	1		0.87452611328414	0.00730536689487273	119.710087921515	0	0.860207857276338	0.888844369291942
EmoDiss	=~	MHWdlonely	1	.p21.	0.89519238788955	0.00671697483451123	133.273148991139	0	0.882027359128846	0.908357416650254
EmoDiss	=~	MHWdmental	1	.p22.	0.91932674972355	0.00570783912677413	161.063885877793	0	0.908139590605524	0.930513908841576
EmoDiss	=~	MHWdexhaust	1	.p23.	0.910261724798287	0.00601794628481921	151.257868002993	0	0.898466766819145	0.92205668277743
EmoDiss	=~	MHWdsleep	1	.p24.	0.878431797783215	0.00703796456435524	124.813330580287	0	0.86463764071261	0.89222595485382
EmoDiss	=~	MHWdfinancial	1	.p25.	0.817030859541546	0.00908915182799999	89.8907703383945	0	0.79921644930865	0.834845269774442
QualEngag	=~	QIadmin	1		0.87150667609171	0.00787621839151894	110.650394995413	0	0.856069571709961	0.886943780473459
QualEngag	=~	QIstudent	1	.p27.	0.877397957647379	0.00732091404617568	119.848143566952	0	0.863049229782961	0.891746685511796
QualEngag	=~	QIadvisor	1	.p28.	0.901757122427825	0.0064456667458671	139.901294618749	0	0.889123847749578	0.914390397106072
QualEngag	=~	QIfaculty	1	.p29.	0.923466313190264	0.00529241927135597	174.488502486626	0	0.913093362027321	0.933839264353208
QualEngag	=~	QIstaff	1	.p30.	0.893421255949011	0.00676008445253352	132.16125659705	0	0.880171733889596	0.906670778008426
sbvalued	~~	sbvalued	1		0.276771992837005	0.0180219063689617	15.3575313937751	0	0.241449705421087	0.312094280252922
sbmyself	~~	sbmyself	1		0.334335951957435	0.018278774082919	18.2909395586798	0	0.29851021307337	0.3701616908415
sbcommunity	~~	sbcommunity	1		0.256385241256443	0.0175057998740685	14.6457313062414	0	0.222074503982703	0.290695978530183
pganalyze	~~	pganalyze	1		0.505092457554744	0.0187181679586043	26.984075507377	0	0.468405522499308	0.54177939261018
pgthink	~~	pgthink	1		0.404960726389534	0.0206204757302655	19.6387673925077	0	0.364545336614132	0.445376116164937
pgwork	~~	pgwork	1		0.470280516870659	0.0204941691913178	22.94703983755	0	0.430112683362605	0.510448350378712
pgvalues	~~	pgvalues	1		0.527945832905056	0.0199517451715319	26.4611355230396	0	0.488841130940133	0.567050534869979
pgprobsolve	~~	pgprobsolve	1		0.445434127764774	0.0197066526286983	22.603236387092	0	0.406809798356684	0.484058457172864
SEacademic	~~	SEacademic	1		0.363270099040516	0.017930368026391	20.2600470054956	0	0.328127223479241	0.398412974601791
SEwellness	~~	SEwellness	1		0.376595809188218	0.0178145506781756	21.1397871319641	0	0.34167993145823	0.411511686918206
SEnonacad	~~	SEnonacad	1		0.443272950707067	0.0179688638397514	24.6689470553191	0	0.40805462473805	0.478491276676084
SEactivities	~~	SEactivities	1		0.48007483027762	0.0194603790471236	24.6693463223461	0	0.44193318821976	0.51821647233548
SEdiverse	~~	SEdiverse	1		0.425635859474355	0.0198194288048349	21.4756875016763	0	0.386790492822723	0.464481226125987
sameinst	~~	sameinst	1		0.272637004754142	0.0295262208980562	9.23372502344483	0	0.214766675194378	0.330507334313906
evalexp	~~	evalexp	1		0.335169722763541	0.028754326904975	11.6563230247463	0	0.278812277630099	0.391527167896983
MHWdacad	~~	MHWdacad	1		0.235204077184136	0.0127774683931809	18.4077213064882	0	0.210160699319903	0.260247455048369
MHWdlonely	~~	MHWdlonely	1		0.198630588664606	0.0120259696909575	16.5168043633071	0	0.175060121191159	0.222201056138053
MHWdmental	~~	MHWdmental	1		0.154838327242733	0.0104947385909321	14.7539003378817	0	0.134269017577344	0.175407636908123
MHWdexhaust	~~	MHWdexhaust	1		0.171423592367247	0.0109558120999754	15.6468174885577	0	0.149950595229907	0.192896589504587
MHWdsleep	~~	MHWdsleep	1		0.228357576643349	0.0123647437835163	18.4684438789405	0	0.204123124149591	0.252592029137106
MHWdfinancial	~~	MHWdfinancial	1		0.332460574556803	0.0148522352029677	22.3845481850687	0	0.303350728469068	0.361570420644537
QIadmin	~~	QIadmin	1		0.24047611352758	0.0137283537019295	17.5167480929473	0	0.213569034704771	0.267383192350388
QIstudent	~~	QIstudent	1		0.230172823916209	0.0128467101122386	17.9168691365529	0	0.204993734776395	0.255351913056023
QIadvisor	~~	QIadvisor	1		0.186834092150689	0.0116248518659559	16.0719546627381	0	0.164049801167803	0.209618383133576
QIfaculty	~~	QIfaculty	1		0.147209968402781	0.00977474156179903	15.0602414879281	0	0.128051826983468	0.166368109822094
QIstaff	~~	QIstaff	1		0.201798459418492	0.0120792063814246	16.7062680317159	0	0.178123649949074	0.225473268887911
Belong	~~	Belong	1		0.862477911787462	0.0231181305131639	37.3074246335079	0	0.817167208591765	0.90778861498316
Gains	~~	Gains	1		0.965871220847143	0.00945535818794044	102.150674955819	0	0.947339059337854	0.984403382356432
SupportEnv	~~	SupportEnv	1		0.87715289036121	0.0225651353582125	38.8720420434781	0	0.832926037752842	0.921379742969578
Satisf	~~	Satisf	1		0.836362932547	0.0286654148058341	29.1767252702298	0	0.780179751925664	0.892546113168336
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
