lhs	op	rhs	group	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1	0.876533808438703	0.00823371219569688	106.456697490204	0	0.860396029076068	0.892671587801337
Belong	=~	sbmyself	1	0.852370357346957	0.00872237410780346	97.7222883141856	0	0.835274818235978	0.869465896457937
Belong	=~	sbcommunity	1	0.882852239189652	0.00787603270470126	112.093521229625	0	0.867415498747378	0.898288979631926
Gains	=~	pganalyze	1	0.726461210471976	0.0135055620440524	53.7897799515788	0	0.699990795274662	0.75293162566929
Gains	=~	pgthink	1	0.795952587543354	0.0119106472056624	66.8269804150487	0	0.772608147987693	0.819297027099015
Gains	=~	pgwork	1	0.751702545653628	0.0126867103212925	59.2511791170971	0	0.726837050341603	0.776568040965654
Gains	=~	pgvalues	1	0.699215727525579	0.0145356882900683	48.1033793221425	0	0.670726301986544	0.727705153064613
Gains	=~	pgprobsolve	1	0.756240182057281	0.0126034790940987	60.0024942645694	0	0.731537816952944	0.780942547161618
SupportEnv	=~	SEacademic	1	0.829423459933906	0.00905090039680807	91.6398837210069	0	0.811684021128503	0.847162898739309
SupportEnv	=~	SEwellness	1	0.810259206422631	0.00948250186757093	85.4478298805956	0	0.791673844278858	0.828844568566403
SupportEnv	=~	SEnonacad	1	0.783762689003599	0.0107390427232813	72.9825468805026	0	0.76271455203753	0.804810825969667
SupportEnv	=~	SEactivities	1	0.755330415684444	0.0116944262761063	64.5889244885583	0	0.732409761363417	0.778251070005471
SupportEnv	=~	SEdiverse	1	0.799311357154654	0.0100697854277301	79.3771985402504	0	0.779574940384257	0.819047773925052
Satisf	=~	sameinst	1	0.877905952429495	0.0195729172278026	44.8530968690994	0	0.839543739590618	0.916268165268371
Satisf	=~	evalexp	1	0.848364613836953	0.019497387086682	43.5117080081178	0	0.81015043735442	0.886578790319486
DevAdj	=~	Belong	1	0.512591234197687	0.0242212437976911	21.162878276571	0	0.465118468693448	0.560063999701926
DevAdj	=~	Gains	1	0.230912341770498	0.0277803318840949	8.31208002603821	0	0.176463891799102	0.285360791741894
DevAdj	=~	SupportEnv	1	0.46010365036118	0.0258479016617704	17.8004255967006	0	0.409442694028176	0.510764606694183
DevAdj	=~	Satisf	1	0.492502685406027	0.025724668835016	19.1451516272054	0	0.442083260975176	0.542922109836878
EmoDiss	=~	MHWdacad	1	0.915371075296139	0.00422446876522536	216.683120687557	0	0.907091268662483	0.923650881929795
EmoDiss	=~	MHWdlonely	1	0.934428424537401	0.0036054970791287	259.167710867544	0	0.927361780115945	0.941495068958858
EmoDiss	=~	MHWdmental	1	0.945583618557108	0.00311507954584837	303.550392418498	0	0.939478174838268	0.951689062275948
EmoDiss	=~	MHWdexhaust	1	0.947803357558755	0.00296735912522873	319.40972344751	0	0.94198744054411	0.953619274573399
EmoDiss	=~	MHWdsleep	1	0.927723718485141	0.0038502087554913	240.954134541923	0	0.920177447991418	0.935269988978865
EmoDiss	=~	MHWdfinancial	1	0.875093343774785	0.0058679917187677	149.12995547965	0	0.863592291344421	0.886594396205149
QualEngag	=~	QIadmin	1	0.87819121021468	0.00617978515223106	142.10707792934	0	0.866079053884111	0.890303366545248
QualEngag	=~	QIstudent	1	0.893025178444765	0.00551838275682263	161.827335615797	0	0.882209346988486	0.903841009901044
QualEngag	=~	QIadvisor	1	0.915860232072578	0.00470498471888453	194.657429682303	0	0.906638631475753	0.925081832669403
QualEngag	=~	QIfaculty	1	0.930434837076487	0.00400585807694348	232.268547513401	0	0.922583499518499	0.938286174634475
QualEngag	=~	QIstaff	1	0.905938981960154	0.00485201845733506	186.713836710699	0	0.896429200531454	0.915448763388854
sbvalued	~~	sbvalued	1	0.231688482663944	0.0144342539962478	16.0512959467231	0	0.203397864687595	0.259979100640293
sbmyself	~~	sbmyself	1	0.27346477391622	0.0148693862628493	18.3911271845472	0	0.244321312368821	0.30260823546362
sbcommunity	~~	sbcommunity	1	0.220571923757817	0.0139067463797711	15.8607856744021	0	0.193315201711333	0.247828645804302
pganalyze	~~	pganalyze	1	0.472254109679592	0.0196225342011325	24.0669275863632	0	0.433794649359967	0.510713569999217
pgthink	~~	pgthink	1	0.36645947838304	0.0189606210898063	19.327398435279	0	0.329297343922509	0.403621612843571
pgwork	~~	pgwork	1	0.434943282857855	0.0190732646092682	22.8038194702391	0	0.397560371156086	0.472326194559623
pgvalues	~~	pgvalues	1	0.511097366380876	0.0203271635233053	25.1435654460544	0	0.471256857967341	0.55093787479441
pgprobsolve	~~	pgprobsolve	1	0.42810078704197	0.0190625145261075	22.4577290921224	0	0.390738945116028	0.465462628967913
SEacademic	~~	SEacademic	1	0.312056724111268	0.0150140578350144	20.7843027874528	0	0.282629711492838	0.341483736729698
SEwellness	~~	SEwellness	1	0.343480018407369	0.0153665688176006	22.3524211868268	0	0.313362096958915	0.373597939855822
SEnonacad	~~	SEnonacad	1	0.385716047325848	0.0168337221550341	22.913295335013	0	0.352722558176227	0.418709536475469
SEactivities	~~	SEactivities	1	0.429475963141965	0.0176663115008743	24.3104489084046	0	0.394850628860586	0.464101297423344
SEdiverse	~~	SEdiverse	1	0.361101354323584	0.0160977877566992	22.4317378127507	0	0.329550270089684	0.392652438557485
sameinst	~~	sameinst	1	0.229281138688862	0.0343663607205622	6.67167351682011	2.52902143671463e-11	0.161924309396848	0.296637967980875
evalexp	~~	evalexp	1	0.280277481989278	0.033081786646606	8.4722595240494	0	0.215438371617692	0.345116592360864
MHWdacad	~~	MHWdacad	1	0.162095794511191	0.00773391320653227	20.9590914951412	0	0.146937603166829	0.177253985855553
MHWdlonely	~~	MHWdlonely	1	0.126843519416551	0.00673815824595712	18.8246572411173	0	0.113636971932343	0.140050066900758
MHWdmental	~~	MHWdmental	1	0.105871620316446	0.00589113651231915	17.9713405206371	0	0.0943252049242916	0.1174180357086
MHWdexhaust	~~	MHWdexhaust	1	0.101668795400351	0.00562494561296876	18.0746272756745	0	0.0906441045839357	0.112693486216766
