lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.686436575250202	0.873467805898237
Belong	=~	sbmyself	1	1	.p2.	0.979034645883706	0.0148846904909555	65.7746055572071	0	0.949861188600408	1.008208103167	0.672045189371705	0.848825457485412
Belong	=~	sbcommunity	1	1	.p3.	1.01098167431116	0.0143946008273265	70.2333942037436	0	0.982768775117768	1.03919457350455	0.693974798154866	0.882533912667525
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.521382294178545	0.73004102379641
Gains	=~	pgthink	1	1	.p5.	1.01045644605761	0.0221434232688374	45.6323502373561	0	0.967056133956259	1.05385675815895	0.526834100013014	0.795198365897251
Gains	=~	pgwork	1	1	.p6.	0.996314646445351	0.0217370294642447	45.8349034344453	0	0.953710851564545	1.03891844132616	0.519460816087363	0.751781294969769
Gains	=~	pgvalues	1	1	.p7.	0.992446562026954	0.0230880020774188	42.9853808354259	0	0.947194909480227	1.03769821457368	0.517444065359223	0.706840788275796
Gains	=~	pgprobsolve	1	1	.p8.	0.983982422798285	0.0220140176614379	44.6979937025276	0	0.940835741026838	1.02712910456973	0.513031013029933	0.759626672100875
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.61603335989916	0.829303862990983
SupportEnv	=~	SEwellness	1	1	.p10.	1.0221892118853	0.0173101073475251	59.0515813312645	0	0.988262024915624	1.05611639885497	0.629702654650373	0.818901711126316
SupportEnv	=~	SEnonacad	1	1	.p11.	1.01947462123753	0.018047095960669	56.4896769795717	0	0.984102963129077	1.05484627934598	0.628030376252877	0.786106235708313
SupportEnv	=~	SEactivities	1	1	.p12.	0.978770222214714	0.0185210231030469	52.846444646662	0	0.942469683975908	1.01507076045352	0.602955108560178	0.752247565205282
SupportEnv	=~	SEdiverse	1	1	.p13.	1.01540896429123	0.0179103334515279	56.6940290106438	0	0.980305355775128	1.05051257280732	0.62552579594405	0.796404014529799
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.578020244424237	0.881398745216906
Satisf	=~	evalexp	1	1	.p15.	0.976461228996269	0.0311642978136758	31.3326882843409	0	0.915380327677984	1.03754213031455	0.564414358255214	0.844892438717731
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.487341819230567	0.487341819230567
DevAdj	=~	Gains	1	1	.p17.	0.411951898481926	0.0369699015464179	11.1428995277333	0	0.339492222938955	0.484411574024896	0.264316531101902	0.264316531101902
DevAdj	=~	SupportEnv	1	1	.p18.	0.864302402364126	0.0459363447032421	18.8152193638325	0	0.774268821164354	0.954335983563898	0.469348663094933	0.469348663094933
DevAdj	=~	Satisf	1	1		0.849016158564897	0.0593897849961601	14.2956597438396	0	0.732614318922846	0.965417998206948	0.491368150106294	0.491368150106294
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	1.06191947990437	0.91646819406144
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.00392412719048	0.0105187979942722	95.4409551107603	0	0.983307661961059	1.02454059241991	1.06608658700957	0.933601153395313
