lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.868025281835816	0.00717921788538998	120.908056517171	0	0.853954273343286	0.882096290328346
Belong	=~	sbmyself	1	.p2.	0.835094435953558	0.00795929907384574	104.920600194266	0	0.819494496426638	0.850694375480479
Belong	=~	sbcommunity	1	.p3.	0.897528860908568	0.00642707094552113	139.648195658091	0	0.884932033329263	0.910125688487873
Gains	=~	pganalyze	1		0.719347541176226	0.0107404940402334	66.9752749251184	0	0.698296559681201	0.74039852267125
Gains	=~	pgthink	1	.p5.	0.785019943345289	0.00923644441372931	84.991573400086	0	0.766916844949173	0.803123041741404
Gains	=~	pgwork	1	.p6.	0.728064363520398	0.0104231321386756	69.8508235177095	0	0.707635399922491	0.748493327118304
Gains	=~	pgvalues	1	.p7.	0.712182008423257	0.0107756070313302	66.0920546148888	0	0.691062206730293	0.733301810116221
Gains	=~	pgprobsolve	1	.p8.	0.770304891388375	0.00976081100202359	78.9181238350663	0	0.751174053364506	0.789435729412243
SupportEnv	=~	SEacademic	1		0.819396664934278	0.00767269449708442	106.793860389677	0	0.804358460055614	0.834434869812942
SupportEnv	=~	SEwellness	1	.p10.	0.813684065757365	0.00832144090750555	97.7816311864282	0	0.797374341279175	0.829993790235554
SupportEnv	=~	SEnonacad	1	.p11.	0.757442729298294	0.00916771478541054	82.6206690574281	0	0.739474338498354	0.775411120098234
SupportEnv	=~	SEactivities	1	.p12.	0.755115082006005	0.00954933905815487	79.075114770499	0	0.73639872137586	0.77383144263615
SupportEnv	=~	SEdiverse	1	.p13.	0.777616112755624	0.00881044658610289	88.2606920269164	0	0.760347954759149	0.7948842707521
Satisf	=~	sameinst	1		0.856369228656243	0.0124486278023005	68.7922590550894	0	0.83197036650679	0.880768090805696
Satisf	=~	evalexp	1	.p15.	0.866161471921091	0.012384003192947	69.9419612887691	0	0.841889271678485	0.890433672163696
DevAdj	=~	Belong	1		0.487437179838807	0.0202443313628341	24.077711982806	0	0.447759019476557	0.527115340201056
DevAdj	=~	Gains	1	.p17.	0.314113681557006	0.020329936859139	15.4507947434082	0	0.27426773750512	0.353959625608892
DevAdj	=~	SupportEnv	1	.p18.	0.461428772963643	0.0206165362681655	22.3814886730583	0	0.421021104392074	0.501836441535211
DevAdj	=~	Satisf	1		0.520786906437472	0.0241954348647283	21.5241804641695	0	0.47336472551232	0.568209087362624
