lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.685709100860848	0.873253572658649
Belong	=~	sbmyself	1	1	.p2.	0.979043214699175	0.0148856441288055	65.7709673983544	0	0.949867888320036	1.00821854107831	0.671338842455286	0.848576414060051
Belong	=~	sbcommunity	1	1	.p3.	1.01096338661257	0.0143944327350201	70.2329438903836	0	0.982750816874045	1.03917595635109	0.693226794837343	0.882317666484474
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.521224430851437	0.729940865523144
Gains	=~	pgthink	1	1	.p5.	1.01044508040409	0.0221434648871383	45.6317511985666	0	0.96704468673237	1.05384547407581	0.526668661940255	0.795105211734617
Gains	=~	pgwork	1	1	.p6.	0.996309433887764	0.0217366707279284	45.8354200768959	0	0.953706342117219	1.03891252565831	0.519300817630067	0.751679528839668
Gains	=~	pgvalues	1	1	.p7.	0.992444808684274	0.0230878873248767	42.9855185413582	0	0.947193381048397	1.03769623632015	0.517286480557924	0.706735809485991
Gains	=~	pgprobsolve	1	1	.p8.	0.983969783402132	0.0220140800567616	44.6972928627971	0	0.940822979338098	1.02711658746617	0.512869090328788	0.759521776529356
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.615435707753132	0.829048120229547
SupportEnv	=~	SEwellness	1	1	.p10.	1.02220057141996	0.0173088682805507	59.056464862499	0	0.988275812976938	1.05612532986299	0.629098732137502	0.818648087527821
SupportEnv	=~	SEnonacad	1	1	.p11.	1.01947143605177	0.0180464535974782	56.4915112293436	0	0.984101036952036	1.0548418351515	0.627419124780621	0.785810750405941
SupportEnv	=~	SEactivities	1	1	.p12.	0.978781285483295	0.0185219507194073	52.8443952967506	0	0.942478929149831	1.01508364181676	0.602376953166932	0.751937234937794
SupportEnv	=~	SEdiverse	1	1	.p13.	1.01541688693243	0.0179104088121053	56.69423281093	0	0.980313130712313	1.05052064315254	0.624923810473741	0.796122073865148
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.579280496100141	0.881707593567867
