lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.873253572658649	0.0075596476747974	115.515115283736	0	0.858436935480234	0.888070209837064
Belong	=~	sbmyself	1	.p2.	0.848576414060051	0.00802027585218957	105.803893743678	0	0.832856962243683	0.864295865876419
Belong	=~	sbcommunity	1	.p3.	0.882317666484474	0.00712254054354414	123.876819105538	0	0.868357743540701	0.896277589428247
Gains	=~	pganalyze	1		0.729940865523144	0.0111234542901676	65.6217795733081	0	0.708139295730738	0.75174243531555
Gains	=~	pgthink	1	.p5.	0.795105211734617	0.0103550461125996	76.7843236127328	0	0.774809694295671	0.815400729173564
Gains	=~	pgwork	1	.p6.	0.751679528839668	0.0109106310974377	68.8942300520268	0	0.730295084840088	0.773063972839249
Gains	=~	pgvalues	1	.p7.	0.706735809485991	0.011916666194482	59.3065038452823	0	0.68337957292902	0.730092046042962
Gains	=~	pgprobsolve	1	.p8.	0.759521776529356	0.0105471039495483	72.0123533590361	0	0.738849832647041	0.780193720411671
SupportEnv	=~	SEacademic	1		0.829048120229547	0.00791954278663099	104.683836247348	0	0.813526101593726	0.844570138865367
SupportEnv	=~	SEwellness	1	.p10.	0.818648087527821	0.00796039024112882	102.84019535853	0	0.803046009352324	0.834250165703318
SupportEnv	=~	SEnonacad	1	.p11.	0.785810750405941	0.00913217113913555	86.0486228776837	0	0.76791202387258	0.803709476939303
SupportEnv	=~	SEactivities	1	.p12.	0.751937234937794	0.0103288168995665	72.7999384875682	0	0.731693125811735	0.772181344063852
SupportEnv	=~	SEdiverse	1	.p13.	0.796122073865148	0.00894071555249141	89.0445590390471	0	0.778598593386248	0.813645554344048
Satisf	=~	sameinst	1		0.881707593567867	0.0147720464761368	59.6875724018472	0	0.852754914496687	0.910660272639047
Satisf	=~	evalexp	1	.p15.	0.845622646988894	0.0148066526054523	57.110993924279	0	0.816602141150611	0.874643152827176
DevAdj	=~	Belong	1		0.484719432259078	0.021808579445509	22.2260892081577	0	0.4419754019919	0.527463462526256
DevAdj	=~	Gains	1	.p17.	0.263199242539702	0.0198387920714588	13.2668985889698	0	0.224315924582864	0.30208256049654
DevAdj	=~	SupportEnv	1	.p18.	0.467182542333883	0.0216221235068167	21.6066910443184	0	0.424803958991246	0.509561125676521
DevAdj	=~	Satisf	1	.p19.	0.496597268195649	0.0225043008745944	22.0667716345843	0	0.452489648984191	0.540704887407107
EmoDiss	=~	MHWdacad	1		0.916467473252377	0.0040009282455333	229.063711471341	0	0.908625797986403	0.924309148518351
EmoDiss	=~	MHWdlonely	1	.p21.	0.933601587454793	0.00347822543263172	268.413191018618	0	0.926784390876724	0.940418784032863
EmoDiss	=~	MHWdmental	1	.p22.	0.946231503130431	0.00295622339608341	320.081190205063	0	0.940437411743853	0.952025594517009
EmoDiss	=~	MHWdexhaust	1	.p23.	0.947575613499251	0.00288239461929947	328.745969463941	0	0.941926223856192	0.95322500314231
EmoDiss	=~	MHWdsleep	1	.p24.	0.927704842720863	0.00365471694518972	253.837672419992	0	0.920541729134603	0.934867956307123
EmoDiss	=~	MHWdfinancial	1	.p25.	0.873423325216352	0.00549510294917548	158.945761943806	0	0.862653121344628	0.884193529088076
QualEngag	=~	QIadmin	1		0.878707170910268	0.00563219782770656	156.014969251902	0	0.867668266014159	0.889746075806378
QualEngag	=~	QIstudent	1	.p27.	0.892981502202196	0.00524763170555515	170.168478336024	0	0.882696333055178	0.903266671349215
QualEngag	=~	QIadvisor	1	.p28.	0.91557210069742	0.00445838110515071	205.359766045947	0	0.90683383430197	0.924310367092869
QualEngag	=~	QIfaculty	1	.p29.	0.928836271035941	0.00381265372033379	243.619363091444	0	0.921363607058564	0.936308935013318
QualEngag	=~	QIstaff	1	.p30.	0.90828003813754	0.00438210904170468	207.270067790055	0	0.899691262239472	0.916868814035609
sbvalued	~~	sbvalued	1		0.237428197838906	0.0132029786938905	17.9829266822018	0	0.211550835110231	0.263305560567581
