lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.667598178616238	0.867565144817852
Belong	=~	sbmyself	1	1	.p2.	0.985797898905378	0.0132009942283463	74.676034384485	0	0.959924425657698	1.01167137215306	0.658116881792945	0.8346215038601
Belong	=~	sbcommunity	1	1	.p3.	1.0121650877554	0.0123614442422123	81.8808116529804	0	0.987937102243764	1.03639307326704	0.67571956904445	0.897265070337276
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.517020292746563	0.719509669533586
Gains	=~	pgthink	1	1	.p5.	1.01239203825106	0.0206426105043428	49.0437988953999	0	0.97193326511566	1.05285081138646	0.523427227990852	0.784496160716566
Gains	=~	pgwork	1	1	.p6.	0.963049603579008	0.0201671675924133	47.7533396381006	0	0.923522681427695	1.00257652573032	0.49791618797188	0.727744769709017
Gains	=~	pgvalues	1	1	.p7.	0.980263478386263	0.0208469867568793	47.0218305320688	0	0.939404135156596	1.02112282161593	0.506816110564029	0.711501775528239
Gains	=~	pgprobsolve	1	1	.p8.	1.02577703966056	0.0206863880580313	49.5870539014816	0	0.985232464096602	1.06632161522452	0.530347545338007	0.770287810368601
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.60175408493891	0.818950421243637
SupportEnv	=~	SEwellness	1	1	.p10.	0.991663198326312	0.0156342955785291	63.4287098734518	0	0.961020542068742	1.02230585458388	0.596737380476443	0.813208417593848
SupportEnv	=~	SEnonacad	1	1	.p11.	0.98725781462044	0.0161248073344405	61.2260223731036	0	0.95565377298729	1.01886185625359	0.594086422835711	0.757012913139066
SupportEnv	=~	SEactivities	1	1	.p12.	1.01128636857016	0.0168111170913472	60.155810174606	0	0.978337184531234	1.04423555260909	0.60854570333013	0.754363282308953
SupportEnv	=~	SEdiverse	1	1	.p13.	1.0044531030937	0.0162138907988612	61.9501583891419	0	0.97267446107867	1.03623174510874	0.6044337579162	0.777333918065385
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.567843256016086	0.855491864423456
Satisf	=~	evalexp	1	1	.p15.	1.03449157906494	0.0244361420619266	42.3344886620527	0	0.98659762070246	1.08238553742742	0.587429066577458	0.868718887621909
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.483135224100516	0.483135224100516
DevAdj	=~	Gains	1	1	.p17.	0.497901690917922	0.0325789459435785	15.2829281763814	0	0.434048130214231	0.561755251621614	0.310613163639036	0.310613163639036
DevAdj	=~	SupportEnv	1	1	.p18.	0.852504588333981	0.0391639401151134	21.7675899265559	0	0.775744676215675	0.929264500452286	0.456942467999642	0.456942467999642
DevAdj	=~	Satisf	1	1	.p19.	0.932729550585777	0.04266239715467	21.8630366035041	0	0.84911278866848	1.01634631250307	0.529798969227914	0.529798969227914
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.965347642408779	0.898611074966114
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.992398850235393	0.00937554171885294	105.849761005256	0	0.974023126130888	1.0107745743399	0.958009890403919	0.921020649830793
EmoDiss	=~	MHWdmental	1	1	.p22.	1.00374988094209	0.00879448095813796	114.13406723148	0	0.986513015001417	1.02098674688276	0.96896758113554	0.939930527477178
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.00210910353572	0.0091090803931427	110.012104437031	0	0.984255634032883	1.01996257303856	0.967383660534584	0.931492805142499
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00091763494671	0.00947593256023854	105.627348926754	0	0.98234514840871	1.01949012148471	0.966233479141176	0.917646298786226
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.991835253779991	0.010543145531716	94.0739412916516	0	0.971171068254063	1.01249943930592	0.957465823894427	0.847779998507223
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.986805819941545	0.894482713098535
QualEngag	=~	QIstudent	1	1	.p27.	0.995249331377332	0.00963165346262998	103.331098366321	0	0.976371637479007	1.01412702527566	0.982117832496083	0.909508167622599
QualEngag	=~	QIadvisor	1	1	.p28.	0.994468340413809	0.0095529333178679	104.100835557362	0	0.975744935164075	1.01319174566354	0.981347146067956	0.917359176839114
QualEngag	=~	QIfaculty	1	1	.p29.	0.995223578723485	0.00930199835677645	106.990298272679	0	0.976991996959952	1.01345516048702	0.982092419627387	0.92812574819906
QualEngag	=~	QIstaff	1	1	.p30.	0.994777657902325	0.00945156197517655	105.250080411576	0	0.976252936833331	1.01330237897132	0.981652382365834	0.919311913392732
sbvalued	~~	sbvalued	1	1		0.146454984125378	0.00754753510825999	19.4043461904667	0	0.131662087141137	0.16124788110962	0.146454984125378	0.24733071949718
sbmyself	~~	sbmyself	1	1		0.188648102210728	0.00838877153120641	22.4881678454292	0	0.172206412135028	0.205089792286427	0.188648102210728	0.303406945294306
sbcommunity	~~	sbcommunity	1	1		0.110544619485489	0.00644187359904277	17.1603211062563	0	0.0979187792384054	0.123170459732572	0.110544619485489	0.194915393552643
pganalyze	~~	pganalyze	1	1		0.249037314994071	0.00893512102740497	27.8717338276948	0	0.23152479958285	0.266549830405291	0.249037314994071	0.48230583544767
pgthink	~~	pgthink	1	1		0.171199150445377	0.00662332711873872	25.8479080643655	0	0.158217667834822	0.184180633055933	0.171199150445377	0.384565773820968
pgwork	~~	pgwork	1	1		0.220196354696408	0.00797227087489887	27.6202801123715	0	0.204570990906608	0.235821718486207	0.220196354696408	0.47038755016117
pgvalues	~~	pgvalues	1	1		0.250535542195024	0.00877059792132693	28.5653890923231	0	0.233345486146341	0.267725598243707	0.250535542195024	0.493765223420163
pgprobsolve	~~	pgprobsolve	1	1		0.192771575185944	0.00732396198025489	26.3206684722898	0	0.178416873480504	0.207126276891384	0.192771575185944	0.406656689197546
SEacademic	~~	SEacademic	1	1		0.177803888016362	0.00696884343935982	25.5141171649991	0	0.164145205861318	0.191462570171405	0.177803888016362	0.329320207544869
