lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.873060375816604	0.00757777171739711	115.213338218176	0	0.85820821616744	0.887912535465769
Belong	=~	sbmyself	1	.p2.	0.848666562345861	0.0080183224200432	105.840912585963	0	0.832950939186146	0.864382185505576
Belong	=~	sbcommunity	1	.p3.	0.882377140662813	0.00712420137434371	123.856288487367	0	0.868413962550488	0.896340318775137
Gains	=~	pganalyze	1		0.729022114822066	0.0111731914696542	65.2474377443588	0	0.707123061949174	0.750921167694959
Gains	=~	pgthink	1	.p5.	0.795533019609426	0.0103425829548444	76.9182150225637	0	0.775261929510813	0.815804109708039
Gains	=~	pgwork	1	.p6.	0.751526699652816	0.0109160549069429	68.8459984911606	0	0.730131625181947	0.772921774123686
Gains	=~	pgvalues	1	.p7.	0.706963649735092	0.011894184641747	59.4377564355058	0	0.683651476211798	0.730275823258386
Gains	=~	pgprobsolve	1	.p8.	0.759562824075525	0.010562457825706	71.9115604160775	0	0.738860787148918	0.780264861002132
SupportEnv	=~	SEacademic	1		0.829121353172246	0.00789372267333457	105.035531077506	0	0.813649941028563	0.844592765315929
SupportEnv	=~	SEwellness	1	.p10.	0.818333386817463	0.00798482468080666	102.486080725669	0	0.802683418020215	0.83398335561471
SupportEnv	=~	SEnonacad	1	.p11.	0.785669849567839	0.00910898054298974	86.2522261256216	0	0.767816575767703	0.803523123367975
SupportEnv	=~	SEactivities	1	.p12.	0.752568004892691	0.0102772686401109	73.2264603802916	0	0.73242492849863	0.772711081286751
SupportEnv	=~	SEdiverse	1	.p13.	0.796004893428753	0.00894046456755757	89.0339520294315	0	0.778481904871284	0.813527881986222
Satisf	=~	sameinst	1		0.884107703394402	0.0146304959291266	60.4291001260121	0	0.855432458297354	0.91278294849145
Satisf	=~	evalexp	1	.p15.	0.843205205662299	0.0146003186350897	57.7525208001815	0	0.814589106974714	0.871821304349883
DevAdj	=~	Belong	1		0.484642278228447	0.0218172177854904	22.2137525963902	0	0.441881317126019	0.527403239330874
DevAdj	=~	Gains	1	.p17.	0.263197247098772	0.0198359232017447	13.2687167832764	0	0.22431955202325	0.302074942174294
DevAdj	=~	SupportEnv	1	.p18.	0.467061082143128	0.021612525318736	21.610666743244	0	0.424701310903446	0.509420853382811
DevAdj	=~	Satisf	1	.p19.	0.49634928625457	0.0225246303393818	22.035846039469	0	0.452201822024304	0.540496750484837
EmoDiss	=~	MHWdacad	1		0.916501230859498	0.00399646672618273	229.327877260949	0	0.908668300010767	0.924334161708229
EmoDiss	=~	MHWdlonely	1	.p21.	0.933584616853946	0.00347993111106226	268.276752343229	0	0.926764077207583	0.940405156500308
EmoDiss	=~	MHWdmental	1	.p22.	0.946217832779781	0.00295756779529006	319.931071161459	0	0.940421106419177	0.952014559140385
EmoDiss	=~	MHWdexhaust	1	.p23.	0.947500488283255	0.00288729637946307	328.16183853611	0	0.941841491366815	0.953159485199696
EmoDiss	=~	MHWdsleep	1	.p24.	0.927657675612033	0.00365877545043809	253.543210885204	0	0.920486607501655	0.934828743722411
EmoDiss	=~	MHWdfinancial	1	.p25.	0.873224388641691	0.00550123880764272	158.732318151422	0	0.862442158708358	0.884006618575025
QualEngag	=~	QIadmin	1		0.879084784060728	0.00560520818661846	156.833565282981	0	0.868098777889106	0.890070790232349
QualEngag	=~	QIstudent	1	.p27.	0.893175987424507	0.00523600429253981	170.583509394195	0	0.882913607588232	0.903438367260782
QualEngag	=~	QIadvisor	1	.p28.	0.915628527593157	0.00446207645550793	205.202339476482	0	0.906883018444098	0.924374036742217
QualEngag	=~	QIfaculty	1	.p29.	0.928296934370673	0.00385366353317425	240.886866842274	0	0.920743892637116	0.93584997610423
QualEngag	=~	QIstaff	1	.p30.	0.908304245391107	0.00438179021929578	207.290673430981	0	0.899716094373478	0.916892396408737
sbvalued	~~	sbvalued	1		0.23776558017897	0.0132317043914575	17.9693842263037	0	0.211831916117633	0.263699244240307
sbmyself	~~	sbmyself	1		0.279765065956059	0.0136097640567275	20.5562025021123	0	0.253090418566785	0.306439713345332
sbcommunity	~~	sbcommunity	1		0.221410581635719	0.0125724648852197	17.6107536316137	0	0.196769003263794	0.246052160007644
pganalyze	~~	pganalyze	1		0.468526756100362	0.0162910073188511	28.7598395194511	0	0.436596968483535	0.500456543717188
pgthink	~~	pgthink	1		0.367127214711109	0.0164557323409572	22.30998943738	0	0.334874571983602	0.399379857438616
pgwork	~~	pgwork	1		0.435207619708946	0.0164074134245535	26.5250596451517	0	0.403049680317362	0.46736555910053
pgvalues	~~	pgvalues	1		0.500202397953238	0.0168175120381875	29.7429487083125	0	0.467240680048822	0.533164115857654
pgprobsolve	~~	pgprobsolve	1		0.423064316282413	0.0160457008645389	26.366209856086	0	0.391615320481214	0.454513312083613
SEacademic	~~	SEacademic	1		0.312557781713824	0.0130897081052014	23.8781322854422	0	0.286902425259488	0.338213138168161
SEwellness	~~	SEwellness	1		0.330330468019861	0.013068497054532	25.2768521614585	0	0.30471668446091	0.355944251578811
SEnonacad	~~	SEnonacad	1		0.382722887480049	0.0143133028589372	26.7389638332902	0	0.354669329376718	0.41077644558338
SEactivities	~~	SEactivities	1		0.433641398011835	0.0154686869318735	28.0334976020693	0	0.403323328737238	0.463959467286432
SEdiverse	~~	SEdiverse	1		0.36637620963748	0.0142333069830713	25.7407649587855	0	0.338479440569757	0.394272978705202
sameinst	~~	sameinst	1		0.218353568798675	0.0258698679787294	8.44045933973105	0	0.16764955927556	0.269057578321791
evalexp	~~	evalexp	1		0.289004981144001	0.0246221297558108	11.7376110031991	0	0.24074649359994	0.337263468688062
MHWdacad	~~	MHWdacad	1		0.160025493833025	0.00732553360591747	21.8448924599512	0	0.145667711797889	0.174383275868161
MHWdlonely	~~	MHWdlonely	1		0.128419763173671	0.00649762041335176	19.7641220945726	0	0.11568466117829	0.141154865169053
MHWdmental	~~	MHWdmental	1		0.104671812929534	0.00559700661857112	18.7013916657215	0	0.0937018815359026	0.115641744323166
MHWdexhaust	~~	MHWdexhaust	1		0.102242824702993	0.00547142958470309	18.6866746834942	0	0.0915190197730276	0.112966629632958
MHWdsleep	~~	MHWdsleep	1		0.139451236878079	0.00678818219761982	20.5432371757753	0	0.126146644250249	0.15275582950591
MHWdfinancial	~~	MHWdfinancial	1		0.237479167081344	0.00960763194571789	24.7177627560128	0	0.218648554491021	0.256309779671668
QIadmin	~~	QIadmin	1		0.227209942432904	0.0098549067014185	23.0555143053967	0	0.207894680227121	0.246525204638687
QIstudent	~~	QIstudent	1		0.202236655488257	0.00935334637500482	21.621850338901	0	0.183904433458319	0.220568877518194
QIadvisor	~~	QIadvisor	1		0.161624399457586	0.00817120864253925	19.7797420832178	0	0.145609124808047	0.177639674107126
QIfaculty	~~	QIfaculty	1		0.13826480163801	0.00715468761695646	19.3250647743621	0	0.124241871588141	0.15228773168788
QIstaff	~~	QIstaff	1		0.174983397804491	0.00795999710160322	21.9828469245608	0	0.159382090168306	0.190584705440677
Belong	~~	Belong	1		0.765121862153541	0.0211470926283584	36.1809481615221	0	0.723674322224226	0.806569402082856
Gains	~~	Gains	1		0.930727209119628	0.0104415206731522	89.1371322486353	0	0.910262204656419	0.951192213582837
SupportEnv	~~	SupportEnv	1		0.78185394554729	0.0201887394879785	38.7272294049288	0	0.74228474325759	0.821423147836989
Satisf	~~	Satisf	1		0.753637386034579	0.022360168596646	33.7044590150194	0	0.709812260896909	0.797462511172249
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.749707469244322	0.0265463688171128	-28.2414319792404	0	-0.80173739604618	-0.697677542442463
DevAdj	~~	QualEngag	1		0.592355269065099	0.0307494851303089	19.2639085355361	0	0.532087385666544	0.652623152463655
EmoDiss	~~	QualEngag	1		-0.215196712136759	0.0232024906751781	-9.27472464699554	0	-0.260672758211734	-0.169720666061783
sbvalued	~1		1	.p67.	3.47714057703445	0.0528819297672195	65.7529063772908	0	3.37349389925772	3.58078725481117
sbmyself	~1		1	.p68.	3.45098905784899	0.0532232210666925	64.8399136445473	0	3.34667346141706	3.55530465428092
sbcommunity	~1		1	.p69.	3.47900703154962	0.0532280124139814	65.360453523825	0	3.37468204424956	3.58333201884967
pganalyze	~1		1	.p70.	4.19309467955545	0.0629766218504445	66.5817656830359	0	4.06966276886058	4.31652659025032
