lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.634201364975284	0.857464631420162
Belong	=~	sbmyself	1	1	0.996402118649686	0.0234837752417316	42.4293840489089	0	0.950374764954859	1.04242947234451	0.631919583711896	0.827413206997707
Belong	=~	sbcommunity	1	1	0.988811587990339	0.0223648812876063	44.2126911059571	0	0.944977226148117	1.03264594983256	0.627105658806851	0.866250504567205
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.494880830697443	0.709990720253279
Gains	=~	pgthink	1	1	1.0468596288676	0.0324131387740951	32.2973852104772	0	0.983331044244478	1.11038821349073	0.518070762757616	0.780061159123446
Gains	=~	pgwork	1	1	1.04514183573494	0.0322177629423248	32.439925689624	0	0.981996180705533	1.10828749076434	0.517220659865157	0.743544069588114
Gains	=~	pgvalues	1	1	1.02987498132265	0.0344623146874797	29.8840919613797	0	0.962330085711303	1.09741987693399	0.509665386271466	0.701301353550274
Gains	=~	pgprobsolve	1	1	1.02215688698358	0.0331762076035189	30.8099376275655	0	0.957132714937063	1.0871810590301	0.505845849333548	0.757855986490954
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.576315663453287	0.813012640402372
SupportEnv	=~	SEwellness	1	1	1.01755500689499	0.0236484944761813	43.0283208057861	0	0.971204809433081	1.0639052043569	0.5864328888989	0.806082036098027
SupportEnv	=~	SEnonacad	1	1	0.99620025686489	0.0250963992664111	39.6949477209745	0	0.947012218161087	1.04538829556869	0.574125811967424	0.744239042882927
SupportEnv	=~	SEactivities	1	1	1.00504959933087	0.0266029503494606	37.7796291812891	0	0.952908774763418	1.05719042389832	0.579225826641829	0.726452980920278
SupportEnv	=~	SEdiverse	1	1	1.0226828773127	0.0244522540876807	41.82366474868	0	0.97475733996002	1.07060841466537	0.589388160940783	0.785933027864516
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.58190638425921	0.895533144990077
Satisf	=~	evalexp	1	1	0.96261236717745	0.0436767195070258	22.039484147215	0	0.877007569980822	1.04821716437408	0.560150282027429	0.834980881753446
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.399124771366175	0.399124771366175
DevAdj	=~	Gains	1	1	0.634185744678148	0.0666208324744483	9.5193308327599	0	0.503611312408153	0.764760176948143	0.324378229611758	0.324378229611758
DevAdj	=~	SupportEnv	1	1	0.975571850570286	0.0872113814674696	11.1862905294555	0	0.804640683852062	1.14650301728851	0.428484081785001	0.428484081785001
DevAdj	=~	Satisf	1	1	1.02002514026931	0.0942565535692176	10.8217954258242	0	0.835285689966778	1.20476459057185	0.443704270856372	0.443704270856372
EmoDiss	=~	MHWdacad	1	1	1	0	NA	NA	1	1	0.940779190057938	0.89631698019244
EmoDiss	=~	MHWdlonely	1	1	1.0075533614995	0.0151253961831064	66.6133534158162	0	0.977908129728715	1.03719859327029	0.947885235371655	0.913836906109811
EmoDiss	=~	MHWdmental	1	1	1.00440818980602	0.0145462506159059	69.0492839926546	0	0.975898062488747	1.03291831712329	0.944926323293263	0.934381139005232
EmoDiss	=~	MHWdexhaust	1	1	0.986592755827241	0.0143698865485033	68.6569620781035	0	0.958428295730248	1.01475721592423	0.92816593374418	0.915090096727198
EmoDiss	=~	MHWdsleep	1	1	1.00999350700183	0.0152679702721456	66.1511313553201	0	0.980068835151394	1.03991817885226	0.950180873480955	0.910926984988709
EmoDiss	=~	MHWdfinancial	1	1	0.991587583265424	0.016597965246692	59.74151460903	0	0.95905616916526	1.02411899736559	0.932864963455953	0.847004368669691
QualEngag	=~	QIadmin	1	1	1	0	NA	NA	1	1	0.998846843628668	0.891937298528164
QualEngag	=~	QIstudent	1	1	1.01541596488232	0.0161314499279483	62.9463544453664	0	0.983798904005126	1.04703302575951	1.01424503149286	0.904157957720473
QualEngag	=~	QIadvisor	1	1	1.01225471982052	0.0145397167374075	69.6199752789	0	0.983757398669787	1.04075204097125	1.01108743184095	0.926332474805632
QualEngag	=~	QIfaculty	1	1	1.01028212642148	0.0150480253859798	67.1371891333173	0	0.980788538626519	1.03977571421645	1.00911711315056	0.925484134332351
QualEngag	=~	QIstaff	1	1	1.01940187658214	0.0149703716118594	68.0946273754872	0	0.990060487387713	1.04874326577656	1.01822634681321	0.923479409746606
sbvalued	~~	sbvalued	1	1	0.144832194166083	0.00790887509502226	18.3126161971174	0	0.129331083821613	0.160333304510552	0.144832194166083	0.264754405863486
sbmyself	~~	sbmyself	1	1	0.183959851387886	0.00891021289145382	20.6459546622427	0	0.166496155026052	0.20142354774972	0.183959851387886	0.31538738488577
sbcommunity	~~	sbcommunity	1	1	0.130814693735912	0.0074483746993845	17.5628508252574	0	0.116216147581759	0.145413239890065	0.130814693735912	0.249610063337062
pganalyze	~~	pganalyze	1	1	0.240935928334754	0.00904492376515021	26.6376958601987	0	0.22320820351215	0.258663653157359	0.240935928334754	0.49591317715423
pgthink	~~	pgthink	1	1	0.172686232725584	0.006885164715069	25.0809152535799	0	0.159191557856423	0.186180907594745	0.172686232725584	0.391504588026986
pgwork	~~	pgwork	1	1	0.21636348855609	0.00812243893340379	26.6377488744531	0	0.200443800779993	0.232283176332188	0.21636348855609	0.447142216580346
pgvalues	~~	pgvalues	1	1	0.268395621846924	0.0094329517235498	28.4529837226731	0	0.249907376200861	0.286883867492986	0.268395621846924	0.508176411508554
pgprobsolve	~~	pgprobsolve	1	1	0.189635673885569	0.00771151331674722	24.5912398898065	0	0.174521385518443	0.204749962252694	0.189635673885569	0.425654303739824
SEacademic	~~	SEacademic	1	1	0.170348899344798	0.00672340958447559	25.3366833010047	0	0.157171258705914	0.183526539983681	0.170348899344798	0.339010446545963
SEwellness	~~	SEwellness	1	1	0.185367531930449	0.00711244531607717	26.0624192795464	0	0.171427395268927	0.199307668591971	0.185367531930449	0.350231751080058
SEnonacad	~~	SEnonacad	1	1	0.265478587558986	0.00947643412121392	28.0146080438302	0	0.246905117979541	0.284052057138432	0.265478587558986	0.446108247048705
SEactivities	~~	SEactivities	1	1	0.30023931271904	0.0102133256291484	29.3968217230017	0	0.280221562323529	0.320257063114551	0.30023931271904	0.472266066512042
SEdiverse	~~	SEdiverse	1	1	0.215004015613909	0.0079306920497698	27.110372495191	0	0.199460144823882	0.230547886403936	0.215004015613909	0.382309275711714
sameinst	~~	sameinst	1	1	0.0836089594530561	0.0146934641975305	5.69021425642484	1.26880066453339e-08	0.0548102988177676	0.112407620088345	0.0836089594530561	0.198020386224182
evalexp	~~	evalexp	1	1	0.136276779108777	0.0144838295049001	9.40889141664312	0	0.107888994920954	0.164664563296599	0.136276779108777	0.302806927106238
MHWdacad	~~	MHWdacad	1	1	0.216606122594947	0.00812287520134162	26.6661886617649	0	0.200685579749404	0.23252666544049	0.216606122594947	0.196615871018706
MHWdlonely	~~	MHWdlonely	1	1	0.177419087155658	0.00685463144612668	25.8830964946936	0	0.163984256393954	0.190853917917362	0.177419087155658	0.164902109031648
MHWdmental	~~	MHWdmental	1	1	0.129813095138024	0.00574014200761745	22.6149623068133	0	0.118562623536948	0.141063566739099	0.129813095138024	0.126931887071284
MHWdexhaust	~~	MHWdexhaust	1	1	0.167290429058956	0.00657460107052299	25.4449551029031	0	0.154404447748012	0.1801764103699	0.167290429058956	0.162610114871807
MHWdsleep	~~	MHWdsleep	1	1	0.185197738512676	0.00725296735699581	25.5340648037033	0	0.170982183711919	0.199413293313432	0.185197738512676	0.170212028019381
MHWdfinancial	~~	MHWdfinancial	1	1	0.342778217736779	0.0124499360821224	27.5325283178758	0	0.318376791405993	0.367179644067564	0.342778217736779	0.282583599454458
QIadmin	~~	QIadmin	1	1	0.256396275312943	0.00922646899957006	27.7892089947835	0	0.238312728369311	0.274479822256576	0.256396275312943	0.204447855494281
QIstudent	~~	QIstudent	1	1	0.229644575513443	0.00843731425447957	27.217734054592	0	0.213107743448417	0.246181407578469	0.229644575513443	0.182498387490744
QIadvisor	~~	QIadvisor	1	1	0.169063934345747	0.00681435900162355	24.8099541432241	0	0.155708036124838	0.182419832566655	0.169063934345747	0.141908146120473
QIfaculty	~~	QIfaculty	1	1	0.170582267101933	0.00700597167381308	24.3481240067721	0	0.156850814944552	0.184313719259315	0.170582267101933	0.143479117099099
QIstaff	~~	QIstaff	1	1	0.178936970521501	0.00708310712994916	25.262496703588	0	0.165054335648162	0.192819605394841	0.178936970521501	0.147185779774059
Belong	~~	Belong	1	1	0.338138865345876	0.0148576878560318	22.7585118641862	0	0.309018332254515	0.367259398437236	0.840699416881898	0.840699416881898
Gains	~~	Gains	1	1	0.219137615534207	0.0125114245727056	17.5150011304284	0	0.194615673976415	0.243659557091999	0.894778764153942	0.894778764153942
SupportEnv	~~	SupportEnv	1	1	0.271159349178478	0.013005477458226	20.8496266322748	0	0.245669081758608	0.296649616598349	0.816401391656864	0.816401391656864
Satisf	~~	Satisf	1	1	0.271950718736357	0.0170046457092151	15.9927306564807	0	0.238622225576432	0.305279211896282	0.803126520023815	0.803126520023815
DevAdj	~~	DevAdj	1	1	0.0640725059906379	0.00891560668106318	7.18655592184528	6.64357457935694e-13	0.0465982379954294	0.0815467739858464	1	1
EmoDiss	~~	EmoDiss	1	1	0.885065484446069	0.0305476000870812	28.9733230081262	0	0.825193288461258	0.944937680430881	1	1
QualEngag	~~	QualEngag	1	1	0.997695017026953	0.0373717677610331	26.6964898049921	0	0.924447698176733	1.07094233587717	1	1
DevAdj	~~	EmoDiss	1	1	-0.16422574931321	0.0130596235292834	-12.5750753032788	0	-0.189822141082258	-0.138629357544163	-0.689632459561288	-0.689632459561288
DevAdj	~~	QualEngag	1	1	0.161189255233374	0.0132363575264331	12.1777652886361	0	0.13524647119507	0.187132039271679	0.63753103622701	0.63753103622701
EmoDiss	~~	QualEngag	1	1	-0.215054102610302	0.0210386140767588	-10.2218759194728	0	-0.256289028485386	-0.173819176735217	-0.228855380940358	-0.228855380940358
sbvalued	~1		1	1	2.76545388874811	0.0160550900269914	172.247797059929	0	2.73398649052666	2.79692128696956	2.76545388874811	3.73899999334953
sbmyself	~1		1	1	2.76342167927437	0.0165777415596398	166.694701406264	0	2.73092990287247	2.79591345567628	2.76342167927437	3.61832684548965
sbcommunity	~1		1	1	2.762739490029	0.0157069594342606	175.892699130731	0	2.73195441523122	2.79352456482678	2.762739490029	3.81630183624683
pganalyze	~1		1	1	2.9352685877978	0.0150660818939605	194.82627324457	0	2.90573960989751	2.9647975656981	2.9352685877978	4.21114201544311
pgthink	~1		1	1	2.93268680676011	0.014338410731971	204.533602892332	0	2.90458403812991	2.96078957539032	2.93268680676011	4.41575791239476
pgwork	~1		1	1	2.91968878654733	0.0150532116008727	193.957865202537	0	2.89018503395796	2.9491925391367	2.91968878654733	4.1972748784748
pgvalues	~1		1	1	2.91631327761566	0.0156968460746214	185.789760806201	0	2.88554802463853	2.94707853059279	2.91631327761566	4.012857266864
pgprobsolve	~1		1	1	2.93491322250159	0.0143822507743903	204.064945643114	0	2.90672452896716	2.96310191603602	2.93491322250159	4.3970738485543
SEacademic	~1		1	1	2.74518099795209	0.01523274347556	180.215796475307	0	2.71532536935425	2.77503662654992	2.74518099795209	3.87264652526375
SEwellness	~1		1	1	2.72080814822671	0.0157359909512347	172.903515047664	0	2.68996617270125	2.75165012375218	2.72080814822671	3.73989012804634
SEnonacad	~1		1	1	2.73471542863079	0.0166003072203802	164.738844427734	0	2.70217942434655	2.76725143291504	2.73471542863079	3.54501043279489
SEactivities	~1		1	1	2.72962922218267	0.0171493587798616	159.168004892875	0	2.69601709661619	2.76324134774916	2.72962922218267	3.42344418024005
SEdiverse	~1		1	1	2.72297737463528	0.0160856463278765	169.279948043888	0	2.69145008716459	2.75450466210597	2.72297737463528	3.63101601741996
sameinst	~1		1	1	2.88949226062687	0.0139692581334559	206.84650774021	0	2.86211301779455	2.91687150345919	2.88949226062687	4.44682540281429
evalexp	~1		1	1	2.87580311930909	0.0144290716262855	199.306178096048	0	2.84752265859122	2.90408358002696	2.87580311930909	4.28677928290757
MHWdacad	~1		1	1	3.95508929071352	0.0229698969275491	172.185765708419	0	3.91006912000692	4.00010946142011	3.95508929071352	3.7681676283948
MHWdlonely	~1		1	1	3.95301040840341	0.0227123875203781	174.046449535817	0	3.90849494686055	3.99752586994627	3.95301040840341	3.81101705842994
