lhs	op	rhs	group	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1	0.88542917718286	0.0123617256035544	71.6266648831186	0	0.861200640213126	0.909657714152593
Belong	=~	sbmyself	1	0.837741115864934	0.0140246715137243	59.7333859153234	0	0.810253264803029	0.865228966926838
Belong	=~	sbcommunity	1	0.888509765920268	0.0119677448187369	74.2420380261788	0	0.865053417099378	0.911966114741158
Gains	=~	pganalyze	1	0.703414898614095	0.0201481215795872	34.912182549402	0	0.66392530596197	0.74290449126622
Gains	=~	pgthink	1	0.787140191739824	0.018615299119503	42.2845846680566	0	0.750654875904158	0.82362550757549
Gains	=~	pgwork	1	0.746851754862869	0.0188097270908436	39.7056135506841	0	0.709985367205788	0.783718142519949
Gains	=~	pgvalues	1	0.695378414516992	0.0217015779636457	32.0427581663363	0	0.652844103300559	0.737912725733426
Gains	=~	pgprobsolve	1	0.760369247051726	0.0189189108932463	40.1909629651653	0	0.723288863074241	0.797449631029211
SupportEnv	=~	SEacademic	1	0.826954808576783	0.013838879286362	59.7559088033765	0	0.799831103589116	0.85407851356445
SupportEnv	=~	SEwellness	1	0.817435789181809	0.0142499170494657	57.3642489527654	0	0.789506464982173	0.845365113381445
SupportEnv	=~	SEnonacad	1	0.760772179227801	0.0171216811846008	44.4332639432651	0	0.727214300751207	0.794330057704396
SupportEnv	=~	SEactivities	1	0.761015664120188	0.0168167517143724	45.2534280725444	0	0.728055436423065	0.79397589181731
SupportEnv	=~	SEdiverse	1	0.778607032249618	0.0160212381675567	48.5984306647604	0	0.747205982453468	0.810008082045768
Satisf	=~	sameinst	1	0.823119194561022	0.0237864052141489	34.6046065872705	0	0.776498697019615	0.86973969210243
Satisf	=~	evalexp	1	0.925748638524686	0.0227333020044123	40.7221369929017	0	0.881192185346366	0.970305091703006
DevAdj	=~	Belong	1	0.50897175064871	0.0353475586095446	14.3990637732836	0	0.439691808832584	0.578251692464837
DevAdj	=~	Gains	1	0.251468861797183	0.0427438509320417	5.88315877755124	4.02509447994248e-09	0.167692453409832	0.335245270184533
DevAdj	=~	SupportEnv	1	0.506085417008839	0.0361767065489428	13.989261745653	0	0.435180375093637	0.576990458924041
DevAdj	=~	Satisf	1	0.574348032958632	0.0320892999465316	17.8984282585046	0	0.511454160774327	0.637241905142937
EmoDiss	=~	MHWdacad	1	0.916869084696475	0.00743438188203344	123.328220051792	0	0.902297963960372	0.931440205432577
EmoDiss	=~	MHWdlonely	1	0.937554070935606	0.00561157192515558	167.075123234674	0	0.926555592065645	0.948552549805567
EmoDiss	=~	MHWdmental	1	0.941824737125099	0.00569949142668806	165.247153932888	0	0.930653939198596	0.952995535051602
EmoDiss	=~	MHWdexhaust	1	0.943043650852246	0.00523972174669988	179.979719618928	0	0.932773984939703	0.953313316764789
EmoDiss	=~	MHWdsleep	1	0.930513883199907	0.00628294117493908	148.101638594273	0	0.918199544780043	0.942828221619772
EmoDiss	=~	MHWdfinancial	1	0.889206852300417	0.00870289302350596	102.173708202402	0	0.87214949541304	0.906264209187794
QualEngag	=~	QIadmin	1	0.889557219467246	0.00819321093516978	108.572478666304	0	0.873498821116574	0.905615617817919
QualEngag	=~	QIstudent	1	0.914076110523451	0.00640635614692703	142.682687249898	0	0.901519883203338	0.926632337843565
QualEngag	=~	QIadvisor	1	0.91764744485029	0.00647907527653385	141.632471561777	0	0.90494869065516	0.93034619904542
QualEngag	=~	QIfaculty	1	0.923530874540177	0.00615611951215607	150.018347226129	0	0.911465102011827	0.935596647068528
QualEngag	=~	QIstaff	1	0.901270094489267	0.00737417281880676	122.219822702108	0	0.886816981348632	0.915723207629903
sbvalued	~~	sbvalued	1	0.216015172193284	0.0218908651675087	9.86782251593702	0	0.173109864874545	0.258920479512024
sbmyself	~~	sbmyself	1	0.298189822789376	0.0234980876138922	12.6899613146852	0	0.25213441736058	0.344245228218171
sbcommunity	~~	sbcommunity	1	0.21055039586431	0.0212669163155269	9.90037261352218	0	0.16886800582365	0.25223278590497
pganalyze	~~	pganalyze	1	0.505207480407722	0.0283449778085157	17.8235271101868	0	0.449652344760444	0.560762616055
pgthink	~~	pgthink	1	0.380410318547794	0.0293057005054187	12.980761830875	0	0.322972201015456	0.437848436080132
pgwork	~~	pgwork	1	0.442212456258254	0.0280961556183864	15.7392513860105	0	0.387145003142184	0.497279909374324
pgvalues	~~	pgvalues	1	0.516448860623834	0.0301816172750295	17.1113713330105	0	0.457293977769604	0.575603743478063
pgprobsolve	~~	pgprobsolve	1	0.421838608137991	0.0287707155344722	14.6620826177422	0	0.365449041880979	0.478228174395004
