lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.637108241742062	0.857414140146448
Belong	=~	sbmyself	1	1	.p2.	0.989389355398959	0.0150817406084478	65.6018016146471	0	0.959829686982226	1.01894902381569	0.630348112616543	0.825223744084961
Belong	=~	sbcommunity	1	1	.p3.	1.00637924498316	0.0142022906385385	70.8603471507835	0	0.978543266833653	1.03421522313266	0.641172511296924	0.873400064276884
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.497910093294156	0.713105381441081
Gains	=~	pgthink	1	1	.p5.	1.02549577271113	0.0211232462036537	48.5482090595409	0	0.984094970915397	1.06689657450686	0.510604695863362	0.774900134226469
Gains	=~	pgwork	1	1	.p6.	1.02927836608002	0.0217898174313824	47.2366677380974	0	0.986571108684804	1.07198562347523	0.512488087280558	0.740498339589529
Gains	=~	pgvalues	1	1	.p7.	1.00286869105326	0.0227470317929331	44.087892441634	0	0.958285327983928	1.0474520541226	0.499338443524119	0.693161791678721
Gains	=~	pgprobsolve	1	1	.p8.	1.0108885056788	0.0213302612738582	47.3922233159761	0	0.969081961801213	1.0526950495564	0.503331590172524	0.756662494620991
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.580437463888967	0.816015659129752
SupportEnv	=~	SEwellness	1	1	.p10.	0.998953584217339	0.0156748199113252	63.7298284681145	0	0.96823150172699	1.02967566670769	0.579830084965906	0.801843019724478
SupportEnv	=~	SEnonacad	1	1	.p11.	1.01129525483599	0.0164180601189695	61.5965130781519	0	0.979116448306795	1.04347406136518	0.586993652959948	0.753034043297544
SupportEnv	=~	SEactivities	1	1	.p12.	0.983428233307924	0.0174029596051722	56.50925219729	0	0.949319059257381	1.01753740735847	0.570818589658059	0.720676431654799
SupportEnv	=~	SEdiverse	1	1	.p13.	1.00291768917591	0.0163624372981808	61.2939057243881	0	0.970847901372178	1.03498747697964	0.582130999994647	0.781141095164407
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.585060998901296	0.899981173157707
Satisf	=~	evalexp	1	1	.p15.	0.951774180754475	0.0241911219092256	39.3439454493222	0	0.904360453066775	0.999187908442175	0.556845952920676	0.830666574181797
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.424592148365558	0.424592148365558
DevAdj	=~	Gains	1	1	.p17.	0.523959869769486	0.0338302867167734	15.4878932642833	0	0.457653726217946	0.590266013321025	0.284663822958434	0.284663822958434
DevAdj	=~	SupportEnv	1	1	.p18.	0.905440594360481	0.0433975429178895	20.8638677095988	0	0.820382973223887	0.990498215497076	0.421977901335176	0.421977901335176
DevAdj	=~	Satisf	1	1		0.956706430663715	0.0721710813129492	13.2560911276254	0	0.815253710565023	1.09815915076241	0.442346634030315	0.442346634030315
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.934296951678271	0.894827085019289
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.0167835603793	0.0106085410177883	95.8457490690159	0	0.995991202055916	1.03757591870268	0.949977780978956	0.914267727798127
EmoDiss	=~	MHWdmental	1	1	.p22.	1.0119783245362	0.0103713078780975	97.5748031425561	0	0.991650934622557	1.03230571444985	0.94548826377866	0.934494936515379
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.0033954522482	0.0101977560434045	98.3937493677501	0	0.983408217680001	1.0233826868164	0.937469312363332	0.916917192517709
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.01161144199512	0.0109255767942792	92.591124573379	0	0.990197704968006	1.03302517902223	0.9451454865389	0.909850973440635
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.992843016509278	0.0122021851610351	81.3660015322249	0	0.96892717306096	1.0167588599576	0.927610203819678	0.845474517497301
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.993763802154585	0.890776311240807
QualEngag	=~	QIstudent	1	1	.p27.	1.02475869826574	0.0110536513980785	92.7077090963694	0	1.00309393962785	1.04642345690363	1.01836810027954	0.904999030370168
QualEngag	=~	QIadvisor	1	1	.p28.	1.01743221164936	0.0100870451412017	100.865238274144	0	0.997661966462171	1.03720245683654	1.01108730308321	0.926323436202398
QualEngag	=~	QIfaculty	1	1	.p29.	1.01921243329569	0.0102979059228155	98.9727854318011	0	0.999028908570793	1.03939595802059	1.01285642291515	0.926167108676171
QualEngag	=~	QIstaff	1	1	.p30.	1.02100977891541	0.0107270980098004	95.180427920264	0	0.999985053157573	1.04203450467325	1.01464255993199	0.922820236627535
sbvalued	~~	sbvalued	1	1		0.146227942712002	0.00736664595841172	19.850002774333	0	0.131789581946657	0.160666303477346	0.146227942712002	0.264840992276927
sbmyself	~~	sbmyself	1	1		0.186129848661891	0.00840861684318527	22.135608285296	0	0.169649262489451	0.202610434834331	0.186129848661891	0.319005772198399
sbcommunity	~~	sbcommunity	1	1		0.12781663106517	0.00689129548057086	18.5475476164871	0	0.114309940116428	0.141323322013913	0.12781663106517	0.237172327721135
pganalyze	~~	pganalyze	1	1		0.239607779149554	0.00877302430547674	27.3118790973797	0	0.222412967475325	0.256802590823783	0.239607779149554	0.491480714959771
pgthink	~~	pgthink	1	1		0.173471165001531	0.00667520275778155	25.9874001279301	0	0.160388008006777	0.186554321996286	0.173471165001531	0.3995297819758
pgwork	~~	pgwork	1	1		0.216338157038771	0.00785709507958887	27.5341146883628	0	0.20093853365967	0.231737780417872	0.216338157038771	0.45166220906515
pgvalues	~~	pgvalues	1	1		0.269605453578697	0.00926176008379859	29.1095268220468	0	0.251452737381001	0.287758169776393	0.269605453578697	0.519526730556745
pgprobsolve	~~	pgprobsolve	1	1		0.1891478206636	0.00744050116403545	25.4213817716834	0	0.174564706355162	0.203730934972038	0.1891478206636	0.427461869233939
SEacademic	~~	SEacademic	1	1		0.169049673521454	0.00654256132907453	25.8384545468781	0	0.156226488949824	0.181872858093085	0.169049673521454	0.334118444055037
SEwellness	~~	SEwellness	1	1		0.186702060907162	0.00696304787200406	26.8132668824272	0	0.173054737855405	0.200349383958918	0.186702060907162	0.35704777171913
SEnonacad	~~	SEnonacad	1	1		0.263066188015714	0.00925319739580284	28.4297607370873	0	0.244930254378101	0.281202121653328	0.263066188015714	0.432939729634953
SEactivities	~~	SEactivities	1	1		0.30152433547501	0.0101064591645489	29.834814603782	0	0.28171603950127	0.321332631448751	0.30152433547501	0.480625480857306
SEdiverse	~~	SEdiverse	1	1		0.216493582713786	0.00773647680445016	27.9834850133921	0	0.201330366809835	0.231656798617738	0.216493582713786	0.389818589445351
sameinst	~~	sameinst	1	1		0.0803094222366631	0.00990683202307253	8.10646855116008	4.44089209850063e-16	0.0608923882705528	0.0997264562027733	0.0803094222366631	0.190033887961677
evalexp	~~	evalexp	1	1		0.13930561184396	0.0100508427851072	13.8600926133653	0	0.119606321970876	0.159004901717045	0.13930561184396	0.309993042537077
MHWdacad	~~	MHWdacad	1	1		0.217252667066331	0.00807546076774006	26.9028199522948	0	0.201425054802994	0.233080279329668	0.217252667066331	0.199284487915881
MHWdlonely	~~	MHWdlonely	1	1		0.17718507104369	0.00679606168221953	26.0717279107777	0	0.163865034909827	0.190505107177553	0.17718507104369	0.164114521906851
MHWdmental	~~	MHWdmental	1	1		0.129718180643633	0.00564422374249981	22.9824660682536	0	0.118655705387647	0.140780655899618	0.129718180643633	0.126719213627119
MHWdexhaust	~~	MHWdexhaust	1	1		0.166482429311334	0.00651490784120653	25.5540728079589	0	0.153713444579971	0.179251414042696	0.166482429311334	0.159262862065443
MHWdsleep	~~	MHWdsleep	1	1		0.185787856108601	0.00720418501356686	25.7888790694197	0	0.171667912944047	0.199907799273156	0.185787856108601	0.172171206129129
MHWdfinancial	~~	MHWdfinancial	1	1		0.343271818403748	0.0123926715769228	27.6995816659079	0	0.318982628440746	0.36756100836675	0.343271818403748	0.285172840262706
QIadmin	~~	QIadmin	1	1		0.257031304843417	0.00917377447323973	28.018053593228	0	0.239051037273575	0.27501157241326	0.257031304843417	0.206517563332221
QIstudent	~~	QIstudent	1	1		0.229158590766209	0.00839228824341856	27.3058531975377	0	0.21271000806123	0.245607173471188	0.229158590766209	0.180976755029056
QIadvisor	~~	QIadvisor	1	1		0.169087140824167	0.00677573139923029	24.9548175483129	0	0.155806951312758	0.182367330335575	0.169087140824167	0.141924891542181
QIfaculty	~~	QIfaculty	1	1		0.170082998639129	0.0069557395115503	24.4521805850692	0	0.156449999710648	0.18371599756761	0.170082998639129	0.142214486806422
