lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.880314823727973	0.0104051787922821	84.6035268880657	0	0.8599210480424	0.900708599413546
Belong	=~	sbmyself	1	.p2.	0.840492748999227	0.0110226494106454	76.2514271920414	0	0.81888875314015	0.862096744858303
Belong	=~	sbcommunity	1	.p3.	0.887544027897128	0.0104022461084622	85.3223446785319	0	0.86715600016622	0.907932055628036
Gains	=~	pganalyze	1		0.720829156488134	0.0142774388943072	50.4872870984969	0	0.69284589046382	0.748812422512447
Gains	=~	pgthink	1	.p5.	0.78830224682821	0.0129393372786978	60.9229228552534	0	0.762941611778146	0.813662881878275
Gains	=~	pgwork	1	.p6.	0.749753078562062	0.0144096179827742	52.0314334119298	0	0.721510746284843	0.77799541083928
Gains	=~	pgvalues	1	.p7.	0.711736888565259	0.0152873468119803	46.5572540035193	0	0.681774239394604	0.741699537735914
Gains	=~	pgprobsolve	1	.p8.	0.770676952250034	0.013885118766543	55.5038070043035	0	0.743462619546549	0.79789128495352
SupportEnv	=~	SEacademic	1		0.829362797056674	0.0107262400488036	77.3209245069227	0	0.808339752871488	0.85038584124186
SupportEnv	=~	SEwellness	1	.p10.	0.798529065297772	0.0123266667905339	64.7806157874724	0	0.7743692423389	0.822688888256644
SupportEnv	=~	SEnonacad	1	.p11.	0.761514581186901	0.0127564664255341	59.6963575792907	0	0.73651236642286	0.786516795950942
SupportEnv	=~	SEactivities	1	.p12.	0.762410741284863	0.0133931615277253	56.9253749166386	0	0.736160627051394	0.788660855518332
SupportEnv	=~	SEdiverse	1	.p13.	0.772293803889381	0.0127648495375717	60.5015986766026	0	0.747275158527668	0.797312449251094
Satisf	=~	sameinst	1		0.865169450595423	0.014352720992825	60.2791241485099	0	0.837038634369334	0.893300266821512
Satisf	=~	evalexp	1	.p15.	0.881458320354012	0.0155013965928978	56.8631552048584	0	0.85107614132186	0.911840499386163
DevAdj	=~	Belong	1		0.492600612695738	0.0296663020100124	16.6047191365302	0	0.434455729201626	0.550745496189851
DevAdj	=~	Gains	1	.p17.	0.333970749966797	0.0228145737348063	14.6384830086606	0	0.289255007123943	0.378686492809651
DevAdj	=~	SupportEnv	1	.p18.	0.478049300569368	0.0301353245694002	15.8634196711054	0	0.418985149750919	0.537113451387818
DevAdj	=~	Satisf	1		0.577731894406906	0.032185009478554	17.9503409744797	0	0.51465043498686	0.640813353826952
EmoDiss	=~	MHWdacad	1		0.914238294799321	0.00721829380446638	126.655733275033	0	0.900090698912738	0.928385890685904
EmoDiss	=~	MHWdlonely	1	.p21.	0.937126921718651	0.00530461063391845	176.662715963831	0	0.926730075924163	0.947523767513139
EmoDiss	=~	MHWdmental	1	.p22.	0.943565160097689	0.00510100960323823	184.976158346907	0	0.933567364990549	0.953562955204829
EmoDiss	=~	MHWdexhaust	1	.p23.	0.944023336625248	0.00498272450724688	189.459267766512	0	0.934257376046159	0.953789297204337
EmoDiss	=~	MHWdsleep	1	.p24.	0.926907236285208	0.00614597704151719	150.815278030455	0	0.914861342634024	0.938953129936391
EmoDiss	=~	MHWdfinancial	1	.p25.	0.892519702468065	0.00779308932332984	114.527072055516	0	0.877245528066035	0.907793876870095
QualEngag	=~	QIadmin	1		0.891928679400581	0.00728453879343075	122.441338387123	0	0.877651245721472	0.90620611307969
QualEngag	=~	QIstudent	1	.p27.	0.909318172575276	0.00639674408699576	142.153283015319	0	0.896780784546444	0.921855560604107
QualEngag	=~	QIadvisor	1	.p28.	0.915375782646585	0.00611300092467702	149.742457743035	0	0.903394520996758	0.927357044296412
QualEngag	=~	QIfaculty	1	.p29.	0.92697848743305	0.00538687984513745	172.08078035559	0	0.916420396947536	0.937536577918564
QualEngag	=~	QIstaff	1	.p30.	0.901652087626935	0.00674517130614998	133.67371215685	0	0.888431794797328	0.914872380456542
sbvalued	~~	sbvalued	1		0.225045811124787	0.0183196662933568	12.2843837612039	0	0.189139924981016	0.260951697268559
sbmyself	~~	sbmyself	1		0.293571938879723	0.0185289139510438	15.8439906221911	0	0.257255934863036	0.329887942896411
