lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.683926125611874	0.881499640509941
Belong	=~	sbmyself	1	1	.p2.	0.986924730878229	0.0134655677668249	73.2924706902977	0	0.960532703023869	1.01331675873259	0.674983607460088	0.841963439957566
Belong	=~	sbcommunity	1	1	.p3.	1.01320676155733	0.0126573054182883	80.0491675023786	0	0.988398898796156	1.03801462431849	0.692958574875655	0.888610042445551
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.535298051326711	0.722270754381518
Gains	=~	pgthink	1	1	.p5.	1.00993597775387	0.0208288002602208	48.4874772015874	0	0.969112279402663	1.05075967610509	0.540616760856385	0.789438433156047
Gains	=~	pgwork	1	1	.p6.	0.961920841220773	0.0203454112166905	47.2794986041695	0	0.922044567985402	1.00179711445614	0.51491435183603	0.751080013913811
Gains	=~	pgvalues	1	1	.p7.	0.983280256459264	0.0209702205450023	46.8893617188782	0	0.942179379443197	1.02438113347533	0.526348005190672	0.713135749835517
Gains	=~	pgprobsolve	1	1	.p8.	1.02619318081542	0.0209322452242245	49.0245155177061	0	0.985166734060384	1.06721962757046	0.549319209975256	0.771994971027395
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.61747762647027	0.830854507185015
SupportEnv	=~	SEwellness	1	1	.p10.	0.991804537082753	0.0156700509763168	63.2930000407616	0	0.961091801533266	1.02251727263224	0.612417111480304	0.800106827726052
SupportEnv	=~	SEnonacad	1	1	.p11.	0.985832645789972	0.0161462302966325	61.056520790217	0	0.954186615922483	1.01747867565746	0.608729602219299	0.763223934981538
SupportEnv	=~	SEactivities	1	1	.p12.	1.00857127433833	0.0168132608693011	59.9866547113328	0	0.97561788857182	1.04152466010483	0.622770196604526	0.764115327269509
SupportEnv	=~	SEdiverse	1	1	.p13.	1.0057040242517	0.01631287135862	61.6509504760035	0	0.973731383904368	1.03767666459903	0.620999733826538	0.774089213822757
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.589529554840268	0.862680169637892
Satisf	=~	evalexp	1	1	.p15.	1.02830981556542	0.024062957507457	42.7341408572386	0	0.981147285489282	1.07547234564155	0.606219027808157	0.877873686232654
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.504861900061854	0.504861900061854
DevAdj	=~	Gains	1	1	.p17.	0.532856376655907	0.0330632621011206	16.1162675064009	0	0.468053573726302	0.597659179585511	0.343713267326825	0.343713267326825
DevAdj	=~	SupportEnv	1	1	.p18.	0.877709090199463	0.0397248126753669	22.0947320097428	0	0.799849888063144	0.955568292335783	0.490807467141493	0.490807467141493
DevAdj	=~	Satisf	1	1	.p19.	0.947233449335172	0.0422505016303886	22.4194604272787	0	0.86442398781086	1.03004291085948	0.554795889383451	0.554795889383451
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	1.05089920934788	0.914252926461467
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.998979613099773	0.0102677651021287	97.2927996660795	0	0.978855163297883	1.01910406290166	1.0498268855612	0.937114685476274
EmoDiss	=~	MHWdmental	1	1	.p22.	1.00735530856429	0.0095687841536076	105.275162694991	0	0.988600836247385	1.0261097808812	1.0586288973026	0.943570848253041
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.00502540391829	0.00987214909545125	101.804115213513	0	0.985676347241201	1.02437446059539	1.05618040235227	0.94403983777324
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00722343059149	0.0104492409441916	96.3920189007959	0	0.986743294675091	1.02770356650789	1.05849030684525	0.926890720611828
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.992127082656633	0.0115724222956879	85.7320150705454	0	0.969445551743196	1.01480861357007	1.04262556673647	0.892489062021301
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.96450657941879	0.891944900296493
QualEngag	=~	QIstudent	1	1	.p27.	0.99726179900285	0.00975424389760652	102.238759812799	0	0.978143832267121	1.01637976573858	0.961865566541268	0.909325014798071
QualEngag	=~	QIadvisor	1	1	.p28.	0.994117823218937	0.00967787577969631	102.720663691979	0	0.97514953524388	1.01308611119399	0.958833181212151	0.915381829021895
