lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.848553250295667	0.00796136967223159	106.583827309933	0	0.832949252470483	0.86415724812085
Belong	=~	sbmyself	1	.p2.	0.8214448104039	0.0083942888629916	97.8575819597361	0	0.804992306556611	0.837897314251189
Belong	=~	sbcommunity	1	.p3.	0.874884533971055	0.00734236163306375	119.155740032106	0	0.860493769608782	0.889275298333329
Gains	=~	pganalyze	1		0.723071049471833	0.0108770809742009	66.4765713509779	0	0.701752362505473	0.744389736438192
Gains	=~	pgthink	1	.p5.	0.78197677923077	0.0096785117551172	80.7951469209432	0	0.763007244766793	0.800946313694748
Gains	=~	pgwork	1	.p6.	0.732802045216259	0.0112287260671459	65.2613698859718	0	0.710794146532387	0.754809943900131
Gains	=~	pgvalues	1	.p7.	0.6955802749199	0.0113528377070292	61.2692872804152	0	0.673329121891794	0.717831427948005
Gains	=~	pgprobsolve	1	.p8.	0.749692309551714	0.0101985015348699	73.510045273654	0	0.729703613847093	0.769681005256336
SupportEnv	=~	SEacademic	1		0.818171216420521	0.00775805955148205	105.460806402836	0	0.8029656991097	0.833376733731343
SupportEnv	=~	SEwellness	1	.p10.	0.811340999475947	0.00832837420502697	97.4188934721768	0	0.795017685984322	0.827664312967573
SupportEnv	=~	SEnonacad	1	.p11.	0.772399316641144	0.00884420351145541	87.333960106266	0	0.755064996286749	0.78973363699554
SupportEnv	=~	SEactivities	1	.p12.	0.7254957708849	0.00973543599286104	74.5211381818856	0	0.706414666965098	0.744576874804703
SupportEnv	=~	SEdiverse	1	.p13.	0.781439098484439	0.00846328439943111	92.3328416727868	0	0.764851365870635	0.798026831098244
Satisf	=~	sameinst	1		0.858028376459781	0.0147715413354623	58.0865839910625	0	0.82907668744613	0.886980065473432
Satisf	=~	evalexp	1	.p15.	0.847307309298079	0.0147976969689996	57.2594040189595	0	0.818304356184702	0.876310262411456
DevAdj	=~	Belong	1		0.396255905696616	0.0206050372157167	19.2310211113993	0	0.355870774853704	0.436641036539529
DevAdj	=~	Gains	1	.p17.	0.255545391550301	0.0196828671387481	12.9831385716784	0	0.216967680845868	0.294123102254734
DevAdj	=~	SupportEnv	1	.p18.	0.391277576321141	0.0205088860364375	19.0784411998765	0	0.351080898326687	0.431474254315595
DevAdj	=~	Satisf	1	.p19.	0.415875226077184	0.0219828420225748	18.918173803465	0	0.372789647435104	0.458960804719264
EmoDiss	=~	MHWdacad	1		0.897508791335777	0.00463316142416868	193.714120698226	0	0.888427961809846	0.906589620861707
EmoDiss	=~	MHWdlonely	1	.p21.	0.920421755874206	0.0039122374201619	235.267356508265	0	0.912753911431719	0.928089600316694
EmoDiss	=~	MHWdmental	1	.p22.	0.934567854203383	0.00337445226895333	276.953940881571	0	0.927954049288685	0.94118165911808
EmoDiss	=~	MHWdexhaust	1	.p23.	0.926428663575309	0.00370146143080316	250.287266501191	0	0.919173932480771	0.933683394669847
EmoDiss	=~	MHWdsleep	1	.p24.	0.908545776363528	0.00437092056564698	207.861424777242	0	0.899978929475574	0.917112623251481
EmoDiss	=~	MHWdfinancial	1	.p25.	0.850509183500753	0.00606350649148405	140.266887599652	0	0.83862492915742	0.862393437844087
QualEngag	=~	QIadmin	1		0.886889775703995	0.00521369994564434	170.107559880757	0	0.876671111584334	0.897108439823657
QualEngag	=~	QIstudent	1	.p27.	0.893157840470334	0.00507848061116771	175.871074215831	0	0.88320420137626	0.903111479564407
QualEngag	=~	QIadvisor	1	.p28.	0.914086241822284	0.00424658745084395	215.251952868796	0	0.90576308336143	0.922409400283138
QualEngag	=~	QIfaculty	1	.p29.	0.930925340414958	0.00355690399199585	261.723493945811	0	0.92395393669418	0.937896744135737
QualEngag	=~	QIstaff	1	.p30.	0.91416813972291	0.00439827561892944	207.846942512762	0	0.905547677915728	0.922788601530093
sbvalued	~~	sbvalued	1		0.27995738141266	0.0135112922057972	20.7202521526801	0	0.2534757353047	0.306439027520619
sbmyself	~~	sbmyself	1		0.325228423460501	0.0137908899746562	23.5828452013017	0	0.29819877579542	0.352258071125581
sbcommunity	~~	sbcommunity	1		0.23457705221825	0.0128474373778636	18.2586647686199	0	0.209396537664003	0.259757566772496
pganalyze	~~	pganalyze	1		0.477168257415702	0.015729804638226	30.3352945818606	0	0.446338406840928	0.507998107990476
pgthink	~~	pgthink	1		0.388512316743871	0.0151367428568449	25.6668373386671	0	0.358844845901211	0.418179787586531
pgwork	~~	pgwork	1		0.463001162526867	0.0164568665957142	28.1342234765059	0	0.430746296700887	0.495256028352847
pgvalues	~~	pgvalues	1		0.516168081142357	0.0157936197681427	32.682063309104	0	0.485213155211277	0.547123007073436
pgprobsolve	~~	pgprobsolve	1		0.437961440999017	0.0152914762158555	28.6408869108988	0	0.407990698345489	0.467932183652544
SEacademic	~~	SEacademic	1		0.330595860620964	0.0126948419280497	26.0417469153753	0	0.305714427652558	0.355477293589371
SEwellness	~~	SEwellness	1		0.34172578256937	0.0135143026427238	25.2862313064565	0	0.315238236113457	0.368213329025284
SEnonacad	~~	SEnonacad	1		0.403399295652293	0.0136625135835461	29.5259941141512	0	0.376621261090253	0.430177330214333
SEactivities	~~	SEactivities	1		0.473655886428124	0.0141260352398856	33.5307025916749	0	0.445969366113605	0.501342406742644
