lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.631728192788893	0.848233876856596
Belong	=~	sbmyself	1	1	.p2.	0.982217828574443	0.0148487801544283	66.1480484160527	0	0.953114754257411	1.01132090289148	0.620494693770364	0.822058842907185
Belong	=~	sbcommunity	1	1	.p3.	1.01251283914032	0.0142935924424256	70.8368342821238	0	0.984497912743471	1.04052776553717	0.639632906045665	0.874672683066428
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.504859592736112	0.722640530520828
Gains	=~	pgthink	1	1	.p5.	1.01312511548607	0.0220234756664486	46.0020539369045	0	0.969959896365438	1.05629033460671	0.511485933195024	0.782097899136013
Gains	=~	pgwork	1	1	.p6.	0.997780786800713	0.0216237274147038	46.1428674004758	0	0.955399059856382	1.04016251374504	0.503739201664125	0.733292897449597
Gains	=~	pgvalues	1	1	.p7.	0.994459757083993	0.0229882990291063	43.2593884316917	0	0.949403518921108	1.03951599524688	0.502062547953878	0.695241395030388
Gains	=~	pgprobsolve	1	1	.p8.	0.986508687704166	0.0219746893715587	44.8929525702865	0	0.943439087964456	1.02957828744388	0.498048374304962	0.749650054625507
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.586928148418911	0.817861765767322
SupportEnv	=~	SEwellness	1	1	.p10.	1.0215292460342	0.0170666025604601	59.8554540902524	0	0.988079319677242	1.05497917239116	0.59956426893062	0.810895904659591
SupportEnv	=~	SEnonacad	1	1	.p11.	1.0192561691448	0.0178880118457897	56.9798464989671	0	0.984196310172029	1.05431602811758	0.598230136120711	0.771988411443456
SupportEnv	=~	SEactivities	1	1	.p12.	0.979436328773386	0.0183757726777424	53.3004160396328	0	0.943420476136916	1.01545218140986	0.574858750941179	0.726138248782125
SupportEnv	=~	SEdiverse	1	1	.p13.	1.01497828711739	0.017828607278922	56.9297573971106	0	0.980034858956194	1.04992171527859	0.595719326743207	0.781966326933039
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.562469908393649	0.863845458701994
Satisf	=~	evalexp	1	1	.p15.	0.96453796447785	0.0289859629425202	33.2760366247122	0	0.907726521053298	1.0213494079024	0.542523580522053	0.84131663134862
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.396350547491788	0.396350547491788
DevAdj	=~	Gains	1	1	.p17.	0.515450378662874	0.0404169030464368	12.7533368420299	0	0.436234704325211	0.594666053000537	0.2556383300439	0.2556383300439
DevAdj	=~	SupportEnv	1	1	.p18.	0.917408153802502	0.0482692481211165	19.0060585054185	0	0.822802165924286	1.01201414168072	0.391369861826731	0.391369861826731
DevAdj	=~	Satisf	1	1	.p19.	0.93360908285153	0.0468818035336381	19.91410339369	0	0.841722436395317	1.02549572930774	0.415599959545369	0.415599959545369
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.944209000810129	0.897732992673234
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.00506850317318	0.0104550430192696	96.1324120159753	0	0.984576995398591	1.02556001094776	0.948994727126877	0.919859251001101
EmoDiss	=~	MHWdmental	1	1	.p22.	0.998796410865954	0.00982812928686653	101.626299544173	0	0.979533631428292	1.01805919030362	0.943072561116486	0.934075346978172
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.00606246879927	0.00987561459415877	101.873403341837	0	0.98670661986952	1.02541831772902	0.949933238417529	0.927089840112962
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00027580808203	0.0106839849191789	93.6238506183608	0	0.979335582429066	1.02121603373499	0.944469421283674	0.908840856064788
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.998492228503655	0.0122699522930092	81.3770261415399	0	0.974443563917332	1.02254089308998	0.942785349392115	0.850301028614296
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.968226737547464	0.887084702758394
QualEngag	=~	QIstudent	1	1	.p27.	0.98843006787081	0.0114591154098046	86.2571003539325	0	0.965970614372905	1.01088952136872	0.957024419908374	0.893144515279556
QualEngag	=~	QIadvisor	1	1	.p28.	0.999262593164903	0.0109098384306096	91.5927948448149	0	0.977879702763758	1.02064548356605	0.967512760533274	0.914036271459682
QualEngag	=~	QIfaculty	1	1	.p29.	1.00185411327825	0.0106333624747293	94.2179969562039	0	0.981013105793226	1.02269512076328	0.970021939597912	0.930841901986645
QualEngag	=~	QIstaff	1	1	.p30.	0.993268724834822	0.0109995941886043	90.3004881638139	0	0.971709916380602	1.01482753328904	0.96170933695475	0.91413856812732
sbvalued	~~	sbvalued	1	1		0.155582611823133	0.00762417772518975	20.4064775810642	0	0.140639498070029	0.170525725576238	0.155582611823133	0.280499290152829
sbmyself	~~	sbmyself	1	1		0.184717967651035	0.00805895310496654	22.9208391270074	0	0.168922709812204	0.200513225489867	0.184717967651035	0.324219258798101
sbcommunity	~~	sbcommunity	1	1		0.125643973563651	0.00690876768195714	18.1861627641325	0	0.112103037729461	0.139184909397841	0.125643973563651	0.234947697497376
pganalyze	~~	pganalyze	1	1		0.233203063994424	0.00803743709239056	29.014605192395	0	0.217449976765332	0.248956151223515	0.233203063994424	0.477790663648576
pgthink	~~	pgthink	1	1		0.166087950387103	0.00658533061785575	25.2208977840482	0	0.153180939549817	0.178994961224389	0.166087950387103	0.388322876167034
