lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.881912429868132	0.0102096570742577	86.3802205552774	0	0.861901869708082	0.901922990028182
Belong	=~	sbmyself	1	.p2.	0.841828501367496	0.0108567557728739	77.5396001327434	0	0.820549651063716	0.863107351671276
Belong	=~	sbcommunity	1	.p3.	0.888268609006397	0.010290010969648	86.3233879561923	0	0.868100558105365	0.908436659907429
Gains	=~	pganalyze	1		0.721782206953262	0.0141695129970123	50.9390977026134	0	0.694010471800645	0.749553942105878
Gains	=~	pgthink	1	.p5.	0.789771511184485	0.012848778896465	61.4666590147155	0	0.764588367302095	0.814954655066874
Gains	=~	pgwork	1	.p6.	0.750939301900417	0.0142982717637898	52.5195851852645	0	0.722915204202224	0.778963399598611
Gains	=~	pgvalues	1	.p7.	0.711862677485762	0.0151907585630852	46.8615622142563	0	0.682089337804272	0.741636017167252
Gains	=~	pgprobsolve	1	.p8.	0.7720718717273	0.0137488726857556	56.1552855549529	0	0.745124576435193	0.799019167019408
SupportEnv	=~	SEacademic	1		0.830749498947515	0.0105295441925334	78.8970048234955	0	0.810111971556526	0.851387026338503
SupportEnv	=~	SEwellness	1	.p10.	0.799408063649081	0.0122094905979429	65.4743174775666	0	0.775477901807532	0.823338225490629
SupportEnv	=~	SEnonacad	1	.p11.	0.763470563941291	0.0125403111014081	60.8813097033585	0	0.738892005827604	0.788049122054979
SupportEnv	=~	SEactivities	1	.p12.	0.764795151668743	0.0131580093995579	58.1239250136455	0	0.73900592713737	0.790584376200116
SupportEnv	=~	SEdiverse	1	.p13.	0.773872450462441	0.0125856754819686	61.4883524981364	0	0.749204979796673	0.798539921128208
Satisf	=~	sameinst	1		0.862824322631751	0.0144481350537542	59.7187332082388	0	0.834506498282622	0.89114214698088
Satisf	=~	evalexp	1	.p15.	0.877722264529374	0.0155187019944907	56.5589998983792	0	0.847306167533363	0.908138361525386
DevAdj	=~	Belong	1		0.50487634874017	0.0260623186095002	19.371889213116	0	0.453795142911941	0.555957554568398
DevAdj	=~	Gains	1	.p17.	0.343722223234124	0.0215357526240999	15.9605391663664	0	0.301512923710925	0.385931522757324
DevAdj	=~	SupportEnv	1	.p18.	0.490828337417157	0.027037981922097	18.1532903909528	0	0.437834866635202	0.543821808199112
DevAdj	=~	Satisf	1	.p19.	0.554736458379296	0.0284963436247038	19.4669346244965	0	0.498884651183799	0.610588265574793
EmoDiss	=~	MHWdacad	1		0.91493263589108	0.00714450894578474	128.060954620386	0	0.900929655670118	0.928935616112042
EmoDiss	=~	MHWdlonely	1	.p21.	0.936609721297559	0.00532817044300555	175.784489500908	0	0.926166699125777	0.94705274346934
EmoDiss	=~	MHWdmental	1	.p22.	0.94358534755352	0.00508812764912554	185.448442457156	0	0.933612800612492	0.953557894494549
EmoDiss	=~	MHWdexhaust	1	.p23.	0.943995953381869	0.00498081695584526	189.526329064159	0	0.934233731534826	0.953758175228912
