lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.693663806452898	0.878651090902853
Belong	=~	sbmyself	1	1	0.996652138274758	0.020962859976318	47.5437101330968	0	0.955565687708219	1.0377385888413	0.691341515945088	0.845925263263999
Belong	=~	sbcommunity	1	1	1.01883043482337	0.0198514089867981	51.322827286513	0	0.979922388166871	1.05773848147987	0.706725797549639	0.900954991620151
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.53259359645547	0.734782030969055
Gains	=~	pgthink	1	1	1.02728006732366	0.0332128056512754	30.9302405255911	0	0.962184164421631	1.09237597022569	0.547122785622925	0.803617958529411
Gains	=~	pgwork	1	1	0.957928648108137	0.0330561672385783	28.978817816186	0	0.89313975085359	1.02271754536268	0.510186663843639	0.735840847887465
Gains	=~	pgvalues	1	1	0.966702524192803	0.0337471367808342	28.6454679243134	0	0.900559351521021	1.03284569686458	0.514859574062426	0.701612933327013
Gains	=~	pgprobsolve	1	1	1.00228073808695	0.0333279750896092	30.0732563377197	0	0.93695910723367	1.06760236894023	0.533808302955773	0.767417883800693
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.608871968141791	0.819044044429095
SupportEnv	=~	SEwellness	1	1	1.01810664691618	0.0252084173759614	40.3875670468327	0	0.968699056752046	1.06751423708032	0.619896597886096	0.823858211716254
SupportEnv	=~	SEnonacad	1	1	1.01144202764419	0.0261535738548351	38.6731860532016	0	0.960181964821702	1.06270209046667	0.61583869803304	0.781878107825065
SupportEnv	=~	SEactivities	1	1	0.999331033003485	0.0271894041369733	36.7544293346448	0	0.946040780133913	1.05262128587306	0.608464652890001	0.752551715753948
SupportEnv	=~	SEdiverse	1	1	1.01150237742408	0.0260513577848423	38.8272421644224	0	0.960442654417426	1.06256210043074	0.615875443322302	0.788019345621135
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.591897328497086	0.882449110998679
Satisf	=~	evalexp	1	1	1.01405754958438	0.0392084123077217	25.8632647918944	0	0.937210473570247	1.09090462559851	0.600217954541295	0.873154715675484
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.553585258523878	0.553585258523878
DevAdj	=~	Gains	1	1	0.503401222006084	0.0495423983859289	10.1610184086094	0	0.406299905461928	0.60050253855024	0.362954241934594	0.362954241934594
DevAdj	=~	SupportEnv	1	1	0.796542737302312	0.0569918500096621	13.976432370019	0	0.684840763871065	0.908244710733559	0.502361852924422	0.502361852924422
DevAdj	=~	Satisf	1	1	0.871072981696681	0.0588857124776507	14.7926032486621	0	0.755659106036504	0.986486857356857	0.565121349950044	0.565121349950044
EmoDiss	=~	MHWdacad	1	1	1	0	NA	NA	1	1	0.952413250788618	0.89467111692375
EmoDiss	=~	MHWdlonely	1	1	1.00002498981933	0.0168965855767707	59.1850338801087	0	0.966908290627159	1.0331416890115	0.952437051423681	0.919916427633601
