lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.692773099244597	0.879086420995692
Belong	=~	sbmyself	1	1	.p2.	0.985506268310348	0.0131836673956102	74.7520578862977	0	0.959666755030797	1.0113457815899	0.682732231822338	0.842352584538958
Belong	=~	sbcommunity	1	1	.p3.	1.01259682596167	0.0123643653924191	81.8963847980844	0	0.988363115100834	1.0368305368225	0.701499841406707	0.89944228730042
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.530262054796065	0.733068541944851
Gains	=~	pgthink	1	1	.p5.	1.01230423978952	0.0206559714956782	49.0078251706206	0	0.971819279592306	1.05278919998674	0.53678652626956	0.795746116578611
Gains	=~	pgwork	1	1	.p6.	0.962587166038295	0.020205339913316	47.6402362032977	0	0.922985427512806	1.00218890456378	0.510423448583787	0.736094031111276
Gains	=~	pgvalues	1	1	.p7.	0.981099379394246	0.0208880881489351	46.9693239706221	0	0.940159478916435	1.02203927987206	0.520239772876737	0.705902678889153
Gains	=~	pgprobsolve	1	1	.p8.	1.02537848332478	0.0207197273713165	49.4880296902106	0	0.984768563907513	1.06598840274205	0.543719301511472	0.774898528575255
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.618928711969061	0.824325698603784
SupportEnv	=~	SEwellness	1	1	.p10.	0.991743619436372	0.0156577540914327	63.3388168983324	0	0.96105498533838	1.02243225353437	0.613818600981289	0.819595241478656
SupportEnv	=~	SEnonacad	1	1	.p11.	0.98833556943	0.0161638803631251	61.1446971412076	0	0.95665494606786	1.02001619279214	0.611709260980518	0.778817249798008
SupportEnv	=~	SEactivities	1	1	.p12.	1.01228183426925	0.0168663215008316	60.0179377713951	0	0.97922445157595	1.04533921696256	0.626530291833948	0.763168615866867
SupportEnv	=~	SEdiverse	1	1	.p13.	1.00470773733795	0.016242234964456	61.8577270638321	0	0.972873541779177	1.03654193289672	0.621842465775926	0.791157905012538
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.587916265543023	0.877551196156766
Satisf	=~	evalexp	1	1	.p15.	1.02782852966531	0.0244768301018095	41.9918970467229	0	0.979854824210059	1.07580223512056	0.604277110779407	0.878022874411272
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.539883565407112	0.539883565407112
DevAdj	=~	Gains	1	1	.p17.	0.517043165182857	0.0328926582569389	15.719105495944	0	0.452574739643473	0.581511590722241	0.364692955036752	0.364692955036752
DevAdj	=~	SupportEnv	1	1	.p18.	0.858028998548406	0.0393614258141359	21.7987275816686	0	0.780882021572555	0.935175975524258	0.518504414866933	0.518504414866933
DevAdj	=~	Satisf	1	1		0.890126588020362	0.0543854883454795	16.3669871338822	0	0.783532989581599	0.996720186459125	0.566275041542285	0.566275041542285
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.960102424231926	0.89632862473884
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.99268216324676	0.00940417866141808	105.557561057339	0	0.974250311766201	1.01111401472732	0.953076551425007	0.920024109533821
EmoDiss	=~	MHWdmental	1	1	.p22.	1.00314142602109	0.00883840107289973	113.498065741429	0	0.98581847823729	1.0204643738049	0.963118514970324	0.938560464791333
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.00123636655801	0.00916072040378272	109.296684368249	0	0.983281684494159	1.01919104862187	0.961289462761515	0.927750671983591
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00034900538938	0.00953953480350332	104.86349974026	0	0.981651860745242	1.01904615003351	0.960437505152336	0.916887303541287
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.992317697989013	0.0106066317664754	93.5563447319299	0	0.971529081729443	1.01310631424858	0.952726627447496	0.854519355021265
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.973308150861241	0.895032952285164
QualEngag	=~	QIstudent	1	1	.p27.	0.995056428610116	0.0096249522471426	103.38299900714	0	0.976191868852798	1.01392098836743	0.968496532533102	0.90215356584939
QualEngag	=~	QIadvisor	1	1	.p28.	0.993725117970992	0.00958029578714114	103.725932899148	0	0.974948083266954	1.01250215267503	0.967200757036714	0.912929553462999
QualEngag	=~	QIfaculty	1	1	.p29.	0.994415204468648	0.00932050744558022	106.691101345582	0	0.976147345557673	1.01268306337962	0.967872423849683	0.928674618476399
QualEngag	=~	QIstaff	1	1	.p30.	0.994136194493626	0.00946861171421177	104.992814627882	0	0.975578056550177	1.01269433243708	0.967600861166822	0.910818014871713
sbvalued	~~	sbvalued	1	1		0.141104452525726	0.00760181558130039	18.5619410279864	0	0.126205167769262	0.15600373728219	0.141104452525726	0.227207064420986
sbmyself	~~	sbmyself	1	1		0.190797460697542	0.00898556285001082	21.2337795508617	0	0.1731860811307	0.208408840264385	0.190797460697542	0.290442123320538
sbcommunity	~~	sbcommunity	1	1		0.116184993745946	0.00707138374230924	16.4303052952412	0	0.102325336290158	0.130044651201734	0.116184993745946	0.191003571815788
pganalyze	~~	pganalyze	1	1		0.242051307254754	0.00956468298262049	25.3067778299159	0	0.223304873085275	0.260797741424233	0.242051307254754	0.46261051281085
pgthink	~~	pgthink	1	1		0.166905026099053	0.00685698958295562	24.3408603848441	0	0.153465573474094	0.180344478724012	0.166905026099053	0.36678811795006
pgwork	~~	pgwork	1	1		0.220301320097231	0.00820817335212063	26.8392626040622	0	0.204213595948214	0.236389044246249	0.220301320097231	0.458165577362352
pgvalues	~~	pgvalues	1	1		0.272497650761636	0.0098299303570381	27.7212188554857	0	0.253231341291304	0.291763960231968	0.272497650761636	0.501701407937118
pgprobsolve	~~	pgprobsolve	1	1		0.196703320592818	0.00819540129243548	24.0016703970774	0	0.180640629220792	0.212766011964845	0.196703320592818	0.399532270411905
SEacademic	~~	SEacademic	1	1		0.180673389606448	0.00766057131997896	23.5848453150286	0	0.165658945718289	0.195687833494607	0.180673389606448	0.320487142621384
SEwellness	~~	SEwellness	1	1		0.184121292404833	0.00784063279796024	23.482963320605	0	0.168753934504827	0.199488650304838	0.184121292404833	0.328263640145544
SEnonacad	~~	SEnonacad	1	1		0.242717769918943	0.00963263162556187	25.1974516781945	0	0.2238381588565	0.261597380981386	0.242717769918943	0.393443691417067
SEactivities	~~	SEactivities	1	1		0.281433791769139	0.0112331443146453	25.053874844483	0	0.259417233479294	0.303450350058985	0.281433791769139	0.41757366375585
SEdiverse	~~	SEdiverse	1	1		0.231092752438936	0.00909052098627076	25.4212880414611	0	0.21327565870514	0.248909846172732	0.231092752438936	0.374069169336172
sameinst	~~	sameinst	1	1		0.10318875233712	0.00975330537103339	10.5798750691825	0	0.0840726250796733	0.122304879594566	0.10318875233712	0.22990389812383
evalexp	~~	evalexp	1	1		0.108502538756336	0.0104419727060776	10.3910000351929	0	0.0880366483248735	0.128968429187798	0.108502538756336	0.229075832010568
MHWdacad	~~	MHWdacad	1	1		0.225565700130038	0.00978319924346329	23.0564352740491	0	0.20639098195927	0.244740418300806	0.225565700130038	0.19659499647378
MHWdlonely	~~	MHWdlonely	1	1		0.164786989324413	0.00734084118789194	22.4479708941551	0	0.150399204979917	0.17917477366891	0.164786989324413	0.1535556378765
MHWdmental	~~	MHWdmental	1	1		0.125418679504841	0.00621845246552369	20.1687928307222	0	0.11323073663284	0.137606622376842	0.125418679504841	0.119104253930678
MHWdexhaust	~~	MHWdexhaust	1	1		0.149530740396142	0.00696171545518333	21.4790077759942	0	0.135886028833366	0.163175451958917	0.149530740396142	0.139278690633995
MHWdsleep	~~	MHWdsleep	1	1		0.174811603860012	0.00779678422560174	22.4209877818595	0	0.159530187582602	0.190093020137421	0.174811603860012	0.159317672604788
MHWdfinancial	~~	MHWdfinancial	1	1		0.335373996915041	0.0126701478978849	26.4696197406682	0	0.31054096335639	0.360207030473691	0.335373996915041	0.269796671894041
QIadmin	~~	QIadmin	1	1		0.235229843403591	0.00987653530484283	23.8170407074077	0	0.215872189914061	0.254587496893121	0.235229843403591	0.198916014323703
