lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.867861707447059	0.00693876574385284	125.074363292335	0	0.854261976491947	0.88146143840217
Belong	=~	sbmyself	1	.p2.	0.849538732416451	0.00706290237388196	120.281817225448	0	0.83569569813732	0.863381766695582
Belong	=~	sbcommunity	1	.p3.	0.885644198187531	0.00646220420195681	137.049862633457	0	0.872978510690953	0.89830988568411
Gains	=~	pganalyze	1		0.726883546949774	0.0104768759806811	69.3797987386807	0	0.706349247357146	0.747417846542402
Gains	=~	pgthink	1	.p5.	0.796592133783443	0.00885535162655624	89.9560138746551	0	0.779235963524955	0.813948304041931
Gains	=~	pgwork	1	.p6.	0.747874208633879	0.0101729191897947	73.5161849495606	0	0.727935653404245	0.767812763863513
Gains	=~	pgvalues	1	.p7.	0.705244448842047	0.0108274298026711	65.1349823268364	0	0.684023076383676	0.726465821300418
Gains	=~	pgprobsolve	1	.p8.	0.747175762992244	0.0100554773572907	74.3053498549728	0	0.727467389524596	0.766884136459891
SupportEnv	=~	SEacademic	1		0.83562227535264	0.00737875703066462	113.247024109882	0	0.821160177321865	0.850084373383414
SupportEnv	=~	SEwellness	1	.p10.	0.817122073311673	0.00810251786041263	100.84792004026	0	0.801241430121171	0.833002716502174
SupportEnv	=~	SEnonacad	1	.p11.	0.786783304429909	0.00847758110298886	92.8075231450774	0	0.770167550792034	0.803399058067785
SupportEnv	=~	SEactivities	1	.p12.	0.746472774963684	0.00929689598845476	80.2926886447566	0	0.728251193658298	0.76469435626907
SupportEnv	=~	SEdiverse	1	.p13.	0.793407338927435	0.00823327700840228	96.3659230847864	0	0.777270412516225	0.809544265338645
Satisf	=~	sameinst	1		0.87254590386615	0.0136806179253841	63.779714383161	0	0.845732385446144	0.899359422286156
Satisf	=~	evalexp	1	.p15.	0.861757454188582	0.0140669040922134	61.261344254533	0	0.834186828793864	0.889328079583299
DevAdj	=~	Belong	1		0.464298673169969	0.0200880951228096	23.1131259749347	0	0.424926730211248	0.50367061612869
DevAdj	=~	Gains	1	.p17.	0.260174614925487	0.0201038780249059	12.9415138016241	0	0.220771738047085	0.299577491803889
DevAdj	=~	SupportEnv	1	.p18.	0.451030220433373	0.0205652622056432	21.9316542586852	0	0.41072304717769	0.491337393689057
DevAdj	=~	Satisf	1		0.49528439193956	0.0236506060340031	20.9417209532591	0	0.448930055900368	0.541638727978752
EmoDiss	=~	MHWdacad	1		0.904799072410567	0.00401549766259316	225.326758583209	0	0.89692884161188	0.912669303209255
EmoDiss	=~	MHWdlonely	1	.p21.	0.929881201765584	0.00324655408775014	286.420979485357	0	0.923518072679733	0.936244330851436
EmoDiss	=~	MHWdmental	1	.p22.	0.943202610122549	0.00276781844457454	340.774739749064	0	0.937777785655437	0.94862743458966
EmoDiss	=~	MHWdexhaust	1	.p23.	0.938562686581765	0.00301810023177787	310.977971075827	0	0.932647318825748	0.944478054337782
EmoDiss	=~	MHWdsleep	1	.p24.	0.923190748373104	0.00354198519193785	260.642181812177	0	0.916248584963132	0.930132911783076
EmoDiss	=~	MHWdfinancial	1	.p25.	0.865867943907378	0.00544811927710092	158.929696628839	0	0.855189826340782	0.876546061473974
QualEngag	=~	QIadmin	1		0.89579974178656	0.00458414326575363	195.412684520298	0	0.886814986085711	0.904784497487409
QualEngag	=~	QIstudent	1	.p27.	0.902183275788741	0.00437017178959317	206.441146761585	0	0.893617896474886	0.910748655102597
QualEngag	=~	QIadvisor	1	.p28.	0.921734937149517	0.00375674406692275	245.354732909589	0	0.914371854079214	0.929098020219821
QualEngag	=~	QIfaculty	1	.p29.	0.936878895103895	0.00312673268774459	299.635110726301	0	0.930750611646631	0.943007178561158
QualEngag	=~	QIstaff	1	.p30.	0.916232108720165	0.00391022898282566	234.31674020739	0	0.908568200742522	0.923896016697808
sbvalued	~~	sbvalued	1		0.246816056747076	0.012043778274082	20.4932415003206	0	0.223210685092089	0.270421428402063
sbmyself	~~	sbmyself	1		0.278283942124249	0.0120004181281533	23.1895204944057	0	0.254763554793647	0.301804329454851
sbcommunity	~~	sbcommunity	1		0.215634354216765	0.0114464271904353	18.8385730000493	0	0.193199769171852	0.238068939261678
pganalyze	~~	pganalyze	1		0.471640309173716	0.0152309377015713	30.9659404046448	0	0.441788219827862	0.501492398519569
pgthink	~~	pgthink	1		0.365440972394341	0.014108206763553	25.9027230404943	0	0.337789395251333	0.393092549537349
pgwork	~~	pgwork	1		0.440684168060249	0.0152161279044601	28.9616498249253	0	0.410861105383352	0.470507230737146
pgvalues	~~	pgvalues	1		0.502630267377477	0.0152719696496033	32.9119477650699	0	0.472697756891266	0.532562777863688
pgprobsolve	~~	pgprobsolve	1		0.441728379196959	0.0150264179231519	29.3967851457377	0	0.412277141250934	0.471179617142983
SEacademic	~~	SEacademic	1		0.301735412934477	0.0123317074309234	24.4682591299431	0	0.277565710501983	0.325905115366972
SEwellness	~~	SEwellness	1		0.332311517306834	0.0132414923942412	25.0962283867156	0	0.30635866911256	0.358264365501107
SEnonacad	~~	SEnonacad	1		0.380972031870353	0.0133400382522598	28.5585411875275	0	0.354826037343537	0.407118026397169
SEactivities	~~	SEactivities	1		0.442778396238017	0.0138797591368807	31.9010144103644	0	0.41557456821564	0.469982224260394
SEdiverse	~~	SEdiverse	1		0.370504794536086	0.0130646845707798	28.3592606104513	0	0.344898483307982	0.396111105764191
sameinst	~~	sameinst	1		0.238663645646402	0.0238739339995379	9.99682941449959	0	0.191871594838022	0.285455696454783
evalexp	~~	evalexp	1		0.257374090150415	0.0242445188749807	10.6157639785549	0	0.209855706332951	0.304892473967878
MHWdacad	~~	MHWdacad	1		0.181338638564977	0.00726643709835472	24.9556469161532	0	0.167096683556276	0.195580593573678
MHWdlonely	~~	MHWdlonely	1		0.135320950602993	0.00603781911280006	22.4122233665655	0	0.123487042596737	0.147154858609249
MHWdmental	~~	MHWdmental	1		0.110368836258011	0.00522122658819992	21.1384881298672	0	0.100135420190016	0.120602252326006
MHWdexhaust	~~	MHWdexhaust	1		0.11910008335642	0.00566535247626129	21.022537230555	0	0.107996196543223	0.130203970169617
MHWdsleep	~~	MHWdsleep	1		0.147718842118308	0.00653985582261671	22.587476868749	0	0.134900960241895	0.160536723994722
MHWdfinancial	~~	MHWdfinancial	1		0.25027270371361	0.00943470365331259	26.5268219236263	0	0.231781024348308	0.268764383078911
QIadmin	~~	QIadmin	1		0.197542822615132	0.00821294847390995	24.0526070804737	0	0.181445739399386	0.213639905830879
QIstudent	~~	QIstudent	1		0.186065336887096	0.00788539184178532	23.5962068366877	0	0.170610252873211	0.201520420900981
QIadvisor	~~	QIadvisor	1		0.150404705637975	0.00692544430971489	21.717697653996	0	0.136831084213996	0.163978327061954
QIfaculty	~~	QIfaculty	1		0.122257935908905	0.00585873960345857	20.8676173006107	0	0.110775017291328	0.133740854526483
QIstaff	~~	QIstaff	1		0.160518722950199	0.00716535426588697	22.4020637352715	0	0.14647488665259	0.174562559247808
Belong	~~	Belong	1		0.784426742092606	0.018653752117841	42.0519548634057	0	0.7478660597651	0.820987424420112
Gains	~~	Gains	1		0.932309169748375	0.010461037410146	89.12205675167	0	0.911805913183562	0.952812426313187
SupportEnv	~~	SupportEnv	1		0.796571740255823	0.0185511101898872	42.9393029367084	0	0.76021223241041	0.832931248101236
Satisf	~~	Satisf	1		0.754693371101061	0.0234275518292842	32.2139238705131	0	0.708776213269718	0.800610528932403
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.750449197839198	0.024762215347236	-30.3062220934511	0	-0.798982248097206	-0.701916147581191
DevAdj	~~	QualEngag	1		0.652194346059575	0.0273351699600469	23.8591655736116	0	0.598618397426602	0.705770294692548
EmoDiss	~~	QualEngag	1		-0.260527987480285	0.0203942440223892	-12.7745842010262	0	-0.300499971256089	-0.220556003704481
sbvalued	~1		1		3.42854857756851	0.0481633710708774	71.1858099077625	0	3.33415010489555	3.52294705024147
sbmyself	~1		1		3.43390799722035	0.0492263689583632	69.7574911552959	0	3.33742608697228	3.53038990746843
sbcommunity	~1		1		3.46178210791719	0.0492735010454814	70.2564671570998	0	3.36520782047585	3.55835639535853
pganalyze	~1		1		4.15613327070087	0.0556296176285032	74.7108006108489	0	4.04710122367527	4.26516531772647
pgthink	~1		1		4.50440126769641	0.0635687527248903	70.858732861888	0	4.3798088018135	4.62899373357933
pgwork	~1		1		4.27935930875143	0.0621106782992866	68.8989305209469	0	4.15762461622947	4.40109400127338
pgvalues	~1		1		4.04049077217182	0.0568498107813975	71.0730733600605	0	3.92906719051237	4.15191435383128
pgprobsolve	~1		1		4.30596534717916	0.0606463596889822	71.0012170435589	0	4.1871006663953	4.42483002796303
SEacademic	~1		1		3.71584190248731	0.0519903375644461	71.4717787296771	0	3.61394271331692	3.81774109165771
SEwellness	~1		1		3.54128900688647	0.0489283106224644	72.3770954245979	0	3.44539128024205	3.63718673353089
SEnonacad	~1		1		3.42934527721506	0.0463412040581315	74.0020754081661	0	3.3385181862609	3.52017236816922
SEactivities	~1		1		3.35061343746754	0.0457173686006505	73.2897264218279	0	3.26100904154233	3.44021783339276
SEdiverse	~1		1		3.45878216156008	0.0467257287291227	74.0230758435303	0	3.36720141609961	3.55036290702055
sameinst	~1		1		4.26632755481443	0.0660088758156066	64.6326346585913	0	4.13695253555586	4.39570257407299
evalexp	~1		1		4.32764540019083	0.0656628811417887	65.9070288257069	0	4.19894851803179	4.45634228234987
MHWdacad	~1		1		3.47911295401735	0.0530207529088897	65.6179469951289	0	3.37519418788273	3.58303172015197
MHWdlonely	~1		1		3.56744856510294	0.0550488816242147	64.8051052055107	0	3.45955473973027	3.67534239047561
MHWdmental	~1		1		3.64173604240609	0.0555782069340928	65.524532785389	0	3.53280475848996	3.75066732632223
MHWdexhaust	~1		1		3.59830201274493	0.0544450942330285	66.0904726759029	0	3.4915915889133	3.70501243657655
MHWdsleep	~1		1		3.58499606645583	0.0543964722170184	65.9049368523982	0	3.47838094002444	3.69161119288722
MHWdfinancial	~1		1		3.30801089308427	0.0502187974077743	65.8719655555144	0	3.20958385881812	3.40643792735042
QIadmin	~1		1		4.26516829410564	0.0634045196137754	67.2691524214149	0	4.14089771920558	4.38943886900571
QIstudent	~1		1		4.34795773992285	0.0636650468403415	68.2942675095585	0	4.22317654104173	4.47273893880398
QIadvisor	~1		1		4.39324383231875	0.0641971447298057	68.4336328478336	0	4.26741974073803	4.51906792389948
QIfaculty	~1		1		4.44691098630729	0.0636265660267324	69.890790341238	0	4.32220520843493	4.57161676417964
QIstaff	~1		1		4.38159728676501	0.0627517979204335	69.8242509692022	0	4.25860602287583	4.5045885506542
Belong	~1		1		0	0	NA	NA	0	0
Gains	~1		1		0	0	NA	NA	0	0
SupportEnv	~1		1		0	0	NA	NA	0	0
Satisf	~1		1		0	0	NA	NA	0	0
DevAdj	~1		1		0	0	NA	NA	0	0
EmoDiss	~1		1		0	0	NA	NA	0	0
QualEngag	~1		1		0	0	NA	NA	0	0
Belong	=~	sbvalued	2		0.877173580089512	0.0079390878287976	110.487955166301	0	0.861613253874968	0.892733906304056
Belong	=~	sbmyself	2	.p2.	0.83352930877855	0.0088863226197133	93.7991275411787	0	0.816112436488908	0.850946181068191
Belong	=~	sbcommunity	2	.p3.	0.890789045661228	0.00724242478919621	122.995967730317	0	0.876594153913663	0.904983937408793
Gains	=~	pganalyze	2		0.741201927798622	0.0109114777757576	67.9286475242955	0	0.719815824340028	0.762588031257217
Gains	=~	pgthink	2	.p5.	0.790477546055364	0.0107806810441921	73.3235259270766	0	0.769347799479934	0.811607292630794
Gains	=~	pgwork	2	.p6.	0.750941298296871	0.0113872868602806	65.9455854156264	0	0.728622626169095	0.773259970424647
Gains	=~	pgvalues	2	.p7.	0.719154871878945	0.0122149815926197	58.8748223995243	0	0.695213947885591	0.7430957958723
Gains	=~	pgprobsolve	2	.p8.	0.781771929730707	0.0104077491759702	75.1144091304283	0	0.761373116185679	0.802170743275735
SupportEnv	=~	SEacademic	2		0.825918292460076	0.00831061389935931	99.3811410879945	0	0.809629788527914	0.842206796392238
SupportEnv	=~	SEwellness	2	.p10.	0.822750989009371	0.00836087584642565	98.4048805557978	0	0.806363973471166	0.839138004547576
SupportEnv	=~	SEnonacad	2	.p11.	0.785186527446529	0.00957222396044909	82.0275967936808	0	0.766425313232097	0.80394774166096
SupportEnv	=~	SEactivities	2	.p12.	0.748269143043476	0.0106899884087833	69.9971893728781	0	0.72731715076711	0.769221135319842
SupportEnv	=~	SEdiverse	2	.p13.	0.798270667419604	0.0096551051358949	82.6786095214917	0	0.779347009086302	0.817194325752905
Satisf	=~	sameinst	2		0.880286203358429	0.0155862447147676	56.4784025573766	0	0.849737725063257	0.910834681653601
Satisf	=~	evalexp	2	.p15.	0.842574141466906	0.014871729973447	56.6560946824138	0	0.813426086331145	0.871722196602667
DevAdj	=~	Belong	2		0.516500651075131	0.0239918270883741	21.528191628449	0	0.469477534058605	0.563523768091656
DevAdj	=~	Gains	2	.p17.	0.279575927270553	0.0218647888837157	12.7865825166405	0	0.236721728528899	0.322430126012208
