lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.689997014782309	0.878242235411224
Belong	=~	sbmyself	1	1	.p2.	0.985532576835797	0.0131852066780118	74.7453264027563	0	0.959690046618177	1.01137510705342	0.680014535987417	0.841401595533005
Belong	=~	sbcommunity	1	1	.p3.	1.01259888325536	0.0123657414866724	81.8874375100532	0	0.988362475299349	1.03683529121137	0.698690206618098	0.89876687236461
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.529149967141883	0.732364509172165
Gains	=~	pgthink	1	1	.p5.	1.01228038856285	0.0206558045145209	49.0070666505011	0	0.971795755642686	1.05276502148301	0.535648134346403	0.795118989938164
Gains	=~	pgwork	1	1	.p6.	0.962567418359037	0.0202052381870447	47.6394987006994	0	0.922965879213376	1.0021689575047	0.509342517796532	0.735370857642074
Gains	=~	pgvalues	1	1	.p7.	0.981068903518795	0.020887825178989	46.9684562711511	0	0.940129518452607	1.02200828858498	0.519132578060893	0.705147792499452
Gains	=~	pgprobsolve	1	1	.p8.	1.02536114155705	0.0207180600672714	49.4911752465102	0	0.984754489995664	1.06596779311844	0.542569814363478	0.774248936915597
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.616580363481831	0.82332343221616
SupportEnv	=~	SEwellness	1	1	.p10.	0.991739225492291	0.0156586670316938	63.3348434758189	0	0.961048802064266	1.02242964892032	0.611486932133226	0.818590627728952
SupportEnv	=~	SEnonacad	1	1	.p11.	0.98832585367634	0.0161637831218429	61.1444639059013	0	0.956645420903611	1.02000628644907	0.609382314098249	0.777622003387412
SupportEnv	=~	SEactivities	1	1	.p12.	1.0122602101937	0.0168646803166276	60.0224961985002	0	0.979206044162327	1.04531437622507	0.624139768339425	0.76194734771445
SupportEnv	=~	SEdiverse	1	1	.p13.	1.00471400239483	0.016242522012377	61.8570195951853	0	0.972879244232476	1.03654876055719	0.619486924791892	0.790033125099275
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.593406708346507	0.879473055617939
Satisf	=~	evalexp	1	1	.p15.	1.0278203882241	0.0245068191687783	41.9401792270757	0	0.979787905277656	1.07585287117054	0.609915513347491	0.879821456573868
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.529924318436314	0.529924318436314
DevAdj	=~	Gains	1	1	.p17.	0.517877088256259	0.0329266872205218	15.7281868287523	0	0.453341967173821	0.582412209338697	0.357856562406885	0.357856562406885
DevAdj	=~	SupportEnv	1	1	.p18.	0.859810680365357	0.0394043696549633	21.8201861340284	0	0.782579535008126	0.937041825722588	0.509887315113748	0.509887315113748
