lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.868463260237869	0.00690327731824256	125.804486796854	0	0.854933085318822	0.881993435156917
Belong	=~	sbmyself	1	.p2.	0.850221738361687	0.00702431418703951	121.039821927445	0	0.836454335538996	0.863989141184379
Belong	=~	sbcommunity	1	.p3.	0.886213798804197	0.00642722086755415	137.884447581065	0	0.873616677383107	0.898810920225287
Gains	=~	pganalyze	1		0.727191389748773	0.0104719641461755	69.4417379202306	0	0.706666717174874	0.747716062322672
Gains	=~	pgthink	1	.p5.	0.796849756628459	0.00884907146738103	90.0489683652985	0	0.779505895255772	0.814193618001147
Gains	=~	pgwork	1	.p6.	0.748189651760303	0.0101683000901827	73.5806029645667	0	0.728260149799549	0.768119153721056
Gains	=~	pgvalues	1	.p7.	0.705582518660492	0.0108156005850109	65.2374792425623	0	0.6843843310427	0.726780706278283
Gains	=~	pgprobsolve	1	.p8.	0.747498163526689	0.0100351240046011	74.4881840208414	0	0.727829681897278	0.767166645156101
SupportEnv	=~	SEacademic	1		0.836353528434001	0.00731995766703705	114.256607275235	0	0.82200667503825	0.850700381829751
SupportEnv	=~	SEwellness	1	.p10.	0.817886287616613	0.00804645993338138	101.645480669524	0	0.802115515944141	0.833657059289085
SupportEnv	=~	SEnonacad	1	.p11.	0.7876115603295	0.0084405184636983	93.3131730849149	0	0.771068448129806	0.804154672529194
SupportEnv	=~	SEactivities	1	.p12.	0.747381219027361	0.00923451805077927	80.9334298679823	0	0.729281896233249	0.765480541821473
SupportEnv	=~	SEdiverse	1	.p13.	0.794229374361298	0.0081907587226687	96.9665205938973	0	0.778175782258811	0.810282966463786
Satisf	=~	sameinst	1		0.871883738644804	0.0138948700844584	62.7486067408443	0	0.844650293709402	0.899117183580205
Satisf	=~	evalexp	1	.p15.	0.859507554328629	0.0141191239309921	60.8754168126516	0	0.831834579930626	0.887180528726631
DevAdj	=~	Belong	1		0.470730593224197	0.0195834909315019	24.0371134477859	0	0.432347656306887	0.509113530141508
DevAdj	=~	Gains	1	.p17.	0.264319783076277	0.0199798069340276	13.2293462068502	0	0.225160081067519	0.303479485085035
DevAdj	=~	SupportEnv	1	.p18.	0.458136266902403	0.0197490932440176	23.1978380597895	0	0.419428755416805	0.496843778388
DevAdj	=~	Satisf	1	.p19.	0.480426207568207	0.0215848279431715	22.2575880073296	0	0.438120722187097	0.522731692949317
EmoDiss	=~	MHWdacad	1		0.904798943729638	0.00401527304373279	225.339331565978	0	0.896929153175827	0.912668734283449
EmoDiss	=~	MHWdlonely	1	.p21.	0.929879212371063	0.00324678184739174	286.400274511227	0	0.923515636884517	0.936242787857609
EmoDiss	=~	MHWdmental	1	.p22.	0.943205323358613	0.00276763912464637	340.797799452676	0	0.937780850352102	0.948629796365124
EmoDiss	=~	MHWdexhaust	1	.p23.	0.938569467716467	0.0030176036900275	311.031389184149	0	0.932655073164398	0.944483862268536
EmoDiss	=~	MHWdsleep	1	.p24.	0.923184255610931	0.00354231198735209	260.616303393711	0	0.916241451693717	0.930127059528146
EmoDiss	=~	MHWdfinancial	1	.p25.	0.865867893636473	0.0054481626214069	158.92842299426	0	0.855189691116598	0.876546096156348
QualEngag	=~	QIadmin	1		0.895800653302707	0.00458413698797051	195.413150971149	0	0.886815909906087	0.904785396699327
QualEngag	=~	QIstudent	1	.p27.	0.902181876127144	0.00437022041837782	206.438529355008	0	0.893616401502622	0.910747350751666
QualEngag	=~	QIadvisor	1	.p28.	0.921728741346841	0.0037568691841811	245.34491252129	0	0.914365413051218	0.929092069642465
QualEngag	=~	QIfaculty	1	.p29.	0.936890018296931	0.00312640813234292	299.669773950731	0	0.930762370956566	0.943017665637297
QualEngag	=~	QIstaff	1	.p30.	0.916224328315837	0.00391045883115984	234.300977935135	0	0.908559969843737	0.923888686787936
sbvalued	~~	sbvalued	1		0.245771565617011	0.0119904855001136	20.4972155309877	0	0.222270645879639	0.269272485354383
sbmyself	~~	sbmyself	1		0.277122995617231	0.0119444492439046	23.2009856593974	0	0.253712305284011	0.30053368595045
sbcommunity	~~	sbcommunity	1		0.214625102809034	0.0113917835273817	18.8403424532386	0	0.192297617375689	0.236952588242379
pganalyze	~~	pganalyze	1		0.471192682675248	0.0152302440716642	30.9379600522555	0	0.441341952819032	0.501043412531465
pgthink	~~	pgthink	1		0.365030465361165	0.0141027609088302	25.8836172378565	0	0.337389561897279	0.392671368825052
pgwork	~~	pgwork	1		0.440212244998797	0.0152156336386007	28.9315749481519	0	0.410390151065183	0.47003433893241
pgvalues	~~	pgvalues	1		0.502153309360717	0.0152625973441189	32.9009078886702	0	0.472239168255707	0.532067450465726
pgprobsolve	~~	pgprobsolve	1		0.441246495524227	0.0150024737570577	29.4115825609527	0	0.411842187281387	0.470650803767067
SEacademic	~~	SEacademic	1		0.300512775475997	0.012244144948229	24.5433859813513	0	0.27651469235598	0.324510858596014
SEwellness	~~	SEwellness	1		0.331062020528714	0.0131621782539014	25.1525252235955	0	0.305264625192971	0.356859415864457
SEnonacad	~~	SEnonacad	1		0.379668030035331	0.0132956998418245	28.555701057646	0	0.3536089371961	0.405727122874562
SEactivities	~~	SEactivities	1		0.441421313445176	0.0138034106998912	31.979147983234	0	0.414367125609574	0.468475501280777
SEdiverse	~~	SEdiverse	1		0.369199700901661	0.0130106826860946	28.3766586127143	0	0.343699231422636	0.394700170380685
sameinst	~~	sameinst	1		0.239818746286759	0.0242294224490116	9.8978317288179	0	0.19232995092049	0.287307541653028
evalexp	~~	evalexp	1		0.26124676405202	0.0242709879152643	10.7637466164992	0	0.213676501868895	0.308817026235145
MHWdacad	~~	MHWdacad	1		0.181338871425732	0.0072660296312222	24.9570784361403	0	0.167097715037935	0.195580027813528
MHWdlonely	~~	MHWdlonely	1		0.135324650400171	0.00603823005069557	22.4113108086339	0	0.123489936970441	0.147159363829902
MHWdmental	~~	MHWdmental	1		0.110363717987974	0.00522090397002498	21.138814010296	0	0.100130934239983	0.120596501735965
