lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.690021721233713	0.878255383989468
Belong	=~	sbmyself	1	1	.p2.	0.9855287181386	0.0131859076450379	74.7410602795686	0	0.959684814050854	1.01137262222635	0.680036222415252	0.84141162157868
Belong	=~	sbcommunity	1	1	.p3.	1.0125047285377	0.012367105356106	81.8707934785886	0	0.988265647446723	1.03674380962868	0.69865025554286	0.898731570032686
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.52890972256475	0.732141916291453
Gains	=~	pgthink	1	1	.p5.	1.01293292130113	0.0206436800414137	49.067458867269	0	0.97247205191159	1.05339379069067	0.535750070382082	0.795193076774431
Gains	=~	pgwork	1	1	.p6.	0.963221482131214	0.020171987565774	47.7504499242068	0	0.923685113005708	1.00275785125672	0.509457206882428	0.735456761135357
Gains	=~	pgvalues	1	1	.p7.	0.981063498319786	0.0208493635451866	47.0548415635585	0	0.940199496670638	1.02192749996893	0.518894022714722	0.704923441081591
Gains	=~	pgprobsolve	1	1	.p8.	1.0260734146619	0.0207194847105959	49.5221492712684	0	0.9854639708509	1.06668285847289	0.54270020507989	0.774333545844803
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.616697600004351	0.823393640187557
SupportEnv	=~	SEwellness	1	1	.p10.	0.991875245408791	0.01564837340215	63.3851979319789	0	0.961204997123942	1.02254549369364	0.611687083347327	0.818655554016977
SupportEnv	=~	SEnonacad	1	1	.p11.	0.98782715675748	0.0161652913469859	61.107909257798	0	0.956143767917791	1.01951054559717	0.60919063679146	0.777476488101628
SupportEnv	=~	SEactivities	1	1	.p12.	1.01123194056919	0.0168304856945691	60.0833486876435	0	0.978244794765521	1.04421908637287	0.623624310796764	0.761443877019163
SupportEnv	=~	SEdiverse	1	1	.p13.	1.00480767796988	0.0162322906738835	61.9017794935456	0	0.972992972862479	1.03662238307727	0.619662483469967	0.790116900917582
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.593168852519839	0.879181316830252
Satisf	=~	evalexp	1	1	.p15.	1.02860618596047	0.0244708847474568	42.0338780790249	0	0.980644133185625	1.07656823873532	0.61013715102098	0.880070865766783
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.529926611334756	0.529926611334756
DevAdj	=~	Gains	1	1	.p17.	0.51763296955836	0.0329158267325129	15.7259598479738	0	0.453119134641274	0.582146804475446	0.35786470771549	0.35786470771549
DevAdj	=~	SupportEnv	1	1	.p18.	0.859954216595846	0.0393979325777566	21.8273944933182	0	0.782735687678106	0.937172745513586	0.509895950838344	0.509895950838344
DevAdj	=~	Satisf	1	1	.p19.	0.947812084622839	0.0425571289115638	22.2715232174719	0	0.864401644670746	1.03122252457493	0.584281848817072	0.584281848817072
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.959776121648425	0.896253706127575
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.992492534372163	0.00936851118580259	105.939195106713	0	0.974130589859229	1.0108544788851	0.95257063540473	0.919925875341055
EmoDiss	=~	MHWdmental	1	1	.p22.	1.00359267267837	0.00879510487153281	114.108096189586	0	0.986354583889909	1.02083076146682	0.963224283098019	0.938578386174324
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.00229246479766	0.00911090081763672	110.010248696533	0	0.984435427328377	1.02014950226695	0.96197637462094	0.927819140440194
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00118751597644	0.00948404191959605	105.565488265903	0	0.982599135386168	1.01977589656672	0.960915871126692	0.916965113724696
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.991401468533121	0.0105422182014957	94.0410689272649	0	0.970739100541027	1.01206383652522	0.951523456465272	0.854121790628812
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.972673170919699	0.894842959244536
QualEngag	=~	QIstudent	1	1	.p27.	0.995493563240485	0.00962702559585485	103.40614069512	0	0.976624939794364	1.01436218668661	0.968289880787272	0.902087195077866
QualEngag	=~	QIadvisor	1	1	.p28.	0.99453405740651	0.00954776472999983	104.164072485113	0	0.975820782402849	1.01324733241017	0.967356595205224	0.912955723623839
QualEngag	=~	QIfaculty	1	1	.p29.	0.995295196790303	0.00929519937509466	107.076261264183	0	0.977076940785998	1.01351345279461	0.968096935063169	0.928707780312466
QualEngag	=~	QIstaff	1	1	.p30.	0.994968891795492	0.00945551758715849	105.2262747781	0	0.976436417869476	1.01350136572151	0.967779546949179	0.910860273791431
sbvalued	~~	sbvalued	1	1		0.141152407287864	0.00760632885782434	18.5572317377083	0	0.126244276671961	0.156060537903768	0.141152407287864	0.228667480493512
sbmyself	~~	sbmyself	1	1		0.190752095773337	0.00898682164462071	21.2257573719087	0	0.173138249014395	0.208365942532278	0.190752095773337	0.292026483072336
sbcommunity	~~	sbcommunity	1	1		0.116197637360307	0.00707977120165739	16.4126260652469	0	0.102321540786274	0.130073733934339	0.116197637360307	0.192281565026582
pganalyze	~~	pganalyze	1	1		0.242136793224633	0.00954340458817449	25.3721605311244	0	0.223432063941916	0.260841522507349	0.242136793224633	0.463968214409079
pgthink	~~	pgthink	1	1		0.166891835441143	0.00685734809211206	24.3376642397835	0	0.153451680151149	0.180331990731137	0.166891835441143	0.367667970650014
pgwork	~~	pgwork	1	1		0.220298527817431	0.0082108776016487	26.8300830319521	0	0.204205503436732	0.236391552198129	0.220298527817431	0.45910335250029
pgvalues	~~	pgvalues	1	1		0.272591947845254	0.00981234138948274	27.7805201659034	0	0.253360112117856	0.291823783572651	0.272591947845254	0.503082942213689
pgprobsolve	~~	pgprobsolve	1	1		0.196682668200321	0.00819641767874477	23.9961744153626	0	0.180617984747734	0.212747351652908	0.196682668200321	0.400407559779414
SEacademic	~~	SEacademic	1	1		0.180640977559337	0.00766256353071724	23.574483504795	0	0.165622629009881	0.195659326108793	0.180640977559337	0.322022913298683
SEwellness	~~	SEwellness	1	1		0.184124214389601	0.00784663642362546	23.4653684010668	0	0.168745089599515	0.199503339179687	0.184124214389601	0.329803083877156
SEnonacad	~~	SEnonacad	1	1		0.242835222979965	0.00964526751832319	25.1766187426786	0	0.223930846022797	0.261739599937132	0.242835222979965	0.395530310449159
SEactivities	~~	SEactivities	1	1		0.281857538441038	0.0112558070915829	25.0410775653583	0	0.259796561924605	0.30391851495747	0.281857538441038	0.420203222150025
SEdiverse	~~	SEdiverse	1	1		0.231092879641236	0.0090914267925363	25.4187692333347	0	0.213274010559783	0.24891174872269	0.231092879641236	0.375715282884396
sameinst	~~	sameinst	1	1		0.103348114806298	0.00970781361711328	10.6458692845228	0	0.0843211497481289	0.122375079864468	0.103348114806298	0.227040212136624
evalexp	~~	evalexp	1	1		0.108372369566821	0.0104020669450148	10.4183495587633	0	0.0879846929898171	0.128760046143824	0.108372369566821	0.225475271228504
MHWdacad	~~	MHWdacad	1	1		0.225604099291952	0.00977240471913934	23.0858325842875	0	0.206450538000089	0.244757660583814	0.225604099291952	0.196729294252587
MHWdlonely	~~	MHWdlonely	1	1		0.164841049610984	0.00733366950499702	22.4772945520199	0	0.15046732150667	0.179214777715298	0.164841049610984	0.153736383877994
MHWdmental	~~	MHWdmental	1	1		0.12540600617578	0.00621800542518849	20.1682046895253	0	0.113218939486736	0.137593072864824	0.12540600617578	0.119070613006401
MHWdexhaust	~~	MHWdexhaust	1	1		0.149585843511816	0.00697053098582673	21.4597487359242	0	0.135923853826475	0.163247833197156	0.149585843511816	0.139151642632819
MHWdsleep	~~	MHWdsleep	1	1		0.174799389479253	0.0078024123157292	22.4032494574618	0	0.159506942347892	0.190091836610614	0.174799389479253	0.159174980211856
MHWdfinancial	~~	MHWdfinancial	1	1		0.335682016625185	0.0126651914286708	26.5042986926582	0	0.310858697567685	0.360505335682686	0.335682016625185	0.270475966773031
QIadmin	~~	QIadmin	1	1		0.235424578545077	0.00988401657050857	23.8187154853144	0	0.216052262044283	0.254796895045871	0.235424578545077	0.199256078290482
QIstudent	~~	QIstudent	1	1		0.214577244559271	0.00875835432726732	24.4997218131755	0	0.197411185513986	0.231743303604555	0.214577244559271	0.186238692476547
QIadvisor	~~	QIadvisor	1	1		0.186947171986959	0.00797811666804492	23.4324941293158	0	0.171310350653132	0.202583993320786	0.186947171986959	0.166511846702472
QIfaculty	~~	QIfaculty	1	1		0.149412898793687	0.00678486245546545	22.0215074033416	0	0.136114812740917	0.162710984846457	0.149412898793687	0.137501858787093
QIstaff	~~	QIstaff	1	1		0.192286849606143	0.00841954048533864	22.8381643797523	0	0.175784853488503	0.208788845723784	0.192286849606143	0.170333561628599
Belong	~~	Belong	1	1		0.342422102110948	0.0150936188356151	22.6865475960586	0	0.312839152796767	0.372005051425129	0.719177786599263	0.719177786599263
Gains	~~	Gains	1	1		0.243919286673577	0.0118233507641171	20.6303011337405	0	0.220745944999323	0.267092628347831	0.871932850971707	0.871932850971707
SupportEnv	~~	SupportEnv	1	1		0.2814361153642	0.0127870179913637	22.0095189945208	0	0.256374020631461	0.306498210096939	0.740006119318661	0.740006119318661
Satisf	~~	Satisf	1	1		0.231733120436807	0.0121921023042065	19.0068221751105	0	0.207837039024735	0.25562920184888	0.658614721142904	0.658614721142904
DevAdj	~~	DevAdj	1	1		0.133707873663389	0.0110504116508402	12.099809300156	0	0.1120494648134	0.155366282513377	1	1
EmoDiss	~~	EmoDiss	1	1		0.921170203686492	0.0326662985864296	28.199405612155	0	0.857145434948858	0.985194972424126	1	1
QualEngag	~~	QualEngag	1	1		0.946093097426981	0.0340226063827803	27.8077783572108	0	0.879410014256549	1.01277618059741	1	1
DevAdj	~~	EmoDiss	1	1		-0.231633407240551	0.0148351850909098	-15.6137861321652	0	-0.26070983572272	-0.202556978758382	-0.66001341600636	-0.66001341600636
DevAdj	~~	QualEngag	1	1		0.203793878964686	0.0137580937128086	14.812653789017	0	0.176828510791654	0.230759247137718	0.572988238551388	0.572988238551388
EmoDiss	~~	QualEngag	1	1		-0.158512010193796	0.0227976048349075	-6.9530115703683	3.57558427310778e-12	-0.203194494603991	-0.113829525783601	-0.169795155769183	-0.169795155769183
sbvalued	~1		1	1	.p67.	2.70521348517089	0.0178412973004442	151.626501123522	0	2.67024518502455	2.74018178531724	2.70521348517089	3.44317901173365
sbmyself	~1		1	1	.p68.	2.69500292694131	0.0179836764924257	149.85828554447	0	2.65975556870653	2.73025028517608	2.69500292694131	3.33453823218891
sbcommunity	~1		1	1	.p69.	2.68607415917998	0.0179349081178993	149.767935331614	0	2.65092238520286	2.7212259331571	2.68607415917998	3.45531920607157
