lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.878255383989468	0.00709356820382863	123.810099339772	0	0.864352245788086	0.892158522190851
Belong	=~	sbmyself	1	.p2.	0.84141162157868	0.00793031596640938	106.100642791872	0	0.825868487898495	0.856954755258866
Belong	=~	sbcommunity	1	.p3.	0.898731570032686	0.00655682834446697	137.068033936116	0	0.88588042262472	0.911582717440653
Gains	=~	pganalyze	1		0.732141916291453	0.0108500429799091	67.4782503301741	0	0.71087622282012	0.753407609762787
Gains	=~	pgthink	1	.p5.	0.795193076774431	0.00946717874594709	83.9947251566212	0	0.776637747397172	0.81374840615169
Gains	=~	pgwork	1	.p6.	0.735456761135357	0.0104528612700965	70.3593726283684	0	0.714969529510574	0.75594399276014
Gains	=~	pgvalues	1	.p7.	0.704923441081591	0.0110501557622738	63.793077332743	0	0.683265533763976	0.726581348399205
Gains	=~	pgprobsolve	1	.p8.	0.774333545844803	0.00985706003892716	78.5562371322517	0	0.755014063175057	0.79365302851455
SupportEnv	=~	SEacademic	1		0.823393640187557	0.00806263752612026	102.124600978282	0	0.807591161015961	0.839196119359154
SupportEnv	=~	SEwellness	1	.p10.	0.818655554016977	0.00852845192197914	95.9911085278179	0	0.801940095406017	0.835371012627938
SupportEnv	=~	SEnonacad	1	.p11.	0.777476488101628	0.0094828029887496	81.9880460475691	0	0.75889053577119	0.796062440432066
SupportEnv	=~	SEactivities	1	.p12.	0.761443877019163	0.00974421050111139	78.1432089272205	0	0.742345575379208	0.780542178659118
SupportEnv	=~	SEdiverse	1	.p13.	0.790116900917582	0.00903593476550642	87.4416340336759	0	0.772406794210536	0.807827007624628
Satisf	=~	sameinst	1		0.879181316830252	0.0118362339043014	74.2788055676012	0	0.855982724665229	0.902379908995275
Satisf	=~	evalexp	1	.p15.	0.880070865766783	0.0119898198982446	73.4015083825934	0	0.856571250585102	0.903570480948464
DevAdj	=~	Belong	1		0.529926611334756	0.0195633609939363	27.0877080629963	0	0.491583128370085	0.568270094299427
DevAdj	=~	Gains	1	.p17.	0.35786470771549	0.0205817104553899	17.3875105517177	0	0.317525296482694	0.398204118948285
DevAdj	=~	SupportEnv	1	.p18.	0.509895950838344	0.0196757372224805	25.9149603937465	0	0.471332214513008	0.54845968716368
DevAdj	=~	Satisf	1	.p19.	0.584281848817072	0.0192510057848975	30.3507180531545	0	0.546550570812501	0.622013126821644
EmoDiss	=~	MHWdacad	1		0.896253706127575	0.0050411319593936	177.788185936594	0	0.886373269045849	0.9061341432093
EmoDiss	=~	MHWdlonely	1	.p21.	0.919925875341055	0.00404077729345471	227.660622828969	0	0.912006097376336	0.927845653305773
EmoDiss	=~	MHWdmental	1	.p22.	0.938578386174324	0.00346466833458914	270.899923321413	0	0.931787761020153	0.945369011328495
EmoDiss	=~	MHWdexhaust	1	.p23.	0.927819140440194	0.00378921212099484	244.858063052063	0	0.920392421153262	0.935245859727127
EmoDiss	=~	MHWdsleep	1	.p24.	0.916965113724696	0.00432282150223157	212.121900765815	0	0.908492539268727	0.925437688180665
EmoDiss	=~	MHWdfinancial	1	.p25.	0.854121790628812	0.00636058747011113	134.283475330289	0	0.841655268266878	0.866588312990747
QualEngag	=~	QIadmin	1		0.894842959244536	0.00523517883271337	170.928823606345	0	0.884582197279791	0.90510372120928
QualEngag	=~	QIstudent	1	.p27.	0.902087195077866	0.00475474922742768	189.723401157351	0	0.892768057836589	0.911406332319144
QualEngag	=~	QIadvisor	1	.p28.	0.912955723623839	0.00428352063857965	213.132094053961	0	0.904560177445189	0.92135126980249
QualEngag	=~	QIfaculty	1	.p29.	0.928707780312466	0.00382915873459137	242.535722513361	0	0.92120276710158	0.936212793523352
QualEngag	=~	QIstaff	1	.p30.	0.910860273791431	0.00446801028226175	203.862618089219	0	0.902103134555644	0.919617413027219
sbvalued	~~	sbvalued	1		0.228667480493512	0.0124599289149774	18.3522299407859	0	0.204246468570227	0.253088492416797
sbmyself	~~	sbmyself	1		0.292026483072336	0.0133453202355344	21.8823136439065	0	0.265870136048535	0.318182830096137
sbcommunity	~~	sbcommunity	1		0.192281565026582	0.0117856571384329	16.314878565367	0	0.169182101501117	0.215381028552048
pganalyze	~~	pganalyze	1		0.463968214409079	0.0158875425308905	29.203271274143	0	0.432829203245685	0.495107225572472
pgthink	~~	pgthink	1		0.367667970650014	0.01505647017419	24.4192673579147	0	0.3381578313743	0.397178109925728
pgwork	~~	pgwork	1		0.45910335250029	0.0153752550600751	29.8598852966311	0	0.428968406329426	0.489238298671155
pgvalues	~~	pgvalues	1		0.503082942213689	0.0155790278193636	32.2923193954627	0	0.472548608773589	0.53361727565379
pgprobsolve	~~	pgprobsolve	1		0.400407559779414	0.0152653042999844	26.2299101223827	0	0.3704881131384	0.430327006420428
SEacademic	~~	SEacademic	1		0.322022913298683	0.0132774488289824	24.2533725752919	0	0.295999591787304	0.348046234810062
SEwellness	~~	SEwellness	1		0.329803083877156	0.0139637287447224	23.6185541775012	0	0.302434678447613	0.357171489306698
SEnonacad	~~	SEnonacad	1		0.395530310449159	0.0147453126577952	26.8241386010936	0	0.366630028699098	0.42443059219922
SEactivities	~~	SEactivities	1		0.420203222150025	0.0148393386998302	28.316842862737	0	0.391118652743967	0.449287791556084
SEdiverse	~~	SEdiverse	1		0.375715282884396	0.0142788896106411	26.3126400672221	0	0.347729173508317	0.403701392260476
sameinst	~~	sameinst	1		0.227040212136624	0.0208123911324423	10.9088960846365	0	0.186248675084876	0.267831749188372
evalexp	~~	evalexp	1		0.225475271228504	0.0211037823327627	10.6841166039921	0	0.184112617918717	0.266837924538292
MHWdacad	~~	MHWdacad	1		0.196729294252587	0.00903626632170559	21.7710819102391	0	0.179018537707332	0.214440050797842
MHWdlonely	~~	MHWdlonely	1		0.153736383877994	0.00743443092792681	20.6789713117781	0	0.139165167013707	0.168307600742281
MHWdmental	~~	MHWdmental	1		0.119070613006401	0.00650372563693132	18.3080621252317	0	0.106323544992686	0.131817681020116
MHWdexhaust	~~	MHWdexhaust	1		0.139151642632819	0.00703140766751618	19.790012073354	0	0.125370336843869	0.15293294842177
MHWdsleep	~~	MHWdsleep	1		0.159174980211856	0.00792775312457455	20.0781958911464	0	0.143636869609365	0.174713090814347
MHWdfinancial	~~	MHWdfinancial	1		0.270475966773031	0.0108654323392157	24.8932539754378	0	0.249180110711712	0.291771822834351
QIadmin	~~	QIadmin	1		0.199256078290482	0.00936932577405698	21.2668534636941	0	0.180892537213908	0.217619619367057
QIstudent	~~	QIstudent	1		0.186238692476547	0.00857839704092588	21.7101973233505	0	0.169425343231247	0.203052041721847
QIadvisor	~~	QIadvisor	1		0.166511846702472	0.00782132931342582	21.2894560540551	0	0.15118232293693	0.181841370468014
QIfaculty	~~	QIfaculty	1		0.137501858787093	0.00711233898565258	19.3328606896366	0	0.123561930529373	0.151441787044812
QIstaff	~~	QIstaff	1		0.170333561628599	0.00813946595989978	20.9268719185965	0	0.154380501493806	0.186286621763392
Belong	~~	Belong	1		0.719177786599263	0.0207342913367997	34.6854288346402	0	0.678539322334175	0.759816250864351
Gains	~~	Gains	1		0.871932850971707	0.0147309359822635	59.1905940003772	0	0.843060746987906	0.900804954955509
SupportEnv	~~	SupportEnv	1		0.740006119318661	0.0200651578769462	36.8801543380274	0	0.700679132535737	0.779333106101586
Satisf	~~	Satisf	1		0.658614721142904	0.0224960265386893	29.2769356406208	0	0.614523319331816	0.702706122953992
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.66001341600636	0.0242354057844675	-27.2334378007141	0	-0.70751393849463	-0.61251289351809
DevAdj	~~	QualEngag	1		0.572988238551388	0.0264914924578662	21.6291414861849	0	0.521065867437256	0.62491060966552
EmoDiss	~~	QualEngag	1		-0.169795155769183	0.0233329975582717	-7.27703996647398	3.41282557769773e-13	-0.215526990634756	-0.124063320903609
sbvalued	~1		1	.p67.	3.44317901173365	0.0521959466458818	65.9664060715971	0	3.34087683616875	3.54548118729855
sbmyself	~1		1	.p68.	3.33453823218891	0.0503621718078141	66.2111682735558	0	3.23583018926237	3.43324627511544
sbcommunity	~1		1	.p69.	3.45531920607157	0.054171928858793	63.784311891097	0	3.34914417653527	3.56149423560787
pganalyze	~1		1	.p70.	4.0369620737993	0.062773022012171	64.3104624310835	0	3.9139292114547	4.15999493614389
pgthink	~1		1	.p71.	4.30798103581659	0.0663539439025491	64.9242649712505	0	4.1779296955354	4.43803237609778
pgwork	~1		1	.p72.	4.19295804940641	0.0633004652322425	66.2389768230439	0	4.06889141734658	4.31702468146623
pgvalues	~1		1	.p73.	3.94891998331025	0.0601855502378144	65.6124263665726	0	3.83095847245441	4.0668814941661
pgprobsolve	~1		1	.p74.	4.13509773261589	0.0643574678702468	64.2520265239894	0	4.00895941345401	4.26123605177777
SEacademic	~1		1	.p75.	3.66257935794845	0.0561471311155747	65.2318165715236	0	3.55253300312668	3.77262571277023
SEwellness	~1		1	.p76.	3.66793507041848	0.0555936735590313	65.9775624743296	0	3.5589734724745	3.77689666836245
SEnonacad	~1		1	.p77.	3.48932242736074	0.0522524336538244	66.7781801413829	0	3.38690953929468	3.59173531542681
SEactivities	~1		1	.p78.	3.3303060456447	0.0493822364217633	67.4393524262703	0	3.233518640782	3.42709345050739
SEdiverse	~1		1	.p79.	3.50680877102866	0.0525391910057458	66.7465315681231	0	3.40383384888053	3.6097836931768
sameinst	~1		1	.p80.	4.28545067659765	0.0693142006664076	61.82644588549	0	4.14959733967431	4.42130401352099
evalexp	~1		1	.p81.	4.17790924393891	0.0648833023377861	64.3911313605538	0	4.05074030815883	4.305078179719
MHWdacad	~1		1	.p82.	3.45204167784902	0.0558626828158166	61.7951287665623	0	3.34255283145023	3.5615305242478
MHWdlonely	~1		1	.p83.	3.57190545669389	0.060539204200284	59.0015264303249	0	3.45325079680862	3.69056011657916
MHWdmental	~1		1	.p84.	3.60937014761324	0.0600572548982912	60.0988199298456	0	3.49166009100225	3.72708020422423
MHWdexhaust	~1		1	.p85.	3.56606110961944	0.0591720448851563	60.2659772286154	0	3.45008603275294	3.68203618648593
MHWdsleep	~1		1	.p86.	3.52545165785939	0.0581807280036424	60.5948357613998	0	3.41141952637793	3.63948378934085
MHWdfinancial	~1		1	.p87.	3.32791292335876	0.0529182934627295	62.8877597064353	0	3.22419497404849	3.43163087266903
QIadmin	~1		1	.p88.	4.52415754345601	0.0701678661976234	64.4762024074382	0	4.38663105283664	4.66168403407538
QIstudent	~1		1	.p89.	4.575538276052	0.0719279474681895	63.6128019373214	0	4.43456208953246	4.71651446257154
QIadvisor	~1		1	.p90.	4.63580936582805	0.0751773013798302	61.6650143160342	0	4.48846456266867	4.78315416898743
QIfaculty	~1		1	.p91.	4.70843574416841	0.0771337752509574	61.0424645863547	0	4.55725632268493	4.85961516565189
QIstaff	~1		1	.p92.	4.62046702134142	0.0724941717742324	63.7357032746146	0	4.47838105557486	4.76255298710797
Belong	~1		1		0	0	NA	NA	0	0
Gains	~1		1		0	0	NA	NA	0	0
SupportEnv	~1		1		0	0	NA	NA	0	0
Satisf	~1		1		0	0	NA	NA	0	0
DevAdj	~1		1		0	0	NA	NA	0	0
EmoDiss	~1		1		0	0	NA	NA	0	0
QualEngag	~1		1		0	0	NA	NA	0	0
Belong	=~	sbvalued	2		0.870386801602296	0.00610436460617966	142.584340509604	0	0.858422466825683	0.88235113637891
Belong	=~	sbmyself	2	.p2.	0.837662087757536	0.00645491318330285	129.771239979547	0	0.82501069039493	0.850313485120143
Belong	=~	sbcommunity	2	.p3.	0.900071929331936	0.00543712153052331	165.541992077802	0	0.889415366952544	0.910728491711329
Gains	=~	pganalyze	2		0.716141916741751	0.00950899177953441	75.3120765424424	0	0.697504635324576	0.734779198158926
Gains	=~	pgthink	2	.p5.	0.783895612232611	0.00819749585746919	95.6262285290892	0	0.767828815588555	0.799962408876667
Gains	=~	pgwork	2	.p6.	0.733493192436299	0.00920173475305405	79.7124903206814	0	0.715458123725022	0.751528261147575
Gains	=~	pgvalues	2	.p7.	0.706256352444385	0.0100172619299885	70.5039318508857	0	0.686622879837903	0.725889825050866
Gains	=~	pgprobsolve	2	.p8.	0.771394332910968	0.00863871973785832	89.2949830899606	0	0.75446275335223	0.788325912469705
SupportEnv	=~	SEacademic	2		0.829474425049197	0.00650055024256974	127.600648267784	0	0.816733580694067	0.842215269404327
SupportEnv	=~	SEwellness	2	.p10.	0.818392722837452	0.00665948384777837	122.891314333688	0	0.80534037434018	0.831445071334724
SupportEnv	=~	SEnonacad	2	.p11.	0.767011591932759	0.00776772561805293	98.7433940959695	0	0.751787129479586	0.782236054385931
SupportEnv	=~	SEactivities	2	.p12.	0.757700938367293	0.00820279595233324	92.3710577186513	0	0.741623753728188	0.773778123006397
SupportEnv	=~	SEdiverse	2	.p13.	0.78885841169212	0.00754277690380798	104.584614095356	0	0.774074840617236	0.803641982767004
Satisf	=~	sameinst	2		0.859392577580342	0.0111632259012433	76.9842503576524	0	0.83751305686262	0.881272098298063
Satisf	=~	evalexp	2	.p15.	0.873867055268193	0.011193813213144	78.066967764129	0	0.851927584520762	0.895806526015623
DevAdj	=~	Belong	2		0.477147792337632	0.0166689323305428	28.6249762657772	0	0.444477285309033	0.509818299366231
DevAdj	=~	Gains	2	.p17.	0.326189355724851	0.0174623555782423	18.6795735697465	0	0.291963767706264	0.360414943743438
DevAdj	=~	SupportEnv	2	.p18.	0.453910050738296	0.017275878685765	26.2742092020077	0	0.420049950712914	0.487770150763679
DevAdj	=~	Satisf	2	.p19.	0.535487397698087	0.0176182844966511	30.3938444063537	0	0.50095619461527	0.570018600780903
EmoDiss	=~	MHWdacad	2		0.910787617875603	0.0034550438042885	263.611018981903	0	0.90401585645419	0.917559379297017
