lhs	op	rhs	block	group	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued	1	1		1	0	NA	NA	0.599021947875092	0.841715988585571	0.841715988585571
Belong	=~	sbmyself	1	1		0.989441838663356	0.0313192222959245	31.5921586211325	0	0.592697377505236	0.811716058827224	0.811716058827224
Belong	=~	sbcommunity	1	1		1.03868029034537	0.0319823459866376	32.4766760630799	0	0.622192290742152	0.866112868997082	0.866112868997082
Gains	=~	pganalyze	1	1		1	0	NA	NA	0.479731609394679	0.69692572602049	0.69692572602049
Gains	=~	pgthink	1	1		1.03363738734727	0.0462104045096542	22.3680662031714	0	0.495868527362619	0.77210414818382	0.77210414818382
Gains	=~	pgwork	1	1		1.05149019523674	0.0479974725826704	21.9071992473284	0	0.504433083623647	0.743212099491791	0.743212099491791
Gains	=~	pgvalues	1	1		1.00552544331983	0.0517473764629385	19.4314284520296	0	0.482382339211121	0.684902388399675	0.684902388399675
Gains	=~	pgprobsolve	1	1		1.00345142339331	0.0443747831471839	22.6131003291897	0	0.481387366293853	0.745236163603178	0.745236163603178
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	0.549888192869158	0.79618056720858	0.79618056720858
SupportEnv	=~	SEwellness	1	1		1.01839423354045	0.0382143891803641	26.6494965740218	0	0.560002964709928	0.786690035334254	0.786690035334254
SupportEnv	=~	SEnonacad	1	1		0.983031808059843	0.0381077061340248	25.7961422448919	0	0.540557584466928	0.729625314767035	0.729625314767035
SupportEnv	=~	SEactivities	1	1		1.00798275446317	0.0401617741611646	25.0980634077134	0	0.55427781529503	0.730470757885728	0.730470757885728
SupportEnv	=~	SEdiverse	1	1		1.03011776759773	0.0395811995834869	26.025430720586	0	0.566449597666725	0.762322309900753	0.762322309900753
Satisf	=~	sameinst	1	1		1	0	NA	NA	0.493203748616396	0.809238089789813	0.809238089789813
Satisf	=~	evalexp	1	1		1.09021363045036	0.0890934737577697	12.2367395103986	0	0.537697449330809	0.861127765767674	0.861127765767674
DevAdj	=~	Belong	1	1		1	0	NA	NA	0.335082467106348	0.335082467106348	0.335082467106348
DevAdj	=~	Gains	1	1		0.533628964905476	0.109663673649098	4.86605041714162	1.13850486038736e-06	0.22327263564353	0.22327263564353	0.22327263564353
DevAdj	=~	SupportEnv	1	1		0.894864550068405	0.13909055676696	6.43368299666604	1.24548371616129e-10	0.326646003226277	0.326646003226277	0.326646003226277
DevAdj	=~	Satisf	1	1		1.04149159116836	0.165064053682177	6.30962082861297	2.79719802875888e-10	0.423861370903773	0.423861370903773	0.423861370903773
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	0.822041868678863	0.874412588306285	0.874412588306285
EmoDiss	=~	MHWdlonely	1	1		0.979655266197191	0.0239619353886489	40.883812192452	0	0.805317645685828	0.889394705661047	0.889394705661047
EmoDiss	=~	MHWdmental	1	1		1.01292579353124	0.0220115376941171	46.0179478420518	0	0.832667412147438	0.921821262287425	0.921821262287425
EmoDiss	=~	MHWdexhaust	1	1		1.01645543970548	0.0230539509914655	44.0902923790274	0	0.835568929084291	0.911929465187791	0.911929465187791
EmoDiss	=~	MHWdsleep	1	1		0.986353297918919	0.0265497640868049	37.1511134597664	0	0.810823708198828	0.874693420062843	0.874693420062843
EmoDiss	=~	MHWdfinancial	1	1		1.02987304610302	0.0301991714792307	34.1026920825065	0	0.846598763320517	0.826531442646677	0.826531442646677
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	0.909348764685792	0.87373109768106	0.87373109768106
QualEngag	=~	QIstudent	1	1		0.974281899478415	0.0232126811274706	41.9719675692879	0	0.885962041746424	0.875422341678056	0.875422341678056
QualEngag	=~	QIadvisor	1	1		1.0162209655901	0.0211029637318294	48.1553671088077	0	0.92409927970716	0.908062082404075	0.908062082404075
QualEngag	=~	QIfaculty	1	1		0.990890702856123	0.020102057394654	49.2929993881942	0	0.901065236580851	0.922728552903768	0.922728552903768
QualEngag	=~	QIstaff	1	1		0.960764364826092	0.0223337133706752	43.0185678879359	0	0.873669888308736	0.888015858179712	0.888015858179712
EmoDiss	~	x_FASt	1	1	W5__a1_g1	-0.0893095605933553	0.0918095434669899	-0.972769901916204	0.33066767472312	-0.108643566704076	-0.0541922957306328	-0.108643566704076
EmoDiss	~	credit_dose_c	1	1	W5__a1c_g1	0.00639261431360438	0.0774571348144121	0.0825309938060726	0.934224472902578	0.00777650696050094	0.0140597874922681	0.00777650696050094
EmoDiss	~	XZ_c	1	1	W5__a1z_g1	0.0249354338342196	0.0819123643985002	0.304415994060552	0.760810984151971	0.0303335326147005	0.046643863368163	0.0303335326147005
EmoDiss	~	cohort	1	1	W5__g1_g1	-0.00292211951178822	0.0505303739747903	-0.0578289706156947	0.953884861572872	-0.00355470885745087	-0.0017751357957993	-0.00355470885745087
EmoDiss	~	hgrades_c	1	1		-0.0489060000192893	0.0261976712653621	-1.86680714953285	0.061928523732991	-0.059493320088292	-0.058140952817159	-0.059493320088292
EmoDiss	~	bparented_c	1	1		-0.0111270664599852	0.0237031977843316	-0.46943313561432	0.638760068128145	-0.0135358877496933	-0.0136069262327736	-0.0135358877496933
EmoDiss	~	hapcl_c	1	1		-0.159036894309139	0.059103631834856	-2.69081424223659	0.00712778708614326	-0.193465686321712	-0.086328235298304	-0.193465686321712
EmoDiss	~	hprecalc13_c	1	1		0.0326923838539217	0.0524342101103604	0.623493398396062	0.532960339099633	0.0397697308367796	0.0193644357577549	0.0397697308367796
EmoDiss	~	hchallenge_c	1	1		0.0163094429930507	0.021200791146797	0.769284640376011	0.441724353365371	0.0198401609631663	0.0234203689688537	0.0198401609631663
EmoDiss	~	cSFcareer_c	1	1		0.00358063966938717	0.0307630231776552	0.116394271418291	0.907340075283209	0.00435578746754318	0.00351395901375735	0.00435578746754318
EmoDiss	~	hacadpr13_c	1	1		-0.00271716110978805	0.00348824142472859	-0.778948696189933	0.43600993684158	-0.00330538043537237	-0.0243916423908461	-0.00330538043537237
EmoDiss	~	tcare_c	1	1		-0.00412818875795723	0.00466676868563237	-0.884592538444582	0.37637643245386	-0.00502187165307262	-0.0272199140175221	-0.00502187165307262
EmoDiss	~	StemMaj_c	1	1		-0.0393971759646867	0.0589416734262827	-0.668409525460115	0.50387221676996	-0.0479259967962502	-0.0207168708880585	-0.0479259967962502
QualEngag	~	x_FASt	1	1	W5__a2_g1	-0.00823064248855999	0.102965909837166	-0.0799356068583886	0.936288470249654	-0.00905113946177068	-0.00451478206480012	-0.00905113946177068
QualEngag	~	credit_dose_c	1	1	W5__a2c_g1	0.020677375666179	0.0889432700948614	0.232478248709832	0.816166579484995	0.0227386636120011	0.0411111029497889	0.0227386636120011
QualEngag	~	XZ_c	1	1	W5__a2z_g1	-0.0611948917618266	0.092942803887695	-0.65841452164247	0.510271806670331	-0.0672952932233556	-0.103479950795756	-0.0672952932233556
QualEngag	~	cohort	1	1	W5__g2_g1	0.0309243175840381	0.0560450464625105	0.551776107540991	0.581101758698891	0.0340071035283403	0.0169823265998498	0.0340071035283403
QualEngag	~	hgrades_c	1	1		0.059035875432624	0.0291720702569465	2.02371223271568	0.0429997692047146	0.0649210486946916	0.0634453014791717	0.0649210486946916
QualEngag	~	bparented_c	1	1		-0.0166215239662233	0.0276402757446525	-0.601351597204637	0.547605830035778	-0.0182784918303228	-0.0183744202508766	-0.0182784918303228
QualEngag	~	hapcl_c	1	1		0.0423301423491092	0.06234150755141	0.679004150071308	0.497135232400207	0.0465499531015864	0.0207715144782643	0.0465499531015864
QualEngag	~	hprecalc13_c	1	1		0.165391541325887	0.0581498208545492	2.84423131310383	0.00445187155384685	0.181879107058593	0.0885594699840605	0.181879107058593
QualEngag	~	hchallenge_c	1	1		-0.0248723948035783	0.0246489690125011	-1.00906430573075	0.31294379505247	-0.0273518761662062	-0.0322875924742856	-0.0273518761662062
QualEngag	~	cSFcareer_c	1	1		0.0312367383215423	0.0331429233649054	0.942485911023119	0.34594392102629	0.0343506688903191	0.027711830174261	0.0343506688903191
QualEngag	~	hacadpr13_c	1	1		-0.000411647657688171	0.00356976103699013	-0.115315185924953	0.908195302031445	-0.000452684023637958	-0.00334052525466179	-0.000452684023637958
QualEngag	~	tcare_c	1	1		0.0092835956028391	0.00574600424481362	1.61566111114842	0.10616760337662	0.0102090594537145	0.055335886642952	0.0102090594537145
QualEngag	~	StemMaj_c	1	1		0.0952349780731703	0.0668075221102256	1.42551280252607	0.154009022017725	0.104728770491129	0.0452708876510961	0.104728770491129
DevAdj	~	x_FASt	1	1	W5__c_g1	-0.0330043647388238	0.0371660132341624	-0.888025426103187	0.374527074501659	-0.164428440795039	-0.082018245170124	-0.164428440795039
DevAdj	~	credit_dose_c	1	1	W5__cc_g1	0.0530493061663779	0.032892379862828	1.61281446911445	0.106784821641317	0.264292761494523	0.477836653555611	0.264292761494523
DevAdj	~	XZ_c	1	1	W5__cz_g1	-0.0609952763821096	0.0340761002405638	-1.78997232522228	0.0734583605109529	-0.303879752594511	-0.467275798055264	-0.303879752594511
DevAdj	~	EmoDiss	1	1	W5__b1_g1	-0.149538633662896	0.0197179474199155	-7.58388439112373	3.35287353436797e-14	-0.612424994014748	-0.612424994014748	-0.612424994014748
DevAdj	~	QualEngag	1	1	W5__b2_g1	0.115991698985887	0.0158260203377474	7.32917666668417	2.31592522936808e-13	0.525488179828727	0.525488179828727	0.525488179828727
DevAdj	~	cohort	1	1	W5__g3_g1	-0.0209274848936671	0.0197401401825119	-1.06014874768757	0.28907693349909	-0.104261170849915	-0.0520655119475392	-0.104261170849915
DevAdj	~	hgrades_c	1	1		0.0162206491688	0.0107861017378821	1.50384722515931	0.13262070826922	0.0808116160579127	0.0789746537817799	0.0808116160579127
DevAdj	~	bparented_c	1	1		0.00435771835986187	0.00990522782374318	0.43994125500236	0.659979655096669	0.0217102447208484	0.021824183524183	0.0217102447208484
DevAdj	~	hapcl_c	1	1		0.0115715844709171	0.0214533000038931	0.539384825123276	0.589621349621692	0.0576498777400432	0.0257245215163635	0.0576498777400432
DevAdj	~	hprecalc13_c	1	1		0.000278473426200207	0.0206226795284445	0.0135032610973813	0.989226283860655	0.00138736047899416	0.000675525136908517	0.00138736047899416
DevAdj	~	hchallenge_c	1	1		-0.0162684287541218	0.00841988733306524	-1.93214328299085	0.0533418233001468	-0.0810496549590842	-0.0956752733742486	-0.0810496549590842
DevAdj	~	cSFcareer_c	1	1		0.0120540272591472	0.012335561807302	0.977176998295437	0.328481533374862	0.0600534178799379	0.0484470949601153	0.0600534178799379
DevAdj	~	hacadpr13_c	1	1		-0.00133276969678276	0.0013249354070879	-1.00591295972087	0.314457441563116	-0.00663988672150024	-0.0489982153622556	-0.00663988672150024
DevAdj	~	tcare_c	1	1		-0.00193349981537933	0.00202659952456654	-0.954061121569087	0.340052704346275	-0.00963273683454178	-0.0522120608616545	-0.00963273683454178
DevAdj	~	StemMaj_c	1	1		0.0175128999312556	0.0225386970818381	0.777014743472803	0.437150071932448	0.0872496365945367	0.0377152188204557	0.0872496365945367
sbvalued	~~	sbvalued	1	1		0.14764339497502	0.0109483059962767	13.485501320956	0	0.14764339497502	0.291514194559415	0.291514194559415
sbmyself	~~	sbmyself	1	1		0.181870034614979	0.0117134366865499	15.5266160975467	0	0.181870034614979	0.341117039841999	0.341117039841999
sbcommunity	~~	sbcommunity	1	1		0.128936836815105	0.0109136281041684	11.8142963627154	0	0.128936836815105	0.249848498157644	0.249848498157644
pganalyze	~~	pganalyze	1	1		0.243688808679365	0.0116645982588128	20.8913160378459	0	0.243688808679365	0.514294532410812	0.514294532410812
pgthink	~~	pgthink	1	1		0.166573910014641	0.00991095715813058	16.8070457128341	0	0.166573910014641	0.403855184357337	0.403855184357337
pgwork	~~	pgwork	1	1		0.206208408397116	0.0115675404058653	17.8264696868972	0	0.206208408397116	0.447635775169004	0.447635775169004
pgvalues	~~	pgvalues	1	1		0.263357259476544	0.0139348119369227	18.8992331341576	0	0.263357259476544	0.53090871836442	0.53090871836442
pgprobsolve	~~	pgprobsolve	1	1		0.185521188301493	0.0099295759591782	18.6836969739892	0	0.185521188301493	0.444623060458017	0.444623060458017
SEacademic	~~	SEacademic	1	1		0.174630953301043	0.00977969182553644	17.856488365518	0	0.174630953301043	0.366096504399423	0.366096504399423
SEwellness	~~	SEwellness	1	1		0.193122872779268	0.0102791539341733	18.7878179484428	0	0.193122872779268	0.38111878830579	0.38111878830579
SEnonacad	~~	SEnonacad	1	1		0.256686012195514	0.0120598191996442	21.2843997033626	0	0.256686012195514	0.467646900051105	0.467646900051105
SEactivities	~~	SEactivities	1	1		0.268546488523943	0.0136097362415762	19.7319392350576	0	0.268546488523943	0.46641247187385	0.46641247187385
SEdiverse	~~	SEdiverse	1	1		0.231269862814856	0.0131176057594189	17.6304934800161	0	0.231269862814856	0.41886469582758	0.41886469582758
sameinst	~~	sameinst	1	1		0.128199842041558	0.0192343717011026	6.6651432151646	2.64408495098678e-11	0.128199842041558	0.345133714033335	0.345133714033335
evalexp	~~	evalexp	1	1		0.100770259831893	0.0222287567487689	4.53332865039671	5.80613690037701e-06	0.100770259831893	0.258458971023974	0.258458971023974
MHWdacad	~~	MHWdacad	1	1		0.208049355787763	0.0111980555118439	18.5790609421176	0	0.208049355787763	0.235402625411504	0.235402625411504
MHWdlonely	~~	MHWdlonely	1	1		0.171334160349332	0.00972891116794588	17.6108258562203	0	0.171334160349332	0.2089770575421	0.2089770575421
MHWdmental	~~	MHWdmental	1	1		0.122588954707098	0.0075673978170057	16.1996181080387	0	0.122588954707098	0.150245560394817	0.150245560394817
MHWdexhaust	~~	MHWdexhaust	1	1		0.141365869138718	0.00863550289560592	16.3703111269467	0	0.141365869138718	0.16838465052231	0.16838465052231
MHWdsleep	~~	MHWdsleep	1	1		0.201857685982021	0.0106875022516882	18.8872648845651	0	0.201857685982021	0.234911420898766	0.234911420898766
MHWdfinancial	~~	MHWdfinancial	1	1		0.332417914008511	0.0147049491060725	22.6058527377858	0	0.332417914008511	0.316845774316403	0.316845774316403
QIadmin	~~	QIadmin	1	1		0.256276654196029	0.0141070828353633	18.1665236666507	0	0.256276654196029	0.23659396894505	0.23659396894505
QIstudent	~~	QIstudent	1	1		0.239295332191564	0.0134361174546828	17.8098571256657	0	0.239295332191564	0.233635723690909	0.233635723690909
QIadvisor	~~	QIadvisor	1	1		0.181674236863803	0.0108002352541782	16.8213221830997	0	0.181674236863803	0.175423254499975	0.175423254499975
QIfaculty	~~	QIfaculty	1	1		0.141677724033605	0.0088399551850298	16.0269731088153	0	0.141677724033605	0.148572017656118	0.148572017656118
QIstaff	~~	QIstaff	1	1		0.20465174702082	0.0117113231044004	17.4746905363686	0	0.20465174702082	0.21142783562135	0.21142783562135
Belong	~~	Belong	1	1		0.318538072251977	0.0199414867032046	15.9736371210872	0	0.887719740237923	0.887719740237923	0.887719740237923
