lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.882263691190518	0.0133684588608291	65.9959162365108	0	0.856061993294488	0.908465389086549
Belong	=~	sbmyself		0.830584951042379	0.0151356694070264	54.8759971367237	0	0.800919584122703	0.860250317962056
Belong	=~	sbcommunity		0.887735463047938	0.0129146509196265	68.7386340190456	0	0.862423212372563	0.913047713723313
Gains	=~	pganalyze		0.736674381458744	0.0196701698242155	37.4513483128062	0	0.698121557033495	0.775227205883993
Gains	=~	pgthink		0.802869243787218	0.0179832961204723	44.6452773956842	0	0.767622631067773	0.838115856506662
Gains	=~	pgwork		0.767372886921374	0.0200447116805308	38.2830593500985	0	0.728085973947044	0.806659799895704
Gains	=~	pgvalues		0.70521481556737	0.0218494464445165	32.2760952941375	0	0.66239068745398	0.748038943680759
Gains	=~	pgprobsolve		0.78758781202734	0.0185461195568454	42.4664474750805	0	0.751238085642949	0.823937538411731
SupportEnv	=~	SEacademic		0.837487856904886	0.0149389413087494	56.0607234205001	0	0.808208069972579	0.866767643837193
SupportEnv	=~	SEwellness		0.8188651561393	0.0150374156631078	54.455178634735	0	0.78939236301905	0.848337949259549
SupportEnv	=~	SEnonacad		0.806196124593828	0.0157927886214296	51.0483704885332	0	0.775242827680372	0.837149421507284
SupportEnv	=~	SEactivities		0.738851991434757	0.0200521204479905	36.8465765678561	0	0.699550557543036	0.778153425326477
SupportEnv	=~	SEdiverse		0.812028799106731	0.0156500308910625	51.8867218064386	0	0.781355302203309	0.842702296010153
Satisf	=~	sameinst		0.923002463778098	0.0242877271427777	38.0028340384484	0	0.875399393311918	0.970605534244278
Satisf	=~	evalexp		0.835892495897274	0.0246352288562674	33.9307785924877	0	0.787608334588088	0.88417665720646
DevAdj	=~	Belong		0.535309796319258	0.0373777367231021	14.32162145838	0	0.462050778518358	0.608568814120159
DevAdj	=~	Gains		0.233574818646834	0.0448245085695769	5.21087293760908	1.87954150243641e-07	0.145720396225757	0.321429241067912
DevAdj	=~	SupportEnv		0.456606822454102	0.0377299988855561	12.1019569557661	0	0.382657383501676	0.530556261406529
DevAdj	=~	Satisf		0.489969097622765	0.0396620468406899	12.3536009019105	0	0.412232914261872	0.567705280983657
EmoDiss	=~	MHWdacad		0.904165070567076	0.00861906275759057	104.902945482187	0	0.887272017981708	0.921058123152444
EmoDiss	=~	MHWdlonely		0.945163249811584	0.00546708412900653	172.882514245	0	0.93444796181828	0.955878537804887
EmoDiss	=~	MHWdmental		0.942645151828194	0.00568720514273829	165.748399814944	0	0.931498434575736	0.953791869080651
EmoDiss	=~	MHWdexhaust		0.940951264085821	0.00593226856014877	158.615756273553	0	0.92932423136131	0.952578296810332
EmoDiss	=~	MHWdsleep		0.922003663484215	0.00728810708935388	126.507974180434	0	0.907719236073611	0.93628809089482
EmoDiss	=~	MHWdfinancial		0.872761090694982	0.0111346220174262	78.3826419369307	0	0.85093763255936	0.894584548830604
QualEngag	=~	QIadmin		0.886540679197295	0.00969893173359231	91.4060129041589	0	0.867531122310941	0.905550236083648
QualEngag	=~	QIstudent		0.89729662786056	0.0081955498291498	109.485836407103	0	0.881233645361923	0.913359610359197
QualEngag	=~	QIadvisor		0.920318319720445	0.00696919955549331	132.055096484506	0	0.906658939590605	0.933977699850284
QualEngag	=~	QIfaculty		0.94419778220259	0.00523291601653528	180.434346589752	0	0.933941455276058	0.954454109129122
QualEngag	=~	QIstaff		0.925197171130447	0.00643377123597034	143.803243416209	0	0.912587211223175	0.937807131037719
EmoDiss	~	x_FASt	a1	0.0450974284799768	0.049252225436548	0.915642452300478	0.35985445760142	-0.0514351595341048	0.141630016494058
EmoDiss	~	XZ_c	a1z	-0.0300494919514307	0.0600194155459421	-0.500662855146085	0.616608418195086	-0.147685384794621	0.0875864008917592
EmoDiss	~	cohort	g1	0.0523180928209162	0.038377775310582	1.36323933311711	0.172807094765744	-0.022900964594595	0.127537150236427
EmoDiss	~	hgrades_c		-0.106389429211029	0.0368567915865153	-2.88656241174161	0.00389475493029412	-0.178627413306298	-0.0341514451157605
EmoDiss	~	bparented_c		-0.0276506602522472	0.0370019340429992	-0.74727608076148	0.454896927723596	-0.100173118334852	0.0448717978303577
EmoDiss	~	hapcl_c		-0.0464878743383376	0.0391454322762598	-1.18756829686438	0.235003534316391	-0.123211511759058	0.0302357630823833
EmoDiss	~	hprecalc13_c		-0.0991202249131084	0.0375631281008415	-2.63876386032099	0.00832089186051843	-0.172742603137422	-0.0254978466887947
EmoDiss	~	hchallenge_c		-0.0864614222625896	0.0379340702140086	-2.27925508058612	0.0226519065646749	-0.16081083366906	-0.0121120108561192
