lhs	op	rhs	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	0.615244520030188	0.841506898949665	0.841506898949665
Belong	=~	sbmyself		0.975206246153134	0.0234335480883574	41.6158168825339	0	0.599990298844927	0.811813283935518	0.811813283935518
Belong	=~	sbcommunity		1.02066590267363	0.0232116381371312	43.9721615787594	0	0.627959103401614	0.872379224762863	0.872379224762863
Gains	=~	pganalyze		1	0	NA	NA	0.510028110369249	0.726610452945067	0.726610452945067
Gains	=~	pgthink		1.00903597724697	0.0314917054155264	32.041325292897	0	0.51463671276986	0.783896036667272	0.783896036667272
Gains	=~	pgwork		1.01331575166658	0.0302132487976864	33.5387881803753	0	0.516819518029903	0.743934830546723	0.743934830546723
Gains	=~	pgvalues		0.974686629512807	0.0317210629331936	30.7267959956308	0	0.49711757985259	0.690771061775039	0.690771061775039
Gains	=~	pgprobsolve		0.968220243395099	0.0296180599549296	32.6901979693626	0	0.493819541160057	0.745565973708237	0.745565973708237
SupportEnv	=~	SEacademic		1	0	NA	NA	0.589361607517965	0.820314301962837	0.820314301962837
SupportEnv	=~	SEwellness		1.01588420131329	0.0246459431156177	41.2191246465036	0	0.598723145938102	0.811209612804853	0.811209612804853
SupportEnv	=~	SEnonacad		1.0053665119006	0.025034643139816	40.1590111065587	0	0.59252442359847	0.768708225718566	0.768708225718566
SupportEnv	=~	SEactivities		0.971147313252813	0.0273307575268073	35.5331282823122	0	0.572356941675431	0.724856015337594	0.724856015337594
SupportEnv	=~	SEdiverse		0.979313975015054	0.0255760549774522	38.2902670438586	0	0.577170058579681	0.770681656661238	0.770681656661238
Satisf	=~	sameinst		1	0	NA	NA	0.540789760038698	0.83930176446862	0.83930176446862
Satisf	=~	evalexp		1.02106683993133	0.0571394091694579	17.869747951071	0	0.552182491349934	0.861011565805444	0.861011565805444
DevAdj	=~	Belong		1	0	NA	NA	0.326133297856961	0.326133297856961	0.326133297856961
DevAdj	=~	Gains		0.729704000469799	0.0833293783795605	8.75686360152645	0	0.287075090471294	0.287075090471294	0.287075090471294
DevAdj	=~	SupportEnv		1.10544170041363	0.110391478827793	10.0138317934673	0	0.376354313681425	0.376354313681425	0.376354313681425
DevAdj	=~	Satisf		1.05156993187209	0.104114846011075	10.1000959244585	0	0.390168852389586	0.390168852389586	0.390168852389586
EmoDiss	=~	MHWdacad		1	0	NA	NA	0.944688479405511	0.897751082919711	0.897751082919711
EmoDiss	=~	MHWdlonely		1.00042786662798	0.0153854623249855	65.0242316737737	0	0.945092680079683	0.919024793666716	0.919024793666716
EmoDiss	=~	MHWdmental		1.0079156541171	0.0149811870422529	67.2787577696198	0	0.952166306656897	0.935744133586882	0.935744133586882
EmoDiss	=~	MHWdexhaust		1.00012736052842	0.014516873026999	68.8941315852492	0	0.94480879542944	0.926262455887709	0.926262455887709
EmoDiss	=~	MHWdsleep		1.00857621012501	0.01602015019281	62.9567262470277	0	0.952790326307566	0.910597965128041	0.910597965128041
EmoDiss	=~	MHWdfinancial		0.977579363652214	0.0184238714046475	53.0604747602404	0	0.923507962546817	0.845112280738714	0.845112280738714
QualEngag	=~	QIadmin		1	0	NA	NA	0.976174119931342	0.889328175053736	0.889328175053736
QualEngag	=~	QIstudent		0.98617179647683	0.0160487705772478	61.4484325593711	0	0.962675385526881	0.894358734996675	0.894358734996675
QualEngag	=~	QIadvisor		0.984205148299991	0.0155159136590602	63.43198150792	0	0.96075559447364	0.912657800093929	0.912657800093929
QualEngag	=~	QIfaculty		0.984387784605659	0.0149883409569607	65.6769009613769	0	0.960933879308593	0.928982805350798	0.928982805350798
QualEngag	=~	QIstaff		0.99327298110463	0.0153807964534527	64.5787741948602	0	0.969607378181393	0.915941022305332	0.915941022305332
EmoDiss	~	x_FASt	a1	0.148555716858355	0.0650881020606485	2.28237899332097	0.0224669744602204	0.157253655672652	0.0784941147000127	0.157253655672652
EmoDiss	~	XZ_c	a1z	0.0207771522546782	0.0248679115314222	0.835500489392723	0.403435971508484	0.0219936547418819	0.0324756700622903	0.0219936547418819
EmoDiss	~	cohort	g1	-0.0247893137861143	0.043327635287715	-0.57213631949914	0.567229625268193	-0.0262407283739865	-0.0131191714356681	-0.0262407283739865
EmoDiss	~	hgrades_c		-0.0294756447268876	0.0234320157806042	-1.25792185370949	0.208420019385773	-0.0312014440415708	-0.0301141178977319	-0.0312014440415708
EmoDiss	~	bparented_c		-0.00684652949084401	0.021380327921212	-0.320225653978459	0.748797277238336	-0.00724739386591494	-0.00714621950780297	-0.00724739386591494
EmoDiss	~	hapcl_c		0.0165226940111387	0.0530816066074747	0.31126966697372	0.755595624913144	0.0174900979225833	0.00728044428517391	0.0174900979225833
EmoDiss	~	hprecalc13_c		-0.00401786624836322	0.0459332519687629	-0.0874718439507742	0.930296464901615	-0.00425311236026891	-0.00197245145105824	-0.00425311236026891
EmoDiss	~	hchallenge_c		0.00538462856407562	0.0177935417924066	0.302617018404594	0.762181743442593	0.00569989862421541	0.00696213491414881	0.00569989862421541
EmoDiss	~	cSFcareer_c		-0.000869951337609704	0.0271411242644826	-0.0320528851027789	0.974429876326254	-0.000920886997751006	-0.000744592249282531	-0.000920886997751006
EmoDiss	~	hacadpr13_c		-0.00487149166810732	0.00276001082862995	-1.76502628814884	0.077559347695149	-0.0051567175574883	-0.040173100961317	-0.0051567175574883
EmoDiss	~	tcare_c		0.00978121004661846	0.0037676606898255	2.59609631860758	0.00942896293656048	0.0103538999996843	0.0606324686065888	0.0103538999996843
EmoDiss	~	StemMaj_c		0.0328581548598798	0.0507329511187899	0.647668904238259	0.51719912059265	0.0347820001791038	0.0148485117049998	0.0347820001791038
QualEngag	~	x_FASt	a2	-0.0267781135135014	0.0665244668304066	-0.402530298841295	0.68729379455671	-0.0274316978567151	-0.0136926981364641	-0.0274316978567151
QualEngag	~	XZ_c	a2z	-0.0347606485659348	0.0242312323533136	-1.43453903041713	0.151418499283613	-0.0356090658994111	-0.0525800867999204	-0.0356090658994111
QualEngag	~	cohort	g2	0.0676932678652396	0.0441671241945219	1.53266188595624	0.125359184736829	0.0693454850759624	0.0346695904944085	0.0693454850759624
QualEngag	~	hgrades_c		0.00245449692928155	0.0236474834023677	0.103795270199272	0.917331820030522	0.00251440483738105	0.00242678138917664	0.00251440483738105
