lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.828933574052209	0.0228173846915321	36.3290353061295	0	0.78421232183541	0.873654826269007
Belong	=~	sbmyself		0.814881012083616	0.0221433642629355	36.8002351588281	0	0.771480815631711	0.858281208535521
Belong	=~	sbcommunity		0.87226646009279	0.019120674202434	45.6190221567477	0	0.834790627295895	0.909742292889684
Gains	=~	pganalyze		0.709511666800901	0.0292966133991563	24.2182144787198	0	0.652091359669561	0.766931973932241
Gains	=~	pgthink		0.790366509886402	0.0259856982514682	30.4154424575351	0	0.739435477200399	0.841297542572405
Gains	=~	pgwork		0.754334495635556	0.0258086463946835	29.2279759310022	0	0.703750478212247	0.804918513058865
Gains	=~	pgvalues		0.735909470692114	0.0254727895612973	28.8900227798464	0	0.685983720566203	0.785835220818025
Gains	=~	pgprobsolve		0.742453812141545	0.0251227129099161	29.5530906556072	0	0.69321419964417	0.79169342463892
SupportEnv	=~	SEacademic		0.807823800131744	0.0219181429191857	36.856398058461	0	0.764865029402139	0.85078257086135
SupportEnv	=~	SEwellness		0.813013655010892	0.0206840284150867	39.306349744612	0	0.772473704262119	0.853553605759665
SupportEnv	=~	SEnonacad		0.725602831029915	0.0273572952645056	26.5231933206256	0	0.671983517597056	0.779222144462774
SupportEnv	=~	SEactivities		0.737932718223302	0.0237005433833478	31.1356877472176	0	0.691480506777911	0.784384929668693
SupportEnv	=~	SEdiverse		0.758851055443938	0.0246716572516858	30.7580089858814	0	0.710495495791718	0.807206615096159
Satisf	=~	sameinst		0.875609875904132	0.105235258959562	8.32049908520299	0	0.669352558439645	1.08186719336862
Satisf	=~	evalexp		0.823002570269491	0.0984285322083042	8.36142276842828	0	0.630086192090074	1.01591894844891
DevAdj	=~	Belong		0.297553521108072	0.107284577942656	2.77349761553907	0.0055457246792574	0.0872796122438862	0.507827429972258
