lhs	op	rhs	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	0.764982710811366	0.907686305864182	0.907686305864182
Belong	=~	sbmyself		1.02361559234434	0.0298288128344116	34.3163369600636	0	0.783048230660354	0.893462112719073	0.893462112719073
Belong	=~	sbcommunity		1.01447213966398	0.0306942439983536	33.0508918779169	0	0.776053647442762	0.900865092468545	0.900865092468545
Gains	=~	pganalyze		1	0	NA	NA	0.543107107639502	0.741718230653101	0.741718230653101
Gains	=~	pgthink		1.00909023015499	0.0534070160669279	18.8943383185915	0	0.548044076246756	0.802973635882668	0.802973635882668
Gains	=~	pgwork		0.92297134174286	0.057030767008451	16.1837441464901	0	0.501272295848115	0.70874660151745	0.70874660151745
Gains	=~	pgvalues		1.03791893575861	0.0634836224841533	16.3493968230576	0	0.563701151164127	0.760662212165296	0.760662212165296
Gains	=~	pgprobsolve		1.01498922281107	0.0627534986285861	16.1742252622184	0	0.551247861086186	0.771001793618519	0.771001793618519
SupportEnv	=~	SEacademic		1	0	NA	NA	0.654110926596697	0.841801201245885	0.841801201245885
SupportEnv	=~	SEwellness		1.02626423781297	0.0386608412424162	26.5453157466997	0	0.671290651528892	0.836663298997935	0.836663298997935
SupportEnv	=~	SEnonacad		1.03011179130496	0.0410676108015721	25.0833143491642	0	0.673807378308673	0.81693671513691	0.81693671513691
SupportEnv	=~	SEactivities		0.987451947916434	0.0434416078253505	22.7305571167235	0	0.645903108621333	0.78477587935806	0.78477587935806
SupportEnv	=~	SEdiverse		1.06582039234964	0.0439701798452723	24.2396186711126	0	0.697164764425481	0.824684733924503	0.824684733924503
Satisf	=~	sameinst		1	0	NA	NA	0.648317617556406	0.893693237985439	0.893693237985439
Satisf	=~	evalexp		0.946153635563657	0.051576359048127	18.3447155445924	0	0.613408070850962	0.861313886013629	0.861313886013629
DevAdj	=~	Belong		1	0	NA	NA	0.600929730349028	0.600929730349028	0.600929730349028
DevAdj	=~	Gains		0.479169799555562	0.0706368158389802	6.78357020859847	1.17241771846466e-11	0.40558255090078	0.40558255090078	0.40558255090078
DevAdj	=~	SupportEnv		0.907537446691561	0.0750535604212614	12.0918640181455	0	0.637805794759157	0.637805794759157	0.637805794759157
DevAdj	=~	Satisf		0.951278573533536	0.0699930538292715	13.5910425605077	0	0.674520575912704	0.674520575912704	0.674520575912704
EmoDiss	=~	MHWdacad		1	0	NA	NA	0.909362290605338	0.887974753997896	0.887974753997896
EmoDiss	=~	MHWdlonely		1.01336165009032	0.0295682178346755	34.2719894636976	0	0.921512871337734	0.911773428852671	0.911773428852671
EmoDiss	=~	MHWdmental		1.03080049419817	0.0282067281238554	36.5444900121678	0	0.937371098561159	0.931807408467271	0.931807408467271
EmoDiss	=~	MHWdexhaust		1.04256544166003	0.0282268097867957	36.9352912899047	0	0.948069698133934	0.930177117122274	0.930177117122274
