lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.907686305864182	0.0112088159388665	80.9796780333223	0	0.885717430314665	0.929655181413699
Belong	=~	sbmyself		0.893462112719073	0.0114923117934114	77.744332800934	0	0.870937595504882	0.915986629933265
Belong	=~	sbcommunity		0.900865092468545	0.0114144071929295	78.9235110717421	0	0.878493265465528	0.923236919471562
Gains	=~	pganalyze		0.741718230653101	0.0234051309479835	31.6904114871874	0	0.695845016941609	0.787591444364592
Gains	=~	pgthink		0.802973635882668	0.0197917555357841	40.5711173236184	0	0.76418250784171	0.841764763923626
Gains	=~	pgwork		0.70874660151745	0.0226443794953073	31.2990074055385	0	0.66436443325439	0.753128769780509
Gains	=~	pgvalues		0.760662212165296	0.021357244961325	35.6161205971439	0	0.718802781232099	0.802521643098492
Gains	=~	pgprobsolve		0.771001793618519	0.0206605086918974	37.3176578135701	0	0.730507940680123	0.811495646556915
SupportEnv	=~	SEacademic		0.841801201245885	0.0144650919835245	58.1953576378693	0	0.813450141925118	0.870152260566653
SupportEnv	=~	SEwellness		0.836663298997935	0.0148817729916366	56.2206734014913	0	0.807495559908227	0.865831038087644
SupportEnv	=~	SEnonacad		0.81693671513691	0.0179993474847349	45.3870183810689	0	0.781658642321607	0.852214787952212
SupportEnv	=~	SEactivities		0.78477587935806	0.0170493562232313	46.0296488080138	0	0.751359755200933	0.818192003515187
SupportEnv	=~	SEdiverse		0.824684733924503	0.0159536449606839	51.6925590331772	0	0.793416164379424	0.855953303469583
Satisf	=~	sameinst		0.893693237985439	0.0227687409628792	39.2508852133047	0	0.849067325724874	0.938319150246004
Satisf	=~	evalexp		0.861313886013629	0.0233633244281863	36.8660670985038	0	0.815522611575259	0.907105160451999
DevAdj	=~	Belong		0.600929730349028	0.0316816465568397	18.9677556458723	0	0.538834844126695	0.663024616571361
DevAdj	=~	Gains		0.40558255090078	0.0424430333714797	9.55592752645521	0	0.322395734098048	0.488769367703512
DevAdj	=~	SupportEnv		0.637805794759157	0.0299191185524792	21.3176666164287	0	0.579165399947114	0.6964461895712
DevAdj	=~	Satisf		0.674520575912704	0.027640457749549	24.4033793515489	0	0.620346274207387	0.728694877618021
EmoDiss	=~	MHWdacad		0.887974753997896	0.0104940767978219	84.6167577296751	0	0.867406741423168	0.908542766572625
EmoDiss	=~	MHWdlonely		0.911773428852671	0.00835571822145703	109.119695600946	0	0.89539652207365	0.928150335631691
EmoDiss	=~	MHWdmental		0.931807408467271	0.0069308821830455	134.442829045151	0	0.918223129007411	0.94539168792713
EmoDiss	=~	MHWdexhaust		0.930177117122274	0.00708335308696537	131.318756202337	0	0.916294000182041	0.944060234062507
EmoDiss	=~	MHWdsleep		0.908886133031322	0.00893912575723592	101.675058357425	0	0.891365768493866	0.926406497568779
EmoDiss	=~	MHWdfinancial		0.839427478634534	0.0138439145274132	60.6351243336797	0	0.812293904755753	0.866561052513315
QualEngag	=~	QIadmin		0.905833689766797	0.00836527122065195	108.285035341173	0	0.88943805945341	0.922229320080184
QualEngag	=~	QIstudent		0.909927404634559	0.00783251262164214	116.173116928063	0	0.894575961987685	0.925278847281433
QualEngag	=~	QIadvisor		0.929470263146566	0.00685887728191756	135.513470345501	0	0.916027110699628	0.942913415593505
QualEngag	=~	QIfaculty		0.944932967093178	0.00549182130859148	172.06185598481	0	0.934169195118809	0.955696739067547
