lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.872378853687917	0.00522851514526183	166.850210710106	0	0.862131152310581	0.882626555065252
Belong	=~	sbmyself		0.840502088774148	0.0056114517211989	149.783359197212	0	0.829503845499613	0.851500332048684
Belong	=~	sbcommunity		0.89930910845734	0.00471600504329177	190.692991250413	0	0.890065908421578	0.908552308493101
Gains	=~	pganalyze		0.722856663604048	0.00829837766129424	87.1081906738996	0	0.706592142257799	0.739121184950296
Gains	=~	pgthink		0.788356752773832	0.00714541087957895	110.330499681536	0	0.774352004795116	0.802361500752547
Gains	=~	pgwork		0.734547441819994	0.00805859431436619	91.1508152867931	0	0.718752887197817	0.750341996442171
Gains	=~	pgvalues		0.706028758534192	0.008798492425656	80.2442878140628	0	0.688784030261657	0.723273486806726
Gains	=~	pgprobsolve		0.772269794218512	0.0074628607689291	103.48173684732	0	0.757642855889774	0.78689673254725
SupportEnv	=~	SEacademic		0.827176437786826	0.00574838294627386	143.897239539862	0	0.815909814242785	0.838443061330867
SupportEnv	=~	SEwellness		0.819161806482197	0.00593305319381654	138.067497411945	0	0.807533235903956	0.830790377060438
SupportEnv	=~	SEnonacad		0.770490457716059	0.00688040575961424	111.983287706459	0	0.757005110228193	0.783975805203925
SupportEnv	=~	SEactivities		0.760083556051738	0.00712910990020841	106.616894211368	0	0.746110757405501	0.774056354697974
SupportEnv	=~	SEdiverse		0.788854659105287	0.0065990084567345	119.541392358762	0	0.775920840196412	0.801788478014162
Satisf	=~	sameinst		0.854382473897658	0.0143766779840665	59.4283654989392	0	0.826204702831557	0.882560244963758
Satisf	=~	evalexp		0.889341307857905	0.0145593356613983	61.0839208972873	0	0.860805534322734	0.917877081393075
DevAdj	=~	Belong		0.477874243957529	0.0211874061103733	22.5546365358789	0	0.436347691055373	0.519400796859684
DevAdj	=~	Gains		0.346930767845713	0.0216512908046982	16.023560487693	0	0.304495017649701	0.389366518041724
DevAdj	=~	SupportEnv		0.515624159228134	0.0227182444516895	22.6964790490133	0	0.471097218310845	0.560151100145422
DevAdj	=~	Satisf		0.531429727393221	0.0238364226044388	22.2948609450421	0	0.484711197568244	0.578148257218197
EmoDiss	=~	MHWdacad		0.906707777686117	0.00298687746840929	303.563767605438	0	0.9008536054218	0.912561949950433
EmoDiss	=~	MHWdlonely		0.927676297839106	0.00240631070323035	385.518086502191	0	0.922960015525161	0.932392580153051
EmoDiss	=~	MHWdmental		0.942857249609299	0.00207492978695779	454.404411915882	0	0.938790461956412	0.946924037262185
EmoDiss	=~	MHWdexhaust		0.93391153354857	0.00228202788094251	409.246329261697	0	0.929438841090207	0.938384226006934
EmoDiss	=~	MHWdsleep		0.921177522568052	0.00260168503231542	354.069578417888	0	0.916078313605597	0.926276731530507
EmoDiss	=~	MHWdfinancial		0.864850458072084	0.00397933638624293	217.335347939416	0	0.857051102072678	0.87264981407149
QualEngag	=~	QIadmin		0.899177729100076	0.00321279911084239	279.873623615487	0	0.892880758553262	0.905474699646889
QualEngag	=~	QIstudent		0.910692983357964	0.00287970347767702	316.245401798312	0	0.905048868255562	0.916337098460365
QualEngag	=~	QIadvisor		0.920293316707869	0.00268267645455812	343.05043202068	0	0.915035367474762	0.925551265940977
QualEngag	=~	QIfaculty		0.932297676109483	0.0024003740396731	388.396833452028	0	0.927593029442299	0.937002322776668
QualEngag	=~	QIstaff		0.919194036562483	0.00270729367823044	339.525055576273	0	0.913887838457579	0.924500234667388
DevAdj	~	x_FASt	c_total	0.0140334202248571	0.0206889305614279	0.678305733744436	0.497577863969988	-0.0265161385541917	0.0545829790039058
sbvalued	~~	sbvalued		0.238955135638156	0.00912249213152498	26.1940632223062	0	0.221075379611117	0.256834891665195
sbmyself	~~	sbmyself		0.293556238766294	0.00943287367488649	31.1205523241385	0	0.2750681460928	0.312044331439787
sbcommunity	~~	sbcommunity		0.191243127445665	0.00848229259490448	22.5461601690738	0	0.174618139453322	0.207868115438009
pganalyze	~~	pganalyze		0.477478243883225	0.0119970753287594	39.7995537077787	0	0.453964408319042	0.500992079447407
pgthink	~~	pgthink		0.378493630355899	0.0112662658744087	33.5953042982631	0	0.356412155001806	0.400575105709993
pgwork	~~	pgwork		0.460440055715702	0.0118388395278014	38.8923301675337	0	0.437236356622462	0.483643754808942
pgvalues	~~	pgvalues		0.501523392122668	0.0124239772409187	40.3673785292271	0	0.477172844185722	0.525873940059614
pgprobsolve	~~	pgprobsolve		0.403599364937697	0.0115266839684372	35.0143515726508	0	0.381007479498385	0.426191250377009
SEacademic	~~	SEacademic		0.315779140770297	0.00950985417842426	33.205466124468	0	0.297140169082357	0.334418112458236
SEwellness	~~	SEwellness		0.328973934800824	0.00972026132480256	33.8441451117577	0	0.309922572683893	0.348025296917754
SEnonacad	~~	SEnonacad		0.406344454568498	0.01060257387128	38.3250764863043	0	0.385563791637364	0.427125117499632
SEactivities	~~	SEactivities		0.422272987819745	0.0108374385420315	38.9642798140924	0	0.401031998592697	0.443513977046793
SEdiverse	~~	SEdiverse		0.377708326807882	0.010411316964221	36.278631042153	0	0.357302520526378	0.398114133089386
sameinst	~~	sameinst		0.270030588296518	0.024566363372635	10.9918828521974	0	0.22188140085503	0.318179775738007
evalexp	~~	evalexp		0.209072038137592	0.0258964374575627	8.07338995876187	6.66133814775094e-16	0.158315953392875	0.259828122882309
MHWdacad	~~	MHWdacad		0.177881005883503	0.00541644996292406	32.8408841771105	0	0.167264959032109	0.188497052734898
MHWdlonely	~~	MHWdlonely		0.13941668642753	0.00446455468080888	31.2274563523256	0	0.130666320046135	0.148167052808925
MHWdmental	~~	MHWdmental		0.111020206859188	0.0039127250242764	28.3741398054723	0	0.103351406730198	0.118689006988179
MHWdexhaust	~~	MHWdexhaust		0.127809247504958	0.00426242442515063	29.9851058357337	0	0.119455049144839	0.136163445865077
MHWdsleep	~~	MHWdsleep		0.151431971915386	0.00479322739734721	31.5929037706819	0	0.142037418846875	0.160826524983898
MHWdfinancial	~~	MHWdfinancial		0.252033685172505	0.00688306115704712	36.6165110874345	0	0.238543133201306	0.265524237143704
QIadmin	~~	QIadmin		0.19147941149043	0.00577775476787253	33.1407993560337	0	0.180155220233896	0.202803602746965
QIstudent	~~	QIstudent		0.170638290062572	0.00524505142686081	32.5331967554606	0	0.160358178168864	0.18091840195628
QIadvisor	~~	QIadvisor		0.15306021122283	0.0049376984539638	30.9982905294589	0	0.143382500086542	0.162737922359118
QIfaculty	~~	QIfaculty		0.130821043120857	0.00447572670373041	29.2290060990142	0	0.122048779976901	0.139593306264813
QIstaff	~~	QIstaff		0.155082323147968	0.00497705670759378	31.1594446796939	0	0.14532747125207	0.164837175043865
Belong	~~	Belong		0.77163620696202	0.0202498317528517	38.1058083039802	0	0.731947266033435	0.811325147890605
Gains	~~	Gains		0.879639042321984	0.01502299801644	58.5528295590119	0	0.850194507269945	0.909083577374023
SupportEnv	~~	SupportEnv		0.73413172642028	0.0234281509655255	31.3354531264783	0	0.688213394303483	0.780050058537078
Satisf	~~	Satisf		0.717582444842767	0.025334766569769	28.3240203878188	0	0.66792721480929	0.767237674876244
DevAdj	~~	DevAdj		0.999803063116792	0.000580673307069875	1721.7995918598	0	0.998664964348152	1.00094116188543
EmoDiss	~~	EmoDiss		1	0	NA	NA	1	1
QualEngag	~~	QualEngag		1	0	NA	NA	1	1
EmoDiss	~~	QualEngag		-0.248172915659475	0.0144002157356829	-17.233972060885	0	-0.276396819871021	-0.21994901144793
x_FASt	~~	x_FASt		1	0	NA	NA	1	1
sbvalued	~1			3.42366529132573	0.0353448257276705	96.8646816285032	0	3.35439070585965	3.49293987679181
sbmyself	~1			3.32542791481928	0.0349035728193272	95.2747139106024	0	3.25701816916162	3.39383766047693
sbcommunity	~1			3.45790933634668	0.0365175146493752	94.6918039069191	0	3.38633632282899	3.52948234986437
pganalyze	~1			4.06345217816849	0.042454779811627	95.7124779871227	0	3.98024233876612	4.14666201757086
pgthink	~1			4.35811907596088	0.0470895301347906	92.5496403019112	0	4.26582529284777	4.45041285907398
