"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hprecalc13","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","firstgen","re_all","living18","sex","StemMaj","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","SFcareer","SFotherwork","SFdiscuss","SFperform","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band"
1,7,0.4734,7,5,-1.0654,1,0,0,4,-0.476,2,-0.2938,1,"Asian","Off-campus (rent/apartment)","Male",1,0,0,-1.2,-1.83398,0,10,0.5,1.5,1,2,2,2,1,2,3,2,3,2,3,2,3,2,2,NA,5,5,5,5,5,5,4,4,4,4,2,3,2,2,1,0,2,1,4,"Asian First-Gen Navigator","non_DE"
0,8,1.4734,7,6,-0.0654000000000003,0,0,1,3,-1.476,2,-0.2938,0,"White","With family (commuting)","Male",0,49,1,3.7,3.06602,3.06602,-11,-1.6,-0.6,2,3,2,2,2,2,2,2,3,2,3,3,3,3,4,1,1,2,2,2,2,4,4,4,4,4,2,1,3,2,2,2,6,1,10,"Continuing-Gen Cruiser","FASt_12plus"
1,6,-0.5266,6,6,-0.0654000000000003,1,0,0,6,1.524,3,0.7062,1,"Hispanic/Latino","On-campus (residence hall)","Male",0,6,0,-0.6,-1.23398,0,12,0.7,1.7,3,3,3,3,3,3,2,3,2,3,3,2,3,3,3,5,4,4,4,4,4,5,5,5,5,5,3,2,2,2,3,1,1,0,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,7,0.4734,7,5,-1.0654,0,1,0,6,1.524,2,-0.2938,0,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,8,0,-0.4,-1.03398,0,16,1.1,2.1,2,2,2,2,3,3,3,2,2,3,2,2,2,3,3,4,4,4,4,4,5,5,NA,5,5,4,2,2,2,1,4,1,2,1,2,"Latino Off-Campus Working","non_FASt_1_11"
0,6,-0.5266,6,7,0.9346,1,0,0,3,-1.476,1,-1.2938,1,"Hispanic/Latino","On-campus (residence hall)","Male",0,19,1,0.7,0.0660199999999954,0.0660199999999954,33,2.8,3.8,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,2,NA,2,6,6,6,6,6,1,2,1,2,5,2,7,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
0,5,-1.5266,7,8,1.9346,1,0,0,3,-1.476,3,0.7062,1,"Other/Multiracial/Unknown","Off-campus (rent/apartment)","Female",0,14,1,0.2,-0.433980000000005,-0.433980000000005,-9,-1.4,-0.4,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,1,NA,2,3,2,2,4,5,4,4,4,3,1,2,2,6,2,7,1,8,"Multiracial Bridge-Builder","FASt_12plus"
0,7,0.4734,7,5,-1.0654,1,0,0,4,-0.476,3,0.7062,1,"Hispanic/Latino","With family (commuting)","Female",1,30,1,1.8,1.16602,1.16602,-10,-1.5,-0.5,3,2,2,3,3,2,3,2,3,3,3,3,3,2,3,5,4,5,4,NA,5,NA,4,4,4,4,3,1,2,2,7,2,4,1,1,"Latina Commuter Caretaker","FASt_12plus"
1,7,0.4734,7,7,0.9346,0,1,0,5,0.524,2,-0.2938,0,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,18,1,0.6,-0.0339800000000046,-0.0339800000000046,30,2.5,3.5,2,3,2,3,3,3,2,2,2,2,1,2,2,2,2,5,5,5,5,5,5,3,4,3,4,3,2,1,3,1,8,2,7,1,2,"Latino Off-Campus Working","FASt_12plus"
1,8,1.4734,7,6,-0.0654000000000003,1,1,1,3,-1.476,3,0.7062,0,"White","On-campus (residence hall)","Male",1,3,0,-0.9,-1.53398,0,2,-0.3,0.7,3,4,3,4,4,4,4,4,3,4,2,3,3,3,2,2,2,2,2,2,2,6,6,6,6,5,3,2,2,4,9,1,2,1,6,"White Residential Traditional","non_FASt_1_11"
1,6,-0.5266,7,7,0.9346,1,0,1,5,0.524,3,0.7062,1,"White","Off-campus (rent/apartment)","Female",0,56,1,4.4,3.76602,3.76602,-3,-0.8,0.2,2,1,1,3,3,3,4,4,1,2,1,1,1,3,2,5,5,5,5,5,5,5,5,4,4,5,3,1,3,2,10,2,4,1,13,"White Working-Class Striver","FASt_12plus"
0,6,-0.5266,7,5,-1.0654,0,1,0,4,-0.476,2,-0.2938,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,51,1,3.9,3.26602,3.26602,7,0.2,1.2,4,4,4,3,3,3,3,3,2,2,2,2,2,3,4,4,4,4,4,4,4,5,5,5,6,NA,2,3,2,1,11,2,7,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
1,7,0.4734,7,6,-0.0654000000000003,1,0,0,6,1.524,4,1.7062,1,"White","Off-campus (rent/apartment)","Male",0,1,0,-1.1,-1.73398,0,-4,-0.9,0.1,4,4,3,1,2,2,3,2,2,1,1,2,3,2,2,2,3,3,3,3,2,4,4,4,NA,3,4,1,2,4,12,1,1,0,13,"White Working-Class Striver","non_FASt_1_11"
0,8,1.4734,7,5,-1.0654,1,0,1,2,-2.476,3,0.7062,0,"Hispanic/Latino","On-campus (residence hall)","Female",1,2,0,-1,-1.63398,0,16,1.1,2.1,2,3,2,3,3,4,4,3,4,4,4,4,4,3,3,5,4,4,4,4,4,7,7,7,NA,7,3,3,1,2,13,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,6,-0.5266,7,6,-0.0654000000000003,1,0,0,4,-0.476,3,0.7062,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,31,1,1.9,1.26602,1.26602,-15,-2,-1,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,5,4,4,4,4,3,5,5,5,5,5,3,3,2,2,14,2,4,1,2,"Latino Off-Campus Working","FASt_12plus"
1,6,-0.5266,7,7,0.9346,1,0,0,5,0.524,4,1.7062,1,"Asian","Off-campus (rent/apartment)","Male",1,29,1,1.7,1.06602,1.06602,16,1.1,2.1,2,2,2,3,3,2,3,3,2,1,2,2,1,1,2,6,5,5,NA,6,6,3,5,4,4,4,4,3,2,2,15,2,5,1,4,"Asian First-Gen Navigator","FASt_12plus"
1,5,-1.5266,7,7,0.9346,1,1,1,6,1.524,3,0.7062,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,7,0,-0.5,-1.13398,0,33,2.8,3.8,2,3,2,2,3,3,2,3,2,3,3,3,3,3,3,NA,4,3,4,4,3,5,6,5,5,NA,3,2,2,2,16,1,3,1,2,"Latino Off-Campus Working","non_FASt_1_11"
1,8,1.4734,7,6,-0.0654000000000003,0,1,0,4,-0.476,3,0.7062,0,"White","On-campus (residence hall)","Male",0,7,0,-0.5,-1.13398,0,3,-0.2,0.8,3,3,3,4,4,3,4,4,4,4,4,4,3,4,4,3,2,3,3,2,3,5,5,5,6,5,3,3,2,2,17,1,2,1,6,"White Residential Traditional","non_FASt_1_11"
