lhs	op	rhs	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	0.66398790326241	0.862611580171008	0.862611580171008
Belong	=~	sbmyself		0.99560932031177	0.0139319560007537	71.4622785384846	0	0.661072545062326	0.840825753350404	0.840825753350404
Belong	=~	sbcommunity		1.00891650861783	0.0132981708044918	75.8688186105298	0	0.669908357123984	0.888239172809066	0.888239172809066
Gains	=~	pganalyze		1	0	NA	NA	0.509004291088752	0.710557073518464	0.710557073518464
Gains	=~	pgthink		1.019064850921	0.0206206323707937	49.419670192286	0	0.518708382016509	0.780822199627329	0.780822199627329
Gains	=~	pgwork		1.03280018227138	0.0215889328949382	47.8393345005731	0	0.525699724613375	0.746314690874454	0.746314690874454
Gains	=~	pgvalues		1.00309133765502	0.0223570456255465	44.8669003255432	0	0.510577795220361	0.698766698473335	0.698766698473335
Gains	=~	pgprobsolve		1.00746888119706	0.0208173308199462	48.395680018293	0	0.51280598366769	0.758052840377697	0.758052840377697
SupportEnv	=~	SEacademic		1	0	NA	NA	0.603766111232835	0.827405669235097	0.827405669235097
SupportEnv	=~	SEwellness		0.993222435459696	0.0152427278289746	65.1604126639132	0	0.599674047446706	0.807531722208141	0.807531722208141
SupportEnv	=~	SEnonacad		1.00807477342822	0.0164103739221544	61.4291166191705	0	0.608641385784677	0.772346891424699	0.772346891424699
SupportEnv	=~	SEactivities		0.977225846047992	0.0171305056955777	57.045942683424	0	0.590015848864613	0.731826987812209	0.731826987812209
SupportEnv	=~	SEdiverse		1.0088251396848	0.016032661586103	62.9231231674746	0	0.609094431501413	0.787031476117811	0.787031476117811
Satisf	=~	sameinst		1	0	NA	NA	0.59817830676382	0.898175665417273	0.898175665417273
Satisf	=~	evalexp		0.953251418574963	0.0241663105717444	39.4454675133372	0	0.57021431948338	0.843579115077085	0.843579115077085
DevAdj	=~	Belong		1	0	NA	NA	0.468791922313031	0.468791922313031	0.468791922313031
DevAdj	=~	Gains		0.496942245332562	0.0321698883240903	15.4474345800084	0	0.303895844440783	0.303895844440783	0.303895844440783
DevAdj	=~	SupportEnv		0.931891377843401	0.0434941290280443	21.4256820096922	0	0.480437443993815	0.480437443993815	0.480437443993815
DevAdj	=~	Satisf		0.957117527851641	0.0442040960599356	21.6522361763467	0	0.498052239982518	0.498052239982518	0.498052239982518
EmoDiss	=~	MHWdacad		1	0	NA	NA	0.987969778478578	0.902679810420528	0.902679810420528
EmoDiss	=~	MHWdlonely		1.01216970839477	0.00971168135976016	104.221881968723	0	0.999993082585506	0.92184830045491	0.92184830045491
EmoDiss	=~	MHWdmental		1.01209875346479	0.00914392214161617	110.685408054656	0	0.999922981259056	0.941975099217188	0.941975099217188
EmoDiss	=~	MHWdexhaust		1.00088845286903	0.00938440205965003	106.654472656552	0	0.988847543062787	0.927459744596812	0.927459744596812
EmoDiss	=~	MHWdsleep		1.00613790463281	0.00971635613250134	103.550949647395	0	0.994033842758973	0.91783384207737	0.91783384207737
EmoDiss	=~	MHWdfinancial		0.988873520578531	0.011369632440287	86.974977051551	0	0.976977153069303	0.855617898660223	0.855617898660223
QualEngag	=~	QIadmin		1	0	NA	NA	0.98124765012058	0.885018074703277	0.885018074703277
QualEngag	=~	QIstudent		1.01952484692097	0.0107096955334522	95.1964361392385	0	1.00040636028074	0.904710480135182	0.904710480135182
QualEngag	=~	QIadvisor		1.01981886465282	0.0100975959690406	100.996204223223	0	1.00069486448922	0.927447987767429	0.927447987767429
QualEngag	=~	QIfaculty		1.02092968648214	0.0100519840021086	101.564993166322	0	1.00178485579894	0.929603515594802	0.929603515594802
QualEngag	=~	QIstaff		1.01992091137339	0.0103779929062924	98.277279680447	0	1.00079499759398	0.917288354745155	0.917288354745155
EmoDiss	~	x_FASt	a1	0.141308400637084	0.0355762999459704	3.97198137107256	7.12772950777207e-05	0.143029072057945	0.0706569638217301	0.143029072057945
EmoDiss	~	XZ_c	a1z	0.0290250360189746	0.013200057091999	2.19885685468494	0.0278881023106499	0.029378465466496	0.0399773346859067	0.029378465466496
EmoDiss	~	cohort	g1	0.00524786360831541	0.0282280689153283	0.185909408966539	0.852515803545882	0.00531176532180655	0.00265541327184056	0.00531176532180655
EmoDiss	~	hgrades_c		-0.0330690663746581	0.0151528637318348	-2.18236413656799	0.0290826689636161	-0.0334717388072161	-0.031979349499798	-0.0334717388072161
EmoDiss	~	bparented_c		0.0067384975734229	0.0146491206171391	0.459993316290878	0.645521017944694	0.00682055030448384	0.00658444451684679	0.00682055030448384
EmoDiss	~	pell		0.117290451438129	0.0286662568387582	4.09158587037938	4.2843324464803e-05	0.118718663255824	0.0588207740166014	0.118718663255824
EmoDiss	~	hapcl		-0.0769557166765908	0.0336198412601796	-2.28899702651897	0.0220795251523047	-0.0778927841245292	-0.0334845393646374	-0.0778927841245292
EmoDiss	~	hprecalc13		-0.0633340094600132	0.0300165284163105	-2.10997116593931	0.0348608395679488	-0.0641052093289172	-0.030292560096844	-0.0641052093289172
EmoDiss	~	hchallenge_c		-0.0135544103017104	0.0116656116353364	-1.1619116704222	0.24527134611489	-0.0137194584257258	-0.0166110127022789	-0.0137194584257258
EmoDiss	~	cSFcareer_c		-0.00130692662517288	0.017717150368569	-0.0737661868858674	0.941196432652537	-0.00132284069173196	-0.00105454973406569	-0.00132284069173196
QualEngag	~	x_FASt	a2	-0.017186505725965	0.0354345256125924	-0.485021470694035	0.627661115320234	-0.017514952238462	-0.00865246015265326	-0.017514952238462
QualEngag	~	XZ_c	a2z	-0.0249628339978704	0.0131506215294469	-1.89822465363889	0.0576664944893575	-0.0254398917488392	-0.0346178416968857	-0.0254398917488392
QualEngag	~	cohort	g2	0.0223427949805213	0.0281288869577062	0.794300713501935	0.427020388771657	0.0227697818973383	0.0113828788329344	0.0227697818973383
QualEngag	~	hgrades_c		0.0636482019991021	0.0151065255889694	4.21329190648426	2.51675458879941e-05	0.0648645650170788	0.0619724779396981	0.0648645650170788
QualEngag	~	bparented_c		0.00306810696948406	0.0145972992803298	0.210183192833376	0.833524696755608	0.00312674070516963	0.003018502873327	0.00312674070516963
