figure_id	figure_file	data_file	source_inputs	figure_type	figure_exists	data_exists
fig1_demographics	4_Model_Results/Outputs/Figures/fig1_demographics.png	4_Model_Results/Outputs/Figures/fig1_demographics_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/rep_data_with_psw.csv	descriptive	TRUE	TRUE
fig2_emotional_distress	4_Model_Results/Outputs/Figures/fig2_emotional_distress.png	4_Model_Results/Outputs/Figures/fig2_emotional_distress_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/rep_data_with_psw.csv	descriptive	TRUE	TRUE
fig3_quality_engagement	4_Model_Results/Outputs/Figures/fig3_quality_engagement.png	4_Model_Results/Outputs/Figures/fig3_quality_engagement_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/rep_data_with_psw.csv	descriptive	TRUE	TRUE
fig4_developmental_adjustment	4_Model_Results/Outputs/Figures/fig4_developmental_adjustment.png	4_Model_Results/Outputs/Figures/fig4_developmental_adjustment_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/rep_data_with_psw.csv	descriptive	TRUE	TRUE
fig5_equity_gaps	4_Model_Results/Outputs/Figures/fig5_equity_gaps.png	4_Model_Results/Outputs/Figures/fig5_equity_gaps_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/rep_data_with_psw.csv	descriptive	TRUE	TRUE
fig6_correlation_heatmap	4_Model_Results/Outputs/Figures/fig6_correlation_heatmap.png	4_Model_Results/Outputs/Figures/fig6_correlation_heatmap_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/rep_data_with_psw.csv	descriptive	TRUE	TRUE
fig7_cumulative_risk	4_Model_Results/Outputs/Figures/fig7_cumulative_risk.png	4_Model_Results/Outputs/Figures/fig7_cumulative_risk_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/rep_data_with_psw.csv	descriptive	TRUE	TRUE
fig8_credit_dose_moderation	4_Model_Results/Outputs/Figures/fig8_credit_dose_moderation.png	4_Model_Results/Outputs/Figures/fig8_credit_dose_moderation_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/structural/structural_parameterEstimates.txt	diagnostic	TRUE	TRUE
fig9_mediation_pathways	4_Model_Results/Outputs/Figures/fig9_mediation_pathways.png	4_Model_Results/Outputs/Figures/fig9_mediation_pathways_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/structural/structural_parameterEstimates.txt	diagnostic	TRUE	TRUE
fig10_intersectionality	4_Model_Results/Outputs/Figures/fig10_intersectionality.png	4_Model_Results/Outputs/Figures/fig10_intersectionality_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/rep_data_with_psw.csv	diagnostic	TRUE	TRUE
fig11_outcome_profiles	4_Model_Results/Outputs/Figures/fig11_outcome_profiles.png	4_Model_Results/Outputs/Figures/fig11_outcome_profiles_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/rep_data_with_psw.csv	diagnostic	TRUE	TRUE
fig12_cohort_patterns	4_Model_Results/Outputs/Figures/fig12_cohort_patterns.png	4_Model_Results/Outputs/Figures/fig12_cohort_patterns_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/rep_data_with_psw.csv	diagnostic	TRUE	TRUE
fig13_love_plot	4_Model_Results/Outputs/Figures/fig13_love_plot.png	4_Model_Results/Outputs/Figures/fig13_love_plot_data.csv	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/psw_balance_smd.txt	diagnostic	FALSE	TRUE
standards_compliance_dashboard	4_Model_Results/Outputs/Figures/standards_compliance_dashboard.png	4_Model_Results/Outputs/Figures/standards_data.json	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/structural/structural_fitMeasures.txt	lavaan	TRUE	TRUE
standards_sample_modelfit	4_Model_Results/Outputs/Figures/standards_sample_modelfit.png	4_Model_Results/Outputs/Figures/standards_data.json	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/structural/structural_fitMeasures.txt	lavaan	TRUE	TRUE
standards_bootstrap_effects	4_Model_Results/Outputs/Figures/standards_bootstrap_effects.png	4_Model_Results/Outputs/Figures/standards_data.json	4_Model_Results/Outputs/SmokeTest/RQ1_RQ3_main/structural/structural_fitMeasures.txt	lavaan	TRUE	TRUE
