"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hprecalc13","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","hacadpr13","hacadpr13_num","hacadpr13_num_c","tcare","tcare_num","tcare_num_c","firstgen","re_all","living18","sex","StemMaj","StemMaj_c","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","SFcareer","SFotherwork","SFdiscuss","SFperform","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band"
1,8,1.47774601878318,7,5,-1.0408830744072,0,0,0,4,-0.498266367530084,2,-0.31734693877551,8,35,24.8078,1,0,-2.5048,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,5,0,-0.7,-1.24726,0,22,1.7,2.7,1,2,1,2,2,3,3,3,2,2,3,3,3,4,4,3,4,3,3,4,3,6,7,7,7,7,2,1,3,3,1,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,7,0.477746018783177,7,6,-0.0408830744071951,0,0,0,4,-0.498266367530084,2,-0.31734693877551,2,3,-7.1922,2,3,0.4952,0,"Asian","With family (commuting)","Male",1,0.7598,17,1,0.5,-0.0472600000000041,-0.0472600000000041,-1,-0.6,0.4,1,1,1,3,3,3,3,3,3,3,4,4,3,4,4,5,4,NA,5,4,5,7,7,6,7,6,2,1,2,4,2,2,6,1,3,"Asian High-Pressure Achiever","FASt_12plus"
1,5,-1.52225398121682,6,6,-0.0408830744071951,0,1,1,3,-1.49826636753008,1,-1.31734693877551,3,8,-2.1922,2,3,0.4952,0,"White","Off-campus (rent/apartment)","Female",0,-0.2402,5,0,-0.7,-1.24726,0,1,-0.4,0.6,3,3,3,3,2,2,2,3,3,2,2,2,2,1,2,2,3,3,3,3,3,4,4,4,5,4,1,2,2,3,3,1,2,1,13,"White Working-Class Striver","non_FASt_1_11"
1,7,0.477746018783177,6,8,1.9591169255928,0,0,0,6,1.50173363246992,2,-0.31734693877551,2,3,-7.1922,1,0,-2.5048,0,"Other/Multiracial/Unknown","Off-campus (rent/apartment)","Female",0,-0.2402,22,1,1,0.452739999999996,0.452739999999996,4,-0.1,0.9,2,3,2,3,3,3,4,2,2,3,3,3,2,3,3,4,3,NA,3,4,2,2,2,3,3,2,2,3,3,2,4,2,6,1,8,"Multiracial Bridge-Builder","FASt_12plus"
0,7,0.477746018783177,7,7,0.959116925592805,1,1,0,3,-1.49826636753008,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,5,0,-0.7,-1.24726,0,10,0.5,1.5,3,3,NA,3,3,3,3,4,3,2,2,3,3,3,3,4,3,4,4,4,4,4,4,5,5,4,3,3,3,2,5,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,7,0.477746018783177,7,6,-0.0408830744071951,1,1,0,5,0.501733632469916,2,-0.31734693877551,3,8,-2.1922,4,13,10.4952,0,"Asian","Off-campus (rent/apartment)","Female",0,-0.2402,24,1,1.2,0.652739999999996,0.652739999999996,22,1.7,2.7,4,4,4,3,4,3,3,4,4,4,3,3,4,3,4,2,1,2,2,1,2,6,6,6,6,5,2,2,1,3,6,2,4,1,10,"Continuing-Gen Cruiser","FASt_12plus"
0,7,0.477746018783177,7,7,0.959116925592805,1,0,1,3,-1.49826636753008,3,0.68265306122449,2,3,-7.1922,1,0,-2.5048,0,"Asian","With family (commuting)","Male",1,0.7598,21,1,0.9,0.352739999999996,0.352739999999996,-7,-1.2,-0.2,3,3,3,3,3,2,3,3,3,4,4,4,4,3,3,4,4,NA,3,NA,NA,4,5,5,5,6,3,2,2,3,7,2,7,1,3,"Asian High-Pressure Achiever","FASt_12plus"
1,8,1.47774601878318,7,5,-1.0408830744072,1,0,0,5,0.501733632469916,2,-0.31734693877551,5,18,7.8078,1,0,-2.5048,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,10,0,-0.2,-0.747260000000004,0,-14,-1.9,-0.9,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,5,5,6,6,5,2,2,3,2,8,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,8,1.47774601878318,7,7,0.959116925592805,1,NA,1,6,1.50173363246992,1,-1.31734693877551,4,13,2.8078,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,0,0,-1.2,-1.74726,0,-13,-1.8,-0.8,2,2,2,3,2,2,3,3,2,3,2,2,2,4,4,4,4,4,5,4,NA,5,5,5,6,5,1,2,3,3,9,0,2,1,1,"Latina Commuter Caretaker","non_DE"
0,7,0.477746018783177,7,6,-0.0408830744071951,0,0,0,6,1.50173363246992,3,0.68265306122449,2,3,-7.1922,1,0,-2.5048,1,"Black/African American","Off-campus (rent/apartment)","Male",1,0.7598,34,1,2.2,1.65274,1.65274,-10,-1.5,-0.5,2,2,NA,4,3,4,4,4,3,3,3,2,3,2,2,5,5,4,5,4,5,3,4,4,4,4,3,3,2,2,10,2,4,1,12,"Black Male Striver","FASt_12plus"
