lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.683223883155541	0.872617889453813	0.872617889453813
Belong	=~	sbmyself		0.977606185464395	0.0148837558056906	65.6827616783811	0	0.948434560130552	1.00677781079824	0.66792389422986	0.842044208245612	0.842044208245612
Belong	=~	sbcommunity		1.01048373895769	0.0145856133353652	69.2794821666911	0	0.981896462127945	1.03907101578743	0.690386623996202	0.887702293854179	0.887702293854179
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.524500026675041	0.732686993616994	0.732686993616994
Gains	=~	pgthink		1.01359463371214	0.0220935116779653	45.8774797092596	0	0.970292146531317	1.05689712089297	0.531630412419698	0.794399783244234	0.794399783244234
Gains	=~	pgwork		0.997097487678683	0.0216990601328296	45.951183211393	0	0.954568111319969	1.0396268640374	0.522977658885086	0.748348419554186	0.748348419554186
Gains	=~	pgvalues		0.99479699646126	0.0230898221468114	43.0837877457898	0	0.949541776644074	1.04005221627845	0.521771051180181	0.71166584652467	0.71166584652467
Gains	=~	pgprobsolve		0.986076903501063	0.0219668429910786	44.8893317943565	0	0.943022682384503	1.02913112461762	0.517197362189949	0.76107374746715	0.76107374746715
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.614760085651617	0.830563316695433	0.830563316695433
SupportEnv	=~	SEwellness		1.02241509422064	0.0171893963340589	59.4794066266792	0	0.988724496489897	1.05610569195138	0.628539990894585	0.819753498730722	0.819753498730722
SupportEnv	=~	SEnonacad		1.02115448170099	0.0179314710940853	56.9476132963688	0	0.986009444166757	1.05629951923521	0.62776501663403	0.787065404392923	0.787065404392923
SupportEnv	=~	SEactivities		0.981327227324619	0.0185079905456318	53.0218137352696	0	0.945052232428973	1.01760222222027	0.603280810322346	0.747444130082411	0.747444130082411
SupportEnv	=~	SEdiverse		1.0159256937837	0.0179032649261063	56.7452751203102	0	0.980835939322855	1.05101544824455	0.624550566526147	0.795161401532665	0.795161401532665
Satisf	=~	sameinst		1	0	NA	NA	1	1	0.586694394246121	0.875363144741062	0.875363144741062
Satisf	=~	evalexp		0.975996215699172	0.0441430966287439	22.1098266826992	0	0.889477336140763	1.06251509525758	0.572611508556133	0.854222651201493	0.854222651201493
DevAdj	=~	Belong		1	0	NA	NA	1	1	0.492660606884509	0.492660606884509	0.492660606884509
