lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.6825013756865	0.8716955572494	0.8716955572494
Belong	=~	sbmyself		0.97981399834114	0.014915630739048	65.6904166832222	0	0.950579899285908	1.00904809739637	0.668724401784718	0.843053797468281	0.843053797468281
Belong	=~	sbcommunity		1.01156855238238	0.0143961786175794	70.2664630145067	0	0.983352560776914	1.03978454398784	0.690396928602172	0.887716069974075	0.887716069974075
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.524542233078371	0.732745529944475	0.732745529944475
Gains	=~	pgthink		1.01323707182482	0.0221135656831118	45.8197057111706	0	0.969895279516164	1.05657886413348	0.531485636292783	0.794183461686219	0.794183461686219
Gains	=~	pgwork		0.997594062420396	0.0216608524938135	46.0551616195769	0	0.955139571658087	1.04004855318271	0.523280217207718	0.748781344851637	0.748781344851637
Gains	=~	pgvalues		0.99449142288471	0.0231008463763465	43.0499994105408	0	0.949214595974679	1.03976824979474	0.521652751737232	0.711504313372112	0.711504313372112
Gains	=~	pgprobsolve		0.985879755950499	0.022000087862374	44.8125372097543	0	0.942760376083529	1.02899913581747	0.517135568733034	0.760982838885096	0.760982838885096
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.615414387249722	0.831447691445114	0.831447691445114
SupportEnv	=~	SEwellness		1.02123237366735	0.0171067500359653	59.6976264644254	0	0.987703759704332	1.05476098763037	0.628481095480073	0.819677087023218	0.819677087023218
SupportEnv	=~	SEnonacad		1.01900849229832	0.0178607747020249	57.0528719665669	0	0.98400201714637	1.05401496745028	0.627112486890035	0.786247954291528	0.786247954291528
SupportEnv	=~	SEactivities		0.979928756700147	0.018424735396258	53.1854995811318	0	0.9438169388988	1.01604057450149	0.603062255353003	0.747173871818075	0.747173871818075
SupportEnv	=~	SEdiverse		1.01494390305668	0.0177948768626717	57.0357362340466	0	0.980066585296518	1.04982122081684	0.624611080192468	0.795238676069078	0.795238676069078
Satisf	=~	sameinst		1	0	NA	NA	1	1	0.587467650028161	0.876516158283018	0.876516158283018
Satisf	=~	evalexp		0.973429645605758	0.0301793071971679	32.2548705060104	0	0.914279290420939	1.03258000079058	0.57185842637176	0.853099341511753	0.853099341511753
DevAdj	=~	Belong		1	0	NA	NA	1	1	0.480709148679479	0.480709148679479	0.480709148679479
DevAdj	=~	Gains		0.432017950846377	0.036714384083819	11.7669943709278	0	0.360059080327521	0.503976821365233	0.270213629217008	0.270213629217008	0.270213629217008
DevAdj	=~	SupportEnv		0.883485406983345	0.0464104421877258	19.0363496949616	0	0.792522611788824	0.974448202177866	0.470996471969691	0.470996471969691	0.470996471969691
