lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.613174241672746	0.850050042457011
Belong	=~	sbmyself	1	1	.p2.	0.973266674592415	0.0158235594207247	61.507442713407	0	0.942253068020566	1.00428028116427	0.596782055138559	0.813380554505613
Belong	=~	sbcommunity	1	1	.p3.	1.01111865161271	0.0151566691041213	66.7111384873987	0	0.981412126043042	1.04082517718238	0.619991912443793	0.86273693534589
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.488820507077214	0.705241368555607
Gains	=~	pgthink	1	1	.p5.	1.00608515666453	0.0227929408475565	44.1402082949023	0	0.961411813501567	1.05075849982749	0.491795056443614	0.7694014316581
Gains	=~	pgwork	1	1	.p6.	0.99255495431649	0.0224685076403004	44.1753840622777	0	0.948517488555138	1.03659242007784	0.485181216070988	0.727042770429773
Gains	=~	pgvalues	1	1	.p7.	0.988337239072808	0.0243033681581088	40.666677665542	0	0.940703512779897	1.03597096536572	0.483119510366864	0.685777994935326
Gains	=~	pgprobsolve	1	1	.p8.	0.985428000853944	0.0228485313763954	43.1287238825327	0	0.940645702256575	1.03021029945131	0.48169741506551	0.746226177412504
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.554167536033108	0.798957632813902
SupportEnv	=~	SEwellness	1	1	.p10.	1.0234848192048	0.0187455778739506	54.5987339567196	0	0.986744161702467	1.06022547670714	0.567182060426016	0.79165993137789
SupportEnv	=~	SEnonacad	1	1	.p11.	1.00940737186448	0.0191543440771894	52.6986133169948	0	0.971865547325696	1.04694919640325	0.559380796119792	0.743271463836312
SupportEnv	=~	SEactivities	1	1	.p12.	0.974771929302585	0.0198220996092246	49.1760181070303	0	0.935921327970539	1.01362253063463	0.540186958255853	0.719293949264685
SupportEnv	=~	SEdiverse	1	1	.p13.	1.00507053354385	0.0190891318795866	52.6514531872793	0	0.967656522563728	1.04248454452398	0.556977461113479	0.754848478703589
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.525725344670851	0.855458506285706
Satisf	=~	evalexp	1	1	.p15.	0.965627866905775	0.0372571946634923	25.9178898365093	0	0.892605107200332	1.03865062661122	0.507655043152817	0.815636601291437
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.360606101780683	0.360606101780683
DevAdj	=~	Gains	1	1	.p17.	0.392392919550425	0.049225741544277	7.97129524595338	1.55431223447522e-15	0.295912239011365	0.488873600089485	0.177496060661559	0.177496060661559
DevAdj	=~	SupportEnv	1	1	.p18.	0.857799616653307	0.0593200438752667	14.4605357753446	0	0.741534467096448	0.974064766210165	0.342264409343286	0.342264409343286
DevAdj	=~	Satisf	1	1		1.00620068671607	0.12734111065642	7.90161701534792	2.66453525910038e-15	0.75661669607816	1.25578467735399	0.423197086107074	0.423197086107074
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.825936696564054	0.875416733073273
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.00006123563247	0.0110670444058873	90.3638947269849	0	0.978370227181626	1.02175224408332	0.825987273320048	0.89496966388614
EmoDiss	=~	MHWdmental	1	1	.p22.	0.991949705951018	0.0103343507778235	95.9856818562465	0	0.971694750622881	1.01220466127916	0.819287663290868	0.918462418709234
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.00231202979502	0.0106049705987508	94.5134190106176	0	0.981526669364361	1.02309739022568	0.827846286815309	0.91015296467584
EmoDiss	=~	MHWdsleep	1	1	.p24.	0.9983701224225	0.0113189490333483	88.203429442174	0	0.976185389974293	1.02055485487071	0.824590520861889	0.878704328524356
EmoDiss	=~	MHWdfinancial	1	1	.p25.	1.00374422061922	0.0132697084354962	75.6417690334643	0	0.9777360700003	1.02975237123814	0.829029185773499	0.820126097459479
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.903185634869073	0.871987867343447
QualEngag	=~	QIstudent	1	1	.p27.	0.99030494842716	0.012072855305772	82.0274014179312	0	0.966642586837283	1.01396731001704	0.894429203559169	0.878058730904898
QualEngag	=~	QIadvisor	1	1	.p28.	0.997213805043733	0.0112933157211405	88.3012420503753	0	0.975079312964258	1.01934829712321	0.900669183608628	0.901842771799186
QualEngag	=~	QIfaculty	1	1	.p29.	0.999567940586078	0.010960008556151	91.2013832347878	0	0.978086718545771	1.02104916262638	0.902795405013009	0.923261175472721
QualEngag	=~	QIstaff	1	1	.p30.	0.98929556718156	0.0113580203986185	87.1010556823697	0	0.967034256264597	1.01155687809852	0.893517544918038	0.893006805161229
sbvalued	~~	sbvalued	1	1		0.14434729225141	0.00995191337348666	14.5044763588851	0	0.124841900462114	0.163852684040706	0.14434729225141	0.277414925318833
sbmyself	~~	sbmyself	1	1		0.182175424162253	0.0109057494744891	16.7045304486777	0	0.160800547967838	0.203550300356669	0.182175424162253	0.338412073552141
sbcommunity	~~	sbcommunity	1	1		0.13204455067356	0.0097051593713592	13.6056035373551	0	0.113022787841474	0.151066313505645	0.13204455067356	0.255684980389981
pganalyze	~~	pganalyze	1	1		0.24147694161097	0.01117743701102	21.6039635359067	0	0.219569567629906	0.263384315592035	0.24147694161097	0.502634612077814
pgthink	~~	pgthink	1	1		0.166703730495968	0.00923856991574935	18.044322012629	0	0.148596466192444	0.184810994799492	0.166703730495968	0.408021436962466
pgwork	~~	pgwork	1	1		0.209935426363319	0.0110430170154982	19.0106948190596	0	0.188291510732279	0.231579341994358	0.209935426363319	0.4714088099658
pgvalues	~~	pgvalues	1	1		0.262893009471764	0.013380599297181	19.6473269719055	0	0.236667516757727	0.2891185021858	0.262893009471764	0.529708541662484
pgprobsolve	~~	pgprobsolve	1	1		0.184652413124464	0.00927778714748342	19.9026352069901	0	0.166468284459168	0.20283654178976	0.184652413124464	0.443146492144323
SEacademic	~~	SEacademic	1	1		0.173997570981741	0.00930306476090802	18.7032526864575	0	0.155763899104517	0.192231242858964	0.173997570981741	0.361666700968407
SEwellness	~~	SEwellness	1	1		0.191600230546249	0.00984315987947526	19.4653173261739	0	0.172307991688408	0.210892469404091	0.191600230546249	0.373274553050754
SEnonacad	~~	SEnonacad	1	1		0.253489136629859	0.0115838640315065	21.882951659343	0	0.230785180326297	0.276193092933421	0.253489136629859	0.447547531046626
SEactivities	~~	SEactivities	1	1		0.272193208224772	0.0130656741138975	20.8326953398638	0	0.246584957527795	0.297801458921748	0.272193208224772	0.482616214551213
SEdiverse	~~	SEdiverse	1	1		0.234223189313831	0.0126789718790471	18.473358214549	0	0.209372861069903	0.25907351755776	0.234223189313831	0.430203774198878
sameinst	~~	sameinst	1	1		0.101289334046019	0.0129161512195074	7.84206783620193	4.44089209850063e-15	0.0759741428369118	0.126604525255127	0.101289334046019	0.268190744023428
evalexp	~~	evalexp	1	1		0.129672424801701	0.0127091705802973	10.2030595924748	0	0.104762908190943	0.15458194141246	0.129672424801701	0.334736934633754
MHWdacad	~~	MHWdacad	1	1		0.207979887592647	0.0111881531222272	18.5892957774647	0	0.186051510419562	0.229908264765732	0.207979887592647	0.233645543455318
MHWdlonely	~~	MHWdlonely	1	1		0.169530209842545	0.00957601453546396	17.7036291261572	0	0.150761566237603	0.188298853447486	0.169530209842545	0.199029300723529
MHWdmental	~~	MHWdmental	1	1		0.124468991270926	0.00752899500666691	16.531952957959	0	0.109712432218077	0.139225550323775	0.124468991270926	0.156426785418783
MHWdexhaust	~~	MHWdexhaust	1	1		0.141985021758723	0.00847796245681888	16.7475407542674	0	0.125368520681075	0.158601522836371	0.141985021758723	0.17162158089178
MHWdsleep	~~	MHWdsleep	1	1		0.200675744822267	0.0105295079145537	19.0584162575059	0	0.180038288534812	0.221313201109721	0.200675744822267	0.22787870303256
MHWdfinancial	~~	MHWdfinancial	1	1		0.334539967368044	0.0146397148460758	22.8515357631926	0	0.305846653525799	0.363233281210289	0.334539967368044	0.327393184265886
QIadmin	~~	QIadmin	1	1		0.257091264924978	0.0139347261625937	18.449681890062	0	0.229779703511866	0.28440282633809	0.257091264924978	0.239637159205827
QIstudent	~~	QIstudent	1	1		0.237631872511301	0.0131595731652071	18.057718858206	0	0.211839583055575	0.263424161967027	0.237631872511301	0.22901286508168
QIadvisor	~~	QIadvisor	1	1		0.186194070359156	0.0105284149548399	17.6849099468257	0	0.165558756233377	0.206829384484935	0.186194070359156	0.186679614953561
QIfaculty	~~	QIfaculty	1	1		0.141118171526877	0.00849611882764707	16.6097219671254	0	0.124466084616316	0.157770258437438	0.141118171526877	0.14758880186473
QIstaff	~~	QIstaff	1	1		0.202770589349119	0.011501966145755	17.629211108742	0	0.180227149952041	0.225314028746198	0.202770589349119	0.202538845935735
Belong	~~	Belong	1	1		0.327091084702908	0.017121045820016	19.1046206021194	0	0.293534451518016	0.360647717887799	0.86996323935854	0.86996323935854
Gains	~~	Gains	1	1		0.231417546006767	0.0128064808518552	18.0703464662771	0	0.206317304768429	0.256517787245106	0.968495148449628	0.968495148449628
SupportEnv	~~	SupportEnv	1	1		0.271126257022694	0.0152309757346122	17.8009775438459	0	0.24127409313345	0.300978420911937	0.882855074096891	0.882855074096891
