lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.63182024978817	0.848397964903308
Belong	=~	sbmyself	1	1	.p2.	0.979845519039858	0.0153118391196972	63.9926733412044	0	0.94983486582818	1.00985617225154	0.619086240593582	0.821270886679739
Belong	=~	sbcommunity	1	1	.p3.	1.01229657350629	0.01499934537878	67.4893835659265	0	0.982898396772207	1.04169475024038	0.639589473932455	0.874758822676144
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.505180155286572	0.722992368038519
Gains	=~	pgthink	1	1	.p5.	1.01195004878299	0.0222959500286211	45.3871688573018	0	0.968250789725787	1.05564930784019	0.511217082786445	0.781908823117119
Gains	=~	pgwork	1	1	.p6.	0.995778925840216	0.0218142002243811	45.6481977609825	0	0.953023879048884	1.03853397263155	0.503047752387056	0.732723721632396
Gains	=~	pgvalues	1	1	.p7.	0.99442746741782	0.0233921376637335	42.5111839590254	0	0.9485797200755	1.04027521476014	0.502365022411367	0.69551119569195
Gains	=~	pgprobsolve	1	1	.p8.	0.98573999383059	0.0221799176454796	44.442905947015	0	0.942268154065386	1.0292118335958	0.497976283155522	0.749606715227865
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.587036599645415	0.818007787761829
SupportEnv	=~	SEwellness	1	1	.p10.	1.0218879172999	0.017299637442652	59.0699036721109	0	0.9879812509667	1.0557945836331	0.599885608190467	0.811183374661676
SupportEnv	=~	SEnonacad	1	1	.p11.	1.01952604810797	0.0179540983338641	56.7851433778209	0	0.984336661998706	1.05471543421723	0.59849910453123	0.77223290645864
SupportEnv	=~	SEactivities	1	1	.p12.	0.977010654098058	0.0186132210852618	52.4901439478235	0	0.940529411134663	1.01349189706145	0.573541012199066	0.725290101093378
SupportEnv	=~	SEdiverse	1	1	.p13.	1.01234906431805	0.0179954445356284	56.2558519915273	0	0.97707864114243	1.04761948749367	0.594285952371485	0.781256671474936
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.559285330914329	0.858575234771832
