lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.684092232452001	0.868463260237869
Belong	=~	sbmyself	1	1	.p2.	0.979233463522741	0.0149154562605648	65.6522634250052	0	0.949999706439051	1.00846722060643	0.669886006152977	0.850221738361687
Belong	=~	sbcommunity	1	1	.p3.	1.01159717780273	0.0144189167145591	70.1576406763831	0	0.983336620346113	1.03985773525935	0.692025771705214	0.886213798804197
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.517256156583733	0.727191389748773
Gains	=~	pgthink	1	1	.p5.	1.01268172555121	0.0221421814060873	45.7354091260768	0	0.969283847456128	1.05607960364629	0.523815857201202	0.796849756628459
Gains	=~	pgwork	1	1	.p6.	0.997995958223538	0.0216610924818786	46.0732051745982	0	0.955540997093264	1.04045091935381	0.516219553636807	0.748189651760303
Gains	=~	pgvalues	1	1	.p7.	0.993766923947448	0.0231057886374846	43.009435407682	0	0.948480410383583	1.03905343751131	0.514032059621096	0.705582518660492
Gains	=~	pgprobsolve	1	1	.p8.	0.985981586248744	0.022016003752789	44.7847664508069	0	0.942831011809779	1.02913216068771	0.510005045765358	0.747498163526689
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.617034373940017	0.836353528434001
SupportEnv	=~	SEwellness	1	1	.p10.	1.02038397124119	0.0170991367450308	59.6745898027704	0	0.986870279054205	1.05389766342818	0.629611984873237	0.817886287616613
SupportEnv	=~	SEnonacad	1	1	.p11.	1.01845124941595	0.0178045753378384	57.2016591292427	0	0.98355492299376	1.05334757583815	0.628419429071801	0.7876115603295
SupportEnv	=~	SEactivities	1	1	.p12.	0.979567360359012	0.0184055309906403	53.2213583437037	0	0.943493182501021	1.015641538217	0.604426732931198	0.747381219027361
SupportEnv	=~	SEdiverse	1	1	.p13.	1.01487816383351	0.017784641913903	57.064863534876	0	0.98002090620432	1.0497354214627	0.626214712446405	0.794229374361298
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.58685883590782	0.871883738644804
Satisf	=~	evalexp	1	1	.p15.	0.973811966830709	0.0303760203053959	32.0585763717614	0	0.914276061038476	1.03334787262294	0.571490157247375	0.859507554328629
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.470730593224197	0.470730593224197
DevAdj	=~	Gains	1	1	.p17.	0.424568973779907	0.0360813151406819	11.7670038390924	0	0.353850895589331	0.495287051970483	0.264319783076277	0.264319783076277
DevAdj	=~	SupportEnv	1	1	.p18.	0.877843196357222	0.0455488312963564	19.2725734420203	0	0.788569127478473	0.967117265235972	0.458136266902403	0.458136266902403
DevAdj	=~	Satisf	1	1	.p19.	0.875534481186294	0.0458208155996932	19.1077891069263	0	0.785727332868644	0.965341629503944	0.480426207568207	0.480426207568207
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	1.02418125119098	0.904798943729638
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.00193828596352	0.0105339552884955	95.1151071485725	0	0.98129211298331	1.02258445894372	1.02616640733426	0.929879212371063
EmoDiss	=~	MHWdmental	1	1	.p22.	0.99772560963848	0.00983280181390639	101.469106010803	0	0.978453672216104	1.01699754706086	1.02185186322482	0.943205323358613
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.00472258903491	0.00992663258959506	101.21484601818	0	0.985266746671541	1.02417843139828	1.02901803833761	0.938569467716467
EmoDiss	=~	MHWdsleep	1	1	.p24.	0.99674535621519	0.0106682319922991	93.4311661889894	0	0.975836005731565	1.01765470669881	1.02084790604727	0.923184255610931
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.999921661387131	0.0123311356658492	81.089178522007	0	0.975753079593589	1.02409024318067	1.02410101825244	0.865867893636473
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	1.00340044209187	0.895800653302707
QualEngag	=~	QIstudent	1	1	.p27.	0.989013277866364	0.0114671853898351	86.2472563444433	0	0.966538007498243	1.01148854823448	0.992376360245842	0.902181876127144
QualEngag	=~	QIadvisor	1	1	.p28.	0.999823301314916	0.0109956267742278	90.9291777398593	0	0.978272268849985	1.02137433377985	1.00322314255314	0.921728741346841
QualEngag	=~	QIfaculty	1	1	.p29.	1.00215684796935	0.0105709244757969	94.8031414152929	0	0.981438216713496	1.02287547922521	1.00556462429784	0.936890018296931
QualEngag	=~	QIstaff	1	1	.p30.	0.99211191535666	0.0110147008214559	90.071617144979	0	0.970523498446123	1.0137003322672	0.995485534473487	0.916224328315837
sbvalued	~~	sbvalued	1	1		0.152495859915793	0.0071411556112625	21.3545073398608	0	0.138499452109723	0.166492267721864	0.152495859915793	0.245771565617011
sbmyself	~~	sbmyself	1	1		0.172032288419419	0.00721504698489561	23.8435437467782	0	0.157891056182259	0.186173520656578	0.172032288419419	0.277122995617231
sbcommunity	~~	sbcommunity	1	1		0.130872391005208	0.00674072766718969	19.4151725847382	0	0.117660807547923	0.144083974462492	0.130872391005208	0.214625102809034
pganalyze	~~	pganalyze	1	1		0.2384033855522	0.00795264470314366	29.9778745878035	0	0.222816488352195	0.253990282752205	0.2384033855522	0.471192682675248
pgthink	~~	pgthink	1	1		0.157736974434507	0.0059956374519336	26.3086245122504	0	0.145985740964358	0.169488207904656	0.157736974434507	0.365030465361165
pgwork	~~	pgwork	1	1		0.209559631631789	0.00793634535112258	26.4050545131768	0	0.194004680574717	0.225114582688861	0.209559631631789	0.440212244998797
pgvalues	~~	pgvalues	1	1		0.266514668758959	0.00926221866253598	28.774387484174	0	0.248361053763453	0.284668283754464	0.266514668758959	0.502153309360717
pgprobsolve	~~	pgprobsolve	1	1		0.205404500432746	0.00742878087247213	27.6498262580186	0	0.190844357473661	0.219964643391832	0.205404500432746	0.441246495524227
SEacademic	~~	SEacademic	1	1		0.163569328087921	0.0063114850701087	25.9161395885397	0	0.151199044661546	0.175939611514297	0.163569328087921	0.300512775475997
SEwellness	~~	SEwellness	1	1		0.196186662901566	0.00771998086767287	25.4128431487557	0	0.181055778439589	0.211317547363543	0.196186662901566	0.331062020528714
SEnonacad	~~	SEnonacad	1	1		0.241701348041309	0.00840867965946551	28.7442687591541	0	0.225220638751222	0.258182057331396	0.241701348041309	0.379668030035331
SEactivities	~~	SEactivities	1	1		0.288706303903185	0.00915938591589458	31.5202685588544	0	0.270754237387529	0.306658370418842	0.288706303903185	0.441421313445176
SEdiverse	~~	SEdiverse	1	1		0.229517594515102	0.00800527570585254	28.6707919812562	0	0.213827542445318	0.245207646584886	0.229517594515102	0.369199700901661
sameinst	~~	sameinst	1	1		0.108650885047129	0.0109267734272318	9.94354699222995	0	0.0872348026625254	0.130066967431733	0.108650885047129	0.239818746286759
evalexp	~~	evalexp	1	1		0.115496555805157	0.0105354074768061	10.9627042009931	0	0.0948475365881628	0.136145575022151	0.115496555805157	0.26124676405202
MHWdacad	~~	MHWdacad	1	1		0.232348771907738	0.00847305849926213	27.4220662973083	0	0.215741882410283	0.248955661405192	0.232348771907738	0.181338871425732
MHWdlonely	~~	MHWdlonely	1	1		0.164800840587557	0.00644587373373909	25.566873847521	0	0.152167160220535	0.177434520954578	0.164800840587557	0.135324650400171
MHWdmental	~~	MHWdmental	1	1		0.129535772278675	0.00524579891356503	24.6932401361613	0	0.119254195337949	0.139817349219402	0.129535772278675	0.110363717987974
MHWdexhaust	~~	MHWdexhaust	1	1		0.143145855381802	0.00580508527915564	24.6586998292337	0	0.131768097307473	0.154523613456131	0.143145855381802	0.119087354270429
MHWdsleep	~~	MHWdsleep	1	1		0.180641048156172	0.00676641314000001	26.6967216483284	0	0.167379122097253	0.193902974215091	0.180641048156172	0.14773083019209
MHWdfinancial	~~	MHWdfinancial	1	1		0.350103102779211	0.0115593346664261	30.2874787245393	0	0.32744722314777	0.372758982410652	0.350103102779211	0.250272790769538
QIadmin	~~	QIadmin	1	1		0.24784689989344	0.00880478950339318	28.1490999640509	0	0.230589829575333	0.265103970211547	0.24784689989344	0.197541189542443
QIstudent	~~	QIstudent	1	1		0.225131358570415	0.00851363977423191	26.4436086727344	0	0.208444931235573	0.241817785905257	0.225131358570415	0.186067862387707
QIadvisor	~~	QIadvisor	1	1		0.178189958772736	0.00717263035385505	24.8430422288477	0	0.164131861604761	0.19224805594071	0.178189958772736	0.150416127375168
QIfaculty	~~	QIfaculty	1	1		0.140813976981657	0.0057804109459574	24.3605477704205	0	0.129484579711739	0.152143374251574	0.140813976981657	0.122237093615576
QIstaff	~~	QIstaff	1	1		0.1895093040781	0.00763355847602172	24.8258141564489	0	0.174547804391217	0.204470803764983	0.1895093040781	0.160532980202194
Belong	~~	Belong	1	1		0.364283278258578	0.0137307531138791	26.5304659720637	0	0.337371496674763	0.391195059842392	0.778412708602795	0.778412708602795
Gains	~~	Gains	1	1		0.248861290084118	0.0109577200655275	22.7110465129535	0	0.227384553403012	0.270338026765223	0.93013505227451	0.93013505227451
SupportEnv	~~	SupportEnv	1	1		0.300820143178309	0.0117761900133296	25.5447766075281	0	0.277739234877083	0.323901051479536	0.790111160948731	0.790111160948731
Satisf	~~	Satisf	1	1		0.264911796150297	0.0139796757374796	18.9497811769744	0	0.237512135189289	0.292311457111306	0.76919065908163	0.76919065908163
DevAdj	~~	DevAdj	1	1		0.103698904242585	0.0097858939557747	10.596773755288	0	0.0845189045327384	0.122878903952432	1	1
EmoDiss	~~	EmoDiss	1	1		1.04894723529112	0.0329922506933146	31.7937459023879	0	0.98428361216331	1.11361085841894	1	1
QualEngag	~~	QualEngag	1	1		1.00681244719017	0.0341864081811281	29.4506647746035	0	0.93980831839437	1.07381657598596	1	1
DevAdj	~~	EmoDiss	1	1		-0.247782666704107	0.0142459874119372	-17.3931549663228	0	-0.275704288955715	-0.2198610444525	-0.751288978342094	-0.751288978342094
DevAdj	~~	QualEngag	1	1		0.210265077335981	0.0127015078811989	16.554339791988	0	0.18537057933948	0.235159575332483	0.650737411635488	0.650737411635488
EmoDiss	~~	QualEngag	1	1		-0.267735687311855	0.0231779515514828	-11.5513093000113	0	-0.313163637588176	-0.222307737035535	-0.260528449079591	-0.260528449079591
sbvalued	~1		1	1		2.69473519845328	0.0162939777474844	165.3822805097	0	2.66279958890331	2.72667080800325	2.69473519845328	3.42099852170253
sbmyself	~1		1	1		2.69999077616787	0.0161428818101413	167.255810203087	0	2.6683513092133	2.73163024312243	2.69999077616787	3.42683804436682
sbcommunity	~1		1	1		2.69706414924353	0.0163337466201353	165.122198352137	0	2.66505059413546	2.7290777043516	2.69706414924353	3.45388215735104
pganalyze	~1		1	1		2.95482940457055	0.0147138572376406	200.819496672265	0	2.92599077431112	2.98366803482999	2.95482940457055	4.15408588922685
pgthink	~1		1	1		2.95926659829024	0.0135038046276302	219.143173342073	0	2.93279962756582	2.98573356901466	2.95926659829024	4.50175540932611
pgwork	~1		1	1		2.95105452559416	0.0141682506368433	208.28644278216	0	2.92328526462201	2.97882378656631	2.95105452559416	4.2771499883621
pgvalues	~1		1	1		2.94219997251294	0.0151485285668203	194.223482467942	0	2.9125094021032	2.97189054292268	2.94219997251294	4.03859025551587
pgprobsolve	~1		1	1		2.93633762429208	0.014238548298599	206.224508476121	0	2.9084305824347	2.96424466614947	2.93633762429208	4.30369660041066
