lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.841505251742919	0.00961648314264184	87.5065488350392	0	0.822657291125405	0.860353212360434
Belong	=~	sbmyself	1		0.811812826209622	0.0102106796045045	79.5062481297997	0	0.791800261927116	0.831825390492129
Belong	=~	sbcommunity	1		0.872371692611703	0.0085982430384792	101.459296824669	0	0.855519445925961	0.889223939297444
Gains	=~	pganalyze	1		0.726571057400717	0.0123314949210827	58.9199494506155	0	0.702401771479856	0.750740343321577
Gains	=~	pgthink	1		0.783855815436624	0.0111669764211224	70.1940960450095	0	0.761968943835016	0.805742687038232
Gains	=~	pgwork	1		0.743969955583162	0.0126829748618731	58.6589474224733	0	0.719111781637064	0.76882812952926
Gains	=~	pgvalues	1		0.690768183559385	0.0138479034323735	49.8825101527293	0	0.663626791570545	0.717909575548226
Gains	=~	pgprobsolve	1		0.745574034730012	0.0120614975549544	61.8143834406168	0	0.721933933922684	0.76921413553734
SupportEnv	=~	SEacademic	1		0.820278331675129	0.00877558598284163	93.4727701693049	0	0.803078499205525	0.837478164144733
SupportEnv	=~	SEwellness	1		0.811242703181706	0.0094813458080967	85.5619781834068	0	0.792659606872866	0.829825799490545
SupportEnv	=~	SEnonacad	1		0.768789919555169	0.0103895742020146	73.9962874904053	0	0.748426728304514	0.789153110805824
SupportEnv	=~	SEactivities	1		0.724870445195578	0.0115913811655798	62.5352953924126	0	0.702151755579965	0.74758913481119
SupportEnv	=~	SEdiverse	1		0.770712267564809	0.0103807837543677	74.2441308673379	0	0.75036630527495	0.791058229854668
Satisf	=~	sameinst	1		0.837976335850192	0.0233445729031503	35.8959805915794	0	0.792221813725548	0.883730857974836
Satisf	=~	evalexp	1		0.862390506954853	0.0236379974203794	36.4832304369128	0	0.816060883344258	0.908720130565447
DevAdj	=~	Belong	1		0.326643795139184	0.0265242515066067	12.3149109432107	0	0.274657217469352	0.378630372809015
DevAdj	=~	Gains	1		0.287833239724039	0.0248321039340906	11.5911740901216	0	0.239163210352865	0.336503269095212
DevAdj	=~	SupportEnv	1		0.375412968692216	0.0256235640537671	14.6510831945341	0	0.325191705991278	0.425634231393155
DevAdj	=~	Satisf	1		0.389968421039928	0.0270001351449102	14.4432025598006	0	0.33704912857819	0.442887713501666
EmoDiss	=~	MHWdacad	1		0.897753312376506	0.00486058632902534	184.70062079044	0	0.888226738227868	0.907279886525143
EmoDiss	=~	MHWdlonely	1		0.919023773672978	0.00422024378834211	217.765565158029	0	0.910752247841849	0.927295299504108
EmoDiss	=~	MHWdmental	1		0.935744513889895	0.00341158660172815	274.28426217171	0	0.929057927020368	0.942431100759422
EmoDiss	=~	MHWdexhaust	1		0.926264495579296	0.00395897647382415	233.965647864681	0	0.918505044274959	0.934023946883633
EmoDiss	=~	MHWdsleep	1		0.910595340308315	0.00447945592538174	203.282576160343	0	0.901815768024232	0.919374912592398
EmoDiss	=~	MHWdfinancial	1		0.845111581966751	0.00708654247095429	119.255840973313	0	0.831222213948767	0.859000949984735
QualEngag	=~	QIadmin	1		0.889324048829787	0.00548415333326946	162.162506185728	0	0.878575305810884	0.90007279184869
QualEngag	=~	QIstudent	1		0.894357213849268	0.00524408054373674	170.546048328232	0	0.884079004851516	0.904635422847019
QualEngag	=~	QIadvisor	1		0.912657909477504	0.00459914339755207	198.44084660706	0	0.903643754058567	0.921672064896441
QualEngag	=~	QIfaculty	1		0.928984965681142	0.00388338116731052	239.220649649625	0	0.921373678454972	0.936596252907311
QualEngag	=~	QIstaff	1		0.915943883669198	0.00451633234537697	202.80701543295	0	0.907092034930046	0.92479573240835
EmoDiss	~	x_FASt	1	W1__a1_g1	0.0911782529926327	0.0409035317798179	2.22910465246477	0.0258069424387	0.0110088038637002	0.171347702121565
EmoDiss	~	credit_dose_c	1	W1__a1c_g1	-0.0608887757765077	0.1066713241501	-0.570807349225639	0.568130240625437	-0.269960729293902	0.148183177740887
EmoDiss	~	XZ_c	1	W1__a1z_g1	0.0837793844810244	0.0982378576902761	0.852821778190275	0.393758144862887	-0.108763278510288	0.276322047472337
EmoDiss	~	cohort	1	W1__g1_g1	-0.013216883685324	0.0228972106099009	-0.577226803321141	0.563786252815833	-0.0580945918271583	0.0316608244565102
