lhs	op	rhs	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	0.68323011602169	0.882263691190518	0.882263691190518
Belong	=~	sbmyself		0.959794047652223	0.0353406209962897	27.1583809394009	0	0.655760198534356	0.830584951042379	0.830584951042379
Belong	=~	sbcommunity		1.00566106521465	0.0318984344760395	31.5269724591047	0	0.687097926265102	0.887735463047938	0.887735463047938
Gains	=~	pganalyze		1	0	NA	NA	0.534490570008128	0.736674381458744	0.736674381458744
Gains	=~	pgthink		1.01105503921983	0.0494977539532854	20.4262811636674	0	0.540399384222199	0.802869243787218	0.802869243787218
Gains	=~	pgwork		0.970051506671833	0.0459827948268225	21.0959666615563	0	0.518483382738271	0.767372886921374	0.767372886921374
Gains	=~	pgvalues		0.99090444451147	0.0533818307678968	18.5625788823149	0	0.529629081370523	0.70521481556737	0.70521481556737
Gains	=~	pgprobsolve		0.998054003026447	0.0487329598219161	20.4800612701058	0	0.5334504529765	0.78758781202734	0.78758781202734
SupportEnv	=~	SEacademic		1	0	NA	NA	0.628545909251484	0.837487856904886	0.837487856904886
SupportEnv	=~	SEwellness		1.01649213643672	0.0395070772455596	25.7293681868345	0	0.638911974143598	0.8188651561393	0.8188651561393
SupportEnv	=~	SEnonacad		1.07410413893821	0.0438888051178682	24.4733055742481	0	0.675123762639701	0.806196124593828	0.806196124593828
SupportEnv	=~	SEactivities		0.937587867966038	0.0391740190538083	23.9339207620794	0	0.589317018973873	0.738851991434757	0.738851991434757
SupportEnv	=~	SEdiverse		1.04089718851442	0.0393092295361152	26.4797148353696	0	0.654251669792109	0.812028799106731	0.812028799106731
Satisf	=~	sameinst		1	0	NA	NA	0.613637993689827	0.923002463778098	0.923002463778098
Satisf	=~	evalexp		0.940219584261002	0.0529490366851578	17.7570668537688	0	0.576954459313805	0.835892495897274	0.835892495897274
DevAdj	=~	Belong		1	0	NA	NA	0.535309796319258	0.535309796319258	0.535309796319258
DevAdj	=~	Gains		0.341345258976026	0.0711764260258258	4.79576283940095	1.62056922170528e-06	0.233574818646834	0.233574818646834	0.233574818646834
DevAdj	=~	SupportEnv		0.784706424071381	0.0880575959655557	8.9112860221431	0	0.456606822454102	0.456606822454102	0.456606822454102
DevAdj	=~	Satisf		0.8220698846727	0.0934020814004648	8.80140862330514	0	0.489969097622765	0.489969097622765	0.489969097622765
EmoDiss	=~	MHWdacad		1	0	NA	NA	1.02673646184119	0.904165070567076	0.904165070567076
EmoDiss	=~	MHWdlonely		1.03870236430646	0.0259041508319075	40.0979121472315	0	1.06647359043409	0.945163249811584	0.945163249811584
EmoDiss	=~	MHWdmental		0.979870746659028	0.0206003277872742	47.5657842330229	0	1.00606902348637	0.942645151828194	0.942645151828194
EmoDiss	=~	MHWdexhaust		0.990926441498971	0.0235560734991236	42.0667069805091	0	1.01742030848953	0.940951264085821	0.940951264085821
EmoDiss	=~	MHWdsleep		1.00423879839498	0.0260206185815472	38.5939632929077	0	1.03108859070771	0.922003663484215	0.922003663484215
EmoDiss	=~	MHWdfinancial		1.0037376806327	0.0287538965628688	34.9078838215225	0	1.0305740748295	0.872761090694982	0.872761090694982
QualEngag	=~	QIadmin		1	0	NA	NA	0.99275738513556	0.886540679197295	0.886540679197295
QualEngag	=~	QIstudent		1.00854273899471	0.0287680874465385	35.0576916476962	0	1.00123825236184	0.89729662786056	0.89729662786056
QualEngag	=~	QIadvisor		1.02406839262862	0.0277200812807863	36.9431958822733	0	1.01665145966597	0.920318319720445	0.920318319720445
QualEngag	=~	QIfaculty		1.04216248262901	0.0253808081807817	41.0610440457974	0	1.03461450114116	0.94419778220259	0.94419778220259
QualEngag	=~	QIstaff		1.02401014331955	0.0265636235050482	38.5493395931072	0	1.01659363223421	0.925197171130447	0.925197171130447
EmoDiss	~	x_FASt	a1	0.0966681623794044	0.105303409974862	0.917996505549832	0.358620695325935	0.0941509004229333	0.0450974284799768	0.0941509004229333
EmoDiss	~	XZ_c	a1z	-0.0179699790561119	0.0359713329807976	-0.499563890659951	0.617382188879182	-0.0175020365244333	-0.0300494919514307	-0.0175020365244333
EmoDiss	~	cohort	g1	0.107740507554994	0.0791593521383344	1.361058480705	0.173495209155758	0.104934919094807	0.0523180928209162	0.104934919094807
EmoDiss	~	hgrades_c		-0.126356722312069	0.0440424939233418	-2.86897291810949	0.00411807057008939	-0.12306636318874	-0.106389429211029	-0.12306636318874
EmoDiss	~	bparented_c		-0.0292900978635553	0.0392723497053568	-0.745819847381326	0.455776248866624	-0.0285273767438151	-0.0276506602522472	-0.0285273767438151
EmoDiss	~	hapcl_c		-0.0987496701898834	0.0825312435380974	-1.19651256853169	0.231496596835136	-0.0961782052746051	-0.0464878743383376	-0.0961782052746051
EmoDiss	~	hprecalc13_c		-0.203599435875376	0.0782542711170506	-2.60176771144973	0.00927446471771343	-0.198297658106222	-0.0991202249131084	-0.198297658106222
EmoDiss	~	hchallenge_c		-0.0765045285146552	0.0341058580099803	-2.24314921185293	0.024887194122629	-0.0745123323831942	-0.0864614222625896	-0.0745123323831942
EmoDiss	~	cSFcareer_c		-0.019243966265543	0.0450524395567024	-0.427145931605386	0.669273039836896	-0.0187428488037075	-0.0156734736837091	-0.0187428488037075
