lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.841506898949665	0.00961753422556871	87.4971566737425	0	0.82265687824747	0.860356919651861
Belong	=~	sbmyself		0.811813283935518	0.0102112258318982	79.5020399411346	0	0.791799649066993	0.831826918804044
Belong	=~	sbcommunity		0.872379224762863	0.00859951868868424	101.445122261411	0	0.855524477848662	0.889233971677063
Gains	=~	pganalyze		0.726610452945067	0.0123306136101263	58.9273555979689	0	0.70244289436194	0.750778011528194
Gains	=~	pgthink		0.783896036667272	0.01116613615942	70.2029802857059	0	0.762010811948338	0.805781261386205
Gains	=~	pgwork		0.743934830546723	0.0126843855179686	58.6496546870853	0	0.719073891765484	0.768795769327963
Gains	=~	pgvalues		0.690771061775039	0.0138486468967898	49.8800400445737	0	0.663628212622719	0.71791391092736
Gains	=~	pgprobsolve		0.745565973708237	0.0120620960449821	61.8106480770727	0	0.72192469988201	0.769207247534465
SupportEnv	=~	SEacademic		0.820314301962837	0.00877394032372577	93.4944017962614	0	0.803117694925831	0.837510908999843
SupportEnv	=~	SEwellness		0.811209612804853	0.0094825838458831	85.5473176920068	0	0.792624089986541	0.829795135623165
SupportEnv	=~	SEnonacad		0.768708225718566	0.0103919763454196	73.9713217358681	0	0.748340326353351	0.78907612508378
SupportEnv	=~	SEactivities		0.724856015337594	0.0115913770589321	62.5340726690478	0	0.702137333770864	0.747574696904325
SupportEnv	=~	SEdiverse		0.770681656661238	0.0103803397608905	74.2443575464552	0	0.750336564582603	0.791026748739872
Satisf	=~	sameinst		0.83930176446862	0.0233210931746093	35.9889546422467	0	0.793593261766284	0.885010267170957
Satisf	=~	evalexp		0.861011565805444	0.0235535736737398	36.55545344125	0	0.814847409697704	0.907175721913185
DevAdj	=~	Belong		0.326133297856961	0.0265467892164359	12.2852257272244	0	0.27410254708757	0.378164048626352
DevAdj	=~	Gains		0.287075090471294	0.024835421722975	11.5590986806447	0	0.238398558353399	0.335751622589188
DevAdj	=~	SupportEnv		0.376354313681425	0.0255912353216244	14.7063754035902	0	0.326196414131152	0.426512213231698
DevAdj	=~	Satisf		0.390168852389586	0.0270012543426109	14.4500269298178	0	0.337247366340663	0.443090338438509
EmoDiss	=~	MHWdacad		0.897751082919711	0.00486061260703867	184.699163562156	0	0.888224457267114	0.907277708572308
EmoDiss	=~	MHWdlonely		0.919024793666716	0.00422024493823197	217.765747514108	0	0.910753265581844	0.927296321751588
EmoDiss	=~	MHWdmental		0.935744133586882	0.00341163367106155	274.280366477835	0	0.929057454463158	0.942430812710607
EmoDiss	=~	MHWdexhaust		0.926262455887709	0.00395884397496783	233.972963255071	0	0.918503264276359	0.93402164749906
EmoDiss	=~	MHWdsleep		0.910597965128041	0.00447936216013221	203.28741739899	0	0.90181857662047	0.919377353635611
EmoDiss	=~	MHWdfinancial		0.845112280738714	0.0070864612569498	119.257306305019	0	0.831223071897254	0.859001489580174
