"W_var","model","chisq","df","cfi","rmsea","srmr","delta_cfi_config_metric","delta_rmsea_config_metric","delta_cfi_metric_scalar","delta_rmsea_metric_scalar"
"re_all","configural",1905.32814822605,1460,0.995560501171894,0.0174648011613897,0.0225425439931784,-0.000384816743279059,0.00103219962301333,0.000101570067766232,-0.000507942545280044
"re_all","metric_firstorder",2049.87833286716,1548,0.994996749521693,0.0180058548629525,0.0308750343127545,-0.000384816743279059,0.00103219962301333,0.000101570067766232,-0.000507942545280044
"re_all","metric_secondorder",2050.90207856971,1552,0.995026419951281,0.0179292365942228,0.0308629060437851,-0.000384816743279059,0.00103219962301333,0.000101570067766232,-0.000507942545280044
"re_all","scalar",2142.65328979695,1628,0.994869395330082,0.0177799353031409,0.0310364952565147,-0.000384816743279059,0.00103219962301333,0.000101570067766232,-0.000507942545280044
"firstgen","configural",829.982284017749,584,0.997613894658991,0.012980023746146,0.019310479741815,5.32154027778065e-05,-0.000343261407615856,3.2354793153555e-06,-0.000106321451209336
"firstgen","metric_firstorder",851.842715160323,606,0.997615248520703,0.0127386192049114,0.0223493675794926,5.32154027778065e-05,-0.000343261407615856,3.2354793153555e-06,-0.000106321451209336
"firstgen","metric_secondorder",855.475842339208,607,0.997589706360827,0.0127961032561923,0.0224962470480989,5.32154027778065e-05,-0.000343261407615856,3.2354793153555e-06,-0.000106321451209336
"firstgen","scalar",880.944582761482,626,0.997526957548924,0.0127633806943361,0.0225802530875598,5.32154027778065e-05,-0.000343261407615856,3.2354793153555e-06,-0.000106321451209336
"pell","configural",786.858935060725,584,0.998030721682573,0.0117874711481721,0.0190061612669971,3.6965363787167e-05,-0.000331815562051579,-0.000118212724339983,0.000729237724805716
"pell","metric_firstorder",810.658843387281,606,0.998013248848853,0.0116227512005614,0.0221506314486845,3.6965363787167e-05,-0.000331815562051579,-0.000118212724339983,0.000729237724805716
"pell","metric_secondorder",810.906580890223,607,0.998020551530513,0.0115918104616746,0.0220634710122754,3.6965363787167e-05,-0.000331815562051579,-0.000118212724339983,0.000729237724805716
"pell","scalar",848.768463819328,626,0.99783744745838,0.0119308032562032,0.0221747735807781,3.6965363787167e-05,-0.000331815562051579,-0.000118212724339983,0.000729237724805716
"sex","configural",758.042822642807,584,0.998316542790456,0.0109182147244431,0.0185033183333708,-6.56378664976032e-06,0.000582932920483737,-0.000138434706342783,0.00180294940892998
"sex","metric_firstorder",789.650079143257,606,0.998223615055925,0.0110100487897186,0.0194590600467669,-6.56378664976032e-06,0.000582932920483737,-0.000138434706342783,0.00180294940892998
"sex","metric_secondorder",792.355966086816,607,0.998207114589946,0.0110519505933941,0.0198327780907373,-6.56378664976032e-06,0.000582932920483737,-0.000138434706342783,0.00180294940892998
"sex","scalar",832.558525574752,626,0.998002029421315,0.0114885281181936,0.0199820067910289,-6.56378664976032e-06,0.000582932920483737,-0.000138434706342783,0.00180294940892998
"living18","configural",1218.20497703397,876,0.996401296354234,0.0153097018446217,0.0226274808252211,-3.23963354471601e-05,-5.55246403806733e-05,4.16953115351948e-05,-0.000280130902178289
"living18","metric_firstorder",1276.46422026868,920,0.996251342981086,0.0152471854908576,0.0249022938093776,-3.23963354471601e-05,-5.55246403806733e-05,4.16953115351948e-05,-0.000280130902178289
"living18","metric_secondorder",1292.77665457049,922,0.996100830238845,0.0155333939042536,0.0269484658098659,-3.23963354471601e-05,-5.55246403806733e-05,4.16953115351948e-05,-0.000280130902178289
"living18","scalar",1340.53274583734,960,0.995998233013303,0.0154218340721309,0.0271343001689773,-3.23963354471601e-05,-5.55246403806733e-05,4.16953115351948e-05,-0.000280130902178289
