lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.632228729613629	0.848553250295667
Belong	=~	sbmyself	1	1	.p2.	0.979842504161965	0.0153070940443252	64.0123135929397	0	0.94984115112712	1.00984385719681	0.619484581627756	0.8214448104039
Belong	=~	sbcommunity	1	1	.p3.	1.01228021693561	0.014999554580957	67.4873518058177	0	0.982881630172792	1.04167880369843	0.63999263556621	0.874884533971055
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.505297197542346	0.723071049471833
Gains	=~	pgthink	1	1	.p5.	1.01194779427284	0.0222940210320324	45.3909948689318	0	0.968252315979476	1.0556432725662	0.511334384505224	0.78197677923077
Gains	=~	pgwork	1	1	.p6.	0.995771257570991	0.0218126118318298	45.6511703068004	0	0.953019323971853	1.03852319117013	0.50316042584384	0.732802045216259
Gains	=~	pgvalues	1	1	.p7.	0.994397197881579	0.0233869996349586	42.519229204381	0	0.948559520890608	1.04023487487255	0.502466117333524	0.6955802749199
Gains	=~	pgprobsolve	1	1	.p8.	0.985757575481874	0.0221790375232382	44.4454622726095	0	0.942287460724565	1.02922769023918	0.498100540347129	0.749692309551714
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.587385414072911	0.818171216420521
SupportEnv	=~	SEwellness	1	1	.p10.	1.02186367062586	0.0173003746531307	59.0659850502683	0	0.987955559386672	1.05577178186504	0.600227815296634	0.811340999475947
SupportEnv	=~	SEnonacad	1	1	.p11.	1.0194872964241	0.0179503510224771	56.7948390060739	0	0.984305254910194	1.05466933793801	0.598831967752143	0.772399316641144
SupportEnv	=~	SEactivities	1	1	.p12.	0.977007834120228	0.0186125040337612	52.4920146342498	0	0.94052799655195	1.01348767168851	0.573880151197188	0.7254957708849
SupportEnv	=~	SEdiverse	1	1	.p13.	1.01234965454176	0.0179938419245157	56.2608951878412	0	0.977082372426204	1.04761693665732	0.594639421019581	0.781439098484439
