lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.841715988585571	0.013686571490692	61.4994039345798	0	0.814890801391982	0.86854117577916
Belong	=~	sbmyself	1		0.811716058827224	0.0141236685933892	57.4720408837091	0	0.784034177054601	0.839397940599846
Belong	=~	sbcommunity	1		0.866112868997082	0.0125044498977856	69.2643719697308	0	0.841604597550937	0.890621140443227
Gains	=~	pganalyze	1		0.69692572602049	0.0182203237882694	38.2499089543724	0	0.661214547608824	0.732636904432157
Gains	=~	pgthink	1		0.77210414818382	0.0164928245528758	46.814549303454	0	0.739778806056846	0.804429490310795
Gains	=~	pgwork	1		0.743212099491791	0.01764237411195	42.1265355090945	0	0.708633681630587	0.777790517352995
Gains	=~	pgvalues	1		0.684902388399675	0.0200595893122152	34.1433903625637	0	0.645586315803069	0.724218460996282
Gains	=~	pgprobsolve	1		0.745236163603178	0.0168269684220966	44.2882012320507	0	0.712255911526876	0.77821641567948
SupportEnv	=~	SEacademic	1		0.79618056720858	0.0141405371194512	56.3048320217897	0	0.768465623732404	0.823895510684756
SupportEnv	=~	SEwellness	1		0.786690035334254	0.0140708522140163	55.9091960720483	0	0.759111671762996	0.814268398905512
SupportEnv	=~	SEnonacad	1		0.729625314767035	0.0165820489426801	44.0009143194044	0	0.697125096049502	0.762125533484569
SupportEnv	=~	SEactivities	1		0.730470757885728	0.0173602362986149	42.0772358924636	0	0.696445319977338	0.764496195794118
SupportEnv	=~	SEdiverse	1		0.762322309900753	0.0161730517259939	47.1353411103931	0	0.730623710997702	0.794020908803804
Satisf	=~	sameinst	1		0.809238089789813	0.033072400000637	24.4686835480409	0	0.744417376906262	0.874058802673364
Satisf	=~	evalexp	1		0.861127765767674	0.0335958391373514	25.6319766935151	0	0.795281131028064	0.926974400507284
DevAdj	=~	Belong	1		0.335082467106348	0.0392231515818705	8.54297662458178	0	0.258206502645727	0.41195843156697
DevAdj	=~	Gains	1		0.22327263564353	0.038942464529952	5.73339767625142	9.84384618263334e-09	0.146946807695595	0.299598463591464
DevAdj	=~	SupportEnv	1		0.326646003226277	0.0444895104752215	7.34209029807607	2.10276240864005e-13	0.239448165005026	0.413843841447529
DevAdj	=~	Satisf	1		0.423861370903773	0.0436298198998471	9.71494660937755	0	0.338348495248104	0.509374246559442
EmoDiss	=~	MHWdacad	1		0.874412588306285	0.00808761891417833	108.117432038416	0	0.85856114651381	0.890264030098759
EmoDiss	=~	MHWdlonely	1		0.889394705661047	0.00810355372033522	109.753663189667	0	0.873512032222404	0.905277379099689
EmoDiss	=~	MHWdmental	1		0.921821262287425	0.0058275082149378	158.184463802985	0	0.910399556066536	0.933242968508315
EmoDiss	=~	MHWdexhaust	1		0.911929465187791	0.00650037385450944	140.28877193812	0	0.899188966546906	0.924669963828675
EmoDiss	=~	MHWdsleep	1		0.874693420062843	0.00833373343609312	104.95817112107	0	0.858359602671343	0.891027237454343
EmoDiss	=~	MHWdfinancial	1		0.826531442646677	0.010341838704513	79.9211306869434	0	0.806261811251909	0.846801074041445
QualEngag	=~	QIadmin	1		0.87373109768106	0.0085162639558692	102.595586774751	0	0.85703952704472	0.8904226683174
QualEngag	=~	QIstudent	1		0.875422341678056	0.0085477942979692	102.414998672352	0	0.85866897270678	0.892175710649332
QualEngag	=~	QIadvisor	1		0.908062082404075	0.00673386584756103	134.850040520627	0	0.894863947866131	0.921260216942019
QualEngag	=~	QIfaculty	1		0.922728552903768	0.00591498236332336	155.998529873101	0	0.911135400502464	0.934321705305071
QualEngag	=~	QIstaff	1		0.888015858179712	0.00798987722556322	111.142616226761	0	0.872355986576711	0.903675729782712
EmoDiss	~	x_FASt	1	W5__a1_g1	-0.0541922957306328	0.0556005394706287	-0.974672120928974	0.329722926255117	-0.163167350614063	0.0547827591527971
EmoDiss	~	credit_dose_c	1	W5__a1c_g1	0.0140597874922681	0.170338300350406	0.0825403767875189	0.934217011822833	-0.319797146382294	0.34791672136683
EmoDiss	~	XZ_c	1	W5__a1z_g1	0.046643863368163	0.153284981106627	0.304295065514063	0.760903104177201	-0.253789178971729	0.347076905708055
EmoDiss	~	cohort	1	W5__g1_g1	-0.0017751357957993	0.030700783789783	-0.0578205366988076	0.953891579623968	-0.061947566320925	0.0583972947293264
EmoDiss	~	hgrades_c	1		-0.058140952817159	0.0309587082699258	-1.87801610810871	0.060378961526879	-0.118818906034096	0.00253700039977796
EmoDiss	~	bparented_c	1		-0.0136069262327736	0.0289613421019683	-0.469830651661989	0.638476013409969	-0.070370113696575	0.0431562612310279
EmoDiss	~	hapcl_c	1		-0.086328235298304	0.0318942066256068	-2.7067058388276	0.00679544407009258	-0.148839731599972	-0.0238167389966359
EmoDiss	~	hprecalc13_c	1		0.0193644357577549	0.0310576817852564	0.6234990715549	0.532956612184138	-0.0415075019846533	0.080236373500163
EmoDiss	~	hchallenge_c	1		0.0234203689688537	0.0304237933248033	0.769804367220702	0.44141594873801	-0.036209170220851	0.0830499081585583
EmoDiss	~	cSFcareer_c	1		0.00351395901375735	0.0301917370477211	0.116388103413963	0.907344963416697	-0.0556607582304797	0.0626886762579944
EmoDiss	~	hacadpr13_c	1		-0.0243916423908461	0.0312987402258055	-0.779317065634975	0.435792964262169	-0.0857360459948998	0.0369527612132077
EmoDiss	~	tcare_c	1		-0.0272199140175221	0.0307023718982531	-0.886573653258069	0.375308483839356	-0.0873954571780528	0.0329556291430086
EmoDiss	~	StemMaj_c	1		-0.0207168708880585	0.031044195828962	-0.667334757266643	0.50455832974816	-0.0815623766418324	0.0401286348657155
QualEngag	~	x_FASt	1	W5__a2_g1	-0.00451478206480012	0.0564712200913842	-0.0799483711790555	0.936278318286333	-0.115196339606948	0.106166775477347
QualEngag	~	credit_dose_c	1	W5__a2c_g1	0.0411111029497889	0.176805403276625	0.232521756620003	0.81613279089112	-0.305421119744476	0.387643325644054
QualEngag	~	XZ_c	1	W5__a2z_g1	-0.103479950795756	0.157060998348357	-0.658851986705447	0.509990820175341	-0.411313850934441	0.204353949342929
QualEngag	~	cohort	1	W5__g2_g1	0.0169823265998498	0.0307946632176287	0.551469794614546	0.581311667240439	-0.0433741042227428	0.0773387574224425
